condition,word_trigger,pause_trigger,delay_frames_after,key_t,correct_resp,rt,offset_img,gender,word,onset_word,duration_measured_img,word_score_warriner,delay_frames_before,img,scan day,age,word_label,onset_img,word_score_pc,duration_measured_word,pause_trigger_t,offset_word,response,session,no,img_trigger,duration_frames,ID
faceWord_exp,12,32,180,177.77487230021507,1,0.34773389995098114,178.10784850036725,female,stampede,171.11322059994563,0.6807101001031697,4.48,336,image_stim_n.png,Monday,21,neg,177.42713840026408,2.7437052692255306,0.695416500326246,172.80885499995202,171.80863710027188,y,4,18,22,42,sha
faceWord_exp,13,42,180,187.94056400004774,1,0.5161159001290798,188.10648899991065,female,elevator,181.11032270034775,0.6820408999919891,5.95,336,image_stim_n.png,Monday,21,neu,187.42444809991866,0.1872293205875,0.6972391000017524,182.8073403001763,181.8075618003495,y,4,19,22,42,sha
faceWord_exp,11,31,336,,,,195.50817089993507,female,wonder,191.11039640009403,0.6804786999709904,6.68,180,image_stim_p.png,Monday,21,pos,194.82769219996408,-2.303583541830637,0.6955825001932681,192.8061466999352,191.8059789002873,,4,20,21,42,sha
faceWord_exp,13,42,180,207.94010300002992,1,0.503174299839884,208.12088720034808,female,shoulder,201.11408200021833,0.6839585001580417,5.1,336,image_stim_n.png,Monday,21,neu,207.43692870019004,0.12602488928311428,0.6921307998709381,202.8060821001418,201.80621280008927,y,4,21,22,42,sha
faceWord_exp,11,31,336,,,,215.52260169992223,female,bonfire,211.12896160036325,0.6759605999104679,6.53,180,image_stim_p.png,Monday,21,pos,214.84664110001177,-1.7974288604529352,0.6920805997215211,212.82163950009272,211.82104220008478,,4,22,21,42,sha
faceWord_exp,11,31,336,,,,225.5365172000602,female,kitchen,221.12873260024935,0.6847223001532257,6.17,180,image_stim_p.png,Monday,21,pos,224.85179489990696,-1.5082836116280287,0.6910693999379873,222.82151470007375,221.81980200018734,,4,23,21,42,sha
faceWord_exp,12,32,336,235.30212060036138,0,0.44207460014149547,235.53379390016198,female,zone,231.13987400010228,0.6737478999421,4.75,180,image_stim_n.png,Monday,21,neg,234.86004600021988,0.42679466080263373,0.695571499876678,232.8352931002155,231.83544549997896,b,4,24,22,42,sha
faceWord_exp,13,41,180,247.93474260019138,1,0.46947199990972877,248.1502686003223,female,journalist,241.13941900013015,0.6849980000406504,5.3,336,image_stim_p.png,Monday,21,neu,247.46527060028166,0.18094025084207666,0.6945235999301076,242.8334507001564,241.83394260006025,b,4,25,21,42,sha
faceWord_exp,12,32,180,257.84823600016534,1,0.36796650011092424,258.1644375002943,female,accident,251.15637920005247,0.6841680002398789,2.55,336,image_stim_n.png,Monday,21,neg,257.4802695000544,3.9974740190684885,0.6932847001589835,252.8507491000928,251.84966390021145,y,4,26,22,42,sha
faceWord_exp,13,42,336,265.4320853999816,1,0.5439126999117434,265.56498560030013,female,hall,261.1716363001615,0.6768129002302885,5.89,180,image_stim_n.png,Monday,21,neu,264.88817270006984,0.4398740830446768,0.6940301000140607,262.8661663001403,261.86566640017554,y,4,27,22,42,sha
faceWord_exp,11,31,180,277.86320720007643,1,0.36673319991678,278.179619200062,female,gratitude,271.1699789999984,0.6831451999023557,6.67,336,image_stim_p.png,Monday,21,pos,277.49647400015965,-2.8305869761860607,0.6965319002047181,272.86359630012885,271.86651090020314,b,4,28,21,42,sha
faceWord_exp,13,42,180,288.0625471002422,1,0.5600600000470877,288.17849770002067,female,worker,281.18608719995245,0.6760105998255312,5.95,336,image_stim_n.png,Monday,21,neu,287.50248710019514,0.0196438746392397,0.694274100009352,282.87977880006656,281.8803612999618,y,4,29,22,42,sha
faceWord_exp,11,31,180,298.1436795000918,1,0.6340157999657094,298.1940355999395,female,bicycle,291.1858910000883,0.6843718998134136,6.71,336,image_stim_p.png,Monday,21,pos,297.5096637001261,-1.301667818567906,0.6922989999875426,292.8797888001427,291.87819000007585,b,4,30,21,42,sha
faceWord_exp,13,41,180,308.10878210002556,1,0.5848417999222875,308.20921789994463,female,put,301.19970330037177,0.6852775998413563,5.09,336,image_stim_p.png,Monday,21,neu,307.5239403001033,0.3545861367636661,0.6936511998064816,302.89264200022444,301.89335450017825,b,4,31,21,42,sha
faceWord_exp,12,32,180,317.8248105002567,1,0.28309980034828186,318.22408939991146,female,animosity,311.21324370009825,0.6823787000030279,3.4,336,image_stim_n.png,Monday,21,neg,317.54171069990844,3.4698173961771306,0.6942218998447061,312.9076591003686,311.90746559994295,y,4,32,22,42,sha
faceWord_exp,13,42,180,327.9557726001367,1,0.3936536000110209,328.2398622003384,female,theme,321.22884429991245,0.6777432002127171,5.43,336,image_stim_n.png,Monday,21,neu,327.5621190001257,-0.7774272008663468,0.6940345000475645,322.92499010032043,321.92287879996,y,4,33,22,42,sha
faceWord_exp,12,32,180,337.82230640016496,1,0.25905090011656284,338.23849260015413,female,explosion,331.2499013002962,0.6752371001057327,3.17,336,image_stim_n.png,Monday,21,neg,337.5632555000484,3.1835494020570807,0.6891773999668658,332.9395885001868,331.93907870026305,y,4,34,22,42,sha
faceWord_exp,11,31,180,348.0365069000982,1,0.4670309000648558,348.2538147000596,female,parent,341.24454180011526,0.6843387000262737,6.73,336,image_stim_p.png,Monday,21,pos,347.5694760000333,-1.2094761189992442,0.69380890019238,342.93925300007686,341.93835070030764,b,4,35,21,42,sha
faceWord_exp,13,41,336,355.58727010013536,1,0.6084476001560688,355.65312990034,female,businessman,351.26242300029844,0.6743074003607035,5.38,180,image_stim_p.png,Monday,21,neu,354.9788224999793,0.6669259665908855,0.6910021998919547,352.95396240008995,351.9534252001904,b,4,36,21,42,sha
faceWord_exp,12,32,336,365.28603460034356,1,0.30176520021632314,365.6672927001491,female,torment,361.25738270021975,0.6830233000218868,2.53,180,image_stim_n.png,Monday,21,neg,364.98426940012723,4.5355840269859025,0.6952800001017749,362.9529218003154,361.9526627003215,y,4,37,22,42,sha
faceWord_exp,13,42,336,375.41742690000683,0,0.4216277999803424,375.68396650021896,female,scientist,371.2762778000906,0.6881674001924694,5.83,180,image_stim_n.png,Monday,21,neu,374.9957991000265,-0.5273916336755435,0.6911381999962032,372.96801830036566,371.9674160000868,b,4,38,22,42,sha
faceWord_exp,13,42,336,385.48230200028047,1,0.47613600036129355,385.6823183000088,female,door,381.28671480016783,0.6761523000895977,5.43,180,image_stim_n.png,Monday,21,neu,385.0061659999192,0.37753019343780747,0.6959962002001703,382.98310280032456,381.982711000368,y,4,39,22,42,sha
faceWord_exp,11,31,180,398.0306788003072,1,0.4206652999855578,398.2976023000665,female,honey,391.28386180009693,0.6875887997448444,7.27,336,image_stim_p.png,Monday,21,pos,397.61001350032166,-2.066768843681998,0.6974746999330819,392.98243400035426,391.98133650003,b,4,40,21,42,sha
faceWord_exp,12,32,336,405.4644949003123,1,0.4418569002300501,405.69694840023294,female,loan,401.30286730034277,0.6743104001507163,4.19,180,image_stim_n.png,Monday,21,neg,405.0226380000822,0.7532200949518182,0.6942276996560395,402.99798500025645,401.9970949999988,y,4,41,22,42,sha
faceWord_exp,12,32,336,415.3622761000879,1,0.3349402998574078,415.71225080033764,female,expensive,411.30350610008463,0.6849150001071393,3.36,180,image_stim_n.png,Monday,21,neg,415.0273358002305,-0.3663992490442602,0.6921494998969138,412.9966361001134,411.99565559998155,y,4,42,22,42,sha
faceWord_exp,13,42,336,425.66192250000313,1,0.6231959997676313,425.72746350010857,female,boy,421.3165140999481,0.6887369998730719,5.84,180,image_stim_n.png,Monday,21,neu,425.0387265002355,-0.9031069202434168,0.6946468004025519,423.0125637999736,422.01116090035066,y,4,43,22,42,sha
faceWord_exp,11,31,336,435.5434479000978,1,0.48709800001233816,435.7420978001319,female,dog,431.3299547000788,0.6857479000464082,7.0,180,image_stim_p.png,Monday,21,pos,435.0563499000855,-1.7294291477603156,0.6964616002514958,433.0269305999391,432.0264163003303,b,4,44,21,42,sha
faceWord_exp,13,41,180,448.15906610013917,1,0.4890025998465717,448.3579498003237,female,bell,441.34854459995404,0.6878863000310957,5.67,336,image_stim_p.png,Monday,21,neu,447.6700635002926,-0.6996261236875504,0.6929137003608048,443.0437179999426,442.04145830031484,b,4,45,21,42,sha
faceWord_exp,12,32,180,457.97375679994,1,0.28997219959273934,458.35668900003657,female,snake,451.3642863002606,0.672904399689287,4.03,336,image_stim_n.png,Monday,21,neg,457.6837846003473,1.95458394600482,0.6933690998703241,453.05808190023527,452.0576554001309,y,4,46,22,42,sha
faceWord_exp,12,32,180,468.17098830034956,1,0.49213390005752444,468.3541510999203,female,court,461.36237360024825,0.6752966996282339,3.52,336,image_stim_n.png,Monday,21,neg,467.67885440029204,2.0765857872261098,0.6937981997616589,463.0567197003402,462.0561718000099,y,4,47,22,42,sha
faceWord_exp,13,42,336,475.6043516001664,1,0.5244452999904752,475.75321050034836,female,hand,471.3561873999424,0.6733042001724243,5.9,180,image_stim_n.png,Monday,21,neu,475.07990630017594,-0.29144085929118746,0.6971707004122436,473.0538073000498,472.05335810035467,y,4,48,22,42,sha
faceWord_exp,12,32,180,488.0704296999611,1,0.3930271998979151,488.35274530015886,female,pig,481.35946260020137,0.6753428000956774,4.83,336,image_stim_n.png,Monday,21,neg,487.6774025000632,0.060511318752979076,0.6935207997448742,483.0533512001857,482.05298339994624,y,4,49,22,42,sha
faceWord_exp,12,32,180,498.0025977003388,1,0.3221236001700163,498.3683456000872,female,scream,491.3599340002984,0.6878714999184012,3.02,336,image_stim_n.png,Monday,21,neg,497.6804741001688,2.6978270877422883,0.6913411999121308,493.053208200261,492.0512752002105,y,4,50,22,42,sha
faceWord_exp,12,32,336,505.6180385001935,1,0.5292243999429047,505.7660973002203,female,empty,501.37238160008565,0.6772831999696791,3.78,180,image_stim_n.png,Monday,21,neg,505.0888141002506,2.8496222967354625,0.6950833001174033,503.06923560006544,502.06746490020305,y,4,51,22,42,sha
faceWord_exp,12,32,336,515.5338159003295,1,0.4415686000138521,515.7681622002274,female,saw,511.3718059002422,0.6759148999117315,4.16,180,image_stim_n.png,Monday,21,neg,515.0922473003156,-0.10198134801944247,0.6935874996706843,513.0669876001775,512.0653933999129,y,4,52,22,42,sha
faceWord_exp,13,42,180,528.0146683002822,0,0.32099599996581674,528.3807326001115,female,team,521.3710475000553,0.687060299795121,5.91,336,image_stim_n.png,Monday,21,neu,527.6936723003164,-0.9453395472380092,0.6937718000262976,523.0663980999961,522.0648193000816,b,4,53,22,42,sha
faceWord_exp,11,31,180,538.1471390002407,1,0.44733780017122626,538.3791672000661,female,lust,531.3847566000186,0.6793659999966621,6.26,336,image_stim_p.png,Monday,21,pos,537.6998012000695,-1.426145970237633,0.6944009000435472,533.0808949000202,532.0791575000621,b,4,54,21,42,sha
faceWord_exp,11,31,336,545.49627530016,1,0.39101210003718734,545.7787847002037,female,heroism,541.3861352000386,0.6735215000808239,7.05,180,image_stim_p.png,Monday,21,pos,545.1052632001229,-2.30162279277581,0.69289859989658,543.0784664000385,542.0790337999351,b,4,55,21,42,sha
faceWord_exp,12,32,180,558.1281658001244,1,0.4201079998165369,558.3940421999432,female,denial,551.3850254002027,0.6859843996353447,3.57,336,image_stim_n.png,Monday,21,neg,557.7080578003079,2.8314410724962364,0.6929672998376191,553.0772319999523,552.0779927000403,y,4,56,22,42,sha
faceWord_exp,11,31,336,565.5601206002757,0,0.44055300019681454,565.7930197999813,female,bay,561.3995814002119,0.6734521999023855,7.23,180,image_stim_p.png,Monday,21,pos,565.1195676000789,-1.17416436554964,0.6932028001174331,563.0934774000198,562.0927842003293,y,4,57,21,42,sha
faceWord_exp,11,31,180,578.3253145003691,1,0.6027633002959192,578.4079456003383,female,bread,571.3987175002694,0.6853944002650678,6.52,336,image_stim_p.png,Monday,21,pos,577.7225512000732,-1.5215329943370883,0.692609999794513,573.0950736999512,572.0913275000639,b,4,58,21,42,sha
faceWord_exp,12,32,336,585.6237093000673,1,0.49576349975541234,585.8066793000326,female,insult,581.4144442002289,0.6787334997206926,2.62,180,image_stim_n.png,Monday,21,neg,585.1279458003119,4.2176174504439885,0.6917161997407675,583.1081084003672,582.1061603999697,y,4,59,22,42,sha
faceWord_exp,12,32,336,595.6744496002793,1,0.5529268002137542,595.8063810002059,female,majority,591.4128489000723,0.6848582001402974,4.95,180,image_stim_n.png,Monday,21,neg,595.1215228000656,0.19555716741692625,0.6925027999095619,593.1085677002557,592.1053516999818,y,4,60,22,42,sha
