condition,word_trigger,pause_trigger,delay_frames_after,key_t,correct_resp,rt,offset_img,gender,word,onset_word,duration_measured_img,word_score_warriner,delay_frames_before,img,scan day,age,word_label,onset_img,word_score_pc,duration_measured_word,pause_trigger_t,offset_word,response,session,no,img_trigger,duration_frames,ID
faceWord_exp,13,42,180,7.814430400263518,1,0.4991671000607312,7.996818399988115,female,mouth,0.9962687003426254,0.6815550997853279,5.59,336,image_stim_n.png,Monday,21,neu,7.315263300202787,-0.05436507667908295,0.6848330995999277,2.681204400025308,1.681101799942553,y,4,1,22,42,sha
faceWord_exp,11,31,180,,,,18.014152300078422,female,trust,11.00778069999069,0.6889499998651445,7.24,336,image_stim_p.png,Monday,21,pos,17.325202300213277,-2.1205664047688315,0.6880548000335693,12.696661199908704,11.695835500024259,,4,2,21,42,sha
faceWord_exp,13,42,180,27.713080500252545,1,0.37550560012459755,28.01207419997081,female,circus,21.016672499943525,0.6744992998428643,5.85,336,image_stim_n.png,Monday,21,neu,27.337574900127947,-2.547043884761341,0.6956876004114747,22.712966700084507,21.712360100355,y,4,3,22,42,sha
faceWord_exp,12,32,180,37.64395090006292,1,0.31325350003317,38.0102206999436,female,flood,31.01568299997598,0.6795232999138534,2.76,336,image_stim_n.png,Monday,21,neg,37.33069740002975,3.803034067475641,0.6946133002638817,32.71069819992408,31.71029630023986,y,4,4,22,42,sha
faceWord_exp,11,31,336,,,,45.42630759999156,female,festival,41.0193557003513,0.6867074999026954,6.84,180,image_stim_p.png,Monday,21,pos,44.739600100088865,-2.93465986085152,0.6904729995876551,42.70944230025634,41.70982869993895,,4,5,21,42,sha
faceWord_exp,12,32,336,55.076040000189096,1,0.3268630998209119,55.42512000026181,female,fallacy,51.03472950030118,0.6759430998936296,4.0,180,image_stim_n.png,Monday,21,neg,54.749176900368184,2.7422742606943906,0.6893762997351587,52.72478689998388,51.72410580003634,y,4,6,22,42,sha
faceWord_exp,12,32,336,65.09170990018174,1,0.34081640001386404,65.43977600010112,female,battle,61.02806850010529,0.6888824999332428,3.52,180,image_stim_n.png,Monday,21,neg,64.75089350016788,3.668156535681199,0.6962914001196623,62.723968300037086,61.724359900224954,y,4,7,22,42,sha
faceWord_exp,13,42,336,,,,75.43822150025517,female,red,71.04249860020354,0.6789425001479685,5.67,180,image_stim_n.png,Monday,21,neu,74.7592790001072,0.4395766978022416,0.6966149001382291,72.74028890021145,71.73911350034177,,4,8,22,42,sha
faceWord_exp,11,31,336,85.20493909996003,0,0.4463097997941077,85.43728610035032,female,banjo,81.04736010031775,0.6786568001843989,6.35,180,image_stim_p.png,Monday,21,pos,84.75862930016592,-1.2316584124512135,0.6903305999003351,82.7390844002366,81.73769070021808,y,4,9,21,42,sha
faceWord_exp,13,42,336,95.3367278999649,1,0.5701811998151243,95.45298840012401,female,guard,91.04613110003993,0.6864416999742389,5.89,180,image_stim_n.png,Monday,21,neu,94.76654670014977,0.29188517290671034,0.6904775002039969,92.73776260018349,91.73660860024393,y,4,10,22,42,sha
faceWord_exp,11,31,336,,,,105.45166470017284,female,choir,101.05984270013869,0.6763316998258233,6.15,180,image_stim_p.png,Monday,21,pos,104.77533300034702,-1.883093263099396,0.691922599915415,102.75265530031174,101.7517653000541,,4,11,21,42,sha
faceWord_exp,13,41,180,,,,118.06835670024157,female,chestnut,111.05415250035003,0.6897750003263354,5.68,336,image_stim_p.png,Monday,21,neu,117.37858169991523,-0.4880378396985329,0.6965160998515785,112.75094619998708,111.7506686002016,,4,12,21,42,sha
faceWord_exp,11,31,336,,,,125.46529969992116,female,peace,121.07334710005671,0.6821269998326898,7.75,180,image_stim_p.png,Monday,21,pos,124.78317270008847,-3.0311112754680245,0.692417100071907,122.76518210023642,121.76576420012861,,4,13,21,42,sha
faceWord_exp,13,41,180,,,,138.08080850029364,female,baseball,131.070591900032,0.6886249999515712,5.79,336,image_stim_p.png,Monday,21,neu,137.39218350034207,-0.4066038871991289,0.6940339002758265,132.7649459000677,131.76462580030784,,4,14,21,42,sha
faceWord_exp,11,31,336,,,,145.49600860010833,female,flower,141.08843290014192,0.6877433997578919,7.3,180,image_stim_p.png,Monday,21,pos,144.80826520035043,-2.411716547027706,0.6917518000118434,142.7805872000754,141.78018470015377,,4,15,21,42,sha
faceWord_exp,11,31,336,,,,155.49501800024882,female,harmonica,151.10167609993368,0.6728521003387868,6.32,180,image_stim_p.png,Monday,21,pos,154.82216589991003,-1.3206920491180312,0.6937220999971032,152.79628710029647,151.7953981999308,,4,16,21,42,sha
faceWord_exp,11,31,180,,,,168.10967790009454,female,truce,161.09921459993348,0.6871935999952257,6.42,336,image_stim_p.png,Monday,21,pos,167.4224843000993,-1.6859102219357711,0.6956514003686607,162.79504190012813,161.79486600030214,,4,17,21,42,sha
