word,response,onset_img,condition,duration_measured_word,word_score_warriner,img,offset_word,offset_img,duration_measured_img,onset_word,scan day,gender,correct_resp,age,word_label,word_score_pc,duration_frames,delay_frames_before,delay_frames_after,key_t,ID,rt,session,no
audience,b,49.63908929999161,faceWord_exp,0.6864839999907417,5.89,image_stim_p.png,49.14639179999358,50.31260520000069,0.6735159000090789,48.45990780000284,Monday,female,1,22,neu,-0.7656585604551551,42,26,54,48.482473399999435,roo,-1.1566158999921754,6,16
read,j,52.61934289999772,faceWord_exp,0.6881111999973655,6.73,image_stim_p.png,51.91074389999267,53.30991149999318,0.6905685999954585,51.2226326999953,Monday,female,,22,pos,-1.87678309604286,42,39,57,51.31399359999341,roo,-1.305349300004309,6,17
elm,b,55.96594809999806,faceWord_exp,0.6883699000027264,6.32,image_stim_p.png,54.958510399999795,56.64001279999502,0.6740646999969613,54.27014049999707,Monday,female,1,22,pos,-1.1812540207039297,42,57,52,54.42787650000537,roo,-1.5380715999926906,6,18
lost,j,58.98092220000399,faceWord_exp,0.6978770999994595,2.53,image_stim_n.png,58.20650949999981,59.65451019999455,0.6735879999905592,57.50863240000035,Monday,female,,22,neg,3.7741942061665816,42,43,40,57.53884029999608,roo,-1.4420819000079064,6,19
honeymoon,b,61.9973117000045,faceWord_exp,0.6812952000036603,7.53,image_stim_p.png,61.02074330000323,62.68543139999383,0.6881196999893291,60.33944809999957,Monday,female,1,22,pos,-3.0889019952949432,42,55,42,60.341728200000944,roo,-1.6555835000035586,6,20
dolphin,b,64.78354069999477,faceWord_exp,0.6888706000027014,6.67,image_stim_p.png,64.08464159999858,65.46635099999548,0.6828103000007104,63.395770999995875,Monday,female,1,22,pos,-2.035068499528653,42,38,51,63.5203235999943,roo,-1.2632171000004746,6,21
fee,j,68.0272060999996,faceWord_exp,0.6866335999948205,2.86,image_stim_n.png,67.01536069999565,68.71459960000357,0.6873935000039637,66.32872710000083,Monday,female,,22,neg,2.6698720582687456,42,57,53,66.3677228000015,roo,-1.6594832999981008,6,22
chipmunk,b,71.32524700000067,faceWord_exp,0.6785672999976669,7.33,image_stim_p.png,70.29479649999121,72.01092319999589,0.6856761999952141,69.61622919999354,Monday,female,1,22,pos,-1.071197614358652,42,58,46,69.7156083000009,roo,-1.6096386999997776,6,23
rumor,b,74.65022169999429,faceWord_exp,0.7053829999931622,3.14,image_stim_n.png,73.49441359999764,75.32495769999514,0.6747360000008484,72.78903060000448,Monday,female,0,22,neg,3.1728286127179004,42,66,31,72.81088829999499,roo,-1.8393333999993047,6,24
woe,b,77.49598019999394,faceWord_exp,0.692081600005622,3.38,image_stim_n.png,76.54117260000203,78.1719177999912,0.675937599997269,75.8490909999964,Monday,female,0,22,neg,4.673386290788297,42,54,64,76.04208499999368,roo,-1.453895200000261,6,25
chair,b,80.55101949999516,faceWord_exp,0.6919091000017943,5.89,image_stim_n.png,79.93867699999828,81.23583130000043,0.6848118000052636,79.24676789999648,Monday,female,0,22,neu,-0.4928774877246448,42,33,48,79.25606159999734,roo,-1.2949578999978257,6,26
parade,b,83.87570960000448,faceWord_exp,0.690903900002013,6.37,image_stim_p.png,82.73551739999675,84.55036809999729,0.6746584999928018,82.04461349999474,Monday,female,1,22,pos,-2.3709211732995845,42,65,56,82.23721409999416,roo,-1.6384955000103218,6,27
analogy,b,87.13609149999684,faceWord_exp,0.680124300008174,5.24,image_stim_p.png,86.18238220000057,87.8149024000013,0.6788109000044642,85.5022578999924,Monday,female,1,22,neu,0.06851316647377265,42,53,44,85.51763329999812,roo,-1.618458199998713,6,28
church,b,90.15795730000536,faceWord_exp,0.6893270000000484,5.21,image_stim_p.png,89.24753009999404,90.84527999999409,0.6873226999887265,88.55820309999399,Monday,female,1,22,neu,0.4070035035588155,42,51,31,88.61661939999613,roo,-1.541337900009239,6,29
protest,j,92.92999839999538,faceWord_exp,0.6861600999982329,4.42,image_stim_n.png,92.06086919999507,93.61064790000091,0.6806495000055293,91.37470909999683,Monday,female,,22,neg,1.346131993343653,42,48,59,91.42927609999606,roo,-1.5007222999993246,6,30
accordion,j,95.98774240000057,faceWord_exp,0.6886040000099456,5.26,image_stim_n.png,95.29085550000309,96.67372969999269,0.6859872999921208,94.60225149999314,Monday,female,,22,neu,-0.8574934623041074,42,38,63,94.72735309999553,roo,-1.2603893000050448,6,31
gunshot,j,99.24258859999827,faceWord_exp,0.6888845000066794,2.79,image_stim_n.png,98.42283660000248,99.92094470000302,0.6783561000047484,97.7339520999958,Monday,female,,22,neg,3.2726955917764444,42,45,56,97.75839249999262,roo,-1.4841961000056472,6,32
handshake,j,102.2787529000052,faceWord_exp,0.6867178999964381,6.21,image_stim_p.png,101.55309380000108,102.96842940000352,0.6896764999983134,100.86637590000464,Monday,female,,22,pos,-1.283661754694624,42,39,56,100.93987079999351,roo,-1.3388821000116877,6,33
home,j,105.60586619999958,faceWord_exp,0.6883110999915516,7.48,image_stim_p.png,104.60009999999602,106.28113069999381,0.6752644999942277,103.91178890000447,Monday,female,,22,pos,-2.2232275900644445,42,56,60,104.67038709999179,roo,-0.9354791000077967,6,34
advice,b,108.87673210000503,faceWord_exp,0.677335000000312,5.78,image_stim_p.png,107.98227730000508,109.56321700000262,0.6864848999975948,107.30494230000477,Monday,female,1,22,neu,-0.30581232848456497,42,50,49,107.36770899999829,roo,-1.5090231000067433,6,35
pumpkin,b,111.93991970000206,faceWord_exp,0.6873601999977836,7.0,image_stim_p.png,111.07854689999658,112.62716829999408,0.6872485999920173,110.3911866999988,Monday,female,1,22,pos,-1.1380831950062478,42,48,35,110.58106159999443,roo,-1.3588581000076374,6,36
bee,b,114.67388909999863,faceWord_exp,0.6863789000053657,3.68,image_stim_n.png,113.90921759999765,115.36000869999407,0.6861195999954361,113.22283869999228,Monday,female,0,22,neg,1.5036737146000605,42,42,51,113.2643240000034,roo,-1.409565099995234,6,37
hygiene,b,117.45795189999626,faceWord_exp,0.6763629000051878,6.38,image_stim_p.png,116.90745230000175,118.14086379999935,0.6829119000030914,116.23108939999656,Monday,female,1,22,pos,-1.613773182399739,42,29,48,116.27694630000042,roo,-1.1810055999958422,6,38
river,j,120.64766980000422,faceWord_exp,0.6880605000042124,6.72,image_stim_p.png,119.63795079999545,121.33790410000074,0.6902342999965185,118.94989029999124,Monday,female,,22,pos,-1.8284590275958619,42,56,55,118.97408899999573,roo,-1.6735808000084944,6,39
girl,b,123.89650279999478,faceWord_exp,0.6815232000080869,7.15,image_stim_p.png,122.9521292999998,124.58497670000361,0.6884739000088302,122.27060609999171,Monday,female,1,22,pos,-1.313583728320736,42,53,52,122.3555614999932,roo,-1.5409413000015775,6,40
politician,b,126.81568410000182,faceWord_exp,0.6860449999949196,3.25,image_stim_n.png,126.14936339999258,127.49953180000011,0.6838476999982959,125.46331839999766,Monday,female,0,22,neg,1.7380634654586231,42,36,49,125.5186859999958,roo,-1.2969981000060216,6,41
cheese,j,130.27613539999584,faceWord_exp,0.6902298999921186,6.81,image_stim_p.png,129.01446779999242,130.96212509999168,0.6859896999958437,128.3242379000003,Monday,female,,22,pos,-1.5755240884938977,42,72,47,128.79851469999994,roo,-1.4776206999958958,6,42
mayor,b,133.6005157000036,faceWord_exp,0.692592399995192,4.59,image_stim_n.png,132.44654459999583,134.27608820000023,0.6755724999966333,131.75395220000064,Monday,female,0,22,neg,0.3271241198863318,42,66,49,132.24459119999665,roo,-1.3559245000069495,6,43
funeral,j,136.39574799999536,faceWord_exp,0.6845511999999871,2.07,image_stim_n.png,135.79222679999657,137.07471420000365,0.6789662000082899,135.10767559999658,Monday,female,,22,neg,4.494524106175375,42,33,50,135.3304175999947,roo,-1.0653304000006756,6,44
sin,b,139.3504479999974,faceWord_exp,0.6882857999880798,3.08,image_stim_n.png,138.60580979999213,140.03808169999684,0.6876336999994237,137.91752400000405,Monday,female,0,22,neg,3.1738538072533196,42,41,69,137.99297989999468,roo,-1.357468100002734,6,45
soccer,j,142.91983600000094,faceWord_exp,0.6836550000007264,5.84,image_stim_p.png,141.88713439999265,143.60172920000332,0.6818932000023779,141.20347939999192,Monday,female,,22,neu,-0.6912617476649511,42,58,62,141.205944500005,roo,-1.7138914999959525,6,46
dinner,b,146.23629440000514,faceWord_exp,0.6846959999966202,6.4,image_stim_p.png,145.33446879999246,146.91658150000148,0.6802870999963488,144.64977279999584,Monday,female,1,22,pos,-2.2453726125286497,42,52,44,145.2040077999991,roo,-1.0322866000060458,6,47
camera,j,149.29583590000402,faceWord_exp,0.6873465999960899,6.61,image_stim_p.png,148.3474758999946,149.98013729999366,0.6843013999896357,147.66012929999852,Monday,female,,22,pos,-1.0219663684796234,42,53,56,148.6494892000046,roo,-0.6463466999994125,6,48
role,j,152.26656899999944,faceWord_exp,0.6899310000007972,5.1,image_stim_n.png,151.61308130000543,152.94414880000113,0.6775798000016948,150.92315030000464,Monday,female,,22,neu,0.07641955756997082,42,35,49,151.98069840000244,roo,-0.28587059999699704,6,49
judge,j,155.41527169999608,faceWord_exp,0.6870524999976624,3.89,image_stim_n.png,154.4605981999921,156.0930970000045,0.6778253000084078,153.77354569999443,Monday,female,,22,neg,1.421533554407035,42,53,24,154.7438863999996,roo,-0.6713852999964729,6,50
bugle,j,158.22702789999312,faceWord_exp,0.6913927999994485,5.05,image_stim_p.png,157.1917795000045,158.90691360000346,0.6798857000103453,156.50038670000504,Monday,female,,22,neu,-0.441124933220443,42,58,38,157.2090140999935,roo,-1.0180137999996077,6,51
forest,j,161.10039049999614,faceWord_exp,0.6879312000091886,6.68,image_stim_p.png,160.2384785000031,161.78783440000552,0.6874439000093844,159.55054729999392,Monday,female,,22,pos,-1.6320665929887423,42,48,45,160.156415999998,roo,-0.9439744999981485,6,52
blueberry,b,164.0230692000041,faceWord_exp,0.7026959000068018,7.11,image_stim_p.png,163.25233980000485,164.70158999999694,0.6785207999928389,162.54964389999805,Monday,female,1,22,pos,-1.4048581699918157,42,42,35,164.38644030000432,roo,0.3633711000002222,6,53
chocolate,b,166.76661530000274,faceWord_exp,0.6794320000044536,7.63,image_stim_p.png,165.98448759999883,167.44886639999459,0.682251099991845,165.30505559999438,Monday,female,1,22,pos,-2.539279812815429,42,43,74,167.00060569999914,roo,0.2339903999964008,6,54
lawyer,b,170.4141141,faceWord_exp,0.6873228999902494,3.94,image_stim_n.png,169.38104769999336,171.09652700000152,0.6824129000015091,168.6937248000031,Monday,female,0,22,neg,1.4290259416609457,42,58,57,170.74680730000546,roo,0.3326932000054512,6,55
satire,b,173.48032380000222,faceWord_exp,0.6871807999996236,5.81,image_stim_p.png,172.7442008999933,174.15971930000524,0.679395500003011,172.05702009999368,Monday,female,1,22,neu,-0.9476055713690849,42,40,58,173.94406069999968,roo,0.46373689999745693,6,56
quantity,b,176.51503209999646,faceWord_exp,0.675422600004822,5.33,image_stim_p.png,175.82565610000165,177.19170919999306,0.6766770999965956,175.15023349999683,Monday,female,1,22,neu,-0.1985745460766808,42,38,41,177.00871629999892,roo,0.4936842000024626,6,57
prairie,j,179.49485439999262,faceWord_exp,0.70430509999278,5.33,image_stim_n.png,178.59086009999737,180.17162039999675,0.676766000004136,177.8865550000046,Monday,female,,22,neu,-1.1818642926883074,42,51,34,179.72268489999988,roo,0.2278305000072578,6,58
crow,j,182.5081463999959,faceWord_exp,0.6877882999979192,4.32,image_stim_n.png,181.43774649999978,183.1858446999977,0.6776983000017935,180.74995820000186,Monday,female,,22,neg,0.8985553834191027,42,61,39,182.75463939999463,roo,0.2464929999987362,6,59
old,b,185.37043280000216,faceWord_exp,0.6907071999885375,3.19,image_stim_n.png,184.5353999999934,186.0500835999992,0.6796507999970345,183.84469280000485,Monday,female,0,22,neg,1.5556418242275696,42,47,52,183.98662070000137,roo,-1.383812100000796,6,60
