word,response,onset_img,condition,duration_measured_word,word_score_warriner,img,offset_word,offset_img,duration_measured_img,onset_word,scan day,gender,correct_resp,age,word_label,word_score_pc,duration_frames,delay_frames_before,delay_frames_after,key_t,ID,rt,session,no
finger,j,2.5907120000047144,faceWord_exp,0.683378999994602,5.8,image_stim_p.png,1.7356561999913538,3.267219400004251,0.6765073999995366,1.0522771999967517,Monday,female,,22,neu,-0.3659926056186196,42,48,58,1.1880613999965135,roo,-1.4026506000082009,6,1
medicine,b,5.6199855000013486,faceWord_exp,0.6941191999940202,5.9,image_stim_p.png,4.9329777999955695,6.297503199995845,0.6775176999944961,4.238858600001549,Monday,female,1,22,neu,0.597486551423763,42,38,57,4.635649499992724,roo,-0.984336000008625,6,2
escalator,b,9.12959709999268,faceWord_exp,0.6903456000000006,5.95,image_stim_p.png,7.963466100001824,9.812579999997979,0.6829829000052996,7.2731205000018235,Monday,female,1,22,neu,-0.1293625696653618,42,66,53,7.351444100000663,roo,-1.7781529999920167,6,3
big,b,12.436309199998504,faceWord_exp,0.6881849999917904,5.64,image_stim_n.png,11.394488199992338,13.126433299999917,0.6901241000014124,10.706303200000548,Monday,female,0,22,neu,0.6345811289687322,42,59,58,10.72983490000479,roo,-1.7064742999937152,6,4
sun,j,15.700695099993027,faceWord_exp,0.6842544000101043,6.92,image_stim_p.png,14.791687000004458,16.390160800001468,0.6894657000084408,14.107432599994354,Monday,female,,22,pos,-1.2017878999114775,42,51,73,14.143684900001972,roo,-1.5570101999910548,6,5
prison,b,18.963744900000165,faceWord_exp,0.6811871999962023,1.94,image_stim_n.png,18.305382299993653,19.637528599996585,0.6737836999964202,17.62419509999745,Monday,female,0,22,neg,3.587794463102913,42,36,69,17.774370400002226,roo,-1.189374499997939,6,6
era,b,22.396503900003154,faceWord_exp,0.6897606999991694,5.29,image_stim_n.png,21.486610299994936,23.084663100002217,0.6881591999990633,20.796849599995767,Monday,female,0,22,neu,0.38949539348709145,42,51,43,21.00551919999998,roo,-1.3909847000031732,6,7
guilt,j,25.41146679999656,faceWord_exp,0.689095499998075,2.29,image_stim_n.png,24.50005119999696,26.099097600003006,0.6876308000064455,23.810955699998885,Monday,female,,22,neg,4.2219398121868315,42,51,49,23.96860100000049,roo,-1.4428657999960706,6,8
rake,j,28.623712799992063,faceWord_exp,0.6839913000003435,4.75,image_stim_n.png,27.61427160000312,29.31389799999306,0.6901852000009967,26.930280300002778,Monday,female,,22,neg,0.5993691927879942,42,57,53,27.084334899991518,roo,-1.5393779000005452,6,9
folly,j,31.929271999993944,faceWord_exp,0.6841439999989234,4.11,image_stim_n.png,30.894813899998553,32.6100191000005,0.6807471000065561,30.21066989999963,Monday,female,,22,neg,2.52891321026023,42,58,45,30.331030300003476,roo,-1.5982416999904672,6,10
table,j,35.10348320000048,faceWord_exp,0.6885764000035124,5.49,image_stim_n.png,34.05922300000384,35.79102609999245,0.6875428999919677,33.37064660000033,Monday,female,,22,neu,0.1576901893660491,42,59,57,33.395570900000166,roo,-1.7079123000003165,6,11
comb,b,38.28093290000106,faceWord_exp,0.6893477999983588,5.65,image_stim_p.png,37.439050200002384,38.9557868999982,0.6748539999971399,36.749702400004026,Monday,female,1,22,neu,-0.15774590184623308,42,47,37,36.87568129999272,roo,-1.4052516000083415,6,12
scooter,b,41.127688799999305,faceWord_exp,0.6862478999973973,5.42,image_stim_p.png,40.270413099991856,41.80322810000507,0.6755393000057666,39.58416519999446,Monday,female,1,22,neu,-0.9209473384247756,42,48,44,39.587443399999756,roo,-1.5402453999995487,6,13
law,j,43.846443200003705,faceWord_exp,0.6862830999889411,4.55,image_stim_n.png,43.23566989999381,44.53461790000438,0.6881747000006726,42.54938680000487,Monday,female,,22,neg,0.7240429444440241,42,33,47,42.63672300000326,roo,-1.2097202000004472,6,14
party,j,47.03226310000173,faceWord_exp,0.6893992999976035,7.18,image_stim_p.png,46.01682209999126,47.71412109999801,0.6818579999962822,45.327422799993656,Monday,female,,22,pos,-2.3202480308548075,42,57,44,45.38454769999953,roo,-1.6477154000021983,6,15
