scan day,onset_img,age,key_t,offset_word,delay_frames_after,rt,img_trigger,offset_img,delay_frames_before,word,duration_frames,gender,word_score_pc,ID,pause_trigger,session,word_trigger,pause_trigger_t,response,word_score_warriner,onset_word,duration_measured_img,correct_resp,word_label,condition,no,duration_measured_word,img
Monday,116.00555092500144,22,116.47278042900143,110.35252568700525,180,0.4672295039999881,21,116.70257369600586,336,cheese,42,female,-1.5755240884938977,01,31,6,11,111.35564402700402,b,6.81,109.65793318999931,0.6970227710044128,1,pos,faceWord_exp,11,0.6945924970059423,image_stim_p.png
Monday,123.45882853300282,22,124.72981137700117,120.41239468700223,336,1.270982843998354,22,124.15585257100611,180,accordion,42,female,-0.8574934623041074,01,42,6,13,121.41582718100108,y,5.26,119.71853276000184,0.6970240380032919,1,neu,faceWord_exp,12,0.6938619270003983,image_stim_n.png
Monday,133.5318869840048,22,134.1880165860057,130.47276682400116,336,0.656129602000874,21,134.53499537000607,180,girl,42,female,-1.313583728320736,01,31,6,11,131.47599106300186,b,7.15,129.77883441400627,1.0031083860012586,1,pos,faceWord_exp,13,0.6939324099948863,image_stim_p.png
Monday,146.85616530500556,22,147.68783478400292,141.2006531299994,180,0.8316694789973553,22,147.56755956900452,336,big,42,female,0.6345811289687322,01,42,6,13,142.2039752310011,y,5.64,140.50278478800465,0.7113942639989546,1,neu,faceWord_exp,14,0.6978683419947629,image_stim_n.png
Monday,154.3302779680016,22,155.84359483500157,151.27757869299967,336,1.5133168669999577,21,155.02113539499987,180,honeymoon,42,female,-3.0889019952949432,01,31,6,11,152.2806874750022,b,7.53,150.58064408100472,0.6908574269982637,1,pos,faceWord_exp,15,0.6969346119949478,image_stim_p.png
Monday,164.39506005799922,22,165.70514122600434,161.33817817600357,336,1.3100811680051265,22,165.09850144800293,180,table,42,female,0.1576901893660491,01,42,6,13,162.3417649500043,y,5.49,160.6429457080012,0.703441390003718,1,neu,faceWord_exp,16,0.6952324680023594,image_stim_n.png
Monday,174.4649359670002,22,174.91120959100226,171.4155233950005,336,0.4462736240020604,22,175.15784637000615,180,old,42,female,1.5556418242275696,01,32,6,12,172.41864483999962,y,3.19,170.72391847900144,0.6929104030059534,1,neg,faceWord_exp,17,0.6916049159990507,image_stim_n.png
Monday,187.13846965600533,22,187.76272459900065,181.47539451200282,180,0.6242549429953215,21,187.84261431400228,336,party,42,female,-2.3202480308548075,01,31,6,11,182.47873085400352,b,7.18,180.780804713002,0.7041446579969488,1,pos,faceWord_exp,18,0.6945897990008234,image_stim_p.png
Monday,197.20662298200477,22,197.98941328000365,191.55258358800347,180,0.7827902979988721,22,197.90272588000516,336,sin,42,female,3.1738538072533196,01,32,6,12,192.5557946590052,y,3.08,190.85744050799985,0.6961028980003903,1,neg,faceWord_exp,19,0.6951430800036178,image_stim_n.png
Monday,207.26608660100464,22,208.1001243589999,201.61283419000392,180,0.8340377579952474,22,207.96296018800058,336,rake,42,female,0.5993691927879942,01,32,6,12,202.61607814799936,y,4.75,200.91760965100548,0.6968735869959346,1,neg,faceWord_exp,20,0.6952245389984455,image_stim_n.png
Monday,214.7191378100033,22,215.31984775599994,211.67304503200285,336,0.6007099459966412,21,215.4162325569996,180,role,42,female,0.07641955756997082,01,41,6,13,212.67628926200268,b,5.1,210.97774642900185,0.6970947469962994,1,neu,faceWord_exp,21,0.6952986030009924,image_stim_p.png
Monday,227.3865898130025,22,228.18792859700625,221.73317333900195,180,0.8013387840037467,22,228.0833886590044,336,bee,42,female,1.5036737146000605,01,32,6,12,222.7364703860003,y,3.68,221.03774705800606,0.6967988460019114,1,neg,faceWord_exp,22,0.6954262809958891,image_stim_n.png
Monday,234.83985410800233,22,236.7765610790011,231.7933726859992,336,1.9367069709987845,21,235.5366680080042,180,chocolate,42,female,-2.539279812815429,01,31,6,11,232.79690510799992,b,7.63,231.09934530100145,0.6968139000018709,1,pos,faceWord_exp,23,0.694027384997753,image_stim_p.png
Monday,244.9044093210032,22,245.9371756210021,241.85363018700446,336,1.0327662999989116,21,245.59683935499925,180,dolphin,42,female,-2.035068499528653,01,31,6,11,242.8568355430034,b,6.67,241.16194552300294,0.692430033996061,1,pos,faceWord_exp,24,0.6916846640015137,image_stim_p.png
Monday,257.56754718400043,22,258.18432746500184,251.91359231900424,180,0.6167802810014109,21,258.26402252400294,336,home,42,female,-2.2232275900644445,01,31,6,11,252.91704700200353,b,7.48,251.21878871900117,0.6964753400025074,1,pos,faceWord_exp,25,0.6948036000030697,image_stim_p.png
Monday,267.6275731570058,22,268.4956776060062,261.9738609769993,180,0.8681044490003842,22,268.324323462999,336,finger,42,female,-0.3659926056186196,01,42,6,13,262.9772758320032,y,5.8,261.2793118030022,0.6967503059931914,1,neu,faceWord_exp,26,0.6945491739970748,image_stim_n.png
Monday,275.08060868600296,22,275.9991311710037,272.0342312050052,336,0.9185224850007216,22,275.77742199299973,180,funeral,42,female,4.494524106175375,01,32,6,12,273.03742153700296,y,2.07,271.33971214100166,0.6968133069967735,1,neg,faceWord_exp,27,0.6945190640035435,image_stim_n.png
Monday,285.1397935970017,22,285.59076118300436,282.09447717500007,336,0.45096758600266185,22,285.8375050790055,180,politician,42,female,1.7380634654586231,01,32,6,12,283.0977214020022,y,3.25,281.400779514006,0.6977114820037968,1,neg,faceWord_exp,28,0.6936976609940757,image_stim_n.png
Monday,297.8079769660035,22,298.30929700400156,292.1544335110011,180,0.5013200379980844,22,298.5046903210023,336,folly,42,female,2.52891321026023,01,32,6,12,293.1578071240001,y,4.11,291.4599499360047,0.6967133549987921,1,neg,faceWord_exp,29,0.6944835749964113,image_stim_n.png
Monday,305.27826043200184,22,306.59739350900054,302.2146698150027,336,1.3191330769986962,22,305.9747916519991,180,crow,42,female,0.8985553834191027,01,32,6,12,303.2179121320005,y,4.32,301.5196455680052,0.6965312199972686,1,neg,faceWord_exp,30,0.695024246997491,image_stim_n.png
Monday,317.9664605229991,22,318.5628570580011,312.3083597060031,180,0.5963965350019862,21,318.65861995400337,336,quantity,42,female,-0.1985745460766808,01,41,6,13,313.31171571600134,b,5.33,311.6017213119994,0.6921594310042565,1,neu,faceWord_exp,31,0.7066383940036758,image_stim_p.png
Monday,325.4151235150057,22,326.3699692220034,322.36868592999963,336,0.9548457069977303,21,326.1122574960027,180,read,42,female,-1.87678309604286,01,31,6,11,323.3718347610047,b,6.73,321.67325139400054,0.6971339809970232,1,pos,faceWord_exp,32,0.6954345359990839,image_stim_p.png
Monday,336.11054578800395,22,337.4122882520023,333.0638907620014,336,1.3017424639983801,21,336.80711492900446,180,scooter,42,female,-0.9209473384247756,01,41,6,13,334.0670751830039,y,5.42,332.3695429260042,0.6965691410005093,0,neu,faceWord_exp,33,0.6943478359971778,image_stim_p.png
Monday,346.1705522270058,22,346.9884971060019,343.1239963410044,336,0.8179448789960588,21,346.8672802250003,180,escalator,42,female,-0.1293625696653618,01,41,6,13,344.1273891230012,b,5.95,342.43024216900085,0.6967279979944578,1,neu,faceWord_exp,34,0.693754172003537,image_stim_p.png
Monday,358.83754228800535,22,359.8895658469992,353.1841686629996,180,1.0520235589938238,21,359.5343545069991,336,satire,42,female,-0.9476055713690849,01,41,6,13,354.1875150340056,y,5.81,352.48972437799966,0.6968122189937276,0,neu,faceWord_exp,35,0.6944442849999177,image_stim_p.png
Monday,368.89739261700015,22,369.7832467010012,363.2445826290059,180,0.8858540840010392,21,369.5945637920013,336,forest,42,female,-1.6320665929887423,01,31,6,11,364.24781022900424,b,6.68,362.55010049100383,0.6971711750011309,1,pos,faceWord_exp,36,0.6944821380020585,image_stim_p.png
Monday,378.95784211299906,22,379.54174025800603,373.30472950100375,180,0.5838981450069696,22,379.6548747449997,336,guilt,42,female,4.2219398121868315,01,32,6,12,374.3080193010028,y,2.29,372.60984600899974,0.6970326320006279,1,neg,faceWord_exp,37,0.6948834920040099,image_stim_n.png
Monday,389.02269617500133,22,390.2707431750023,383.3647218059996,180,1.2480470000009518,21,389.71551095500035,336,chair,42,female,-0.4928774877246448,01,41,6,13,384.36786332799966,y,5.89,382.67333782800415,0.6928147799990256,0,neu,faceWord_exp,38,0.6913839779954287,image_stim_p.png
Monday,399.0783381069996,22,400.2975126070014,393.42504129800363,180,1.2191745000018273,22,399.7749412300036,336,gunshot,42,female,3.2726955917764444,01,32,6,12,394.4279652070036,y,2.79,392.7307374450029,0.6966031230040244,1,neg,faceWord_exp,39,0.694303853000747,image_stim_n.png
Monday,406.5312607350061,22,407.7989326520037,403.48533940700145,336,1.2676719169976423,21,407.2285108960059,180,blueberry,42,female,-1.4048581699918157,01,31,6,11,404.4886080540018,b,7.11,402.79107363300136,0.697250160999829,1,pos,faceWord_exp,40,0.6942657740000868,image_stim_p.png
Monday,419.1984560400015,22,420.06613900800585,413.54568111700064,180,0.8676829680043738,22,419.8956667080056,336,prison,42,female,3.587794463102913,01,32,6,12,414.54865748500015,y,1.94,412.8509165420037,0.6972106680041179,1,neg,faceWord_exp,41,0.6947645749969524,image_stim_n.png
Monday,426.6524711640013,22,428.23676332900504,423.60553302500193,336,1.584292165003717,21,427.34873718699964,180,comb,42,female,-0.15774590184623308,01,41,6,13,424.60880567400454,b,5.65,422.910506005006,0.6962660229983157,1,neu,faceWord_exp,42,0.695027019995905,image_stim_p.png
Monday,440.121721907999,22,440.75517650500115,433.66561277300207,180,0.6334545970021281,22,440.81819106900366,336,rumor,42,female,3.1728286127179004,01,32,6,12,434.83776724700147,y,3.14,432.9711437730002,0.696469161004643,1,neg,faceWord_exp,43,0.6944690000018454,image_stim_n.png
Monday,450.18079232600576,22,,444.52817119600513,180,,21,450.87861591000546,336,audience,42,female,-0.7656585604551551,01,41,6,13,445.53161319300125,,5.89,443.8323594120011,0.6978235839997069,,neu,faceWord_exp,44,0.6958117840040359,image_stim_p.png
Monday,459.87793778700143,22,461.21043037200434,456.4445274470054,336,1.3324925850029103,21,460.57087257999956,180,pumpkin,42,female,-1.1380831950062478,01,31,6,11,457.83099185299943,b,7.0,455.30074224400596,0.6929347929981304,1,pos,faceWord_exp,45,1.1437852029994247,image_stim_p.png
Monday,469.93396095600474,22,470.48526993800624,466.8879484140052,336,0.5513089820015011,22,470.6310495700018,180,lost,42,female,3.7741942061665816,01,32,6,12,467.89135705900117,y,2.53,466.192683827001,0.6970886139970389,1,neg,faceWord_exp,46,0.6952645870042033,image_stim_n.png
Monday,479.9949260850044,22,480.92955933000485,476.948055492001,336,0.9346332450004411,21,480.69139378399996,180,era,42,female,0.38949539348709145,01,41,6,13,477.95144638400234,b,5.29,476.2525641540051,0.6964676989955478,1,neu,faceWord_exp,47,0.695491337995918,image_stim_p.png
Monday,492.66102307400433,22,493.763375677001,487.0085093480011,180,1.1023526029966888,22,493.35857248699904,336,protest,42,female,1.346131993343653,01,32,6,12,488.0115744390059,y,4.42,486.31399832800525,0.6975494129947037,1,neg,faceWord_exp,48,0.6945110199958435,image_stim_n.png
Monday,502.7214123380036,22,504.40895711100165,497.0687448250028,180,1.6875447729980806,22,503.4186541770032,336,soccer,42,female,-0.6912617476649511,01,42,6,13,498.0719576940028,y,5.84,496.3739689560025,0.6972418389996164,1,neu,faceWord_exp,49,0.6947758690002956,image_stim_n.png
Monday,512.7828934499994,22,,507.12868620200607,180,,21,513.479207164004,336,hygiene,42,female,-1.613773182399739,01,31,6,11,508.13203642699955,,6.38,506.4343535799999,0.6963137140046456,,pos,faceWord_exp,50,0.6943326220061863,image_stim_p.png
Monday,520.2349637750012,22,,517.188915106999,336,,21,520.9324184490033,180,advice,42,female,-0.30581232848456497,01,41,6,13,518.1921493810005,,5.78,516.4945289669995,0.6974546740020742,,neu,faceWord_exp,51,0.6943861399995512,image_stim_p.png
Monday,530.5586575940033,22,531.6501573339992,527.2491986560053,336,1.0914997399959248,21,531.5952175250059,180,elm,42,female,-1.1812540207039297,01,31,6,11,528.2525143570019,b,6.32,526.5567778280019,1.0365599310025573,1,pos,faceWord_exp,52,0.6924208280033781,image_stim_p.png
Monday,541.0908698260027,22,542.4591534909996,538.0445181940013,336,1.3682836649968522,22,541.7878351220061,180,lawyer,42,female,1.4290259416609457,01,32,6,12,539.0478868270002,y,3.94,537.3503643270014,0.6969652960033272,1,neg,faceWord_exp,53,0.6941538669998408,image_stim_n.png
Monday,551.6521388610054,22,552.0868924280003,548.6063147790046,336,0.43475356699491385,21,552.3494524140042,180,parade,42,female,-2.3709211732995845,01,31,6,11,549.6094286890002,b,6.37,547.9116563749994,0.6973135529988213,1,pos,faceWord_exp,54,0.6946584040051675,image_stim_p.png
Monday,561.7123628460031,22,562.4969156799998,558.6665680980004,336,0.7845528339967132,22,562.4096280200029,180,woe,42,female,4.673386290788297,01,32,6,12,559.6698348360005,y,3.38,557.9709034980042,0.6972651739997673,1,neg,faceWord_exp,55,0.6956645999962348,image_stim_n.png
Monday,574.3796334210056,22,575.0315754809999,568.7266173099997,180,0.651942059994326,21,575.0766793870062,336,analogy,42,female,0.06851316647377265,01,41,6,13,569.7298485270003,b,5.24,568.0321276640025,0.6970459660005872,1,neu,faceWord_exp,56,0.694489645997237,image_stim_p.png
Monday,584.4402044450035,22,585.0575006290019,578.7868081640045,180,0.6172961839984055,22,585.1368049640005,336,bugle,42,female,-0.441124933220443,01,42,6,13,579.7900666330024,y,5.05,578.092259173005,0.6966005189970019,1,neu,faceWord_exp,57,0.6945489909994649,image_stim_n.png
Monday,592.378006814004,22,593.2460800730041,588.8469604290003,336,0.8680732590000844,22,593.074757164999,180,judge,42,female,1.421533554407035,01,32,6,12,589.850364486003,y,3.89,588.1536719510041,0.6967503509949893,1,neg,faceWord_exp,58,0.6932884779962478,image_stim_n.png
Monday,605.0503571740046,22,605.830415522003,599.3917150929992,180,0.7800583479984198,22,605.741302430004,336,medicine,42,female,0.597486551423763,01,42,6,13,600.3946582790013,y,5.9,598.6976233200039,0.6909452559993952,1,neu,faceWord_exp,59,0.6940917729953071,image_stim_n.png
Monday,615.1059263909992,22,617.5942324940042,609.4519223880052,180,2.4883061030050158,21,615.8022125900025,336,dinner,42,female,-2.2453726125286497,01,31,6,11,610.455360800006,b,6.4,608.7575339790055,0.6962861990032252,1,pos,faceWord_exp,60,0.6943884089996573,image_stim_p.png
