offset_word,pause_trigger_t,duration_measured_word,correct_resp,word_score_pc,ID,gender,pause_trigger,no,response,age,offset_img,word_trigger,duration_measured_img,duration_frames,img_trigger,onset_img,word,delay_frames_before,rt,img,onset_word,word_label,scan day,condition,session,key_t,word_score_warriner,delay_frames_after
1.7156006570003228,2.7160402270092163,0.7036925639986293,0,-0.4880378396985329,coronatimes,female,41,1,y,22,5.500987456005532,13,0.7027273199928459,42,21,4.798260136012686,chestnut,180,-1.2288274790043943,image_stim_p.png,1.0119080930016935,neu,Monday,faceWord_exp,4,3.569432657008292,5.68,336
11.803807280011824,12.804832671012264,0.694770251007867,1,1.95458394600482,coronatimes,female,32,2,y,22,18.140358787000878,12,0.7006120809965068,42,22,17.43974670600437,snake,336,0.30325680899841245,image_stim_n.png,11.109037029003957,neg,Monday,faceWord_exp,4,17.743003515002783,4.03,180
21.841797231012606,22.842836686002556,0.6944130050105741,1,-1.17416436554964,coronatimes,female,31,3,b,22,28.17800180100312,11,0.7024964970041765,42,21,27.475505303998943,bay,336,0.33910752600058913,image_stim_p.png,21.147384226002032,pos,Monday,faceWord_exp,4,27.814612829999533,7.23,180
31.879918386999634,32.88105300400639,0.6938669879891677,1,0.29188517290671034,coronatimes,female,42,4,y,22,35.615165508002974,13,0.7018988889903994,42,22,34.913266619012575,guard,180,-0.6957687220128719,image_stim_n.png,31.186051399010466,neu,Monday,faceWord_exp,4,34.2174978969997,5.89,336
41.91798120000749,42.91902984700573,0.6956788399984362,1,-1.426145970237633,coronatimes,female,31,5,b,22,48.253415504004806,11,0.7023465249949368,42,21,47.55106897900987,lust,336,-5.129518861009274,image_stim_p.png,41.22230236000905,pos,Monday,faceWord_exp,4,42.421550118000596,6.26,180
51.9562406460027,52.957329698008834,0.6931800759921316,0,0.19555716741692625,coronatimes,female,32,6,b,22,55.69120713500888,12,0.7038004269998055,42,22,54.987406708009075,majority,180,-2.6629506580065936,image_stim_n.png,51.263060570010566,neg,Monday,faceWord_exp,4,52.32445605000248,4.95,336
61.99415574000159,62.99541587600834,0.6944995169906178,1,-1.7974288604529352,coronatimes,female,31,7,b,22,68.32953283200914,11,0.7028002800070681,42,21,67.62673255200207,bonfire,336,-5.278957315997104,image_stim_p.png,61.29965622301097,pos,Monday,faceWord_exp,4,62.34777523600496,6.53,180
72.0324897649989,73.03358028001094,0.6955309579934692,1,0.060511318752979076,coronatimes,female,32,8,y,22,78.43498336900666,12,0.770163274006336,42,22,77.66482009500032,pig,336,-5.128676868000184,image_stim_n.png,71.33695880700543,neg,Monday,faceWord_exp,4,72.53614322700014,4.83,180
82.13705150299938,83.13807766600803,0.692614933999721,1,-0.9031069202434168,coronatimes,female,41,9,b,22,88.47362739501114,13,0.7013286660076119,42,21,87.77229872900352,boy,336,-5.295921226992505,image_stim_p.png,81.44443656899966,neu,Monday,faceWord_exp,4,82.47637750201102,5.84,180
92.1750883400091,93.17646944599983,0.6953542970004492,1,-1.2094761189992442,coronatimes,female,31,10,b,22,95.91049786400981,11,0.703625114998431,42,21,95.20687274901138,parent,180,-1.9274679830123205,image_stim_p.png,91.47973404300865,pos,Monday,faceWord_exp,4,93.27940476599906,6.73,336
