duration_frames,offset_img,duration_measured_img,word_score_pc,no,session,correct_resp,key_t,response,onset_img,rt,delay_frames_before,scan day,duration_measured_word,ID,word_score_warriner,delay_frames_after,condition,age,img_trigger,gender,pause_trigger,word,pause_trigger_t,onset_word,offset_word,img,word_label,word_trigger
42,8.107752323005116,0.7070244350034045,3.2726955917764444,1,6,1,6.394099365003058,y,7.400727888001711,-1.0066285229986534,336,Monday,0.7000861340056872,001,2.79,180,faceWord_exp,20,22,female,32,gunshot,2.7231554619938834,1.02232804299274,1.7224141769984271,image_stim_n.png,neg,12
42,18.142911337999976,0.7058225079963449,-1.1380831950062478,2,6,1,18.045308200002182,b,17.43708883000363,0.608219369998551,336,Monday,0.6930223850067705,001,7.0,180,faceWord_exp,20,21,female,31,pumpkin,12.808510392002063,11.114668797992636,11.807691182999406,image_stim_p.png,pos,11
42,25.56060898999567,0.6914108990022214,0.7240429444440241,3,6,1,25.414066518991604,y,24.86919809099345,0.5448684279981535,180,Monday,0.694296118002967,001,4.55,336,faceWord_exp,20,22,female,32,law,22.84380432299804,21.148416283002007,21.842712401004974,image_stim_n.png,neg,12
42,38.17924148699967,0.6912000300071668,2.6698720582687456,4,6,1,37.783262520999415,y,37.488041456992505,0.29522106400690973,336,Monday,0.6926968190091429,001,2.86,180,faceWord_exp,20,22,female,32,fee,32.86278599599609,31.16797946099541,31.860676280004554,image_stim_n.png,neg,12
42,48.19777135699405,0.6932928659953177,-1.87678309604286,5,6,1,47.9664648570033,b,47.504478490998736,0.46198636600456666,336,Monday,0.6951265509997029,001,6.73,180,faceWord_exp,20,21,female,31,read,42.88031730700459,41.18421985399618,41.879346404995886,image_stim_p.png,pos,11
42,55.615590977991815,0.6916829189867713,4.494524106175375,6,6,1,55.602238174004015,y,54.92390805900504,0.6783301149989711,180,Monday,0.6950946060096612,001,2.07,336,faceWord_exp,20,22,female,32,funeral,52.898954221003805,51.203210506995674,51.898305113005335,image_stim_n.png,neg,12
42,65.63347520900425,0.6905506990005961,3.7741942061665816,7,6,1,65.33692923600029,y,64.94292451000365,0.3940047259966377,180,Monday,0.6957643700006884,001,2.53,336,faceWord_exp,20,22,female,32,lost,62.91661548799311,61.22046810000029,61.91623247000098,image_stim_n.png,neg,12
42,78.25224389799405,0.6913024179957574,0.06851316647377265,8,6,1,78.10445234700455,y,77.56094147999829,0.5435108670062618,336,Monday,0.6956844520027516,001,5.24,180,faceWord_exp,20,22,female,42,analogy,72.93509467400145,71.23815274999652,71.93383720199927,image_stim_n.png,neu,13
42,85.67085551199852,0.6918116019951412,-1.0219663684796234,9,6,1,85.40582142399217,b,84.97904391000338,0.4267775139887817,180,Monday,0.6935687840013998,001,6.61,336,faceWord_exp,20,21,female,31,camera,82.95286018699699,81.25875761099451,81.95232639499591,image_stim_p.png,pos,11
42,98.28952773999481,0.6923215229908237,-0.441124933220443,10,6,1,91.67458402299962,y,97.59720621700399,-5.9226221940043615,336,Monday,0.6948985679919133,001,5.05,180,faceWord_exp,20,22,female,42,bugle,92.97158032999141,91.27618061700196,91.97107918499387,image_stim_n.png,neu,13
