onset_img,ID,response,delay_frames_before,word_score_warriner,condition,word_label,duration_frames,img_trigger,age,pause_trigger,word_trigger,word,gender,key_t,pause_trigger_t,no,session,duration_measured_word,img,offset_word,rt,word_score_pc,scan day,onset_word,offset_img,duration_measured_img,delay_frames_after,correct_resp
3.927731899995706,12345,b,120,6.81,faceWord_exp,pos,42,21,22,31,11,tangerine,female,4.242440399997577,2.758645499998238,1,5,0.7066617000018596,image_stim_p.png,1.760554599997704,0.31470850000187056,-1.178487968131687,Monday,1.0538928999958443,4.60632970000006,0.6785978000043542,60,1
8.479813499994634,12345,b,120,7.64,faceWord_exp,pos,42,21,22,31,11,spring,female,8.937167999996745,7.320788899996842,2,5,0.6895306999940658,image_stim_p.png,6.322477099995012,0.4573545000021113,-2.625984580876632,Monday,5.632946400000947,9.16947010000149,0.689656600006856,60,1
11.99186760000157,12345,y,60,5.79,faceWord_exp,neu,42,22,22,42,13,carrot,female,12.517852699995274,7.320788899996842,3,5,0.6938205000042217,image_stim_n.png,10.885534900000494,0.5259850999937044,-0.32385553549685003,Monday,10.191714399996272,12.68428689999564,0.6924192999940715,120,1
16.43779679999716,12345,y,60,5.43,faceWord_exp,neu,42,22,22,42,13,editor,female,16.932680400001118,7.320788899996842,4,5,0.6913805000003777,image_stim_n.png,15.381482799995865,0.49488360000395915,0.14106522732466809,Monday,14.690102299995488,17.13070479999442,0.69290799999726,120,1
20.905716099994606,12345,b,60,6.65,faceWord_exp,pos,42,21,22,31,11,penguin,female,21.410406999995757,7.320788899996842,5,5,0.6828801000010571,image_stim_p.png,19.826621599997452,0.504690900001151,-1.2194148821621404,Monday,19.143741499996395,21.592788099995232,0.6870720000006258,120,1
25.377199099995778,12345,b,60,7.05,faceWord_exp,pos,42,21,22,31,11,book,female,25.674503199996252,7.320788899996842,6,5,0.6893070000005537,image_stim_p.png,24.30585599999904,0.29730410000047414,-1.1429809241505904,Monday,23.616548999998486,26.07112159999815,0.6939225000023725,120,1
29.811496700000134,12345,y,60,2.82,faceWord_exp,neg,42,22,22,32,12,whine,female,30.37203849999787,7.320788899996842,7,5,0.6840244999984861,image_stim_n.png,28.770132300000114,0.5605417999977362,3.0668244091236065,Monday,28.086107800001628,30.501729600000544,0.6902329000004102,120,1
34.25177160000021,12345,y,60,5.38,faceWord_exp,neu,42,22,22,42,13,clue,female,34.782984400000714,7.320788899996842,8,5,0.6903361000004224,image_stim_n.png,33.19994839999708,0.5312128000005032,0.07992973296861662,Monday,32.50961229999666,34.93003079999471,0.6782591999944998,120,1
39.702564399995026,12345,b,120,6.56,faceWord_exp,pos,42,21,22,31,11,tea,female,40.11152299999958,38.630821200000355,9,5,0.6915201000010711,image_stim_p.png,37.62983169999643,0.40895860000455286,-1.410303556989907,Monday,36.93831159999536,40.39465729999938,0.6920929000043543,60,1
43.164097000000766,12345,y,60,3.9,faceWord_exp,neg,42,22,22,32,12,ant,female,43.6606066999957,38.630821200000355,10,5,0.696069500001613,image_stim_n.png,42.109161599997606,0.496509699994931,1.5300907112092572,Monday,41.41309209999599,43.85760179999488,0.6935047999941162,120,1
47.6301719999974,12345,b,60,6.41,faceWord_exp,pos,42,21,22,31,11,morning,female,48.10737379999773,38.630821200000355,11,5,0.6809049000003142,image_stim_p.png,46.555369699999574,0.47720180000032997,-1.211925852261804,Monday,45.87446479999926,48.320494799998414,0.6903228000010131,120,1
53.114360799998394,12345,y,120,2.58,faceWord_exp,neg,42,22,22,32,12,jealousy,female,53.40140809999866,52.035393499994825,12,5,0.6911201999973855,image_stim_n.png,51.03527889999532,0.28704730000026757,3.693241029119933,Monday,50.344158699997934,53.79763919999823,0.6832783999998355,60,1
56.56705890000012,12345,b,60,8.0,faceWord_exp,pos,42,21,22,31,11,peaceful,female,56.98330229999556,52.035393499994825,13,5,0.6882364000048256,image_stim_p.png,55.49751649999962,0.41624339999543736,-2.641671297166366,Monday,54.809280099994794,57.245630799996434,0.6785718999963137,120,1
60.99280290000024,12345,y,60,3.5,faceWord_exp,neg,42,22,22,32,12,screech,female,61.4129912999997,52.035393499994825,14,5,0.6807036999962293,image_stim_n.png,59.944183599996904,0.42018839999946067,2.424733943851676,Monday,59.263479900000675,61.67561919999571,0.6828162999954657,120,1
66.4567509999979,12345,b,120,7.12,faceWord_exp,pos,42,21,22,31,11,applause,female,66.7748059000005,65.37410149999778,15,5,0.6814519000035943,image_stim_p.png,64.37399649999861,0.3180549000026076,-2.3591802685249372,Monday,63.69254459999502,67.13780559999577,0.6810545999978785,60,1
69.90691379999771,12345,b,60,5.28,faceWord_exp,neu,42,21,22,41,13,ticket,female,70.3042432000002,65.37410149999778,16,5,0.68978110000171,image_stim_p.png,68.8366623999973,0.39732940000249073,-0.7502239645266248,Monday,68.14688129999558,70.58516719999898,0.6782534000012674,120,1
74.35091219999595,12345,y,60,5.61,faceWord_exp,neu,42,22,22,42,13,mushroom,female,74.81583859999955,65.37410149999778,17,5,0.6926870999959647,image_stim_n.png,73.28386179999507,0.4649264000036055,0.08756588783899029,Monday,72.5911746999991,75.03142799999478,0.6805157999988296,120,1
78.77634810000018,12345,y,60,5.56,faceWord_exp,neu,42,22,22,42,13,desk,female,79.42890410000109,65.37410149999778,18,5,0.6914865999933681,image_stim_n.png,77.72920099999465,0.6525560000009136,0.16108323717668446,Monday,77.03771440000128,79.46204279999802,0.685694699997839,120,1
84.26044320000074,12345,y,120,3.71,faceWord_exp,neg,42,22,22,32,12,ambulance,female,84.57414539999445,83.17749789999652,19,5,0.6888937000039732,image_stim_n.png,82.17653599999903,0.3137021999937133,2.2468136409924253,Monday,81.48764229999506,84.93990499999927,0.6794617999985348,60,1
