ID,pause_trigger,word_score_warriner,rt,offset_img,word,delay_frames_after,correct_resp,scan day,onset_word,key_t,no,duration_measured_word,delay_frames_before,age,session,word_score_pc,word_trigger,onset_img,word_label,gender,response,img_trigger,condition,pause_trigger_t,offset_word,img,duration_measured_img,duration_frames
HSS,42,5.42,-2.519402000005357,5.426933599985205,man,336,0,Wednesday,0.988071900093928,2.230062899994664,1,0.6893342999974266,180,22,1,-0.277657621999038,13,4.749464900000021,neu,female,b,22,faceWord_exp,2.6789437000406906,1.6774062000913545,image_stim_n.png,0.6774686999851838,42
HSS,32,4.73,-2.677283799974248,15.49322220007889,commander,336,1,Wednesday,11.032664500060491,12.128598000039347,2,0.6943682000273839,180,22,1,0.98843671158419,12,14.805881800013594,neg,female,y,22,faceWord_exp,12.727956400020048,11.727032700087875,image_stim_n.png,0.6873404000652954,42
HSS,42,5.16,-1.6065226000500843,25.508765900041908,truck,336,0,Wednesday,21.101730499998666,23.2262140000239,3,0.6914190000388771,180,22,1,-0.5907285556577869,13,24.832736600073986,neu,female,b,22,faceWord_exp,22.795153700048104,21.793149500037543,image_stim_n.png,0.6760292999679223,42
HSS,31,7.25,-2.7649049001047388,35.524064299999736,garden,336,1,Wednesday,31.11303680005949,32.07771009998396,4,0.6951601000037044,180,22,1,-2.3673221107876317,11,34.8426150000887,pos,female,b,21,faceWord_exp,32.809978700010106,31.808196900063194,image_stim_p.png,0.6814492999110371,42
HSS,32,4.23,-2.7873098000418395,45.52333120000549,alligator,336,1,Wednesday,41.12802050006576,42.05768219998572,5,0.6957362999673933,180,22,1,1.9014187675556817,12,44.84499200002756,neg,female,y,22,faceWord_exp,42.82348390005063,41.82375680003315,image_stim_n.png,0.6783391999779269,42
HSS,31,7.05,-3.0394500999245793,55.605176700046286,lemonade,336,1,Wednesday,51.12623320007697,51.874426200054586,6,0.6987981999991462,180,22,1,-2.146343780688921,11,54.913876299979165,pos,female,b,21,faceWord_exp,52.82260650000535,51.825031400076114,image_stim_p.png,0.6913004000671208,42
HSS,41,5.26,-4.911005200003274,68.27000020002015,corkscrew,180,1,Wednesday,61.20999690005556,62.674242899985984,7,0.6942813999485224,336,22,1,-0.3369766028281135,13,67.58524809998926,neu,female,b,21,faceWord_exp,62.90550079999957,61.90427830000408,image_stim_p.png,0.6847521000308916,42
HSS,31,7.13,0.7110086000757292,78.35184510005638,lake,180,1,Wednesday,71.27391530002933,78.36987070005853,8,0.6939166999654844,336,22,1,-1.5151286486205269,11,77.6588620999828,pos,female,b,21,faceWord_exp,72.97208440001123,71.96783199999481,image_stim_p.png,0.6929830000735819,42
HSS,42,5.67,-2.8201308000134304,85.75156650005374,beer,336,0,Wednesday,81.3574474999914,82.25432970002294,9,0.6936593001009896,180,22,1,-0.9222259722889368,13,85.07446050003637,neu,female,b,22,faceWord_exp,83.05386730004102,82.05110680009238,image_stim_n.png,0.6771060000173748,42
HSS,31,6.9,-2.9708653000416234,95.7487611999968,pineapple,336,1,Wednesday,91.35526530002244,92.10287659999449,10,0.6948350999737158,180,22,1,-1.6708771386143015,11,95.07374190003611,pos,female,b,21,faceWord_exp,93.05091650004033,92.05010039999615,image_stim_p.png,0.6750192999606952,42
