age,session,ID,word_trigger,gender,pause_trigger,condition,no,word_score_pc,rt,word_score_warriner,onset_img,onset_word,duration_measured_img,word,word_label,delay_frames_before,delay_frames_after,pause_trigger_t,key_t,img,response,img_trigger,correct_resp,scan day,offset_word,duration_frames,offset_img,duration_measured_word
24,2,clem,12,male,32,faceWord_exp,1,0.2032181950076048,0.45447440003044903,4.57,4.733772100007627,0.982482900028117,0.6706152000115253,lab,neg,180,336,2.672183800023049,5.188246500038076,image_stim_n.png,y,22,1,Monday,1.6719765000161715,42,5.4043873000191525,0.6894935999880545
24,2,clem,13,male,42,faceWord_exp,2,0.650019808676411,0.44873499998357147,5.19,17.369791900040582,11.008150900015607,0.6815029999706894,highway,neu,336,180,12.702887700055726,17.818526900024153,image_stim_n.png,y,22,1,Monday,11.70285950001562,42,18.05129490001127,0.6947086000000127
24,2,clem,11,male,31,faceWord_exp,3,-2.0702836690965865,0.44170279998797923,6.95,27.37437100004172,21.055248900025617,0.6745130000053905,restaurant,pos,336,180,22.750626300054137,27.8160738000297,image_stim_p.png,b,21,1,Monday,21.75036820000969,42,28.04888400004711,0.6951192999840714
24,2,clem,13,male,42,faceWord_exp,4,-0.6680004122251881,0.31234990002121776,5.82,37.3847188000218,31.051552700053435,0.678365700005088,monkey,neu,336,180,32.74813990003895,37.69706870004302,image_stim_n.png,b,22,0,Monday,31.747995500045363,42,38.06308450002689,0.696442799991928
24,2,clem,13,male,41,faceWord_exp,5,0.3296196251321362,0.5376081999856979,5.15,47.37359060003655,41.06504790001782,0.6871166999917477,pan,neu,336,180,42.76236530003371,47.91119880002225,image_stim_p.png,b,21,1,Monday,41.76224520005053,42,48.0607073000283,0.6971973000327125
24,2,clem,11,male,31,faceWord_exp,6,-2.4114282062334524,0.5996693000197411,6.48,57.375729400024284,51.06484940001974,0.6825218999874778,carnival,pos,336,180,52.759934600035194,57.975398700044025,image_stim_p.png,b,21,1,Monday,51.75978070002748,42,58.05825130001176,0.6949313000077382
24,2,clem,12,male,32,faceWord_exp,7,2.351878020671037,0.532689500018023,4.29,67.39044290001038,61.059803600015584,0.6819547000341117,tired,neg,336,180,62.75738280004589,67.92313240002841,image_stim_n.png,y,22,1,Monday,61.75734430004377,42,68.0723976000445,0.6975407000281848
24,2,clem,13,male,42,faceWord_exp,8,-0.06058349899147484,0.50392180000199,5.48,77.38334980001673,71.0738819000544,0.6866201999946497,business,neu,336,180,72.7716867000563,77.88727160001872,image_stim_n.png,y,22,1,Monday,71.77157590002753,42,78.06997000001138,0.6976939999731258
24,2,clem,13,male,41,faceWord_exp,9,-0.5451009915059291,0.49568960000760853,5.8,84.78984710003715,81.07159460004186,0.6783376999665052,toaster,neu,180,336,82.76924240001244,85.28553670004476,image_stim_p.png,b,21,1,Monday,81.76913130003959,42,85.46818480000366,0.6975366999977268
24,2,clem,12,male,32,faceWord_exp,10,3.4296451702105397,0.47218669997528195,2.53,94.8274200000451,91.06899600004544,0.6716886999784037,angry,neg,180,336,92.76677190000191,95.29960670002038,image_stim_n.png,y,22,1,Monday,91.76662920002127,42,95.4991087000235,0.6976331999758258
24,2,clem,11,male,31,faceWord_exp,11,-2.5746228757417584,0.4261410000035539,7.1,104.83779200003482,101.10050610004691,0.6755144000053406,barbecue,pos,180,336,102.79767280002125,105.26393300003838,image_stim_p.png,b,21,1,Monday,101.79755550000118,42,105.51330640004016,0.6970493999542668
24,2,clem,11,male,31,faceWord_exp,12,-1.8879163634684628,0.7692775999894366,7.88,114.82545370003209,111.11531430005562,0.6854808999923989,joke,pos,180,336,112.81184110004688,115.59473130002152,image_stim_p.png,b,21,1,Monday,111.81183790002251,42,115.51093460002448,0.6965235999668948
24,2,clem,13,male,41,faceWord_exp,13,0.3495373155897487,0.5108399000018835,5.5,124.8648041000124,121.1121250000433,0.6769888999988325,winter,neu,180,336,122.80949090002105,125.37564400001429,image_stim_p.png,b,21,1,Monday,121.80935760005377,42,125.54179300001124,0.6972326000104658
24,2,clem,11,male,31,faceWord_exp,14,-1.7608811602119443,0.21491209999658167,7.5,134.87519520003116,131.14244960003998,0.6807796999928541,summer,pos,180,336,132.84040890005417,135.09010730002774,image_stim_p.png,b,21,1,Monday,131.84022040001582,42,135.555974900024,0.6977707999758422
24,2,clem,11,male,31,faceWord_exp,15,-1.2978987804410356,0.48827729996992275,6.76,144.8658478000434,141.15688170003705,0.6877371000009589,artist,pos,180,336,142.85450880002463,145.35412510001333,image_stim_p.png,b,21,1,Monday,141.8545115000452,42,145.55358490004437,0.6976298000081442
24,2,clem,13,male,41,faceWord_exp,16,-0.8400509032218062,0.4056723000248894,5.94,157.51202620001277,151.1544741000398,0.6717556000221521,store,neu,336,180,152.8520784000284,157.91769850003766,image_stim_p.png,b,21,1,Monday,151.8519721000339,42,158.18378180003492,0.6974979999940842
24,2,clem,12,male,32,faceWord_exp,17,2.483224745184551,0.49991959996987134,3.57,167.51529340003617,161.18514100002358,0.6827515999902971,cough,neg,336,180,162.8829468000331,168.01521300000604,image_stim_n.png,y,22,1,Monday,161.88286240003072,42,168.19804500002647,0.6977214000071399
24,2,clem,13,male,41,faceWord_exp,18,-0.18776275500974607,0.42759839998325333,5.62,174.91913040005602,171.19981910003116,0.6771060999599285,speech,neu,180,336,172.8972375000012,175.34672880003927,image_stim_p.png,b,21,1,Monday,171.89714920002734,42,175.59623650001595,0.6973300999961793
