pause_trigger,duration_measured_img,age,response,pause_trigger_t,ID,img,offset_word,word_score_pc,scan day,rt,correct_resp,duration_frames,session,delay_frames_after,onset_img,word_score_warriner,gender,offset_img,no,delay_frames_before,word_trigger,onset_word,img_trigger,word_label,word,condition,duration_measured_word,key_t
32,0.6730920999543741,24,y,102.7518252999871,clem,image_stim_n.png,101.75166110001737,2.3068979902815,Monday,0.3904136999626644,1,42,3,336,104.77769830002217,3.28,male,105.45079039997654,11,180,12,101.05417219997616,22,neg,trial,faceWord_exp,0.6974889000412077,105.16811199998483
31,0.6717503999825567,24,y,112.7493787999847,clem,image_stim_p.png,111.74929840001278,-1.9950971558262764,Monday,0.37241230002837256,0,42,3,180,117.39263309998205,7.0,male,118.0643834999646,12,336,11,111.05191480001668,21,pos,park,faceWord_exp,0.6973835999961011,117.76504540001042
31,0.685519699996803,24,b,122.76361429999815,clem,image_stim_p.png,121.76349719997961,-2.2287379941341,Monday,0.48602980002760887,1,42,3,180,127.40976319997571,7.48,male,128.09528289997252,13,336,11,121.06604010000592,21,pos,hope,faceWord_exp,0.6974570999736898,127.89579300000332
31,0.6845908000250347,24,b,132.79397200001404,clem,image_stim_p.png,131.7943637999706,-1.6804307003665144,Monday,0.5018187999958172,1,42,3,336,134.80886659998214,6.29,male,135.49345740000717,14,180,11,131.097423899977,21,pos,flute,faceWord_exp,0.6969398999935947,135.31068539997796
31,0.6859480999992229,24,b,142.79205970000476,clem,image_stim_p.png,141.79184959997656,-1.2474567486001964,Monday,0.31983229995239526,1,42,3,180,147.45447200001217,6.71,male,148.1404201000114,15,336,11,141.0942550000036,21,pos,advantage,faceWord_exp,0.6975945999729447,147.77430429996457
41,0.6847813000204042,24,b,152.8396064999979,clem,image_stim_p.png,151.8395250000176,-0.6884171372613734,Monday,0.4518330999999307,1,42,3,180,157.45322419999866,5.95,male,158.13800550001906,16,336,13,151.14128520002123,21,neu,egg,faceWord_exp,0.6982397999963723,157.9050572999986
31,0.6823193999589421,24,b,162.83722380001564,clem,image_stim_p.png,161.8370855000103,-2.0727743906520253,Monday,0.4327958999783732,1,42,3,336,164.87047740002163,6.26,male,165.55279679998057,17,180,11,161.13919409998925,21,pos,fountain,faceWord_exp,0.6978914000210352,165.3032733
42,0.6776282000355422,24,b,172.85143839998636,clem,image_stim_n.png,171.8513006999856,0.6016604903777263,Monday,0.4119367000530474,0,42,3,336,174.87278619996505,5.24,male,175.5504144000006,18,180,13,171.15291439997964,22,neu,toe,faceWord_exp,0.69838630000595,175.2847229000181
42,0.677861700009089,24,y,182.84893380000722,clem,image_stim_n.png,181.8488508000155,0.2046331385026182,Monday,0.4117714000167325,1,42,3,180,187.46940810000524,5.48,male,188.14726980001433,19,336,13,181.1510104999761,22,neu,glass,faceWord_exp,0.6978403000393882,187.88117950002197
42,0.6792660999926738,24,y,192.8465717000072,clem,image_stim_n.png,191.84642660000827,-1.0048841857254538,Monday,0.463096100022085,1,42,3,336,194.8662925999961,5.89,male,195.54555869998876,20,180,13,191.14803549996577,22,neu,gum,faceWord_exp,0.6983911000424996,195.32938870001817
