pause_trigger_t,ID,response,scan day,word_trigger,correct_resp,word_score_warriner,no,onset_word,img_trigger,session,gender,onset_img,condition,word,delay_frames_after,word_label,pause_trigger,rt,img,duration_measured_word,key_t,age,offset_img,duration_frames,delay_frames_before,duration_measured_img,offset_word,word_score_pc
2.6919658000115305,4,b,Monday,12,0,4.83,1,1.000191300001461,22,4,female,7.36199810000835,faceWord_exp,pig,180,neg,32,-4.352366999955848,image_stim_n.png,0.6903745000017807,3.009631100052502,22,8.039954800042324,42,336,0.6779567000339739,1.6905658000032417,0.060511318752979076
12.738916100002825,4,b,Monday,11,1,7.27,2,11.058548300003167,21,4,female,14.795913100009784,faceWord_exp,honey,336,pos,31,-2.8883188999607228,image_stim_p.png,0.6796256000525318,11.907594200049061,22,15.472396900004242,42,180,0.6764837999944575,11.738173900055699,-2.066768843681998
22.771104900049977,4,b,Monday,11,1,6.15,3,21.07656150002731,21,4,female,24.78966860001674,faceWord_exp,choir,336,pos,31,-2.7998116000089794,image_stim_p.png,0.6940225000143982,21.98985700000776,22,25.469728200056124,42,180,0.6800596000393853,21.77058400004171,-1.883093263099396
32.77116310002748,4,b,Monday,13,0,5.84,4,31.082691900024656,22,4,female,37.409391200053506,faceWord_exp,boy,180,neu,42,-5.7027992000221275,image_stim_n.png,0.6865121999871917,31.706592000031378,22,38.08719210000709,42,336,0.6778008999535814,31.769204100011848,-0.9031069202434168
42.786063500039745,4,b,Monday,13,1,5.83,5,41.104371900029946,21,4,female,47.41857080004411,faceWord_exp,scientist,180,neu,41,-5.49795680004172,image_stim_p.png,0.6800632000085898,41.92061400000239,22,48.10185510001611,42,336,0.6832842999720015,41.784435100038536,-0.5273916336755435
52.80099300004076,4,y,Monday,12,1,2.55,6,51.11303870001575,22,4,female,54.83181460003834,faceWord_exp,accident,336,neg,32,-2.093562100024428,image_stim_n.png,0.6869270000024699,52.738252500013914,22,55.51702300005127,42,180,0.6852084000129253,51.79996570001822,3.9974740190684885
62.81530420004856,4,b,Monday,11,1,6.32,7,61.131293200014625,21,4,female,67.44375660002697,faceWord_exp,harmonica,180,pos,31,-4.6951599000021815,image_stim_p.png,0.6837868000147864,62.74859670002479,22,68.13200410001446,42,336,0.688247499987483,61.81508000002941,-1.3206920491180312
72.83169190003537,4,y,Monday,12,1,3.36,8,71.13691440003458,22,4,female,74.84948540001642,faceWord_exp,expensive,336,neg,32,-2.5509469999815337,image_stim_n.png,0.6942516000126489,72.29853840003489,22,75.53121260000626,42,180,0.6817271999898367,71.83116600004723,-0.3663992490442602
82.83131090004463,4,b,Monday,13,1,5.95,9,81.14187600003788,21,4,female,87.46632460004184,faceWord_exp,elevator,180,neu,41,-5.201036699989345,image_stim_p.png,0.6873384999926202,82.2652879000525,22,88.14702010003384,42,336,0.6806954999919981,81.8292145000305,0.1872293205875
92.84704560000682,4,b,Monday,12,0,4.03,10,91.14844020002056,22,4,female,94.91462150000734,faceWord_exp,snake,336,neg,32,-2.5340945000061765,image_stim_n.png,0.6973281999817118,92.38052700000117,22,95.59518980002031,42,180,0.6805683000129648,91.84576840000227,1.95458394600482
