correct_resp,offset_word,age,word_score_pc,delay_frames_before,key_t,img_trigger,duration_measured_word,duration_frames,word_label,onset_img,no,session,img,offset_img,word_score_warriner,condition,rt,pause_trigger,gender,ID,response,duration_measured_img,word_trigger,onset_word,pause_trigger_t,delay_frames_after,scan day,word
1,1.6698003999772482,24,3.668156535681199,336,7.73538779997034,22,0.6888647999730892,42,neg,7.325525899999775,1,4,image_stim_n.png,8.00149919994874,3.52,faceWord_exp,0.409861899970565,32,male,clem,y,0.6759732999489643,12,0.9809356000041589,2.669941200001631,180,Monday,battle
1,11.700573199952487,24,-1.6859102219357711,336,17.649693699961063,21,0.6962045999825932,42,pos,17.35030219994951,2,4,image_stim_p.png,18.032394099980593,6.42,faceWord_exp,0.2993915000115521,31,male,clem,b,0.6820919000310823,11,11.004368599969894,12.700650199956726,180,Monday,truce
1,21.731462499999907,24,2.7422742606943906,180,25.197773199994117,22,0.6962335000280291,42,neg,24.75618409999879,3,4,image_stim_n.png,25.430645799962804,4.0,faceWord_exp,0.44158909999532625,32,male,clem,y,0.674461699964013,12,21.035228999971878,22.731596699974034,336,Monday,fallacy
1,31.729059699981008,24,-0.10198134801944247,336,37.62804250000045,22,0.696486399974674,42,neg,37.3456567999674,4,4,image_stim_n.png,38.02749720000429,4.16,faceWord_exp,0.2823857000330463,32,male,clem,y,0.6818404000368901,12,31.032573300006334,32.72912400000496,180,Monday,saw
1,41.72654629999306,24,-0.05436507667908295,180,45.32629040000029,22,0.6965310000232421,42,neu,44.73793659999501,5,4,image_stim_n.png,45.42566009995062,5.59,faceWord_exp,0.5883538000052795,42,male,clem,y,0.6877234999556094,13,41.03001529996982,42.72668389999308,336,Monday,mouth
1,51.724168799992185,24,-1.2316584124512135,336,57.70738099998562,21,0.6957331000012346,42,pos,57.39221059996635,6,4,image_stim_p.png,58.072612899995875,6.35,faceWord_exp,0.31517040001926944,31,male,clem,b,0.6804023000295274,11,51.02843569999095,52.72432869998738,180,Monday,banjo
1,61.771684399980586,24,2.8314410724962364,180,65.10478199995123,22,0.6968674000236206,42,neg,64.81207200000063,7,4,image_stim_n.png,65.4874584999634,3.57,faceWord_exp,0.29270999995060265,32,male,clem,y,0.6753864999627694,12,61.074816999956965,62.77189739997266,336,Monday,denial
1,71.78592479997315,24,-0.7774272008663468,180,75.23574049997842,22,0.6977718999842182,42,neu,74.80621069995686,8,4,image_stim_n.png,75.48499889997765,5.43,faceWord_exp,0.4295298000215553,42,male,clem,y,0.6787882000207901,13,71.08815289998893,72.78601809998509,336,Monday,theme
0,81.7834721999825,24,0.42679466080263373,336,87.71583810000448,22,0.696472099982202,42,neg,87.4376414999715,9,4,image_stim_n.png,88.11528179998277,4.75,faceWord_exp,0.2781966000329703,32,male,clem,b,0.6776403000112623,12,81.0870001000003,82.78364859998692,180,Monday,zone
1,91.81439829996089,24,-2.8305869761860607,180,95.51398180000251,21,0.6967301999684423,42,pos,94.83229509997182,10,4,image_stim_p.png,95.51346809999086,6.67,faceWord_exp,0.6816867000306956,31,male,clem,b,0.6811730000190437,11,91.11766809999244,92.8144737999537,336,Monday,gratitude
1,101.81199199997354,24,3.803034067475641,180,105.14486419997411,22,0.6979478999855928,42,neg,104.84608449996449,11,4,image_stim_n.png,105.52767379995203,2.76,faceWord_exp,0.29877970000961795,32,male,clem,y,0.6815892999875359,12,101.11404409998795,102.81201379996492,336,Monday,flood
1,111.82614540000213,24,0.4398740830446768,336,117.92509189998964,22,0.6983736000256613,42,neu,117.49166729999706,12,4,image_stim_n.png,118.17452359996969,5.89,faceWord_exp,0.433424599992577,42,male,clem,y,0.6828562999726273,13,111.12777179997647,112.82623329997296,180,Monday,hall
1,121.87372129998403,24,3.1835494020570807,336,127.87320939998608,22,0.6963039999827743,42,neg,127.48801479995018,13,4,image_stim_n.png,128.17217320000054,3.17,faceWord_exp,0.3851946000359021,32,male,clem,y,0.6841584000503644,12,121.17741730000125,122.87386900000274,180,Monday,explosion
1,131.87127319996944,24,-0.6996261236875504,180,135.5209862999618,21,0.69821200001752,42,neu,134.88753099995665,14,4,image_stim_p.png,135.5703741000034,5.67,faceWord_exp,0.6334553000051528,41,male,clem,b,0.682843100046739,13,131.17306119995192,132.8713394999504,336,Monday,bell
1,141.86885569995502,24,-2.30162279277581,180,145.26838889997452,21,0.6979447999619879,42,pos,144.89290649996838,15,4,image_stim_p.png,145.5678889999981,7.05,faceWord_exp,0.37548240000614896,31,male,clem,b,0.6749825000297278,11,141.17091089999303,142.8688655999722,336,Monday,heroism
1,151.86639869998908,24,0.12602488928311428,336,157.94903939997312,21,0.6975843000109307,42,neu,157.5015634999727,16,4,image_stim_p.png,158.18145659996662,5.1,faceWord_exp,0.4474759000004269,41,male,clem,b,0.679893099993933,13,151.16881439997815,152.86649759998545,180,Monday,shoulder
1,161.8807079999824,24,-1.2094761189992442,336,167.8132040000055,21,0.6978514000074938,42,pos,167.51669269998092,17,4,image_stim_p.png,168.19575109996367,6.73,faceWord_exp,0.2965113000245765,31,male,clem,b,0.6790583999827504,11,161.1828565999749,162.8806681999704,180,Monday,parent
0,171.89481359999627,24,0.060511318752979076,336,177.91052599996328,22,0.6984028000151739,42,neg,177.5080817999551,18,4,image_stim_n.png,178.19331810000585,4.83,faceWord_exp,0.40244420000817627,32,male,clem,b,0.6852363000507466,12,171.1964107999811,172.89493700000457,180,Monday,pig
1,181.89243589999387,24,0.19555716741692625,180,185.2254566999618,22,0.697820600005798,42,neg,184.90514709998388,19,4,image_stim_n.png,185.59149999998044,4.95,faceWord_exp,0.32030959997791797,32,male,clem,y,0.6863528999965638,12,181.19461529998807,182.8925400999724,336,Monday,majority
1,191.89002079999773,24,2.0765857872261098,180,195.3230021999916,22,0.6978328000404872,42,neg,194.9025835999637,20,4,image_stim_n.png,195.5890305999783,3.52,faceWord_exp,0.4204186000279151,32,male,clem,y,0.6864470000145957,12,191.19218799995724,192.89009439997608,336,Monday,court
1,201.88752459996613,24,0.18094025084207666,336,207.90382009994937,21,0.6977199999964796,42,neu,207.54216939996695,21,4,image_stim_p.png,208.21936489996733,5.3,faceWord_exp,0.3616506999824196,41,male,clem,b,0.67719550000038,13,201.18980459996965,202.88766369997757,180,Monday,journalist
1,211.91838079999434,24,-1.301667818567906,180,215.41804649995174,21,0.697697399999015,42,pos,214.93122420000145,22,4,image_stim_p.png,215.61750739999115,6.71,faceWord_exp,0.48682229995029047,31,male,clem,b,0.6862831999897026,11,211.22068339999532,212.9184827999561,336,Monday,bicycle
1,221.91596949996892,24,4.5355840269859025,336,227.7484553999966,22,0.6977832000120543,42,neg,227.53411769995,23,4,image_stim_n.png,228.21448369999416,2.53,faceWord_exp,0.2143377000465989,32,male,clem,y,0.6803660000441596,12,221.21818629995687,222.91605850000633,180,Monday,torment
1,231.91355120000662,24,-1.7294291477603156,180,235.29655329999514,21,0.6984154000529088,42,pos,234.925729999959,24,4,image_stim_p.png,235.61263719998533,7.0,faceWord_exp,0.37082330003613606,31,male,clem,b,0.6869072000263259,11,231.2151357999537,232.9136572999996,336,Monday,dog
1,241.91114679997554,24,0.7532200949518182,336,248.0768196999561,22,0.6982618999900296,42,neg,247.54240449995268,25,4,image_stim_n.png,248.22625710000284,4.19,faceWord_exp,0.5344152000034228,32,male,clem,y,0.6838526000501588,12,241.2128848999855,242.91131140000653,180,Monday,loan
1,251.92531469999813,24,1.95458394600482,180,255.34172759996727,22,0.6967859000433236,42,neg,254.9366572999861,26,4,image_stim_n.png,255.62440689996583,4.03,faceWord_exp,0.40507029998116195,32,male,clem,y,0.6877495999797247,12,251.2285287999548,252.92551129998174,336,Monday,snake
0,261.92288929998176,24,0.6669259665908855,336,268.005198800005,21,0.6974886999814771,42,neu,267.5947348999907,27,4,image_stim_p.png,268.2713508000015,5.38,faceWord_exp,0.41046390001429245,41,male,clem,y,0.6766159000108019,13,261.2254006000003,262.9229776999564,180,Monday,businessman
1,271.97044689999893,24,-0.3663992490442602,336,277.8361046999926,22,0.6959527000435628,42,neg,277.5814892000053,28,4,image_stim_n.png,278.26886229997035,3.36,faceWord_exp,0.25461549998726696,32,male,clem,y,0.6873730999650434,12,271.27449419995537,272.97062609996647,180,Monday,expensive
1,281.96804409998003,24,0.37753019343780747,180,285.4342790999799,21,0.6981678000302054,42,neu,284.98054699995555,29,4,image_stim_p.png,285.6671047999989,5.43,faceWord_exp,0.4537321000243537,41,male,clem,b,0.6865578000433743,13,281.26987629994983,282.968097999983,336,Monday,door
1,291.9655541999964,24,0.0196438746392397,180,295.48181839997414,22,0.6978199000004679,42,neu,294.97683709999546,30,4,image_stim_n.png,295.6646671000053,5.95,faceWord_exp,0.5049812999786809,42,male,clem,y,0.6878300000098534,13,291.26773429999594,292.96579309995286,336,Monday,worker
1,301.9631427999702,24,-2.547043884761341,180,305.41275639995,22,0.6978134000091814,42,neu,304.974238099996,31,4,image_stim_n.png,305.6622009999701,5.85,faceWord_exp,0.43851829995401204,42,male,clem,y,0.6879628999740817,13,301.26532939996105,302.96322579996195,336,Monday,circus
1,311.96067810000386,24,-1.426145970237633,336,318.02645770000527,21,0.6982149000396021,42,pos,317.5725848999573,32,4,image_stim_p.png,318.25928299996303,6.26,faceWord_exp,0.45387280004797503,31,male,clem,b,0.6866981000057422,11,311.26246319996426,312.9608510999824,180,Monday,lust
1,321.95823129999917,24,-0.5273916336755435,336,328.2071737999795,21,0.6973203000379726,42,neu,327.58356969995657,33,4,image_stim_p.png,328.25671919999877,5.83,faceWord_exp,0.6236041000229307,41,male,clem,b,0.6731495000422001,13,321.2609109999612,322.95828669995535,180,Monday,scientist
1,331.9558030999615,24,4.2176174504439885,336,337.9048227999592,22,0.6975845999550074,42,neg,337.5661722999648,34,4,image_stim_n.png,338.2542743999511,2.62,faceWord_exp,0.3386504999944009,32,male,clem,y,0.6881020999862812,12,331.2582185000065,332.95597680000355,180,Monday,insult
