offset_img,pause_trigger_t,word_score_warriner,age,onset_word,key_t,ID,session,word_score_pc,condition,word_trigger,onset_img,offset_word,gender,duration_measured_img,pause_trigger,duration_frames,delay_frames_after,word,scan day,rt,word_label,correct_resp,no,delay_frames_before,response,duration_measured_word,img,img_trigger
5.506405873980839,2.7137400680221617,6.67,23,1.0189034870127216,5.6092406989773735,1,4,-2.8305869761860607,faceWord_exp,11,4.809545108990278,1.7148997809854336,female,0.6968607649905607,31,42,336,gratitude,Monday,0.7996955899870954,pos,1,1,180,b,0.695996293972712,image_stim_p.png,21
18.10964557999978,12.789524858002551,5.83,23,11.098784930014517,18.052198192977812,1,4,-0.5273916336755435,faceWord_exp,13,17.408125618007034,11.791343952994794,female,0.7015199619927444,41,42,180,scientist,Monday,0.6440725749707781,neu,1,2,336,b,0.6925590229802765,image_stim_p.png,21
28.11984418501379,22.79932374000782,5.68,23,21.107296267990023,28.022180679021403,1,4,-0.4880378396985329,faceWord_exp,13,27.420390047016554,21.801060421974398,female,0.6994541379972361,42,42,180,chestnut,Monday,0.6017906320048496,neu,1,3,336,y,0.6937641539843753,image_stim_n.png,22
38.12904994899873,32.808985729992855,5.91,23,31.11644883797271,38.03151491301833,1,4,-0.9453395472380092,faceWord_exp,13,37.427894341002684,31.810809793008957,female,0.7011556079960428,41,42,180,team,Monday,0.6036205720156431,neu,1,4,336,b,0.6943609550362453,image_stim_p.png,21
45.52824546798365,42.81863552099094,5.84,23,41.12601582700154,45.449275154969655,1,4,-0.9031069202434168,faceWord_exp,13,44.8415761400247,41.820463126001414,female,0.6866693279589526,41,42,336,boy,Monday,0.6076990149449557,neu,1,5,180,b,0.6944472989998758,image_stim_p.png,21
55.53792091499781,52.811881569970865,3.78,23,51.121672605979256,55.57358536700485,1,4,2.8496222967354625,faceWord_exp,12,54.837143397016916,51.81360972899711,female,0.7007775179808959,32,42,336,empty,Monday,0.7364419699879363,neg,1,6,180,y,0.6919371230178513,image_stim_n.png,22
65.5311421789811,62.821577163995244,6.73,23,61.12828940397594,65.5172719170223,1,4,-1.2094761189992442,faceWord_exp,11,64.84360942902276,61.823401071014814,female,0.6875327499583364,31,42,336,parent,Monday,0.6736624879995361,pos,1,7,180,b,0.6951116670388728,image_stim_p.png,21
75.52433925797231,72.81470430601621,7.3,23,71.12387070502155,75.52940391702577,1,4,-2.411716547027706,faceWord_exp,11,74.8351904170122,71.81648706900887,female,0.6891488409601152,31,42,336,flower,Monday,0.694213500013575,pos,1,8,180,b,0.6926163639873266,image_stim_p.png,21
88.12830247002421,82.80760282598203,5.89,23,81.11446104600327,88.1143485539942,1,4,0.4398740830446768,faceWord_exp,13,87.42533605697099,81.80959862697637,female,0.7029664130532183,42,42,180,hall,Monday,0.6890124970232137,neu,0,9,336,b,0.6951375809730962,image_stim_n.png,22
95.52699713996844,92.81741639401298,4.48,23,91.12490955099929,95.54945837397827,1,4,2.7437052692255306,faceWord_exp,12,94.84020051499829,91.81942234997405,female,0.6867966249701567,32,42,336,stampede,Monday,0.7092578589799814,neg,1,10,180,y,0.6945127989747562,image_stim_n.png,22
108.13084560702555,102.81048473797273,6.35,23,101.11884788400494,108.49920368997846,1,4,-1.2316584124512135,faceWord_exp,11,107.42761701601557,101.81232295802329,female,0.7032285910099745,31,42,180,banjo,Monday,1.0715866739628837,pos,1,11,336,b,0.6934750740183517,image_stim_p.png,21
