word_trigger,delay_frames_before,duration_measured_word,response,duration_frames,gender,onset_word,scan day,delay_frames_after,age,no,img,word_score_pc,duration_measured_img,pause_trigger,ID,session,offset_img,key_t,word,rt,correct_resp,onset_img,offset_word,img_trigger,word_label,word_score_warriner,pause_trigger_t,condition
11,336,0.7017693610032438,k,42,female,1.01528830499592,Wednesday,180,20,1,image_stim_p.png,-2.93465986085152,0.7037765829954878,31,jules,4,8.104443298994738,7.907610787995509,festival,0.5069440719962586,0,7.40066671599925,1.7170576659991639,21,pos,6.84,2.7172501789973467,faceWord_exp
11,180,0.6950919299997622,k,42,female,11.111054146000242,Wednesday,336,20,2,image_stim_p.png,-2.8305869761860607,0.7029315000036149,31,jules,4,15.541276080999523,15.442857301000913,gratitude,0.6045127200050047,0,14.838344580995908,11.806146076000005,21,pos,6.67,12.807329880997713,faceWord_exp
12,336,0.6974724879983114,l,42,female,21.146703637001337,Wednesday,180,20,3,image_stim_n.png,2.7422742606943906,0.7038794129985035,32,jules,4,28.180587803995877,28.199817180000537,fallacy,0.7231087890031631,0,27.476708390997373,21.84417612499965,22,neg,4.0,22.845146674997522,faceWord_exp
12,336,0.6961229820008157,l,42,female,31.186238684000273,Wednesday,180,20,4,image_stim_n.png,3.668156535681199,0.705110932001844,32,jules,4,38.21872345399606,38.05356137299532,battle,0.5399488510010997,0,37.51361252199422,31.88236166600109,22,neg,3.52,32.88333556399448,faceWord_exp
12,336,0.6956234969984507,l,42,female,41.22479258199746,Wednesday,180,20,5,image_stim_n.png,2.7437052692255306,0.7046523060053005,32,jules,4,48.256781543001125,48.02491354000085,stampede,0.47278430300502805,0,47.552129236995825,41.92041607899591,22,neg,4.48,42.921570548998716,faceWord_exp
13,336,0.6950992569982191,l,42,female,51.263411852996796,Wednesday,180,20,6,image_stim_n.png,-0.9453395472380092,0.70192183299514,42,jules,4,58.29488254199532,58.06311948900111,team,0.47015878000092926,0,57.59296070900018,51.958511109995015,22,neu,5.91,52.959490213994286,faceWord_exp
11,336,0.6971493590026512,k,42,female,61.2994433979984,Wednesday,180,20,7,image_stim_p.png,-1.7294291477603156,0.7048469849978574,31,jules,4,68.33296337099455,67.96874443200068,dog,0.3406280460039852,0,67.62811638599669,61.99659275700105,21,pos,7.0,62.99765666099847,faceWord_exp
11,336,0.6953423690065392,k,42,female,71.33956916899479,Wednesday,180,20,8,image_stim_p.png,-1.5082836116280287,0.704912469998817,31,jules,4,78.37118579999515,78.15560677799658,kitchen,0.48933344800025225,0,77.66627332999633,72.03491153800132,21,pos,6.17,73.03581390799809,faceWord_exp
13,180,0.6962155209985212,k,42,female,81.37661037399812,Wednesday,336,20,9,image_stim_p.png,0.0196438746392397,0.7049464040028397,41,jules,4,85.80790434499795,85.57611120499496,worker,0.4731532639998477,0,85.10295794099511,82.07282589499664,21,neu,5.95,83.0740856669945,faceWord_exp
11,336,0.6968877449980937,k,42,female,91.41401343100006,Wednesday,180,20,10,image_stim_p.png,-2.30162279277581,0.705062822002219,31,jules,4,98.44727605299704,98.38244475000101,heroism,0.6402315190061927,0,97.74221323099482,92.11090117599815,21,pos,7.05,93.11194898800022,faceWord_exp
