condition,no,delay_frames_before,age,word_score_warriner,onset_img,duration_measured_word,word,offset_img,duration_frames,key_t,session,word_label,response,correct_resp,onset_word,offset_word,rt,gender,pause_trigger,word_score_pc,scan day,ID,delay_frames_after,duration_measured_img,word_trigger,img_trigger,img,pause_trigger_t
faceWord_exp,1,180,22,2.58,4.801847366004949,0.7175099680025596,jealousy,5.497372980011278,42,5.383422152008279,5,neg,y,1,1.0134750480065122,1.7309850160090718,0.5815747860033298,male,32,3.693241029119933,Monday,14,336,0.6955256140063284,12,22,image_stim_n.png,2.7316523379995488
faceWord_exp,2,180,22,8.0,14.823601028998382,0.6933487509959377,peaceful,15.513806658011163,42,15.298246343998471,5,pos,b,1,11.103920925001148,11.797269675997086,0.4746453150000889,male,31,-2.641671297166366,Monday,14,336,0.6902056290127803,11,21,image_stim_p.png,12.798255686007906
faceWord_exp,3,336,22,5.95,27.43912784999702,0.6925767369975802,hairbrush,28.130331558000762,42,27.982872324006166,5,neu,y,1,21.121352479007328,21.813929216004908,0.543744474009145,male,42,-0.4963231956276321,Monday,14,180,0.6912037080037408,13,22,image_stim_n.png,22.814638850002666
faceWord_exp,4,180,22,5.44,35.08896905501024,0.7634563540050294,arm,35.780213207006454,42,35.54898550600046,5,neu,b,1,31.29990052100038,32.06335687500541,0.46001645099022426,male,41,-0.2527650722021685,Monday,14,336,0.6912441519962158,13,21,image_stim_p.png,33.06426577200182
faceWord_exp,5,180,22,4.89,45.10705666600552,0.6931160729873227,banker,45.81331644000602,42,45.5822670780035,5,neg,y,1,41.38687549201131,42.079991564998636,0.47521041199797764,male,32,0.8708146708303101,Monday,14,336,0.7062597740005003,12,22,image_stim_n.png,43.08089135499904
faceWord_exp,6,336,22,4.81,57.738703561000875,0.6954914210073184,cab,58.429598119008006,42,58.29836537600204,5,neg,y,1,51.41762270100298,52.1131141220103,0.5596618150011636,male,32,0.1828236131989572,Monday,14,180,0.6908945580071304,12,22,image_stim_n.png,53.11341356400226
faceWord_exp,7,180,22,5.57,65.15341114200419,0.6954601379984524,rum,65.84590825000487,42,65.69906516400806,5,neu,b,1,61.434198044007644,62.1296581820061,0.5456540220038733,male,41,-1.1343736111597311,Monday,14,336,0.6924971080006799,13,21,image_stim_p.png,63.13033349800389
faceWord_exp,8,180,22,5.95,75.17169836400717,0.6941553500073496,apricot,75.86227956500079,42,75.69824540799891,5,neu,y,1,71.4518912420026,72.14604659200995,0.5265470439917408,male,42,-1.2450836009557775,Monday,14,336,0.6905812009936199,13,22,image_stim_n.png,73.14675999400788
faceWord_exp,9,180,22,7.05,85.30485061000218,0.6948796390061034,cherry,85.99542834999738,42,85.94798965600785,5,pos,b,1,81.58421380999789,82.279093449004,0.6431390460056718,male,31,-1.7441234463665167,Monday,14,336,0.6905777399952058,11,21,image_stim_p.png,83.2798017830064
faceWord_exp,10,336,22,7.84,97.920954997011,0.6946115619939519,friendly,98.61185363501136,42,98.49786286600283,5,pos,y,0,91.60095216000627,92.29556372200022,0.5769078689918388,male,31,-2.9544920916265727,Monday,14,180,0.6908986380003626,11,21,image_stim_p.png,93.29625201500312
