img,duration_measured_word,word_label,response,ID,delay_frames_before,age,no,gender,offset_img,scan day,word_score_warriner,onset_img,duration_measured_img,duration_frames,pause_trigger,rt,pause_trigger_t,condition,session,key_t,delay_frames_after,word_score_pc,offset_word,onset_word,img_trigger,word_trigger,correct_resp,word
image_stim_p.png,0.6985051810042933,neu,b,5,180,22,1,female,6.542110965005122,Monday,5.88,5.837489353027195,0.7046216119779274,42,41,1.4094645569566637,3.0903769040014595,faceWord_exp,1,7.2469539099838585,336,-1.1856791528275217,1.7925384510308504,1.0940332700265571,21,13,1,hamster
image_stim_n.png,0.7274279210250825,neu,y,5,336,22,2,female,20.65878384502139,Monday,5.8,19.909212977043353,0.7495708679780364,42,42,2.1209622439928353,14.559667533030733,faceWord_exp,1,22.03017522103619,180,-0.17528733847197087,13.559085187036544,12.831657266011462,22,13,1,rocket
image_stim_p.png,0.6928142230026424,pos,b,5,180,22,3,female,28.775326980976388,Monday,6.45,28.040505893994123,0.7348210869822651,42,31,1.0066742709605023,25.610602524946444,faceWord_exp,1,29.047180164954625,336,-2.2727319315779937,24.425552360946313,23.73273813794367,21,11,1,pie
image_stim_n.png,0.6907353179994971,neg,y,5,180,22,4,female,39.39186102594249,Monday,4.23,38.60863921896089,0.7832218069816008,42,32,1.1715146159986034,36.076461427961476,faceWord_exp,1,39.78015383495949,336,1.9014187675556817,35.07523391896393,34.384498600964434,22,12,1,alligator
image_stim_p.png,0.6930842240108177,pos,b,5,180,22,5,female,50.1416848449735,Monday,6.15,49.43785085296258,0.7038339920109138,42,31,0.9254927909933031,47.20914997195359,faceWord_exp,1,50.363343643955886,336,-1.1648995537800455,46.041942361043766,45.34885813703295,21,11,1,plum
image_stim_n.png,0.693029552930966,neu,y,5,336,22,6,female,62.77438664098736,Monday,5.44,62.07158236403484,0.70280427695252,42,42,0.6550080640008673,57.44240257597994,faceWord_exp,1,62.726590428035706,180,0.1935892361901769,56.44182142894715,55.748791876016185,22,13,1,bridge
image_stim_p.png,0.761528393952176,pos,b,5,336,22,7,female,73.95940393896308,Monday,8.37,73.13814079202712,0.8212631469359621,42,31,1.0885440239217132,68.5088648769306,faceWord_exp,1,74.22668481594883,180,-3.2613064969771037,67.50834952993318,66.74682113598101,21,11,1,fun
image_stim_p.png,0.6925129099981859,neu,b,5,180,22,8,female,82.0412507619476,Monday,5.17,81.3377065260429,0.703544235904701,42,41,0.8410835179965943,79.30872422701214,faceWord_exp,1,82.17879004403949,336,-0.08455950357770388,78.3079622950172,77.61544938501902,21,13,1,keyboard
image_stim_p.png,0.8259524080203846,pos,b,5,180,22,9,female,93.12465578201227,Monday,6.35,92.42340285796672,0.7012529240455478,42,31,0.7208967850310728,90.39189057401381,faceWord_exp,1,93.1442996429978,336,-1.9273821271493088,89.32647978200112,88.50052737398073,21,11,1,sled
image_stim_p.png,0.6941479069646448,pos,b,5,180,22,10,female,103.57429554499686,Monday,7.68,102.87065847299527,0.7036370720015839,42,31,0.9915847739903256,100.84175105195027,faceWord_exp,1,103.8622432469856,336,-1.2313279950095668,99.84125461499207,99.14710670802742,21,11,1,new
image_stim_p.png,0.8946095190476626,pos,b,5,180,22,11,female,114.42421687603928,Monday,6.47,113.71993334102444,0.704283535014838,42,31,0.7922844169661403,111.65827659098431,faceWord_exp,1,114.51221775799058,336,-1.0543324261381863,110.4743618320208,109.57975231297314,21,11,1,oak
image_stim_n.png,0.6928526210831478,neg,y,5,336,22,12,female,127.10732120403554,Monday,4.55,126.4034245669609,0.7038966370746493,42,32,0.9419642840512097,121.77584792894777,faceWord_exp,1,127.3453888510121,180,0.7573178762670367,120.7734441900393,120.08059156895615,22,12,1,meeting
image_stim_n.png,0.6951718380441889,neg,y,5,336,22,13,female,137.1413529679412,Monday,4.9,136.43637680599932,0.704976161941886,42,32,1.1416352660162374,131.8080864700023,faceWord_exp,1,137.57801207201555,180,0.2016963621838916,130.80837856198195,130.11320672393776,22,12,1,plot
image_stim_n.png,0.6945473470259458,neu,y,5,336,22,14,female,147.17490623600315,Monday,5.3,146.4699368829606,0.7049693530425429,42,42,0.9253214179771021,141.84123762894887,faceWord_exp,1,147.3952583009377,180,-0.05916451699915906,140.84153684997,140.14698950294405,22,13,1,embassy
image_stim_n.png,0.6938219129806384,neg,y,5,336,22,15,female,157.2065604670206,Monday,2.67,156.50311912794132,0.7034413390792906,42,32,2.241661728010513,151.8745733969845,faceWord_exp,1,158.74478085595183,180,4.010420717126172,150.87386505200993,150.1800431390293,22,12,1,lonely
image_stim_p.png,0.6904891800368205,pos,b,5,336,22,16,female,167.24011475604493,Monday,7.21,166.53958972194232,0.7005250341026112,42,31,1.1217263920698315,161.90758141397964,faceWord_exp,1,167.66131611401215,180,-2.8031613090757777,160.90782777499408,160.21733859495725,21,11,1,beach
image_stim_p.png,1.0251558260060847,neu,b,5,180,22,17,female,175.30682235397398,Monday,5.26,174.60626112599857,0.7005612279754132,42,41,0.9073391059646383,172.29080613597762,faceWord_exp,1,175.5136002319632,336,-0.3369766028281135,171.2902584359981,170.26510260999203,21,13,1,corkscrew
image_stim_n.png,0.6944664790062234,neu,y,5,336,22,18,female,189.05660077300854,Monday,5.22,188.35256583604496,0.7040349369635805,42,42,1.1074032719479874,183.0593191839289,faceWord_exp,1,189.45996910799295,180,0.11872473318936595,181.65685875504278,180.96239227603655,22,13,1,noun
image_stim_n.png,0.6944645240437239,neg,y,5,180,22,19,female,196.48936665593646,Monday,4.5,195.78618643898517,0.7031802169512957,42,32,0.9264403480337933,193.75717164797243,faceWord_exp,1,196.71262678701896,336,1.3014161644429498,192.75662995001767,192.06216542597394,22,12,1,gasp
image_stim_n.png,0.6937527089612558,neu,y,5,180,22,20,female,207.27291224396322,Monday,5.42,206.56948801898398,0.7034242249792442,42,42,0.9921189820161089,204.5403758280445,faceWord_exp,1,207.56160700100008,336,-0.7213913907893977,203.53982622700278,202.84607351804152,22,13,1,treaty
image_stim_n.png,0.6933348790043965,neg,y,5,180,22,21,female,218.22385396494064,Monday,3.52,217.18639134604018,1.037462618900463,42,32,0.8268255789298564,215.15684884996153,faceWord_exp,1,218.01321692497004,336,2.561630339716405,214.15618700301275,213.46285212400835,22,12,1,hospital
