offset_word,correct_resp,key_t,word_score_pc,word_score_warriner,ID,random_timepoint,duration_measured_img,pause_trigger_t,delay_frames_before,word_label,duration_measured_word,img,onset_img,scan day,rt,no,word,duration_frames,gender,session,age,offset_img,onset_word,delay_frames_after,response,condition
1.8084592349769082,1,4.89407620599377,-1.1343736111597311,5.57,1,28.658416499994928,0.8042529469821602,2.8087505330040585,123,neu,0.8022994519851636,image_stim_p.png,4.004234093998093,Monday,0.8898421119956765,1,rum,48,male,5,22,4.808487040980253,1.0061597829917446,80,right,faceWord_exp
6.941748610988725,1,9.310150475997943,-1.2450836009557775,5.95,1,33.42639788900851,0.8024004749895539,7.941584772983333,105,neu,0.79334564198507,image_stim_n.png,8.772215645993128,Monday,0.537934830004815,2,apricot,48,male,5,22,9.574616120982682,6.148402969003655,47,left,faceWord_exp
11.15767818398308,1,14.40969618599047,-2.3591802685249372,7.12,1,38.53286809200654,0.7960812239907682,12.158649341989076,160,pos,0.794247465004446,image_stim_p.png,13.878683574002935,Monday,0.5310126119875349,3,applause,48,male,5,22,14.674764797993703,10.363430718978634,32,right,faceWord_exp
16.008147617976647,1,18.476112973003183,4.0294120701769724,2.02,1,42.54735748301027,0.798247311002342,17.008807710983092,110,neg,0.7932762499840464,image_stim_n.png,17.89317331300117,Monday,0.5829396600020118,4,dead,48,male,5,22,18.691420624003513,15.2148713679926,215,left,faceWord_exp
23.07482742398861,1,26.62597559898859,0.5156614996478043,5.12,1,50.76904606199241,0.7930781749892049,24.074636175995693,179,neu,0.7956458039989229,image_stim_n.png,26.114862054993864,Monday,0.5111135439947248,5,bus,48,male,5,22,26.90794022998307,22.279181619989686,72,left,faceWord_exp
28.90812758897664,1,31.026205425994704,0.2374341841762725,5.59,1,55.17039610998472,0.7916991780220997,29.908612749975873,93,neu,0.7954116969776805,image_stim_n.png,30.516211855981965,Monday,0.5099935700127389,6,number,48,male,5,22,31.307911034004064,28.11271589199896,113,left,faceWord_exp
33.99121818199637,1,36.743002996983705,0.16108323717668446,5.56,1,60.949659109988715,0.7955422300146893,34.99158057800378,135,neu,0.7958748940145597,image_stim_p.png,36.2954747149779,Monday,0.4475282820058055,7,desk,48,male,5,22,37.09101694499259,33.195343287981814,187,right,faceWord_exp
41.00747166899964,1,45.975920331984526,4.735833249102137,2.33,1,69.91623486400931,0.7956590900139417,42.008079651976004,252,neg,0.7948631840117741,image_stim_n.png,45.262050530989654,Monday,0.7138698009948712,8,grief,48,male,5,22,46.057709621003596,40.21260848498787,24,left,faceWord_exp
47.256558130000485,1,49.4088875479938,1.0236166268558873,4.95,1,73.57097960601095,0.7906411309959367,48.25816555399797,96,neg,0.7931309959967621,image_stim_n.png,48.916796864999924,Monday,0.4920906829938758,9,hierarchy,48,male,5,22,49.70743799599586,46.46342713400372,93,left,faceWord_exp
52.05765256698942,1,53.242856475990266,-1.211925852261804,6.41,1,77.49835077399621,0.7966631029848941,48.25816555399797,44,pos,0.791244285996072,image_stim_p.png,52.84416648000479,Monday,0.39868999598547816,10,morning,48,male,5,22,53.64082958298968,51.266408280993346,198,right,faceWord_exp
