no,ID,condition,img,word_score_pc,onset_img,duration_frames,pause_trigger,session,word_label,gender,pause_trigger_t,duration_measured_img,correct_resp,word_score_warriner,img_trigger,delay_frames_before,onset_word,offset_img,response,delay_frames_after,duration_measured_word,scan day,word_trigger,rt,offset_word,key_t,word,age
1,KKF,faceWord_exp,image_stim_n.png,2.8314410724962364,7.425365900999168,42,32,4,neg,female,2.7268087579996063,0.700177987000643,1,3.57,22,336,1.0223404699991079,8.125543887999811,y,180,0.7032960650012683,Monday,12,0.552214814000763,1.7256365350003762,7.977580714999931,denial,21
2,KKF,faceWord_exp,image_stim_p.png,-1.426145970237633,14.871278180000445,42,31,4,pos,female,12.843156023998745,0.7049404939989472,1,6.26,21,180,11.148985675999938,15.576218673999392,b,336,0.6936916949998704,Monday,11,0.45644178799921065,11.842677370999809,15.327719967999656,lust,21
3,KKF,faceWord_exp,image_stim_p.png,-2.30162279277581,27.503042622000066,42,31,4,pos,female,22.876635028000237,0.6895282679997763,1,7.05,21,336,21.181214565998744,28.192570889999843,b,180,0.6949951550013793,Monday,11,0.3908428679987992,21.876209721000123,27.893885489998866,heroism,21
4,KKF,faceWord_exp,image_stim_p.png,-0.4880378396985329,37.520747651999045,42,41,4,neu,female,32.8931204620003,0.7051482650003891,1,5.68,21,336,31.199044469,38.225895916999434,b,180,0.6931380810001428,Monday,13,0.5088840930002334,31.892182550000143,38.02963174499928,chestnut,21
5,KKF,faceWord_exp,image_stim_p.png,0.1872293205875,44.948242503000074,42,41,4,neu,female,42.92602934699971,0.6941564899989316,1,5.95,21,180,41.23137702799977,45.642398992999006,b,336,0.6931860320000851,Monday,13,0.5130778019993159,41.924563059999855,45.46132030499939,elevator,21
6,KKF,faceWord_exp,image_stim_n.png,0.29188517290671034,54.97098413899948,42,42,4,neu,female,52.94292202500037,0.7039558249998663,1,5.89,22,180,51.24723522199929,55.67493996399935,y,336,0.69485006099967,Monday,13,0.5568568029993912,51.94208528299896,55.527840941998875,guard,21
7,KKF,faceWord_exp,image_stim_n.png,3.9974740190684885,65.00263204600014,42,32,4,neg,female,62.97566571399875,0.6895283960002416,1,2.55,22,180,61.27957201599929,65.69216044200039,y,336,0.6957753719998436,Monday,12,0.6423865669985389,61.975347387999136,65.64501861299868,accident,21
8,KKF,faceWord_exp,image_stim_n.png,1.95458394600482,77.61794514199937,42,32,4,neg,female,72.9924416319991,0.6903737690008711,1,4.03,22,336,71.29705888999888,78.30831891100024,y,180,0.6949737089998962,Monday,12,0.3754527319997578,71.99203259899878,77.99339787399913,snake,21
9,KKF,faceWord_exp,image_stim_n.png,2.8496222967354625,85.03517706499952,42,32,4,neg,female,83.00910697699874,0.689982969999619,1,3.78,22,180,81.3141320550003,85.72516003499913,y,336,0.6941776539988496,Monday,12,0.4761821020001662,82.00830970899915,85.51135916699968,empty,21
10,KKF,faceWord_exp,image_stim_n.png,-0.29144085929118746,97.65307490799933,42,42,4,neu,female,93.0254758760002,0.7046804940000584,1,5.9,22,336,91.3322042990003,98.35775540199938,y,180,0.6927393689984456,Monday,13,0.4919780100008211,92.02494366799874,98.14505291800015,hand,21
