condition,age,img,scan day,offset_word,delay_frames_before,word_score_warriner,onset_img,word_label,correct_resp,key_t,response,no,delay_frames_after,rt,duration_measured_img,onset_word,offset_img,duration_measured_word,word_score_pc,ID,gender,word,duration_frames,session
faceWord_exp,22,image_stim_n.png,Monday,1.1181589999468997,119,5.72,3.1039571999572217,neu,,3.635189999942668,n,1,119,0.531232799985446,0.4637632999802008,0.6692473000148311,3.5677204999374226,0.4489116999320686,0.20373950943912453,1,male,plane,28,3
faceWord_exp,22,image_stim_p.png,Monday,6.016976399929263,119,7.15,8.003336400026456,pos,,8.450662799994461,p,2,119,0.4473263999680057,0.4631822999799624,5.558022500015795,8.466518700006418,0.45895389991346747,-1.9498998207384868,1,male,symphony,28,3
faceWord_exp,22,image_stim_n.png,Monday,10.915133300004527,119,3.23,12.900257400004193,neg,,13.29888120002579,n,3,119,0.39862380002159625,0.4647251999704167,10.45358730002772,13.36498259997461,0.46154599997680634,3.9847946241932393,1,male,snub,28,3
faceWord_exp,22,image_stim_p.png,Monday,15.814373899949715,119,5.65,17.800945100025274,neu,,18.164950800011866,p,4,119,0.36400569998659194,0.46311289991717786,15.352638200041838,18.26405799994245,0.46173569990787655,0.13339963708933658,1,male,pencil,28,3
faceWord_exp,22,image_stim_n.png,Monday,20.71308399992995,119,2.81,22.698426299961284,neg,,23.064090300002135,n,5,119,0.36566400004085153,0.4641371000325307,20.250134099973366,23.162563399993815,0.462949899956584,3.6887696102955196,1,male,malice,28,3
faceWord_exp,22,image_stim_p.png,Monday,25.612171299988404,119,6.63,27.598180099972524,pos,,27.92894150002394,p,6,119,0.33076140005141497,0.46341389999724925,25.148860599962063,28.061593999969773,0.4633107000263408,-1.4106928476010352,1,male,car,28,3
faceWord_exp,22,image_stim_p.png,Monday,30.511270000017248,119,7.0,32.4974998999387,pos,,32.978820199961774,p,7,119,0.48132030002307147,0.4634876000927761,30.04909059999045,32.96098750003148,0.46217940002679825,-1.8894778219780863,1,male,coffee,28,3
faceWord_exp,22,image_stim_p.png,Monday,35.410178799997084,119,5.89,37.395861199940555,neu,,37.843527099932544,p,8,119,0.44766589999198914,0.46368400007486343,34.94911039993167,37.85954520001542,0.4610684000654146,-1.0048841857254538,1,male,gum,28,3
faceWord_exp,22,image_stim_p.png,Monday,40.30907560000196,119,5.61,42.294177099945955,neu,,42.70856039994396,p,9,119,0.4143832999980077,0.4640112000051886,39.8476432999596,42.758188299951144,0.461432300042361,0.5990623206044929,1,male,witness,28,3
faceWord_exp,22,image_stim_n.png,Monday,45.20792369998526,119,4.7,47.191886999993585,neg,,47.69100440002512,n,10,119,0.4991174000315368,0.4647748999996111,44.743728399975225,47.656661899993196,0.46419530001003295,0.33736940436804663,1,male,radish,28,3
