word_score_pc,duration_measured_word,offset_img,pause_trigger,response,key_t,delay_frames_before,ID,onset_word,age,delay_frames_after,gender,duration_measured_img,onset_img,session,scan day,word_trigger,no,word_label,condition,duration_frames,pause_trigger_t,img,img_trigger,rt,word_score_warriner,correct_resp,offset_word,word
0.18094025084207666,0.7136635999777354,7.820362800033763,41,b,8.666008200030774,180,B12,1.690713300020434,22,336,male,0.7124530000146478,7.107909800019115,4,Monday,13,1,neu,faceWord_exp,24,3.9048693000222556,image_stim_p.png,21,1.5580984000116587,5.3,1,2.4043768999981694,journalist
-1.7974288604529352,0.7278178000124171,22.852832300006412,31,b,23.475451999984216,180,B12,16.54814129997976,22,336,male,0.6976633999729529,22.15516890003346,4,Monday,11,2,pos,faceWord_exp,24,18.865552800009027,image_stim_p.png,21,1.3202830999507569,6.53,1,17.27595909999218,bonfire
-1.7294291477603156,0.6840250000241213,37.89209410001058,31,b,38.687485400005244,180,B12,31.735766099998727,22,336,male,0.7173429999966174,37.174751100013964,4,Monday,11,3,pos,faceWord_exp,24,33.99390459997812,image_stim_p.png,21,1.5127342999912798,7.0,1,32.41979110002285,dog
-2.1205664047688315,0.608195099979639,52.951478000031784,31,b,53.2033959000255,180,B12,46.85116530000232,22,336,male,0.7437355000292882,52.207742500002496,4,Monday,11,4,pos,faceWord_exp,24,49.075122600013856,image_stim_p.png,21,0.9956534000230022,7.24,1,47.45936039998196,trust
-2.93465986085152,0.5826636999845505,67.68997890001629,31,b,67.53491970000323,180,B12,61.745829300023615,22,336,male,0.6661189000005834,67.0238600000157,4,Monday,11,5,pos,faceWord_exp,24,63.840845400001854,image_stim_p.png,21,0.511059699987527,6.84,1,62.328493000008166,festival
3.1835494020570807,0.650603600020986,83.27414850000059,32,y,83.75216700002784,180,B12,76.88395819999278,22,336,male,0.6551882000057958,82.6189602999948,4,Monday,12,6,neg,faceWord_exp,24,79.03363150003133,image_stim_n.png,22,1.1332067000330426,3.17,1,77.53456180001376,explosion
0.6669259665908855,0.5807443999801762,102.10047599999234,42,y,102.54998910002178,336,B12,92.02681010001106,22,180,male,0.8419025999610312,101.25857340003131,4,Monday,13,7,neu,faceWord_exp,24,94.17684420000296,image_stim_n.png,22,1.2914156999904662,5.38,1,92.60755449999124,businessman
-0.4066038871991289,0.7414136999868788,117.07158380001783,42,b,118.32483769999817,336,B12,106.74417950003408,22,180,male,0.6224475000053644,116.44913630001247,4,Monday,13,8,neu,faceWord_exp,24,109.09065520000877,image_stim_n.png,22,1.8757013999857008,5.79,0,107.48559320002096,baseball
-2.547043884761341,0.6475917999632657,127.99231050000526,42,y,127.8517480000155,180,B12,121.87538540002424,22,336,male,0.662807899992913,127.32950260001235,4,Monday,13,9,neu,faceWord_exp,24,124.02175309997983,image_stim_n.png,22,0.5222454000031576,5.85,1,122.52297719998751,circus
-0.10198134801944247,0.6489272000035271,143.08248799998546,32,y,144.03849710000213,180,B12,136.95980730000883,22,336,male,0.7379604000016116,142.34452759998385,4,Monday,12,10,neg,faceWord_exp,24,139.12261810002383,image_stim_n.png,22,1.6939695000182837,4.16,1,137.60873450001236,saw
-0.7774272008663468,0.873423199984245,162.25214039999992,41,b,163.32837559998734,336,B12,152.01008430001093,22,180,male,0.6623692999710329,161.58977110002888,4,Monday,13,11,neu,faceWord_exp,24,154.37088090000907,image_stim_p.png,21,1.7386044999584556,5.43,1,152.88350749999518,theme
-1.5082836116280287,0.5816493000020273,177.0783365999814,31,b,178.37925210001413,336,B12,166.92196379997768,22,180,male,0.6391399999847636,176.43919659999665,4,Monday,11,12,pos,faceWord_exp,24,169.0828532000305,image_stim_p.png,21,1.940055500017479,6.17,1,167.5036130999797,kitchen
