word,pause_trigger,img_trigger,word_score_warriner,age,duration_frames,response,onset_img,condition,offset_word,delay_frames_before,onset_word,word_score_pc,key_t,pause_trigger_t,duration_measured_img,rt,ID,duration_measured_word,word_trigger,offset_img,scan day,session,no,word_label,correct_resp,img,delay_frames_after,gender
lust,31,21,6.26,22,42,b,358.29988568500266,faceWord_exp,352.67446484899847,336,351.97880553500727,-1.426145970237633,358.85881367900583,353.6750597670034,0.690877803004696,0.5589279940031702,14,0.6956593139912002,11,358.99076348800736,Monday,4,36,pos,1,image_stim_p.png,180,male
shoulder,42,22,5.1,22,42,b,365.71622642999864,faceWord_exp,362.6908535850089,180,361.99620809000044,0.12602488928311428,366.27682954199554,363.69137642200803,0.6907416690082755,0.5606031119968975,14,0.6946454950084444,13,366.4069680990069,Monday,4,37,neu,0,image_stim_n.png,336,male
bell,42,22,5.67,22,42,y,375.73470258299494,faceWord_exp,372.7072614009958,180,372.01287839100405,-0.6996261236875504,376.3257874800038,373.7078687339963,0.7057805450021988,0.5910848970088409,14,0.694383009991725,13,376.44048312799714,Monday,4,38,neu,1,image_stim_n.png,336,male
circus,41,21,5.85,22,42,b,385.76571167999646,faceWord_exp,382.7402783190046,180,382.04541390899976,-2.547043884761341,386.3423611330072,383.7408923220064,0.6911485490127234,0.5766494530107593,14,0.6948644100048114,13,386.4568602290092,Monday,4,39,neu,1,image_stim_p.png,336,male
majority,32,22,4.95,22,42,y,395.7821069740021,faceWord_exp,392.7567111149983,180,392.0618869530008,0.19555716741692625,396.54451540599985,393.7573097310087,0.6911069719935767,0.7624084319977555,14,0.6948241619975306,12,396.47321394599567,Monday,4,40,neg,1,image_stim_n.png,336,male
choir,31,21,6.15,22,42,b,405.8321530800022,faceWord_exp,402.8063842999982,180,402.1113835750002,-1.883093263099396,406.5085538150015,403.80700209899805,0.6903646129940171,0.6764007349993335,14,0.6950007249979535,11,406.5225176929962,Monday,4,41,pos,1,image_stim_p.png,336,male
accident,32,22,2.55,22,42,y,418.44825748600124,faceWord_exp,412.82277314500243,336,412.1281850730011,3.9974740190684885,419.2580494069989,413.823328434999,0.6907937700016191,0.8097919209976681,14,0.694588072001352,12,419.13905125600286,Monday,4,42,neg,1,image_stim_n.png,180,male
peace,31,21,7.75,22,42,b,425.86451709900575,faceWord_exp,422.83916015800787,180,422.14411079300044,-3.0311112754680245,426.5579078139999,423.8397819009988,0.6907864439999685,0.693390714994166,14,0.695049365007435,11,426.5553035430057,Monday,4,43,pos,1,image_stim_p.png,336,male
theme,42,22,5.43,22,42,b,438.4806030920008,faceWord_exp,432.8555337610014,336,432.159612524003,-0.7774272008663468,439.2911696710071,433.85616467699583,0.6913636749959551,0.810566579006263,14,0.6959212369984016,13,439.1719667669968,Monday,4,44,neu,0,image_stim_n.png,180,male
boy,41,21,5.84,22,42,b,445.8997612499952,faceWord_exp,442.871699344003,180,442.1778400690091,-0.9031069202434168,446.4739555450069,443.8725326249987,0.705379166000057,0.5741942950116936,14,0.6938592749938834,13,446.60514041599527,Monday,4,45,neu,1,image_stim_p.png,336,male
mouth,41,21,5.59,22,42,b,458.5298417449958,faceWord_exp,452.90498046099674,336,452.20995733300515,-0.05436507667908295,459.15691101300763,453.9055808569974,0.6914718260086374,0.6270692680118373,14,0.6950231279915897,13,459.22131357100443,Monday,4,46,neu,1,image_stim_p.png,180,male
flower,31,21,7.3,22,42,b,468.5465972640086,faceWord_exp,462.92139076199965,336,462.226474081006,-2.411716547027706,469.2898474639951,463.92196729600255,0.6911871079937555,0.7432501999865053,14,0.6949166809936287,11,469.23778437200235,Monday,4,47,pos,1,image_stim_p.png,180,male
expensive,32,22,3.36,22,42,y,475.9631888510048,faceWord_exp,472.9377266800002,180,472.2433457080042,-0.3663992490442602,476.5892157269991,473.93834278600116,0.6909593110030983,0.6260268759942846,14,0.6943809719959972,12,476.6541481620079,Monday,4,48,neg,1,image_stim_n.png,336,male
court,32,22,3.52,22,42,y,488.57953625600203,faceWord_exp,482.95410519900906,336,482.2588595900015,2.0765857872261098,489.2892983400088,483.95453189600084,0.6910234990064055,0.7097620840067975,14,0.695245609007543,12,489.27055975500843,Monday,4,49,neg,1,image_stim_n.png,180,male
wonder,31,21,6.68,22,42,b,498.77924659699784,faceWord_exp,492.9704967879952,336,492.2756150720088,-2.303583541830637,499.2060417460016,493.9710413770081,0.691020116006257,0.4267951490037376,14,0.694881715986412,11,499.4702667130041,Monday,4,50,pos,1,image_stim_p.png,180,male
bicycle,31,21,6.71,22,42,b,506.24490864400286,faceWord_exp,503.1702025580016,180,502.4753746110073,-1.301667818567906,506.88878712200676,504.1707985730027,0.6917884330032393,0.6438784780038986,14,0.6948279469943373,11,506.9366970770061,Monday,4,51,pos,1,image_stim_p.png,336,male
scientist,41,21,5.83,22,42,b,518.9310274699965,faceWord_exp,513.2366033879953,336,512.5435548530077,-0.5273916336755435,519.4545693660039,514.2371915399999,0.7051353400020162,0.523541896007373,14,0.6930485349876108,13,519.6361628099985,Monday,4,52,neu,1,image_stim_p.png,180,male
animosity,32,22,3.4,22,42,y,529.1117263220076,faceWord_exp,523.3363258129975,336,522.6418047080078,3.4698173961771306,529.6385591270082,524.3369119359995,0.6907229289936367,0.5268328050005948,14,0.6945211049896898,12,529.8024492510012,Monday,4,53,neg,1,image_stim_n.png,180,male
heroism,31,21,7.05,22,42,b,539.1279394260055,faceWord_exp,533.5026028610009,336,532.8079384250013,-2.30162279277581,539.6724246490048,534.5032994339999,0.6909255029895576,0.5444852229993558,14,0.6946644359995844,11,539.818864928995,Monday,4,54,pos,1,image_stim_p.png,180,male
loan,32,22,4.19,22,42,y,546.6442797589989,faceWord_exp,543.6190094040066,180,542.9238119530055,0.7532200949518182,547.2044224200072,544.6196599940013,0.6913628620095551,0.5601426610082854,14,0.6951974510011496,12,547.3356426210084,Monday,4,55,neg,1,image_stim_n.png,336,male
scream,32,22,3.02,22,42,y,556.660912642008,faceWord_exp,553.6352884210064,180,552.9405360859964,2.6978270877422883,557.2703023350041,554.635973409997,0.790630349991261,0.6093896929960465,14,0.69475233500998,12,557.4515429919993,Monday,4,56,neg,1,image_stim_n.png,336,male
flood,32,22,2.76,22,42,y,569.3939749819983,faceWord_exp,563.7684157610056,336,563.0734722110064,3.803034067475641,569.9537426879979,564.7691232560028,0.6909418590075802,0.5597677059995476,14,0.6949435499991523,12,570.0849168410059,Monday,4,57,neg,1,image_stim_n.png,180,male
bay,31,21,7.23,22,42,b,576.8770630170038,faceWord_exp,573.7848859689984,180,573.0894503710006,-1.17416436554964,577.3711823659978,574.8521277690015,0.6909258630039403,0.49411934899399057,14,0.6954355979978573,11,577.5679888800078,Monday,4,58,pos,1,image_stim_p.png,336,male
gratitude,31,21,6.67,22,42,b,589.4955706530018,faceWord_exp,583.8678776010056,336,583.1747841710021,-2.8305869761860607,590.1694859300042,584.8685303780076,0.7047943270008545,0.6739152770023793,14,0.6930934300035005,11,590.2003649800026,Monday,4,59,pos,1,image_stim_p.png,180,male
fallacy,32,22,4.0,22,42,y,599.5263977989962,faceWord_exp,593.9008875580039,336,593.2062572419964,2.7422742606943906,600.0859450190037,594.9015571970085,0.6906166620028671,0.5595472200075164,14,0.6946303160075331,12,600.217014460999,Monday,4,60,neg,1,image_stim_n.png,180,male
