delay_frames_before,correct_resp,word_score_warriner,key_t,session,word_score_pc,offset_img,condition,rt,duration_measured_word,duration_frames,onset_word,delay_frames_after,onset_img,age,gender,img,word,duration_measured_img,scan day,offset_word,ID,word_label,response,no
73,1,5.89,3.2160803000151645,1,-0.8050043475134195,3.6491270000115037,faceWord_exp,0.24624880001647398,0.6807738000061363,42,1.003011399996467,55,2.9698314999986906,21,female,image_stim_p.png,famous,0.6792955000128131,Monday,1.6837852000026032,Nina,neu,b,1
63,,3.16,6.563679100014269,1,3.648586845460279,7.01282689999789,faceWord_exp,0.2228037000168115,0.6915788999758661,42,4.572309600014705,70,6.340875399997458,21,female,image_stim_n.png,hurricane,0.6719515000004321,Monday,5.263888499990571,Nina,neg,j,2
45,,5.88,10.127889099996537,1,-1.1856791528275217,10.409937899996294,faceWord_exp,0.40495900000678375,0.6950937999936286,42,8.183369600010337,60,9.722930099989753,21,female,image_stim_n.png,hamster,0.6870078000065405,Monday,8.878463400003966,Nina,neu,j,3
62,,4.9,13.391616400011117,1,0.2016963621838916,13.840432800003327,faceWord_exp,0.22924460002104752,0.6945254000020213,42,11.41386010000133,55,13.16237179999007,21,female,image_stim_n.png,plot,0.6780610000132583,Monday,12.108385500003351,Nina,neg,j,4
52,,4.55,16.555484600015916,1,0.7573178762670367,17.021384799998486,faceWord_exp,0.21278490000986494,0.6930040000006557,42,14.762850200000685,74,16.34269970000605,21,female,image_stim_n.png,meeting,0.6786850999924354,Monday,15.45585420000134,Nina,neg,j,5
64,1,5.67,20.088068999990355,1,-0.9222259722889368,20.719037700007902,faceWord_exp,0.041653299995232373,0.6951133999973536,42,18.257819399994332,57,20.046415699995123,21,female,image_stim_p.png,beer,0.6726220000127796,Monday,18.952932799991686,Nina,neu,b,6
37,,5.8,23.48581519999425,1,-0.17528733847197087,23.71763989998726,faceWord_exp,0.44285299998591654,0.6833783000183757,42,21.68601539998781,81,23.042962200008333,21,female,image_stim_n.png,rocket,0.674677699978929,Monday,22.369393700006185,Nina,neu,j,7
57,1,7.13,27.149465099995723,1,-1.5151286486205269,27.44817519999924,faceWord_exp,0.3752356999902986,0.688655000005383,42,25.07754009999917,62,26.774229400005424,21,female,image_stim_p.png,lake,0.6739457999938168,Monday,25.766195100004552,Nina,pos,b,8
57,,2.05,30.695186900004046,1,3.457530661450998,30.878135500010103,faceWord_exp,0.5056070999999065,0.6797758000029717,42,28.500204000010854,57,30.18957980000414,21,female,image_stim_n.png,victim,0.6885557000059634,Monday,29.179979800013825,Nina,neg,j,9
54,,2.89,33.65812380000716,1,4.314775126713813,34.12572830001591,faceWord_exp,0.2126546000072267,0.6861156999948435,42,31.841280699998606,59,33.445469199999934,21,female,image_stim_n.png,deceit,0.6802591000159737,Monday,32.52739639999345,Nina,neg,j,10
54,,6.9,36.99232089999714,1,-1.6708771386143015,37.43979110001237,faceWord_exp,0.22538550000172108,0.6864168000174686,42,35.1214556999912,67,36.76693539999542,21,female,image_stim_p.png,pineapple,0.672855700016953,Monday,35.80787250000867,Nina,pos,j,11
66,,4.23,40.60505370001192,1,1.9014187675556817,41.103804100013804,faceWord_exp,0.19053770002210513,0.687013000017032,42,38.56697419998818,59,40.41451599998982,21,female,image_stim_n.png,alligator,0.6892881000239868,Monday,39.25398720000521,Nina,neg,j,12
55,,5.14,44.23555819998728,1,-0.18281188470513854,44.43388620001497,faceWord_exp,0.47544829998514615,0.6862719999917317,42,42.09900620000553,59,43.760109900002135,21,female,image_stim_n.png,spatula,0.6737763000128325,Monday,42.785278199997265,Nina,neu,j,13
49,1,5.71,47.233218200010015,1,-0.31568469709749714,47.66464500001166,faceWord_exp,0.24330030000419356,0.6853198000171687,42,45.430851799988886,49,46.98991790000582,21,female,image_stim_p.png,tourist,0.674727100005839,Monday,46.116171600006055,Nina,neu,b,14
