gender,pause_trigger,duration_frames,duration_measured_img,session,word_score_warriner,key_t,img,word_score_pc,delay_frames_before,scan day,pause_trigger_t,onset_img,rt,word,delay_frames_after,offset_word,response,correct_resp,condition,age,offset_img,onset_word,word_label,duration_measured_word,ID,no,img_trigger,word_trigger
female,41,42,0.6979543999987072,2,5.55,7.909788199998729,image_stim_p.png,-0.09980687036967174,336,Monday,2.7273623000000953,7.360762299998896,0.5490258999998332,eggplant,180,1.7266381999979785,b,1,faceWord_exp,20,8.058716699997603,1.0224689999995462,neu,0.7041691999984323,T1572,1,21,13
female,32,42,0.6999261999990267,2,3.57,17.724569699999847,image_stim_n.png,2.483224745184551,336,Monday,12.758517199999915,17.389991199997894,0.3345785000019532,cough,180,11.757895200000348,y,1,faceWord_exp,20,18.08991739999692,11.067315000000235,neg,0.6905802000001131,T1572,2,22,12
female,41,42,0.7017930000001797,2,5.62,27.855827799998224,image_stim_p.png,-0.18776275500974607,336,Monday,22.789903400000185,27.419390099999873,0.4364376999983506,speech,180,21.78912130000026,b,1,faceWord_exp,20,28.121183100000053,21.096855799998593,neu,0.6922655000016675,T1572,3,21,13
female,32,42,0.7023537999994005,2,2.35,35.33753579999757,image_stim_n.png,4.537930167489568,180,Monday,32.8211229999979,34.85067530000015,0.48686049999741954,terrorist,336,31.820523799997318,b,0,faceWord_exp,20,35.55302909999955,31.129419599998073,neg,0.6911041999992449,T1572,4,22,12
female,32,42,0.7031186999993224,2,3.52,45.55212959999699,image_stim_n.png,4.02985566434138,180,Monday,42.85261559999708,44.88134329999957,0.6707862999974168,problem,336,41.85173029999714,y,1,faceWord_exp,20,45.584461999998894,41.16125919999831,neg,0.690471099998831,T1572,5,22,12
female,32,42,0.702697899996565,2,3.48,55.533468800000264,image_stim_n.png,0.7321109855355353,180,Monday,52.8836530999979,54.912868600000365,0.6206001999998989,axe,336,51.88305289999698,y,1,faceWord_exp,20,55.61556649999693,51.192247099999804,neg,0.6908057999971788,T1572,6,22,12
female,32,42,0.7025383000000147,2,2.53,65.54800729999988,image_stim_n.png,3.4296451702105397,180,Monday,62.91493119999723,64.94434209999963,0.6036652000002505,angry,336,61.91428719999749,y,1,faceWord_exp,20,65.64688039999965,61.221923199998855,neg,0.6923639999986335,T1572,7,22,12
female,31,42,0.7019818000007945,2,7.59,78.11204969999744,image_stim_p.png,-1.3695211950901562,336,Monday,72.9462317999969,77.57561419999911,0.5364354999983334,tree,180,71.94563419999758,b,1,faceWord_exp,20,78.2775959999999,71.25151989999722,pos,0.6941143000003649,T1572,8,21,11
female,31,42,0.7018266000013682,2,7.1,88.41011959999742,image_stim_p.png,-2.5746228757417584,336,Monday,82.97752259999834,87.60720519999813,0.8029143999992812,barbecue,180,81.9768683000002,b,1,faceWord_exp,20,88.3090317999995,81.28330469999855,pos,0.693563600001653,T1572,9,21,11
female,41,42,0.7018571000007796,2,5.67,98.10794170000008,image_stim_p.png,-0.32263149533554664,336,Monday,93.00870649999706,97.63831839999693,0.4696233000031498,attribute,180,92.00840869999956,b,1,faceWord_exp,20,98.34017549999771,91.31487559999732,neu,0.6935331000022416,T1572,10,21,13
female,32,42,0.7039430999975593,2,4.41,105.72323109999707,image_stim_n.png,0.16339675594021513,180,Monday,103.0400501999975,105.0680840999994,0.6551469999976689,jaw,336,102.03946689999793,y,1,faceWord_exp,20,105.77202719999696,101.34875999999713,neg,0.690706900000805,T1572,11,22,12
female,41,42,0.7023804999989807,2,5.97,115.72105480000027,image_stim_p.png,-0.02119054453060663,180,Monday,113.07133929999691,115.10086479999882,0.6201900000014575,power,336,112.07080199999837,b,1,faceWord_exp,20,115.8032452999978,111.37718079999831,neu,0.6936212000000523,T1572,12,21,13
female,42,42,0.7029980999977852,2,5.72,125.83611449999808,image_stim_n.png,-0.5485436049411244,180,Monday,123.10262899999725,125.13180669999929,0.7043077999987872,apartment,336,122.10195319999912,y,1,faceWord_exp,20,125.83480479999707,121.40868389999741,neu,0.6932693000017025,T1572,13,22,13
female,32,42,0.7029825999998138,2,2.95,135.75031300000046,image_stim_n.png,3.222893544100452,180,Monday,133.13382839999758,135.16286620000028,0.5874468000001798,perjury,336,132.13325780000014,y,1,faceWord_exp,20,135.8658488000001,131.4394902999993,neg,0.6937675000008312,T1572,14,22,12
female,42,42,0.7025923999972292,2,5.19,148.5811780999975,image_stim_n.png,0.650019808676411,336,Monday,143.16510229999767,147.79413360000035,0.7870444999971369,highway,180,142.16450909999912,y,1,faceWord_exp,20,148.49672599999758,141.47061910000048,neu,0.6938899999986461,T1572,15,22,13
female,31,42,0.7024429000011878,2,7.28,155.81331719999798,image_stim_p.png,-1.6425048482978826,180,Monday,153.1964330999981,155.22595589999764,0.5873613000003388,knowledge,336,152.19579339999837,b,1,faceWord_exp,20,155.92839879999883,151.5047642999998,pos,0.6910290999985591,T1572,16,21,11
female,42,42,0.7027524000004632,2,5.65,165.84418829999777,image_stim_n.png,0.1106807997481866,180,Monday,163.2277452999988,165.25694949999888,0.587238799998886,theory,336,162.22707319999972,y,1,faceWord_exp,20,165.95970189999935,161.5332791999972,neu,0.6937940000025264,T1572,17,22,13
female,41,42,0.7035160999985237,2,5.86,178.47488089999752,image_stim_p.png,0.10630403813009667,336,Monday,173.2589913999982,177.88690119999956,0.587979699997959,whole,180,172.25843299999906,b,1,faceWord_exp,20,178.59041729999808,171.5646648999973,neu,0.6937681000017619,T1572,18,21,13
female,31,42,0.702197000002343,2,7.21,185.89017819999935,image_stim_p.png,-2.7563434535584275,180,Monday,183.29031719999693,185.31995139999708,0.5702268000022741,optimism,336,182.28959289999693,b,1,faceWord_exp,20,186.02214839999942,181.59618959999716,pos,0.6934032999997726,T1572,19,21,11
female,42,42,0.7020639999973355,2,5.15,195.90466240000023,image_stim_n.png,0.3296196251321362,180,Monday,193.32153519999702,195.35148750000008,0.5531749000001582,pan,336,192.32099559999915,y,1,faceWord_exp,20,196.0535514999974,191.62588349999714,neu,0.6951121000020066,T1572,20,22,13
female,41,42,0.7021456000002217,2,5.82,208.5354686999999,image_stim_p.png,-0.6680004122251881,336,Monday,203.35279269999955,207.9820961999976,0.5533725000022969,monkey,180,202.35219209999923,b,1,faceWord_exp,20,208.68424179999784,201.65853789999892,neu,0.6936542000003101,T1572,21,21,13
female,41,42,0.7018969999990077,2,5.5,216.03386979999777,image_stim_p.png,-0.049892793833906636,180,Monday,213.38417639999898,215.41414019999866,0.6197295999991184,nose,336,212.38346399999864,b,1,faceWord_exp,20,216.11603719999766,211.68883359999745,neu,0.6946304000011878,T1572,22,21,13
female,42,42,0.7027697000012267,2,5.5,228.68123819999892,image_stim_n.png,0.3495373155897487,336,Monday,223.4154751999995,228.0439826999973,0.6372555000016291,winter,180,222.4147473999983,y,1,faceWord_exp,20,228.7467523999985,221.72090549999848,neu,0.6938418999998248,T1572,23,22,13
female,32,42,0.7025525000026391,2,2.29,236.22987269999794,image_stim_n.png,3.4738609063027237,180,Monday,233.44683919999807,235.47606379999706,0.7538089000008767,sick,336,232.44604959999924,y,1,faceWord_exp,20,236.1786162999997,231.75126779999846,neg,0.6947818000007828,T1572,24,22,12
female,41,42,0.7022438999993028,2,5.07,248.71041390000028,image_stim_p.png,0.3228926581020319,336,Monday,243.47802260000026,248.10717870000008,0.6032352000001993,street,180,242.47727440000017,b,1,faceWord_exp,20,248.80942259999938,241.78342299999713,neu,0.6938514000030409,T1572,25,21,13
