duration_frames,word_label,response,scan day,age,correct_resp,pause_trigger,condition,word_trigger,session,pause_trigger_t,ID,onset_word,img,rt,onset_img,offset_word,word_score_warriner,gender,no,duration_measured_img,key_t,offset_img,delay_frames_before,word,img_trigger,duration_measured_word,word_score_pc,delay_frames_after
42,neg,y,Monday,22,1,32,faceWord_exp,12,6,2.7106152080232278,ELAS,1.0109411820303649,image_stim_n.png,0.4791415960062295,4.8159002950415015,1.709811378037557,3.38,female,1,0.6942971819662489,5.295041891047731,5.51019747700775,180,woe,22,0.6988701960071921,4.673386290788297,336
42,pos,b,Monday,22,1,31,faceWord_exp,11,6,12.811683517007623,ELAS,11.121255776030011,image_stim_p.png,0.4353828019811772,14.845715229050256,11.810684761032462,6.61,female,2,0.6986676379456185,15.281098031031433,15.544382866995875,180,camera,21,0.6894289850024506,-1.0219663684796234,336
42,neu,b,Monday,22,1,41,faceWord_exp,13,6,22.845650657021906,ELAS,21.15390535601182,image_stim_p.png,0.45455780101474375,27.47801508003613,21.844623233017046,5.21,female,3,0.7006629219977185,27.932572881050874,28.17867800203385,336,church,21,0.6907178770052269,0.4070035035588155,180
42,neg,y,Monday,22,1,32,faceWord_exp,12,6,32.87943037401419,ELAS,31.188176602998283,image_stim_n.png,0.35243335005361587,34.91324002499459,31.878728996030986,2.86,female,4,0.6990586700267158,35.26567337504821,35.61229869502131,180,fee,22,0.6905523930327035,2.6698720582687456,336
42,neu,y,Monday,22,1,42,faceWord_exp,13,6,42.91366842703428,ELAS,41.21963077300461,image_stim_n.png,0.6034460130031221,47.54630983702373,41.912944392999634,5.1,female,5,0.7001718059764244,48.14975585002685,48.24648164300015,336,role,22,0.693313619995024,0.07641955756997082,180
42,neg,y,Monday,22,1,32,faceWord_exp,12,6,52.947738968010526,ELAS,51.2553091699956,image_stim_n.png,0.6888738740235567,57.579377659014426,51.946794424031395,2.07,female,6,0.7010613129823469,58.26825153303798,58.28043897199677,336,funeral,22,0.691485254035797,4.494524106175375,180
42,neu,b,Monday,22,1,41,faceWord_exp,13,6,62.98171711002942,ELAS,61.29018786904635,image_stim_p.png,0.4709296729997732,65.01349543902325,61.98109185299836,5.49,female,7,0.701011260971427,65.48442511202302,65.71450669999467,180,table,21,0.6909039839520119,0.1576901893660491,336
42,neg,y,Monday,22,1,32,faceWord_exp,12,6,73.014853693021,ELAS,71.32273106300272,image_stim_n.png,0.3714208749588579,77.64776979404269,72.0147661800147,2.53,female,8,0.700798298988957,78.01919066900155,78.34856809303164,336,lost,22,0.692035117011983,3.7741942061665816,180
42,neg,y,Monday,22,1,32,faceWord_exp,12,6,83.04981318500359,ELAS,81.35650993004674,image_stim_n.png,0.5043911390239373,85.08206226100447,82.0490702240495,3.08,female,9,0.700516904995311,85.5864534000284,85.78257916599978,180,sin,22,0.6925602940027602,3.1738538072533196,336
42,neg,y,Monday,22,1,32,faceWord_exp,12,6,93.083606359025,ELAS,91.39418235304765,image_stim_n.png,0.4362145190243609,97.71809229400242,92.08280755503802,2.29,female,10,0.6985424180165865,98.15430681302678,98.416634712019,336,guilt,22,0.6886252019903623,4.2219398121868315,180
