word_score_warriner,pause_trigger,onset_word,condition,rt,word_trigger,word,word_score_pc,age,offset_word,duration_measured_img,offset_img,correct_resp,word_label,delay_frames_before,scan day,duration_frames,gender,pause_trigger_t,img_trigger,key_t,delay_frames_after,response,ID,no,onset_img,img,session,duration_measured_word
5.81,42,221.7189595000018,faceWord_exp,0.4868048999996972,13,whale,-0.8455595735963974,20,222.41287190000003,0.7023885999988124,228.74501529999907,1,neu,336,Monday,42,female,223.41357179999977,22,228.52943159999995,180,y,T1572,23,228.04262670000026,image_stim_n.png,1,0.6939123999982257
4.5,32,231.7497317999987,faceWord_exp,0.4710631000016292,12,gasp,1.3014161644429498,20,232.44433909999861,0.7030962000026193,236.17680770000152,0,neg,180,Monday,42,female,233.44493040000089,22,235.94477460000053,336,b,T1572,24,235.4737114999989,image_stim_n.png,1,0.694607299999916
7.21,31,241.7815116999991,faceWord_exp,0.6035048999983701,11,beach,-2.8031613090757777,20,242.47559499999988,0.7023831999977119,246.2080993999989,1,pos,180,Monday,42,female,243.47625899999912,21,246.10922109999956,336,b,T1572,25,245.5057162000012,image_stim_p.png,1,0.6940833000007842
3.05,32,251.81209859999944,faceWord_exp,0.7207366000002366,12,envy,3.3697994362845387,20,252.50670140000148,0.7028024000028381,258.83883680000145,1,neg,336,Monday,42,female,253.50723579999976,22,258.85677099999884,180,y,T1572,26,258.1360343999986,image_stim_n.png,1,0.6946028000020306
5.16,41,261.84430860000066,faceWord_exp,0.5038472000014735,13,truck,-0.5907285556577869,20,262.53800839999894,0.7025737000003573,266.27059329999975,1,neu,180,Monday,42,female,263.538666299999,21,266.07186680000086,336,b,T1572,27,265.5680195999994,image_stim_p.png,1,0.693699799998285
3.16,32,271.87630290000016,faceWord_exp,0.7036948000022676,12,hurricane,3.648586845460279,20,272.56930920000013,0.7023867000025348,276.3019095000018,0,neg,180,Monday,42,female,273.56991460000063,22,276.3032176000015,336,b,T1572,28,275.59952279999925,image_stim_n.png,1,0.6930062999999791
6.45,31,281.9060657000009,faceWord_exp,0.7205226000005496,11,pie,-2.2727319315779937,20,282.6006206999991,0.7025514999986626,286.33316529999865,1,pos,180,Monday,42,female,283.60130299999946,21,286.35113640000054,336,b,T1572,29,285.6306138,image_stim_p.png,1,0.6945549999982177
7.78,31,291.9374280000011,faceWord_exp,0.7036557999999786,11,kiss,-2.8785481086132907,20,292.6318500000016,0.7023614999998244,296.3644663999985,1,pos,180,Monday,42,female,293.63249580000047,21,296.36576069999865,336,b,T1572,30,295.66210489999867,image_stim_p.png,1,0.6944220000004862
5.89,41,301.9692947000003,faceWord_exp,0.5370992999996815,13,famous,-0.8050043475134195,20,302.66312539999853,0.7025046000017028,306.3958582000014,1,neu,180,Monday,42,female,303.66381000000183,21,306.23045289999936,336,b,T1572,31,305.6933535999997,image_stim_p.png,1,0.693830699998216
7.05,31,312.00102799999877,faceWord_exp,0.8373419999988982,11,lemonade,-2.146343780688921,20,312.69443129999854,0.7027901000001293,319.0264820000011,1,pos,336,Monday,42,female,313.69510730000184,21,319.1610338999999,180,b,T1572,32,318.323691900001,image_stim_p.png,1,0.6934032999997726
5.73,42,322.0316153999993,faceWord_exp,0.6871576999983517,13,field,-0.9990759838186469,20,322.72572260000015,0.702802799998608,329.0578515999987,1,neu,336,Monday,42,female,323.72636649999913,22,329.04220649999843,180,y,T1572,33,328.3550488000001,image_stim_n.png,1,0.6941072000008717
6.36,31,332.0625220000002,faceWord_exp,0.5864158000003954,11,boat,-1.0613549170130714,20,332.7570006999995,0.7019719000018085,339.08907810000164,1,pos,336,Monday,42,female,333.75761799999964,21,338.97352200000023,180,b,T1572,34,338.38710619999983,image_stim_p.png,1,0.6944786999993084
5.3,42,342.09493830000065,faceWord_exp,0.6207350000004226,13,embassy,-0.05916451699915906,20,342.7883139000005,0.7028390999985277,349.1203139999998,1,neu,336,Monday,42,female,343.7888500000008,22,349.0382099000017,180,y,T1572,35,348.41747490000125,image_stim_n.png,1,0.6933755999998539
5.42,42,352.1245382999987,faceWord_exp,0.5374539000004006,13,man,-0.277657621999038,20,352.8195326999994,0.7030090000007476,359.15158019999944,1,neu,336,Monday,42,female,353.8201958999998,22,358.9860250999991,180,y,T1572,36,358.4485711999987,image_stim_n.png,1,0.6949944000007235
6.37,31,362.1570939000012,faceWord_exp,0.5708188999997219,11,wealthy,-1.8465637543339983,20,362.85081060000084,0.7027405000008002,369.1828118000012,1,pos,336,Monday,42,female,363.8514628000012,21,369.05089020000014,180,b,T1572,37,368.4800713000004,image_stim_p.png,1,0.6937166999996407
2.05,32,372.18827539999984,faceWord_exp,0.6532187999982852,12,victim,3.457530661450998,20,372.8821078000001,0.7021013999983552,376.61464369999885,1,neg,180,Monday,42,female,373.88276509999923,22,376.5657610999988,336,y,T1572,38,375.9125423000005,image_stim_n.png,1,0.6938324000002467
4.8,32,382.219150500001,faceWord_exp,0.6543802000014693,12,mouse,1.5906822936049958,20,382.9133729999994,0.7029971000010846,389.2454241000014,1,neg,336,Monday,42,female,383.9141004999983,22,389.1968072000018,180,y,T1572,39,388.5424270000003,image_stim_n.png,1,0.6942224999984319
6.14,31,392.25167650000003,faceWord_exp,0.5537989999975252,11,limousine,-1.4783411251765788,20,392.9447265000017,0.7025782999990042,396.6772240999999,1,pos,180,Monday,42,female,393.9453164000006,21,396.5284447999984,336,b,T1572,40,395.97464580000087,image_stim_p.png,1,0.6930500000016764
4.55,32,402.2824394999989,faceWord_exp,0.637000499998976,12,meeting,0.7573178762670367,20,402.9760133999989,0.7025140000005194,409.3079880000005,1,neg,336,Monday,42,female,403.97664409999925,22,409.24247449999893,180,y,T1572,41,408.60547399999996,image_stim_n.png,1,0.6935739000000467
3.08,32,412.31469859999925,faceWord_exp,0.6370953000005102,12,aggressive,2.166851165767892,20,413.0072450000007,0.7027342000001227,416.73988929999905,1,neg,180,Monday,42,female,414.007852499999,22,416.67425039999944,336,y,T1572,42,416.0371550999989,image_stim_n.png,1,0.6925464000014472
5.17,42,422.34590409999873,faceWord_exp,0.62019650000002,13,keyboard,-0.08455950357770388,20,423.0385217000003,0.7023910999996588,426.7710718999988,1,neu,180,Monday,42,female,424.0391872,22,426.68887729999915,336,y,T1572,43,426.06868079999913,image_stim_n.png,1,0.6926176000015403
5.8,42,432.3758980999992,faceWord_exp,0.5705075000005309,13,rocket,-0.17528733847197087,20,433.0697708000007,0.7027978999976767,436.8023504999983,1,neu,180,Monday,42,female,434.0704240999985,22,436.67006010000114,336,y,T1572,44,436.0995526000006,image_stim_n.png,1,0.6938727000015206
7.25,31,442.4075792000003,faceWord_exp,0.6036204000010912,11,garden,-2.3673221107876317,20,443.10104599999977,0.7024311999994097,446.8336402999994,1,pos,180,Monday,42,female,444.1017345,21,446.73482950000107,336,b,T1572,45,446.1312091,image_stim_p.png,1,0.6934667999994417
6.47,31,452.4373897000005,faceWord_exp,0.5532915999974648,11,oak,-1.0543324261381863,20,453.13254059999963,0.7020909999992,459.4643455000005,1,pos,336,Monday,42,female,454.13310060000003,21,459.31554609999876,180,b,T1572,46,458.7622545000013,image_stim_p.png,1,0.6951508999991347
4.23,32,462.47225550000076,faceWord_exp,0.604180999998789,12,jury,1.7036686386059527,20,463.1635950000018,0.7029578000001493,469.49565900000016,1,neg,336,Monday,42,female,464.1642491999992,22,469.3968821999988,180,y,T1572,47,468.7927012,image_stim_n.png,1,0.6913395000010496
4.73,32,472.5020153000005,faceWord_exp,0.4870115000012447,12,commander,0.98843671158419,20,473.1948287000014,0.7026412999985041,479.5270406999989,1,neg,336,Monday,42,female,474.1955296999986,22,479.31141090000165,180,y,T1572,48,478.8243994000004,image_stim_n.png,1,0.6928134000008868
7.0,31,482.5364316000014,faceWord_exp,0.6046510000014678,11,zoo,-2.1296901000704778,20,483.2261424999997,0.7033719999999448,486.95867799999905,1,pos,180,Monday,42,female,484.22681920000105,21,486.8599570000006,336,b,T1572,49,486.2553059999991,image_stim_p.png,1,0.6897108999983175
4.21,32,492.56496400000105,faceWord_exp,0.3875719999996363,12,policeman,0.397042668763988,20,493.2574406999993,0.7028418999980204,496.98999729999923,1,neg,180,Monday,42,female,494.25806400000147,22,496.67472740000085,336,y,T1572,50,496.2871554000012,image_stim_n.png,1,0.6924766999982239
5.14,42,502.59499349999896,faceWord_exp,0.5041605000005802,13,spatula,-0.18281188470513854,20,503.2887128000002,0.7030424000004132,509.62074829999983,1,neu,336,Monday,42,female,504.28941530000156,22,509.4218664,180,y,T1572,51,508.9177058999994,image_stim_n.png,1,0.6937193000012485
4.23,32,512.6269204000018,faceWord_exp,0.42032300000209943,12,alligator,1.9014187675556817,20,513.3199299000007,0.7023177000010037,519.6519829999997,1,neg,336,Monday,42,female,514.3206504000009,22,519.3699883000008,180,y,T1572,52,518.9496652999987,image_stim_n.png,1,0.6930094999988796
5.71,41,522.6577279000012,faceWord_exp,0.5827725000017381,13,tourist,-0.31568469709749714,20,523.351251600001,0.6987244000010833,529.683653,1,neu,336,Monday,42,female,524.3520160000007,21,529.5677011000007,180,b,T1572,53,528.984928599999,image_stim_p.png,1,0.6935236999997869
5.8,42,532.6886137000001,faceWord_exp,0.5368890999998257,13,tomato,-1.3575770021145472,20,533.382571099999,0.7023718999989796,539.7145515999982,1,neu,336,Monday,42,female,534.3830831000014,22,539.5490687999991,180,y,T1572,54,539.0121796999993,image_stim_n.png,1,0.6939573999989079
8.47,31,542.7197182999989,faceWord_exp,0.6704891000008502,11,happy,-3.1501939707833047,20,543.4138499000001,0.7026514999997744,549.7458187999982,1,pos,336,Monday,42,female,544.4144188999999,21,549.7136563999993,180,b,T1572,55,549.0431672999985,image_stim_p.png,1,0.6941316000011284
5.22,42,552.7505144999996,faceWord_exp,0.5875082000020484,13,noun,0.11872473318936595,20,553.4451483000012,0.7031729000009364,557.1777251999993,1,neu,180,Monday,42,female,554.4456720999988,22,557.0620605000004,336,y,T1572,56,556.4745522999983,image_stim_n.png,1,0.6946338000016112
6.9,31,562.7833694000001,faceWord_exp,0.5880193999983021,11,pineapple,-1.6708771386143015,20,563.4765826000003,0.7036856999984593,567.2089660999991,1,pos,180,Monday,42,female,564.4769115000017,21,567.0932997999989,336,b,T1572,57,566.5052804000006,image_stim_p.png,1,0.693213200000173
4.9,32,572.8140854999983,faceWord_exp,0.5206042999998317,12,plot,0.2016963621838916,20,573.5076680999991,0.702826400000049,579.8397777999999,1,neg,336,Monday,42,female,574.5083292000018,22,579.6575556999996,180,y,T1572,58,579.1369513999998,image_stim_n.png,1,0.6935826000008092
7.68,31,582.8441528000003,faceWord_exp,0.43823900000279536,11,new,-1.2313279950095668,20,583.5389477999997,0.7038014999998268,587.2715022999982,1,pos,180,Monday,42,female,584.5397090000006,21,587.0059398000012,336,b,T1572,59,586.5677007999984,image_stim_p.png,1,0.6947949999994307
2.67,32,592.8763586999994,faceWord_exp,0.537242200000037,12,lonely,4.010420717126172,20,593.570635,0.7028826999994635,599.9023620000007,1,neg,336,Monday,42,female,594.5715157000013,22,599.7367215000013,180,y,T1572,60,599.1994793000013,image_stim_n.png,1,0.694276300000638
