pause_trigger,correct_resp,offset_word,word,word_score_warriner,img,word_trigger,duration_measured_img,onset_img,delay_frames_before,duration_frames,gender,rt,session,ID,delay_frames_after,scan day,word_score_pc,no,duration_measured_word,img_trigger,response,key_t,word_label,age,onset_word,offset_img,pause_trigger_t,condition
42,1,162.23280260001775,team,5.91,image_stim_n.png,13,0.6952777999686077,167.85775530000683,336,42,female,0.5635105000110343,4,Dolly,180,Monday,-0.9453395472380092,17,0.6964671000605449,22,y,168.42126580001786,neu,23,161.5363354999572,168.55303309997544,163.23386329994537,faceWord_exp
41,1,172.25590969994664,circus,5.85,image_stim_p.png,13,0.6979189999401569,175.2939681999851,180,42,female,0.6654967999784276,4,Dolly,336,Monday,-2.547043884761341,18,0.6975829999428242,21,b,175.95946499996353,neu,23,171.55832670000382,175.99188719992526,173.2566308999667,faceWord_exp
41,1,182.29573429992888,businessman,5.38,image_stim_p.png,13,0.698353800107725,185.33404479990713,180,42,female,0.6332122000167146,4,Dolly,336,Monday,0.6669259665908855,19,0.6858785999938846,21,b,185.96725699992385,neu,23,181.609855699935,186.03239860001486,183.29675979993772,faceWord_exp
41,1,192.3365044000093,red,5.67,image_stim_p.png,13,0.6991574000567198,195.37346299993806,180,42,female,0.4833780999761075,4,Dolly,336,Monday,0.4395766978022416,20,0.6948046000907198,21,b,195.85684109991416,neu,23,191.64169979991857,196.07262039999478,193.33813990000635,faceWord_exp
32,1,202.37593619991094,scream,3.02,image_stim_n.png,12,0.6946176999481395,205.40026889997534,180,42,female,0.5115588000044227,4,Dolly,336,Monday,2.6978270877422883,21,0.6951330999145284,22,y,205.91182769997977,neg,23,201.6808030999964,206.09488659992348,203.37646689999383,faceWord_exp
31,1,212.39895689999685,heroism,7.05,image_stim_p.png,11,0.6850452000508085,215.43325759994332,180,42,female,0.5361414999933913,4,Dolly,336,Monday,-2.30162279277581,22,0.6931218000827357,21,b,215.9693990999367,pos,23,211.7058350999141,216.11830279999413,213.40140829992015,faceWord_exp
41,1,222.42360859992914,baseball,5.79,image_stim_p.png,13,0.697261199937202,228.0643648999976,336,42,female,0.5150369999464601,4,Dolly,180,Monday,-0.4066038871991289,23,0.6929049999453127,21,b,228.57940189994406,neu,23,221.73070359998383,228.7616260999348,223.42514949990436,faceWord_exp
32,0,232.4657013999531,majority,4.95,image_stim_n.png,12,0.6973004000028595,238.1045085999649,336,42,female,0.39825259998906404,4,Dolly,180,Monday,0.19555716741692625,24,0.6994798999512568,22,b,238.50276119995397,neg,23,231.76622150000185,238.80180899996776,233.4659303999506,faceWord_exp
42,1,242.50303549994715,scientist,5.83,image_stim_n.png,13,0.6968087999848649,248.14526000001933,336,42,female,0.5477974999230355,4,Dolly,180,Monday,-0.5273916336755435,25,0.6957442000275478,22,y,248.69305749994237,neu,23,241.8072912999196,248.8420688000042,243.5045030999463,faceWord_exp
31,1,252.54466070001945,gratitude,6.67,image_stim_p.png,11,0.6995159999933094,258.18324119993486,336,42,female,0.401110399980098,4,Dolly,180,Monday,-2.8305869761860607,26,0.6892875001067296,21,b,258.58435159991495,pos,23,251.85537319991272,258.88275719992816,253.5461145999143,faceWord_exp
