gender,word_trigger,onset_img,scan day,onset_word,ID,pause_trigger,duration_frames,offset_word,age,word,rt,offset_img,delay_frames_after,response,word_label,no,condition,word_score_pc,key_t,delay_frames_before,img_trigger,duration_measured_img,word_score_warriner,pause_trigger_t,correct_resp,duration_measured_word,session,img
female,13,4.832891190000737,Monday,1.020782613000847,KKF,41,42,1.7391337610006303,21,embassy,0.6075352230000135,5.538500053000462,336,b,neu,1,faceWord_exp,-0.05916451699915906,5.4404264130007505,180,21,0.7056088629997248,5.3,2.7395473910000874,1,0.7183511479997833,1,image_stim_p.png
female,13,17.47127485800047,Monday,11.145409864000612,KKF,42,42,11.839161142001103,21,fence,0.67032805099916,18.172339181999632,180,y,neu,2,faceWord_exp,0.3759356543037889,18.14160290899963,336,22,0.7010643239991623,5.05,12.839652313999977,1,0.6937512780004909,1,image_stim_n.png
female,11,24.899992169999678,Monday,21.17730220700105,KKF,31,42,21.8719466800012,21,pie,0.657531345001189,25.605634928000654,336,b,pos,3,faceWord_exp,-2.2727319315779937,25.557523515000867,180,21,0.7056427580009768,6.45,22.872905779000575,1,0.6946444730001531,1,image_stim_p.png
female,11,37.53324323200104,Monday,31.211026893000962,KKF,31,42,31.905385926000235,21,moral,0.4592303869994794,38.23877353500029,180,b,pos,4,faceWord_exp,-1.1443669013398097,37.99247361900052,336,21,0.7055303029992501,6.85,32.90594113900079,1,0.694359032999273,1,image_stim_p.png
female,12,47.57170707700061,Monday,41.244687963000615,KKF,32,42,41.938534105000144,21,alligator,0.5852835740006412,48.27161964200059,180,y,neg,5,faceWord_exp,1.9014187675556817,48.15699065100125,336,22,0.6999125649999769,4.23,42.938894838000124,1,0.6938461419995292,1,image_stim_n.png
female,13,57.60457976699945,Monday,51.275876752999466,KKF,41,42,51.97113329000058,21,famous,0.5373200560006808,58.304927668001255,180,b,neu,6,faceWord_exp,-0.8050043475134195,58.14189982300013,336,21,0.7003479010018054,5.89,52.97234975500032,1,0.6952565370011143,1,image_stim_p.png
female,13,67.63833063499987,Monday,61.309003668000514,KKF,42,42,62.00484654399952,21,noun,0.5851953790006519,68.3382936449998,180,y,neu,7,faceWord_exp,0.11872473318936595,68.22352601400053,336,22,0.6999630099999194,5.22,63.0053513010007,1,0.6958428759990056,1,image_stim_n.png
female,11,75.07203326499985,Monday,71.34256054999969,KKF,31,42,72.03727266600072,21,sled,0.45279026699972746,75.77163468599974,336,b,pos,8,faceWord_exp,-1.9273821271493088,75.52482353199957,180,21,0.6996014209998975,6.35,73.03852249699958,1,0.6947121160010283,1,image_stim_p.png
female,11,87.69874292500026,Monday,81.37592416299958,KKF,31,42,82.07121311099945,21,lemonade,0.674919236000278,88.3872618559999,180,b,pos,9,faceWord_exp,-2.146343780688921,88.37366216100054,336,21,0.6885189309996349,7.05,83.07174485299947,1,0.6952889479998703,1,image_stim_p.png
female,12,95.11959972899967,Monday,91.39679721399989,KKF,32,42,92.08751252399998,21,aggressive,0.521081607999804,95.82135319699955,336,y,neg,10,faceWord_exp,2.166851165767892,95.64068133699948,180,22,0.7017534679998789,3.08,93.08816543099965,1,0.6907153100000869,1,image_stim_n.png
