word,word_trigger,pause_trigger,word_label,pause_trigger_t,no,onset_word,word_score_pc,rt,age,img,correct_resp,delay_frames_before,delay_frames_after,scan day,offset_img,gender,ID,onset_img,duration_frames,word_score_warriner,offset_word,condition,session,key_t,duration_measured_word,duration_measured_img,response,img_trigger
water,11,31,pos,454.2628761170199,46,452.5696325660101,-1.2320142343270626,0.5545726069831289,22,image_stim_p.png,1,180,336,Monday,456.9957959570165,female,PK,456.2954763150192,42,7.0,453.26224196201656,faceWord_exp,5,456.8500489220023,0.6926093960064463,0.7003196419973392,b,21
tulip,11,31,pos,464.2970952260075,47,462.6034299780149,-2.547338598571031,0.48746913200011477,22,image_stim_p.png,1,180,336,Monday,467.02992589300266,female,PK,466.32976387799135,42,7.25,463.2961828010157,faceWord_exp,5,466.81723300999147,0.6927528230007738,0.7001620150113013,b,21
dead,12,32,neg,474.3310948550061,48,472.63943668000866,4.0294120701769724,0.2886298809899017,22,image_stim_n.png,1,336,180,Monday,479.66413237701636,female,PK,478.9637178030098,42,2.02,473.33027918601874,faceWord_exp,5,479.2523476839997,0.6908425060100853,0.7004145740065724,y,22
apricot,13,42,neu,484.36501248701825,49,482.672082383011,-1.2450836009557775,0.3713599519978743,22,image_stim_n.png,0,336,180,Monday,489.6980095260078,female,PK,488.9975205720111,42,5.95,483.3643190599978,faceWord_exp,5,489.368880524009,0.6922366769867949,0.7004889539966825,b,22
awe,11,31,pos,494.3990252810181,50,492.70464258801076,-2.1428059827362134,0.5873834709927905,22,image_stim_p.png,1,180,336,Monday,497.13211387200863,female,PK,496.432036971004,42,6.85,493.39836421000655,faceWord_exp,5,497.0194204419968,0.6937216219957918,0.7000769010046497,b,21
arm,13,42,neu,504.43309156701434,51,502.73901677899994,-0.2527650722021685,0.5709038700151723,22,image_stim_n.png,1,336,180,Monday,509.76634729700163,female,PK,509.06532513699494,42,5.44,503.43239698401885,faceWord_exp,5,509.6362290070101,0.6933802050189115,0.701022160006687,y,22
desk,13,42,neu,514.4672706609999,52,512.7732164390036,0.16108323717668446,0.6052176259981934,22,image_stim_n.png,1,180,336,Monday,517.200180165004,female,PK,516.4993944250164,42,5.56,513.4663062329928,faceWord_exp,5,517.1046120510146,0.693089793989202,0.700785739987623,y,22
corn,13,42,neu,524.5011395300098,53,522.8072416880168,-1.235914274808286,0.6045762140129227,22,image_stim_n.png,1,336,180,Monday,529.8340968019911,female,PK,529.1336378419946,42,5.95,523.5003414800158,faceWord_exp,5,529.7382140560076,0.693099791998975,0.7004589599964675,y,22
stapler,13,41,neu,534.5350970849977,54,532.8421551920183,0.19443075193465506,0.5540590810123831,22,image_stim_p.png,1,336,180,Monday,539.8684474210022,female,PK,539.167817234993,42,5.25,533.5343734899943,faceWord_exp,5,539.7218763160054,0.6922182979760692,0.7006301860092208,b,21
cab,12,32,neg,544.5691758600005,55,542.875101009995,0.1828236131989572,0.555223729024874,22,image_stim_n.png,1,336,180,Monday,549.9024973449996,female,PK,549.2017053939926,42,4.81,543.5684922189976,faceWord_exp,5,549.7569291230175,0.6933912090025842,0.7007919510069769,y,22
spring,11,31,pos,554.6030619700032,56,552.9128741530003,-2.625984580876632,0.5040680610109121,22,image_stim_p.png,1,180,336,Monday,557.3364065439964,female,PK,556.6358363610052,42,7.64,553.602504237002,faceWord_exp,5,557.1399044220161,0.689630084001692,0.7005701829912141,b,21
book,11,31,pos,564.6372605659999,57,562.9431999390072,-1.1429809241505904,0.40367334699840285,22,image_stim_p.png,1,336,180,Monday,569.9703808900085,female,PK,569.2701539410045,42,7.05,563.6364725989988,faceWord_exp,5,569.6738272880029,0.693272659991635,0.7002269490039907,b,21
engineer,13,41,neu,574.6712030119961,58,572.9784120240074,-0.41434578466507305,0.48878333999891765,22,image_stim_p.png,1,180,336,Monday,577.4040653780103,female,PK,576.7030888470181,42,5.79,573.6704229610041,faceWord_exp,5,577.191872187017,0.6920109369966667,0.7009765309921931,b,21
rum,13,41,neu,584.7052109999931,59,583.0111636120128,-1.1343736111597311,0.48813506501028314,22,image_stim_p.png,1,180,336,Monday,587.4383488070162,female,PK,586.7375522920047,42,5.57,583.7045903289982,faceWord_exp,5,587.225687357015,0.6934267169854138,0.7007965150114615,b,21
jealousy,12,32,neg,594.7394646799949,60,593.0479502520175,3.693241029119933,0.47189613900263794,22,image_stim_n.png,0,336,180,Monday,600.0726235049951,female,PK,599.3721363889927,42,2.58,593.7385730660171,faceWord_exp,5,599.8440325279953,0.6906228139996529,0.7004871160024777,b,22
