word,condition,age,word_trigger,pause_trigger_t,onset_img,duration_frames,img,duration_measured_img,word_label,response,img_trigger,gender,pause_trigger,duration_measured_word,scan day,offset_word,session,key_t,delay_frames_before,onset_word,correct_resp,no,offset_img,word_score_pc,rt,word_score_warriner,delay_frames_after,ID
knowledge,faceWord_exp,21,11,2.7158001731149852,4.800123816123232,42,image_stim_p.png,0.7060059038922191,pos,b,21,female,31,0.7022259540390223,Monday,1.7124259760603309,2,1.9844663459807634,180,1.0102000220213085,1,1,5.506129720015451,-1.6425048482978826,-2.815657470142469,7.28,336,SSK22
whole,faceWord_exp,21,13,12.826208513928577,17.47203609603457,42,image_stim_p.png,0.7012729600537568,neu,b,21,female,41,0.6938601860310882,Monday,11.822748563950881,2,12.01216151798144,336,11.128888377919793,1,2,18.17330905608833,0.10630403813009667,-5.459874578053132,5.86,180,SSK22
attribute,faceWord_exp,21,13,22.886274399003014,27.53094285703264,42,image_stim_n.png,0.7023137379437685,neu,b,22,female,42,0.6909606228582561,Monday,21.88287250092253,2,22.237780432915315,336,21.191911878064275,0,3,28.23325659497641,-0.32263149533554664,-5.293162424117327,5.67,180,SSK22
asparagus,faceWord_exp,21,13,32.946402340894565,37.59297640295699,42,image_stim_n.png,0.7004860551096499,neu,b,22,female,42,0.6912736969534308,Monday,31.943089565029368,2,32.18073652801104,336,31.251815868075937,0,4,38.29346245806664,-0.34443889393116306,-5.4122398749459535,5.43,180,SSK22
summer,faceWord_exp,21,11,43.006809229031205,47.65002447203733,42,image_stim_p.png,0.7036365510430187,pos,b,21,female,31,0.6935088520403951,Monday,42.003347953082994,2,41.92529489612207,336,41.3098391010426,1,5,48.35366102308035,-1.7608811602119443,-5.724729575915262,7.5,180,SSK22
day,faceWord_exp,21,11,53.06679895403795,55.103605474112555,42,image_stim_p.png,0.703439183998853,pos,b,21,female,31,0.6943474209401757,Monday,52.06381059391424,2,51.952917060116306,180,51.369463172974065,1,6,55.80704465811141,-1.2502658664257256,-3.1506884139962494,6.36,336,SSK22
terrorist,faceWord_exp,21,12,63.127208444988355,67.77109148609452,42,image_stim_n.png,0.703084205975756,neg,y,22,female,32,0.6941836390178651,Monday,62.12370899110101,2,62.295685881050304,336,61.42952535208315,1,7,68.47417569207028,4.537930167489568,-5.475405605044216,2.35,180,SSK22
chicken,faceWord_exp,21,11,73.1866758740507,77.82538285804912,42,image_stim_p.png,0.6921118979807943,pos,b,21,female,31,0.693744600052014,Monday,72.18423344008625,2,72.00359313189983,336,71.49048884003423,1,8,78.51749475602992,-1.3205598447631597,-5.821789726149291,6.17,180,SSK22
eggplant,faceWord_exp,21,13,83.23101950599812,85.26963543402962,42,image_stim_p.png,0.700972466962412,neu,b,21,female,41,0.6908329878933728,Monday,82.22742375801317,2,82.66531503200531,180,81.5365907701198,1,9,85.97060790099204,-0.09980687036967174,-2.604320402024314,5.55,336,SSK22
fireworks,faceWord_exp,21,11,93.29087431100197,97.93457233090885,42,image_stim_p.png,0.7033917200751603,pos,b,21,female,31,0.6930358479730785,Monday,92.28769620298408,2,92.29171814210713,336,91.594660355011,1,10,98.63796405098401,-1.926056195769395,-5.642854188801721,6.8,180,SSK22
