offset_word,onset_img,rt,word_label,onset_word,duration_frames,response,scan day,word_trigger,duration_measured_word,img_trigger,pause_trigger_t,word_score_warriner,word_score_pc,age,session,duration_measured_img,gender,offset_img,condition,pause_trigger,delay_frames_before,word,key_t,no,correct_resp,delay_frames_after,ID,img
1.7119115399982547,7.407318353001756,0.6082400769992091,neg,1.01163608600109,42,y,Monday,12,0.7002754539971647,22,2.7125325560009514,2.81,3.6887696102955196,20,3,0.7058427239971934,female,8.11316107699895,faceWord_exp,32,336,malice,8.015558430000965,1,1,180,001,image_stim_n.png
11.813408885998797,14.838249014999747,0.5784836439997889,neg,11.119062785001006,42,y,Monday,12,0.6943461009977909,22,12.814954269000737,2.11,3.6129749181587063,20,3,0.6932404059989494,female,15.531489420998696,faceWord_exp,32,180,criminal,15.416732658999535,2,1,336,001,image_stim_n.png
21.831939047999185,24.85746434400062,0.5281346400006441,neg,21.137768131000485,42,y,Monday,12,0.6941709169987007,22,22.832924739999726,4.68,0.41231466195915456,20,3,0.6923682800006645,female,25.549832624001283,faceWord_exp,32,180,foot,25.385598984001263,3,1,336,001,image_stim_n.png
31.84982093399958,34.87671251700158,-3.2228067420001025,neg,31.15769580000051,42,y,Monday,12,0.6921251339990704,22,32.851103090000834,3.4,3.4172209593162717,20,3,0.6913029529969208,female,35.5680154699985,faceWord_exp,32,180,delirium,31.653905775001476,4,1,336,001,image_stim_n.png
41.868438082001376,44.89294919999884,0.612244815001759,neg,41.174667818999296,42,y,Monday,12,0.6937702630020794,22,42.8688514509995,4.7,0.33736940436804663,20,3,0.693220838002162,female,45.586170038001,faceWord_exp,32,180,radish,45.5051940150006,5,1,336,001,image_stim_n.png
51.88647797500016,54.9113900049997,0.5126967750002223,neg,51.18995332600025,42,y,Monday,12,0.6965246489999117,22,52.88758375600082,2.62,4.2618443246155895,20,3,0.6929766710018157,female,55.60436667600152,faceWord_exp,32,180,shame,55.424086779999925,6,1,336,001,image_stim_n.png
61.904850793998776,67.53117981000105,0.5953753600006166,neu,61.210395005000464,42,y,Monday,13,0.6944557889983116,22,62.905772484999034,5.89,-1.0048841857254538,20,3,0.6919146410000394,female,68.22309445100109,faceWord_exp,42,336,gum,68.12655517000167,7,1,180,001,image_stim_n.png
71.92310274299962,74.94856245900155,0.5289214240001456,pos,71.22986429299999,42,y,Monday,11,0.693238449999626,21,72.92393527799868,7.3,-1.4443598905895143,20,3,0.6920851029972255,female,75.64064756199878,faceWord_exp,31,180,raspberry,75.4774838830017,8,0,336,001,image_stim_p.png
81.94133419900027,87.56732204799846,0.6453467430001183,neu,81.24546937099876,42,b,Monday,13,0.6958648280015041,21,82.94217912800013,5.61,0.5990623206044929,20,3,0.6921618850028608,female,88.25948393300132,faceWord_exp,41,336,witness,88.21266879099858,9,1,180,001,image_stim_p.png
91.95958272500138,94.98733787799938,0.5928362790000392,pos,91.26586232599948,42,b,Monday,11,0.6937203990019043,21,92.96039892000044,7.15,-1.9498998207384868,20,3,0.7066411779996997,female,95.69397905599908,faceWord_exp,31,180,symphony,95.58017415699942,10,1,336,001,image_stim_p.png
