response,word_label,word_score_pc,pause_trigger,onset_word,delay_frames_before,word,img_trigger,scan day,offset_word,no,condition,duration_measured_img,gender,ID,offset_img,img,session,onset_img,rt,word_score_warriner,correct_resp,pause_trigger_t,word_trigger,duration_measured_word,key_t,delay_frames_after,duration_frames,age
y,neg,0.5993691927879942,32,151.71350312797586,180,rake,22,Monday,152.4080685339868,16,faceWord_exp,0.7010854100226425,male,km,156.14321126998402,image_stim_n.png,6,155.44212585996138,0.6197522630100138,4.75,1,153.40907547797542,12,0.6945654060109518,156.0618781229714,336,42,21
y,neu,-0.15774590184623308,42,161.75070122099714,336,comb,22,Monday,162.4462376050069,17,faceWord_exp,0.7017468599951826,male,km,168.78277644497575,image_stim_n.png,6,168.08102958498057,0.5572389810113236,5.65,1,163.44730707700364,13,0.6955363840097561,168.6382685659919,180,42,21
b,neu,-0.6912617476649511,41,171.79174508398864,336,soccer,21,Monday,172.484329111001,18,faceWord_exp,0.6987121129641309,male,km,178.82126112596598,image_stim_p.png,6,178.12254901300184,0.7502458299859427,5.84,1,173.48532242298825,13,0.6925840270123444,178.8727948429878,180,42,21
b,neu,-0.9476055713690849,42,181.82738794299075,180,satire,22,Monday,182.52238911698805,19,faceWord_exp,0.7015240030013956,male,km,186.2575987780001,image_stim_n.png,6,185.5560747749987,0.6898686150088906,5.81,0,183.52344456198625,13,0.6950011739972979,186.2459433900076,336,42,21
y,neg,3.7741942061665816,32,191.86455752298934,336,lost,22,Monday,192.56056613096735,20,faceWord_exp,0.7004722649580799,male,km,198.89682438096497,image_stim_n.png,6,198.1963521160069,0.5364443279686384,2.53,1,193.56144956097705,12,0.6960086079780012,198.73279644397553,180,42,21
b,neu,-0.9209473384247756,41,201.90370045398595,180,scooter,21,Monday,202.59869827498915,21,faceWord_exp,0.7003927439800464,male,km,206.3336560059688,image_stim_p.png,6,205.63326326198876,0.5686052910168655,5.42,1,203.59916260896716,13,0.6949978210031986,206.20186855300562,336,42,21
y,neu,-1.1818642926883074,42,211.94155215396313,180,prairie,22,Monday,212.63709244900383,22,faceWord_exp,0.7013906840002164,male,km,216.37174643500475,image_stim_n.png,6,215.67035575100454,0.6046829699771479,5.33,1,213.63769215595676,13,0.6955402950407006,216.27503872098168,336,42,21
b,pos,-1.8284590275958619,31,221.9794361050008,336,river,21,Monday,222.67459313495783,23,faceWord_exp,0.7015857510268688,male,km,229.01098292600363,image_stim_p.png,6,228.30939717497677,0.7040797410300002,6.72,1,223.67577636800706,11,0.6951570299570449,229.01347691600677,180,42,21
y,neu,0.1576901893660491,42,232.01770007098094,180,table,22,Monday,232.71286162600154,24,faceWord_exp,0.7015199600136839,male,km,236.44800052500796,image_stim_n.png,6,235.74648056499427,0.7215431049698964,5.49,1,233.71402905095601,13,0.6951615550206043,236.46802366996417,336,42,21
y,neg,4.673386290788297,32,242.05872446397552,336,woe,22,Monday,242.75107671995647,25,faceWord_exp,0.6977652600035071,male,km,249.08735804300522,image_stim_n.png,6,248.38959278300172,0.6021345619810745,3.38,1,243.75189515197417,12,0.6923522559809498,248.9917273449828,180,42,21
b,pos,-2.2453726125286497,31,252.09387106698705,180,dinner,21,Monday,252.78907749598147,26,faceWord_exp,0.7010585350217298,male,km,256.5241733249859,image_stim_p.png,6,255.82311478996417,0.6025525940349326,6.4,1,253.79010033298982,11,0.6952064289944246,256.4256673839991,336,42,21
,neg,4.2219398121868315,32,262.1319214570103,336,guilt,22,Monday,262.8270502499654,27,faceWord_exp,0.7025471689994447,male,km,269.1634576229844,image_stim_n.png,6,268.460910453985,,2.29,,263.82852654496673,12,0.6951287929550745,,180,42,21
y,neu,0.4070035035588155,42,272.1701971059665,180,church,22,Monday,272.8652016239939,28,faceWord_exp,0.7014102829853073,male,km,276.60043457197025,image_stim_n.png,6,275.89902428898495,0.6365104370051995,5.21,1,273.86632633797126,13,0.6950045180274174,276.53553472599015,336,42,21
y,neg,1.5036737146000605,32,282.2075924779638,336,bee,22,Monday,282.9033167549642,29,faceWord_exp,0.7015033490024507,male,km,289.23971683799755,image_stim_n.png,6,288.5382134889951,0.5056524850078858,3.68,1,283.9043985370081,12,0.6957242770004086,289.043865974003,180,42,21
b,pos,-1.2017878999114775,31,292.2459618289722,180,sun,21,Monday,292.9415139060002,30,faceWord_exp,0.7006399559904821,male,km,296.6765023219632,image_stim_p.png,6,295.9758623659727,0.5356553249876015,6.92,1,293.9424733929918,11,0.6955520770279691,296.5115176909603,336,42,21
y,neg,0.3271241198863318,32,302.2841496169567,336,mayor,22,Monday,302.97967223997694,31,faceWord_exp,0.7009337359922938,male,km,309.3158024629811,image_stim_n.png,6,308.6148687269888,0.5027024570154026,4.59,1,303.9805731049855,12,0.6955226230202243,309.1175711840042,180,42,21
y,neg,0.7240429444440241,32,312.3243509309832,180,law,22,Monday,313.0175850839587,32,faceWord_exp,0.6982713780016638,male,km,316.7526100570103,image_stim_n.png,6,316.05433867900865,0.7203157119802199,4.55,1,314.01864267798373,12,0.6932341529754922,316.77465439098887,336,42,21
b,neu,0.06851316647377265,41,322.3612304489943,180,analogy,21,Monday,323.05566404695855,33,faceWord_exp,0.7014430310227908,male,km,326.79081908101216,image_stim_p.png,6,326.08937604998937,0.5879544200142846,5.24,1,324.05676532001235,13,0.6944335979642347,326.67733047000365,336,42,21
b,pos,-2.3709211732995845,31,332.3981511669699,180,parade,21,Monday,333.09375331399497,34,faceWord_exp,0.7015912770293653,male,km,336.82890118000796,image_stim_p.png,6,336.1273099029786,0.558344733028207,6.37,1,334.0948197779944,11,0.6956021470250562,336.6856546360068,336,42,21
b,neu,0.597486551423763,41,342.4369731199695,180,medicine,21,Monday,343.1319954950013,35,faceWord_exp,0.7014716279809363,male,km,346.8669557989924,image_stim_p.png,6,346.1654841710115,0.5698599129682407,5.9,1,344.132861185004,13,0.6950223750318401,346.7353440839797,336,42,21
y,neu,-0.4928774877246448,42,352.47478235297604,336,chair,22,Monday,353.1699694140116,36,faceWord_exp,0.7018643619958311,male,km,359.50628885399783,image_stim_n.png,6,358.804424492002,0.6542442069621757,5.89,1,354.1709643859649,13,0.69518706103554,359.4586686989642,180,42,21
b,pos,-1.5755240884938977,31,362.5129939959734,336,cheese,21,Monday,363.2081178649678,37,faceWord_exp,0.7011410149862058,male,km,369.54454198497115,image_stim_p.png,6,368.84340096998494,0.6697050660150126,6.81,1,364.209184981999,11,0.6951238689944148,369.51310603599995,180,42,21
