response,word,scan day,duration_measured_img,onset_word,offset_img,age,delay_frames_before,pause_trigger_t,offset_word,word_trigger,word_score_warriner,session,ID,condition,pause_trigger,key_t,img,correct_resp,duration_measured_word,rt,no,gender,duration_frames,delay_frames_after,onset_img,word_label,word_score_pc,img_trigger
b,finger,Monday,0.7034778470406309,105.91196918301284,112.93799379304983,22,336,107.60569276602473,106.60492257110309,13,5.8,6,5,faceWord_exp,41,113.525960176019,image_stim_p.png,1,0.6929533880902454,1.2914442300098017,11,female,42,180,112.2345159460092,neu,-0.3659926056186196,21
b,read,Monday,0.7035766679327935,115.94385874306317,122.97118824301288,22,336,117.6388481950853,116.638143572025,11,6.73,6,5,faceWord_exp,31,123.07492556702346,image_stim_p.png,1,0.6942848289618269,0.8073139919433743,12,female,42,180,122.26761157508008,pos,-1.87678309604286,21
b,role,Monday,0.7033940879628062,125.97678165510297,130.40439500904176,22,180,127.67204898607451,126.67134087102022,13,5.1,6,5,faceWord_exp,41,130.5916892370442,image_stim_p.png,1,0.694559215917252,0.8906883159652352,13,female,42,336,129.70100092107896,neu,0.07641955756997082,21
b,home,Monday,0.691690708976239,136.0095319111133,140.42186407803092,22,180,137.7047385360347,136.70471412700135,11,7.48,6,5,faceWord_exp,31,140.4736695450265,image_stim_p.png,1,0.6951822158880532,0.7434961759718135,14,female,42,336,139.73017336905468,pos,-2.2232275900644445,21
b,elm,Monday,0.7032739389687777,146.02682810102124,153.054123930051,22,336,147.72162256005686,146.7210737420246,11,6.32,6,5,faceWord_exp,31,153.11018607905135,image_stim_p.png,1,0.6942456410033628,0.7593360879691318,15,female,42,180,152.3508499910822,pos,-1.1812540207039297,21
b,dinner,Monday,0.7021068050526083,156.06076041108463,163.1222256520996,22,336,157.75569274602458,156.75480435206555,11,6.4,6,5,faceWord_exp,31,163.14259877009317,image_stim_p.png,1,0.6940439409809187,0.722479923046194,16,female,42,180,162.42011884704698,pos,-2.2453726125286497,21
b,parade,Monday,0.705212738015689,166.12692479707766,173.15384618809912,22,336,167.82133912900463,166.82078655110672,11,6.37,6,5,faceWord_exp,31,173.42428433103487,image_stim_p.png,1,0.6938617540290579,0.9756508809514344,17,female,42,180,172.44863345008343,pos,-2.3709211732995845,21
y,woe,Monday,0.7010323130525649,176.16140632610768,183.18702116410714,22,336,177.85451031802222,176.85399221803527,12,3.38,6,5,faceWord_exp,32,183.25806072808336,image_stim_n.png,1,0.6925858919275925,0.7720718770287931,18,female,42,180,182.48598885105457,neg,4.673386290788297,22
y,old,Monday,0.702819459955208,186.19245382305235,193.21958259202074,22,336,187.88774717901833,186.8871620040154,12,3.19,6,5,faceWord_exp,32,193.17489518399816,image_stim_n.png,1,0.6947081809630617,0.6581320519326255,19,female,42,180,192.51676313206553,neg,1.5556418242275696,22
b,audience,Monday,0.7038017640588805,196.2258520181058,203.25364020105917,22,336,197.9209326991113,196.9203781700926,13,5.89,6,5,faceWord_exp,41,203.35856020310894,image_stim_p.png,1,0.6945261519867927,0.808721766108647,20,female,42,180,202.5498384370003,neu,-0.7656585604551551,21
y,politician,Monday,0.7037896240362898,206.26040398410987,210.6868103730958,22,180,207.95415877609048,206.95355678210035,12,3.25,6,5,faceWord_exp,32,210.67475425102748,image_stim_n.png,1,0.6931527979904786,0.691733501967974,21,female,42,336,209.9830207490595,neg,1.7380634654586231,22
y,folly,Monday,0.7033707610098645,216.2928357460769,223.31981696607545,22,336,217.9873178510461,216.9868870290229,12,4.11,6,5,faceWord_exp,32,223.47486509208102,image_stim_n.png,1,0.6940512829460204,0.8584188870154321,22,female,42,180,222.61644620506559,neg,2.52891321026023,22
b,analogy,Monday,0.6999582190765068,226.3303133280715,233.35216323810164,22,336,228.02049932000227,227.01994014903903,13,5.24,6,5,faceWord_exp,41,233.37472669710405,image_stim_p.png,1,0.6896268209675327,0.7225216780789196,23,female,42,180,232.65220501902513,neu,0.06851316647377265,21
b,handshake,Monday,0.7036671009846032,236.35986022104044,243.38635880907532,22,336,238.054019389092,237.05299216101412,11,6.21,6,5,faceWord_exp,31,243.2397611880442,image_stim_p.png,1,0.6931319399736822,0.5570694799534976,24,female,42,180,242.68269170809072,pos,-1.283661754694624,21
y,lost,Monday,0.7035685540176928,246.3918914370006,250.81945821410045,22,180,248.08696519001387,247.0858442580793,12,2.53,6,5,faceWord_exp,32,251.2242719210917,image_stim_n.png,1,0.6939528210787103,1.1083822610089555,25,female,42,336,250.11588966008276,neg,3.7741942061665816,22
b,honeymoon,Monday,0.7034625220112503,256.42624323407654,263.45262744207866,22,336,258.12010071007535,257.11958206503186,11,7.53,6,5,faceWord_exp,31,263.40710015699733,image_stim_p.png,1,0.6933388309553266,0.6579352369299158,26,female,42,180,262.7491649200674,pos,-3.0889019952949432,21
b,sun,Monday,0.7032591319875792,266.45833415701054,270.8858513070736,22,180,268.1532944730716,267.1527253780514,11,6.92,6,5,faceWord_exp,31,271.82415720506106,image_stim_p.png,1,0.6943912210408598,1.6415650299750268,27,female,42,336,270.18259217508603,pos,-1.2017878999114775,21
b,satire,Monday,0.7032733310479671,276.49202883511316,284.70233135309536,22,336,278.2367775060702,277.18594265100546,13,5.81,6,5,faceWord_exp,41,284.6068338130135,image_stim_p.png,1,0.6939138158923015,0.6077757909661159,28,female,42,180,283.9990580220474,neu,-0.9476055713690849,21
