scan day,offset_img,rt,no,response,gender,onset_word,key_t,age,duration_measured_img,correct_resp,word_trigger,img,duration_measured_word,duration_frames,img_trigger,word_score_pc,offset_word,word_label,delay_frames_after,condition,onset_img,delay_frames_before,pause_trigger,session,ID,word,pause_trigger_t,word_score_warriner
Monday,5.83670629900007,0.7095852319980622,1,b,female,1.0286712550005177,5.841134021000471,22,0.7051575099976617,1,11,image_stim_p.png,0.6970225609984482,42,21,-1.4373817092238501,1.7256938159989659,pos,336,faceWord_exp,5.131548789002409,180,31,5,01,drum,2.8965055490043596,6.05
Monday,18.5035718500003,0.949908813003276,2,b,female,11.462212513004488,18.75845335500344,22,0.6950273080001352,1,11,image_stim_p.png,0.6913852739962749,42,21,-1.2194148821621404,12.153597787000763,pos,180,faceWord_exp,17.808544542000163,336,31,5,01,penguin,13.157257320002827,6.65
Monday,26.441284307002206,0.6215184169996064,3,y,female,21.952218514001288,26.362396080003236,22,0.7004066439985763,1,13,image_stim_n.png,0.7128183899985743,42,22,-0.7502239645266248,22.665036903999862,neu,336,faceWord_exp,25.74087766300363,180,42,5,01,ticket,23.668580110999756,5.28
Monday,36.518796616001055,1.065220999000303,4,y,female,32.07149491800374,36.88992696499918,22,0.6940906500021811,1,12,image_stim_n.png,0.7039809749985579,42,22,3.693241029119933,32.775475893002294,neg,336,faceWord_exp,35.824705965998874,180,32,5,01,jealousy,33.77885765400424,2.58
Monday,49.1859003760037,0.568050879999646,5,y,female,42.14086287700047,49.05698182700144,22,0.6969694290019106,1,12,image_stim_n.png,0.6947924190026242,42,22,0.5712560851538326,42.8356552960031,neg,180,faceWord_exp,48.48893094700179,336,32,5,01,election,43.83902210299857,4.5
Monday,56.65540088999842,0.6411591680007405,6,b,female,52.20171862400457,56.59280925400526,22,0.7037508039938984,1,11,image_stim_p.png,0.6940767839987529,42,21,-1.6872526925643307,52.89579540800332,pos,336,faceWord_exp,55.95165008600452,180,31,5,01,cash,53.8992628920023,7.51
Monday,66.71605585900397,0.4502982179983519,7,y,female,62.27843174699956,66.46964539000328,22,0.6967086869990453,1,12,image_stim_n.png,0.6943591710005421,42,22,2.424733943851676,62.9727909180001,neg,336,faceWord_exp,66.01934717200493,180,32,5,01,screech,63.976164933999826,3.5
Monday,76.77636432700092,0.48354580700106453,8,y,female,72.3401428319994,76.56254741000157,22,0.6973627240004134,1,12,image_stim_n.png,0.6928361520040198,42,22,2.2468136409924253,73.03297898400342,neg,336,faceWord_exp,76.0790016030005,180,32,5,01,ambulance,74.03626952299965,3.71
Monday,88.24235300999862,0.605338307999773,9,b,female,82.39887625900155,87.92895526999928,22,0.9187360479991185,1,13,image_stim_p.png,0.694343271003163,42,21,0.2374341841762725,83.09321953000472,neu,336,faceWord_exp,87.3236169619995,180,41,5,01,number,84.09648659900267,5.59
Monday,102.6620959810025,0.48738264400162734,10,y,female,96.2696255789997,102.31498515500425,22,0.8344934699998703,1,13,image_stim_n.png,1.1130548299988732,42,22,-1.1343736111597311,97.38268040899857,neu,336,faceWord_exp,101.82760251100262,180,42,5,01,rum,98.86965231700015,5.57
