word_label,offset_img,img,pause_trigger,ID,session,word_score_pc,word,key_t,duration_measured_img,rt,correct_resp,gender,no,word_score_warriner,onset_img,age,duration_measured_word,condition,duration_frames,onset_word,pause_trigger_t,word_trigger,delay_frames_after,scan day,response,img_trigger,offset_word,delay_frames_before
neu,257.5270074,image_stim_n.png,42,x,3,0.204633139,glass,257.3627599,0.701117241,0.536869772,1,male,26,5.48,256.8258902,21,0.690060368,faceWord_exp,42,253.0758207,254.7696061,13,336,Wednesday,y,22,253.7658811,180
pos,267.6034846,image_stim_p.png,31,x,3,-1.995097156,park,267.5722708,0.701241307,0.670027486,0,male,27,7,266.9022433,21,0.694060027,faceWord_exp,42,263.1497395,264.8469598,11,336,Wednesday,y,21,263.8437995,180
pos,280.287889,image_stim_p.png,31,x,3,-2.228737994,hope,280.0105591,0.704288568,0.426958651,1,male,28,7.48,279.5836005,21,0.698101,faceWord_exp,42,273.2222945,274.9235675,11,180,Wednesday,b,21,273.9203955,336
neu,290.3479039,image_stim_p.png,41,x,3,0.151172154,sum,290.3854076,0.696032572,0.733536313,1,male,29,5.71,289.6518713,21,0.69551951,faceWord_exp,42,283.3020249,285.0011844,13,180,Wednesday,b,21,283.9975444,336
neu,297.817157,image_stim_n.png,42,x,3,0.60166049,toe,297.5862779,0.700249478,0.469370404,1,male,30,5.24,297.1169075,21,0.695429026,faceWord_exp,42,293.362629,295.061389,13,336,Wednesday,y,22,294.058058,180
pos,307.8782083,image_stim_p.png,31,x,3,-1.889477822,coffee,307.7147308,0.694784063,0.531306604,0,male,31,7,307.1834242,21,0.694510408,faceWord_exp,42,303.4401103,305.1380946,11,336,Wednesday,y,21,304.1346207,180
pos,320.5444869,image_stim_p.png,31,x,3,-2.484088238,butterfly,320.4164954,0.695169133,0.567177627,0,male,32,7.23,319.8493178,21,0.693926155,faceWord_exp,42,313.5011169,315.1983741,11,180,Wednesday,y,21,314.195043,336
neg,327.9985,image_stim_n.png,32,x,3,3.60179409,grievance,324.8769129,0.696771914,-2.424815213,1,male,33,3.45,327.3017281,21,0.690436624,faceWord_exp,42,323.5648409,325.258558,12,336,Wednesday,y,22,324.2552776,180
neu,338.058697,image_stim_n.png,42,x,3,-0.945340142,tuba,337.9456536,0.696395441,0.58335206,1,male,34,5.58,337.3623016,21,0.696991963,faceWord_exp,42,333.618441,335.31878,13,336,Wednesday,y,22,334.315433,180
neu,348.1189539,image_stim_n.png,42,x,3,0.058580232,cabinet,348.22321,0.696584817,0.800840953,1,male,35,5.1,347.422369,21,0.693913599,faceWord_exp,42,343.6815977,345.3787583,13,336,Wednesday,y,22,344.3755113,180
pos,360.7863203,image_stim_p.png,31,x,3,-1.949899821,symphony,360.4729624,0.696278305,0.382920409,0,male,36,7.15,360.090042,21,0.693788125,faceWord_exp,42,353.741705,355.4393277,11,180,Wednesday,y,21,354.4354932,336
neu,370.8464024,image_stim_p.png,41,x,3,-1.004884186,gum,370.5160667,0.695924141,0.365588441,1,male,37,5.89,370.1504782,21,0.695190613,faceWord_exp,42,363.8006226,365.4997032,13,180,Wednesday,b,21,364.4958132,336
pos,380.9065758,image_stim_p.png,31,x,3,-1.247456749,advantage,381.1972695,0.696308215,0.987001856,0,male,38,6.71,380.2102676,21,0.6930128,faceWord_exp,42,373.8630808,375.5596029,11,180,Wednesday,y,21,374.5560936,336
neg,390.9833996,image_stim_n.png,32,x,3,3.612974918,criminal,392.1563185,0.705348752,1.878267696,1,male,39,2.11,390.2780508,21,0.69269201,faceWord_exp,42,383.9229296,385.6195557,12,180,Wednesday,y,22,384.6156216,336
neg,401.0591894,image_stim_n.png,32,x,3,2.198755119,volcano,401.3157666,0.700063308,0.956640523,1,male,40,4.59,400.3591261,21,0.691684555,faceWord_exp,42,394.0014943,395.6957871,12,180,Wednesday,y,22,394.6931789,336
pos,411.1699653,image_stim_p.png,31,x,3,-1.601904751,family,411.1568537,0.706056237,0.692944601,0,male,41,7.25,410.4639091,21,0.693966209,faceWord_exp,42,404.0762161,405.7734952,11,180,Wednesday,y,21,404.7701823,336
neg,418.6404336,image_stim_n.png,32,x,3,3.58308291,cyclone,415.6011152,0.699353154,-2.339965244,1,male,42,3.47,417.9410805,21,0.694125379,faceWord_exp,42,414.1864767,415.8835908,12,336,Wednesday,y,22,414.880602,180
pos,431.3245437,image_stim_p.png,31,x,3,-1.444359891,raspberry,431.0105002,0.700294972,0.386251478,0,male,43,7.3,430.6242487,21,0.692782156,faceWord_exp,42,424.26426,425.960418,11,180,Wednesday,y,21,424.9570421,336
neg,441.4013427,image_stim_n.png,32,x,3,1.919770002,belch,441.3229529,0.702549823,0.624159998,1,male,44,4.18,440.6987929,21,0.693864969,faceWord_exp,42,434.3399454,436.0378392,12,180,Wednesday,y,22,435.0338104,336
neu,448.8714031,image_stim_p.png,41,x,3,-1.78781044,harp,,0.690904682,,,male,45,5.4,448.1804984,21,0.694881293,faceWord_exp,42,444.4161758,446.11399,13,336,Wednesday,,21,445.1110571,180
