img,correct_resp,word_label,delay_frames_after,no,duration_measured_img,scan day,gender,response,word_score_pc,word_trigger,word_score_warriner,age,ID,offset_img,word,img_trigger,delay_frames_before,onset_img,pause_trigger_t,onset_word,pause_trigger,offset_word,duration_frames,session,condition,key_t,duration_measured_word,rt
image_stim_p.png,1,neu,336,1,0.7008992510018288,Monday,female,b,-0.17528733847197087,13,5.8,20,001,5.508401228002185,rocket,21,180,4.807501977000356,2.718578707001143,1.0197860700027377,41,1.7185006060026353,42,1,faceWord_exp,5.704771778000577,0.6987145359998976,0.8972698010002205
image_stim_p.png,1,pos,180,2,0.6929299760013237,Monday,female,b,-2.40140153221556,11,8.0,20,001,18.120813281002484,love,21,336,17.42788330500116,12.803297833001125,11.10719932900247,31,11.802509896002448,42,1,faceWord_exp,17.93990445700183,0.6953105669999786,0.5120211520006706
image_stim_p.png,1,neu,180,3,0.6933037740018335,Monday,female,b,-0.8455595735963974,13,5.81,20,001,28.139104098001553,whale,21,336,27.44580032399972,22.82177055700231,21.127329199000087,41,21.82088593300068,42,1,faceWord_exp,27.95924861200183,0.6935567340005946,0.5134482880021096
image_stim_p.png,1,neu,180,4,0.6916145549985231,Monday,female,b,-0.05916451699915906,13,5.3,20,001,38.17398580900044,embassy,21,336,37.48237125400192,32.85662302900164,31.147636904999672,41,31.85580597900116,42,1,faceWord_exp,37.99418579000121,0.7081690740014892,0.5118145359992923
image_stim_n.png,1,neu,180,5,0.6946711630007485,Monday,female,y,0.11872473318936595,13,5.22,20,001,48.19202676200075,noun,22,336,47.497355599,42.874619432001055,41.17873534300088,42,41.87378703200011,42,1,faceWord_exp,47.8614758290023,0.6950516889992286,0.36412023000229965
image_stim_n.png,0,neu,180,6,0.6912631490013155,Monday,female,b,-0.277657621999038,13,5.42,20,001,58.21039025800201,man,22,336,57.51912710900069,52.8931306600025,51.19621912100047,42,51.892133463999926,42,1,faceWord_exp,58.36336265800128,0.6959143429994583,0.8442355490005866
image_stim_n.png,1,neg,336,7,0.6918896819988731,Monday,female,y,1.3014161644429498,12,4.5,20,001,65.62906242100144,gasp,22,180,64.93717273900256,62.91106322199994,61.21689596800206,32,61.91024629500316,42,1,faceWord_exp,65.38041679399976,0.6933503270010988,0.4432440549971943
image_stim_n.png,1,neu,180,8,0.6930425089994969,Monday,female,y,-0.3369766028281135,13,5.26,20,001,78.2467220159997,corkscrew,22,336,77.5536795070002,72.92926570200143,71.2342053780012,42,71.92858290799995,42,1,faceWord_exp,78.14962358400226,0.6943775299987465,0.5959440770020592
image_stim_p.png,1,pos,336,9,0.6918741939989559,Monday,female,b,-2.1296901000704778,11,7.0,20,001,85.66469247500208,zoo,21,180,84.97281828100313,82.94775598400156,81.25242055000126,31,81.94686512400222,42,1,faceWord_exp,85.76734341200063,0.6944445740009542,0.7945251309974992
image_stim_p.png,1,pos,180,10,0.706612762001896,Monday,female,b,-1.9273821271493088,11,6.35,20,001,98.2997733450029,sled,21,336,97.59316058300101,92.96603286000027,91.2698378080022,31,91.96465188300135,42,1,faceWord_exp,98.08676910200302,0.694814074999158,0.4936085190020094
image_stim_n.png,1,neg,180,11,0.693596618999436,Monday,female,y,2.3815246085651838,12,3.32,20,001,108.31814435300112,bribe,22,336,107.62454773400168,103.0007940989999,101.30485621900152,32,101.9998286730006,42,1,faceWord_exp,108.18741919900276,0.6949724539990711,0.5628714650010807
image_stim_n.png,1,neg,180,12,0.6917054379991896,Monday,female,y,0.5814463879932942,12,4.95,20,001,118.33610467700055,sandpaper,22,336,117.64439923900136,113.0190608030025,111.32347601299989,32,112.0180989770015,42,1,faceWord_exp,118.27264332600316,0.6946229640016099,0.6282440870018036
image_stim_n.png,1,neu,180,13,0.6921260390008683,Monday,female,y,-0.9222259722889368,13,5.67,20,001,128.35462141000244,beer,22,336,127.66249537100157,123.03713282900208,121.3400677790014,42,122.0363764950016,42,1,faceWord_exp,128.2581594430012,0.6963087160002033,0.5956640719996358
image_stim_n.png,1,neg,180,14,0.6928618809979525,Monday,female,y,3.3697994362845387,12,3.05,20,001,138.3727296190009,envy,22,336,137.67986773800294,133.05514644100185,131.35883254600049,32,132.05458572100179,42,1,faceWord_exp,138.24172471100246,0.6957531750013004,0.5618569729995215
image_stim_p.png,1,pos,180,15,0.6927717580001627,Monday,female,b,-2.146343780688921,11,7.05,20,001,148.39102157600064,lemonade,21,336,147.69824981800048,143.0737301170011,141.3779752650007,31,142.07294242600256,42,1,faceWord_exp,148.06116088900308,0.6949671610018413,0.3629110710025998
image_stim_n.png,1,neg,336,16,0.6917354530014563,Monday,female,y,0.397042668763988,12,4.21,20,001,155.80889444300192,policeman,22,180,155.11715899000046,153.09188498000003,151.39621397500014,32,152.0910886970014,42,1,faceWord_exp,155.7451525530014,0.6948747220012592,0.6279935630009277
image_stim_p.png,1,pos,336,17,0.6918987829994876,Monday,female,b,-1.8465637543339983,11,6.37,20,001,165.8269274930026,wealthy,21,180,165.1350287100031,163.10991501600074,161.41383119500097,31,162.10926199200185,42,1,faceWord_exp,165.8627893640005,0.6954307970008813,0.7277606539973931
image_stim_n.png,1,neg,180,18,0.6939928749998217,Monday,female,y,2.561630339716405,12,3.52,20,001,178.44562585099993,hospital,22,336,177.7516329760001,173.12839791400256,171.43316687100014,32,172.12747626599958,42,1,faceWord_exp,178.18142985600207,0.6943093949994363,0.4297968800019589
image_stim_n.png,0,neg,336,19,0.6920774270001857,Monday,female,b,0.13451130194660302,12,4.65,20,001,185.8635243460012,diplomat,22,180,185.17144691900103,183.14661580600296,181.45107268700303,32,182.14576733899958,42,1,faceWord_exp,185.6660378380002,0.6946946519965422,0.4945909189991653
image_stim_p.png,1,pos,336,20,0.6945372490008594,Monday,female,b,-1.6708771386143015,11,6.9,20,001,195.88168344500082,pineapple,21,180,195.18714619599996,193.16462372100068,191.46955396400153,31,192.16394336899975,42,1,faceWord_exp,195.80092721300025,0.6943894049982191,0.6137810170002922
image_stim_p.png,1,neu,180,21,0.692099583997333,Monday,female,b,-1.3575770021145472,13,5.8,20,001,208.5003713900005,tomato,21,336,207.80827180600318,203.18307889000062,201.4872260709999,41,202.1822042269996,42,1,faceWord_exp,208.20333868000307,0.6949781559997064,0.3950668739998946
image_stim_n.png,1,neg,180,22,0.692033626997727,Monday,female,y,1.5906822936049958,12,4.8,20,001,218.51841930299997,mouse,22,336,217.82638567600225,213.2012406419999,211.50528808000308,32,212.20039524700042,42,1,faceWord_exp,218.372015328001,0.6951071669973317,0.5456296519987518
image_stim_n.png,1,neg,180,23,0.6952779100029147,Monday,female,y,3.2148840110758776,12,4.0,20,001,228.53670650800268,avalanche,22,336,227.84142859799977,223.2193449760016,221.52245193999988,32,222.21860811700026,42,1,faceWord_exp,228.23900590800258,0.6961561770003755,0.3975773100028164
image_stim_p.png,1,pos,180,24,0.7073894999994081,Monday,female,b,-1.0613549170130714,11,6.36,20,001,238.5716749730018,boat,21,336,237.86428547300238,233.23764785599997,231.54257483200126,31,232.23683549100315,42,1,faceWord_exp,238.4906992670003,0.694260659001884,0.6264137939979264
