onset_img,duration_measured_word,delay_frames_after,word,word_label,onset_word,rt,key_t,img_trigger,pause_trigger,gender,word_score_pc,duration_frames,no,word_trigger,word_score_warriner,offset_img,response,offset_word,age,session,img,ID,delay_frames_before,condition,scan day,pause_trigger_t,correct_resp,duration_measured_img
7.40421976998914,0.699361986014992,180,screech,neg,1.0078493600012735,0.8589097050135024,8.263129475002643,22,32,female,2.424733943851676,42,1,12,3.5,8.110276548017282,y,1.7072113460162655,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,2.7061856979853474,1,0.7060567780281417
17.80825153097976,0.691395617031958,180,mandolin,neu,11.490892037982121,0.5450623210053891,18.35331385198515,21,41,female,-1.4097678477610591,42,2,13,5.7,18.501969232980628,b,12.182287655014079,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,13.180551422003191,1,0.6937177020008676
27.81417521496769,0.6944241769961081,180,dread,neg,21.498668493994046,0.46588970604352653,28.280064921011217,22,32,female,4.006417686109669,42,3,12,3.0,28.510585644980893,y,22.193092670990154,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,23.191507364972495,1,0.6964104300132021
37.817596448992845,0.6935081270057708,180,ambulance,neg,31.509090639010537,0.5959711499745026,38.41356759896735,22,32,female,2.2468136409924253,42,4,12,3.71,38.52044594998006,y,32.20259876601631,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,33.20091264299117,1,0.7028495009872131
47.834348012984265,0.6934499429771677,180,newspaper,neu,41.51853767898865,0.5487207950209267,48.38306880800519,21,41,female,0.3309936143559913,42,5,13,5.11,48.53110087499954,b,42.21198762196582,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,43.21024306898471,1,0.6967528620152734
57.843041026964784,0.6930151989799924,180,drum,pos,51.52830399398226,0.6013282090425491,58.44436923600733,21,31,female,-1.4373817092238501,42,6,11,6.05,58.540135907998774,b,52.221319192962255,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,53.21942260401556,1,0.6970948810339905
65.25241142697632,0.6948015639791265,336,water,pos,61.53725911700167,0.6064296170370653,65.85884104401339,21,31,female,-1.2320142343270626,42,7,11,7.0,65.94010530796368,b,62.232060680980794,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,63.23031166801229,1,0.6876938809873536
77.84153972601052,0.694894045998808,180,number,neu,71.5304989569704,0.6401635349611752,78.4817032609717,21,41,female,0.2374341841762725,42,8,13,5.59,78.54269654396921,b,72.22539300296921,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,73.22269328701077,1,0.7011568179586902
87.85101169999689,0.693447781028226,180,peaceful,pos,81.54116039897781,0.7545792490127496,88.60559094900964,21,31,female,-2.641671297166366,42,9,11,8.0,88.55272729997523,b,82.23460818000603,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,83.23316257400438,1,0.7017155999783427
95.26566083199577,0.6942727820132859,336,applause,pos,91.54964414599817,0.7237507969839498,95.98941162897972,21,31,female,-2.3591802685249372,42,10,11,7.12,95.95176709000953,b,92.24391692801146,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,93.24218528001802,1,0.6861062580137514
