duration_frames,onset_img,word,duration_measured_word,img_trigger,word_trigger,age,pause_trigger,no,word_score_pc,word_score_warriner,word_label,img,response,pause_trigger_t,scan day,correct_resp,offset_word,ID,delay_frames_after,duration_measured_img,delay_frames_before,rt,session,key_t,gender,offset_img,condition,onset_word
24,6.9937263000174426,desk,0.7033405000111088,21,13,22,41,1,0.16108323717668446,5.56,neu,image_stim_p.png,b,3.899151499965228,Monday,1,2.340884900011588,B12,336,0.7106712999520823,180,2.0199091999675147,5,9.013635499984957,female,7.704397599969525,faceWord_exp,1.637544400000479
24,21.613268800021615,tulip,0.5909300000057556,21,11,22,31,2,-2.547338598571031,7.25,pos,image_stim_p.png,b,18.428472400002647,Monday,1,16.9305355999968,B12,336,0.9290748999919742,180,1.4832043999922462,5,23.09647320001386,female,22.54234370001359,faceWord_exp,16.339605599991046
24,41.10318269999698,carrot,0.5792405999964103,21,13,22,41,3,-0.32385553549685003,5.79,neu,image_stim_p.png,b,33.85681829997338,Monday,1,32.26176550000673,B12,180,0.6600102999946102,336,2.5440511999768205,5,43.6472338999738,female,41.76319299999159,faceWord_exp,31.68252490001032
24,55.99299950001296,tea,0.6502481999923475,21,11,22,31,4,-1.410303556989907,6.56,pos,image_stim_p.png,b,48.59550330002094,Monday,1,47.09617319999961,B12,180,0.6119823000044562,336,1.4234297999646515,5,57.41642929997761,female,56.60498180001741,faceWord_exp,46.445925000007264
24,71.72527210001135,dime,0.712584400025662,22,13,22,42,5,-0.8220066925000616,5.58,neu,image_stim_n.png,,64.36257290001959,Monday,,62.576579899992794,B12,180,0.5956257999641821,336,,5,,female,72.32089789997553,faceWord_exp,61.86399549996713
24,82.19480369996745,election,0.6549188999924809,22,12,22,32,6,0.5712560851538326,4.5,neg,image_stim_n.png,y,79.13881580001907,Monday,1,77.63771229999838,B12,336,0.7002654999960214,180,1.8929394000442699,5,84.08774310001172,female,82.89506919996347,faceWord_exp,76.9827934000059
24,101.35400609998032,wit,0.6063133000279777,21,11,22,31,7,-1.2397352233188434,7.25,pos,image_stim_p.png,b,94.08158070000354,Monday,1,92.56088160001673,B12,180,0.6180719000403769,336,1.9917930000228807,5,103.3457991000032,female,101.9720780000207,faceWord_exp,91.95456829998875
24,116.65109299996402,theater,0.8896117999684066,21,11,22,31,8,-1.8816288507581482,6.14,pos,image_stim_p.png,b,109.24453339999309,Monday,1,107.55277999996906,B12,180,0.6576655000098981,336,2.6032145000062883,5,119.25430749997031,female,117.30875849997392,faceWord_exp,106.66316820000065
24,131.48732070002006,apricot,0.6306642999988981,22,13,22,42,9,-1.2450836009557775,5.95,neu,image_stim_n.png,y,124.09352819999913,Monday,1,122.5918106000172,B12,180,0.7894938999670558,336,1.7316080999444239,5,133.2189287999645,female,132.27681459998712,faceWord_exp,121.9611463000183
24,142.54565079999156,editor,0.5933610000065528,22,13,22,42,10,0.14106522732466809,5.43,neu,image_stim_n.png,y,139.12904909998178,Monday,1,137.62598020001315,B12,336,0.6623086999752559,180,1.6840974999940954,5,144.22974829998566,female,143.20795949996682,faceWord_exp,137.0326192000066
24,162.3460690000211,army,0.6465853999834508,22,12,22,32,11,1.399169263323496,4.65,neg,image_stim_n.png,y,154.90966190001927,Monday,1,153.39175469998736,B12,180,0.7121976999915205,336,0.756063099950552,5,163.10213209997164,female,163.0582667000126,faceWord_exp,152.7451693000039
24,173.43241720000515,mandolin,0.8072511000209488,22,13,22,42,12,-1.4097678477610591,5.7,neu,image_stim_n.png,y,170.26626830000896,Monday,1,168.6190837000031,B12,336,0.6183488999959081,180,3.0681017999886535,5,176.5005189999938,female,174.05076610000106,faceWord_exp,167.81183259998215
24,188.40940770000452,book,0.6860153999878094,21,11,22,31,13,-1.1429809241505904,7.05,pos,image_stim_p.png,b,185.1660982000176,Monday,1,183.66906919999747,B12,336,0.6239514999906532,180,2.808783999993466,5,191.218191699998,female,189.03335919999518,faceWord_exp,182.98305380000966
24,207.4830344999791,mushroom,0.6228998999577016,22,13,22,42,14,0.08756588783899029,5.61,neu,image_stim_n.png,y,200.41403749998426,Monday,1,198.78342499997234,B12,180,0.6169029999873601,336,1.7995001000235789,5,209.2825346000027,female,208.09993749996647,faceWord_exp,198.16052510001464
24,222.04732589999912,screech,0.5891521000303328,22,12,22,32,15,2.424733943851676,3.5,neg,image_stim_n.png,y,214.97289729997283,Monday,1,213.47222820000025,B12,180,0.6828110999776982,336,2.1703368999878876,5,224.217662799987,female,222.73013699997682,faceWord_exp,212.8830760999699
24,233.12709299998824,water,0.7388979999814183,21,11,22,31,16,-1.2320142343270626,7.0,pos,image_stim_p.png,b,229.97390450001694,Monday,1,228.45423889998347,B12,336,0.7559687999892049,180,1.713862499978859,5,234.8409554999671,female,233.88306179997744,faceWord_exp,227.71534090000205
24,248.47610899998108,spring,0.7550348999793641,21,11,22,31,17,-2.625984580876632,7.64,pos,image_stim_p.png,b,245.39775639999425,Monday,1,243.80499869998312,B12,336,0.7653356000082567,180,1.5090458000195213,5,249.9851548000006,female,249.24144459998934,faceWord_exp,243.04996380000375
24,263.9106588999857,cash,0.6838415999663994,21,11,22,31,18,-1.6872526925643307,7.51,pos,image_stim_p.png,b,260.69980130001204,Monday,1,258.9487273999839,B12,336,0.6203591999947093,180,1.927311900013592,5,265.8379707999993,female,264.53101809998043,faceWord_exp,258.2648858000175
