key_t,onset_word,img_trigger,word_score_warriner,ID,pause_trigger,duration_frames,word,scan day,pause_trigger_t,word_trigger,offset_word,session,correct_resp,response,condition,no,offset_img,word_label,delay_frames_before,delay_frames_after,gender,rt,duration_measured_img,age,img,word_score_pc,onset_img,duration_measured_word
8.04831278900383,1.0146699380129576,22,3.63,1,32,42,tornado,Monday,2.709101209009532,12,1.7111013910034671,1,1,y,faceWord_exp,1,8.095919396029785,neg,336,180,female,0.6513541070162319,0.6989607140421867,23,image_stim_n.png,3.6605330306018913,7.3969586819875985,0.6964314529905096
15.481174101994839,11.094285617000423,21,6.15,1,31,42,plum,Monday,12.785364959039725,11,11.787196702032816,1,1,b,faceWord_exp,2,15.511683032033034,pos,180,336,female,0.6658674579812214,0.6963763880194165,23,image_stim_p.png,-1.1648995537800455,14.815306644013617,0.6929110850323923
28.120681673986837,21.102680377021898,21,5.67,1,41,42,beer,Monday,22.795092904008925,13,21.796908679010812,1,1,b,faceWord_exp,3,28.11534711002605,neu,336,180,female,0.707050826982595,0.7017162630218081,23,image_stim_p.png,-0.9222259722889368,27.413630847004242,0.6942283019889146
38.094390892016236,31.113638018025085,22,5.8,1,42,42,rocket,Monday,32.80480840202654,13,31.806606728001498,1,1,y,faceWord_exp,4,38.125092509028036,neu,336,180,female,0.6728074629791081,0.7035090799909085,23,image_stim_n.png,-0.17528733847197087,37.42158342903713,0.6929687099764124
48.02085363504011,41.123345880012494,21,6.47,1,31,42,oak,Monday,42.815948717994615,11,41.8179399400251,1,1,b,faceWord_exp,5,48.118246161029674,pos,336,180,female,0.5901614550384693,0.6875539810280316,23,image_stim_p.png,-1.0543324261381863,47.43069218000164,0.694594060012605
58.064416054985486,51.11644537904067,22,4.55,1,32,42,meeting,Monday,52.80772224400425,12,51.80955196602736,1,1,y,faceWord_exp,6,58.11132055101916,neg,336,180,female,0.6405725499498658,0.6874770459835418,23,image_stim_n.png,0.7573178762670367,57.42384350503562,0.693106586986687
68.32557720603654,61.112147746025585,22,3.05,1,32,42,envy,Monday,62.80100381199736,12,61.80238709499827,1,1,y,faceWord_exp,7,68.12110535503598,neg,336,180,female,0.9067436490440741,0.7022717980435118,23,image_stim_n.png,3.3697994362845387,67.41883355699247,0.6902393489726819
75.52330216602422,71.11778398003662,22,4.23,1,32,42,alligator,Monday,72.81069332401967,12,71.81242546101566,1,1,y,faceWord_exp,8,75.53677817300195,neg,180,336,female,0.6891995890182443,0.7026755959959701,23,image_stim_n.png,1.9014187675556817,74.83410257700598,0.694641480979044
85.45200786401983,81.12848463101545,22,5.71,1,42,42,tourist,Monday,82.8204409640166,13,81.82217588200001,1,1,y,faceWord_exp,9,85.54656393802725,neu,180,336,female,0.6081988840014674,0.7027549580088817,23,image_stim_n.png,-0.31568469709749714,84.84380898001837,0.693691250984557
95.45884130202467,91.13888932100963,22,4.23,1,32,42,jury,Monday,92.83013274602126,12,91.83185812702868,1,1,y,faceWord_exp,10,95.53962908900576,neg,180,336,female,0.6068236280116253,0.6876114149927162,23,image_stim_n.png,1.7036686386059527,94.85201767401304,0.6929688060190529
105.46898574900115,101.13008414104115,21,5.8,1,41,42,tomato,Monday,102.82323453499703,13,101.82504262501607,1,1,b,faceWord_exp,11,105.5494348279899,neu,180,336,female,0.6202116289641708,0.7006607079529203,23,image_stim_p.png,-1.3575770021145472,104.84877412003698,0.694958483974915
115.63063679001061,111.1409567000228,21,7.09,1,31,42,woman,Monday,112.83299273898592,11,111.83473180700094,1,1,b,faceWord_exp,12,115.5425806560088,pos,180,336,female,0.775169227970764,0.6871130939689465,23,image_stim_p.png,-1.7483058493195842,114.85546756203985,0.693775106978137
128.33144242799608,121.13393983902643,21,5.73,1,41,42,field,Monday,122.8260712880292,13,121.82790054101497,1,1,b,faceWord_exp,13,128.12958332599374,neu,336,180,female,0.8893560179858468,0.6874969159835018,23,image_stim_p.png,-0.9990759838186469,127.44208641001023,0.6939607019885443
135.5347222420387,131.12788740801625,21,7.13,1,31,42,lake,Monday,132.81908324500546,11,131.82080028404016,1,1,b,faceWord_exp,14,135.5453000960406,pos,180,336,female,0.6881558040040545,0.6987336580059491,23,image_stim_p.png,-1.5151286486205269,134.84656643803464,0.6929128760239109
145.59058593999362,141.13558007002575,22,4.5,1,32,42,gasp,Monday,142.82896283600712,12,141.83080642099958,1,1,y,faceWord_exp,15,145.53843734698603,neg,180,336,female,0.7389489559573121,0.6868003629497252,23,image_stim_n.png,1.3014161644429498,144.8516369840363,0.6952263509738259
158.01132038701326,151.12842375499895,21,8.37,1,31,42,fun,Monday,152.822047810012,11,151.82360655802768,1,1,b,faceWord_exp,16,158.14218891604105,pos,336,180,female,0.5716459830291569,0.7025145120569505,23,image_stim_p.png,-3.2613064969771037,157.4396744039841,0.6951828030287288
168.07159205700736,161.1385280630202,22,5.16,1,42,42,truck,Monday,162.83187253400683,13,161.83319620002294,1,1,y,faceWord_exp,17,168.1519785420387,neu,336,180,female,0.6214252269710414,0.7018117120023817,23,image_stim_n.png,-0.5907285556577869,167.45016683003632,0.6946681370027363
177.99807947600493,171.14795773103833,21,8.0,1,31,42,love,Monday,172.84160618798342,11,171.84308511100244,1,1,b,faceWord_exp,18,178.16166194400284,pos,336,180,female,0.539204269007314,0.7027867370052263,23,image_stim_p.png,-2.40140153221556,177.45887520699762,0.6951273799641058
185.39954041002784,181.15920890204143,21,6.37,1,31,42,wealthy,Monday,182.85126830101945,11,181.8528527970193,1,1,b,faceWord_exp,19,185.57745719398372,pos,180,336,female,0.5243490380235016,0.7022658219793811,23,image_stim_p.png,-1.8465637543339983,184.87519137200434,0.6936438949778676
198.1007740140194,191.16805395198753,22,4.0,1,32,42,avalanche,Monday,192.86102756101172,12,191.8624449269846,1,1,y,faceWord_exp,20,198.18110826204065,neg,336,180,female,0.6198963770293631,0.7002306250506081,23,image_stim_n.png,3.2148840110758776,197.48087763699004,0.6943909749970771
208.12649544503074,201.1777329230099,21,7.21,1,31,42,beach,Monday,202.8707817750401,11,201.87206372100627,1,1,b,faceWord_exp,21,208.17419084603898,pos,336,180,female,0.640146067016758,0.6878414680249989,23,image_stim_p.png,-2.8031613090757777,207.48634937801398,0.694330797996372
,211.1730470940238,21,6.14,1,31,42,limousine,Monday,212.8651692600106,11,211.866868867015,1,,,faceWord_exp,22,215.59096686000703,pos,180,336,female,,0.7000853039789945,23,image_stim_p.png,-1.4783411251765788,214.89088155602803,0.693821772991214
