condition,duration_measured_img,duration_frames,pause_trigger,scan day,offset_word,img,rt,pause_trigger_t,word_score_pc,img_trigger,correct_resp,gender,duration_measured_word,offset_img,word_score_warriner,age,response,key_t,onset_word,onset_img,session,delay_frames_before,no,word_trigger,delay_frames_after,word_label,word,ID
faceWord_exp,0.6947465100092813,42,32,Monday,1.712581517000217,image_stim_n.png,1.529899524000939,2.71325420300127,1.239138220826116,22,1,male,0.7016812630026834,5.479214995008078,4.95,22,y,6.314368008999736,1.0109002539975336,4.784468484998797,3,180,1,12,336,neg,debate,14
faceWord_exp,0.6905546339985449,42,32,Monday,11.779007067001658,image_stim_n.png,1.7427164419932524,12.779720282007474,3.6887696102955196,22,1,male,0.6934762580058305,18.095494159002556,2.81,22,y,19.147655966997263,11.085530808995827,17.40493952500401,3,336,2,12,180,neg,malice,14
faceWord_exp,0.6910214660019847,42,32,Monday,21.79539241900784,image_stim_n.png,0.6932903709966922,22.796082430999377,0.41231466195915456,22,1,male,0.6945484320021933,25.51188489800552,4.68,22,y,25.514153803000227,21.100843987005646,24.820863432003534,3,180,3,12,336,neg,foot,14
faceWord_exp,0.6909933629940497,42,31,Monday,31.811736756993923,image_stim_p.png,1.3763417229929473,32.81244714499917,-2.484088237918995,21,1,male,0.6933364159922348,35.52837834900129,7.23,22,b,36.213726709000184,31.11840034100169,34.83738498600724,3,180,4,11,336,pos,butterfly,14
faceWord_exp,0.706797685008496,42,42,Monday,41.82812277400808,image_stim_n.png,0.926098471012665,42.828832753002644,-0.23071750329615884,22,1,male,0.6935167430056026,45.561425730003975,5.63,22,y,45.780726516008144,41.13460603100248,44.85462804499548,3,180,5,13,336,neu,pen,14
faceWord_exp,0.6910672570083989,42,32,Monday,51.861206800997024,image_stim_n.png,0.7924813620047644,52.861885892998544,2.3068979902815,22,1,male,0.6949776969995582,55.57782603500527,3.28,22,y,55.67924014000164,51.166229103997466,54.886758777996874,3,180,6,12,336,neg,trial,14
faceWord_exp,0.6909101420023944,42,32,Monday,61.87724843999604,image_stim_n.png,0.6772379890026059,62.878099096007645,1.9197700017151131,22,1,male,0.6941325649968348,68.19385871599661,4.18,22,y,68.18018656299682,61.1831158749992,67.50294857399422,3,336,7,12,180,neg,belch,14
faceWord_exp,0.691569390008226,42,32,Monday,71.89398227899801,image_stim_n.png,0.6600187860021833,72.89475164399482,1.8802224749820768,22,1,male,0.6944588879996445,75.61032815900398,3.95,22,y,75.57877755499794,71.19952339099837,74.91875876899576,3,180,8,12,336,neg,dusty,14
faceWord_exp,0.6910598050017143,42,31,Monday,81.9103730610077,image_stim_p.png,0.6438689069909742,82.91104847399401,-1.2474567486001964,21,1,male,0.6930193700100062,88.22687078300805,6.71,22,b,88.17967988499731,81.2173536909977,87.53581097800634,3,336,9,11,180,pos,advantage,14
faceWord_exp,0.6910348029923625,42,42,Monday,91.9267589719966,image_stim_n.png,1.1600723960000323,92.92742325100699,0.30770997164376424,22,1,male,0.6947583399887662,95.64336749499489,5.73,22,y,96.11240508800256,91.23200063200784,94.95233269200253,3,180,10,13,336,neu,reality,14
faceWord_exp,0.7057221249997383,42,32,Monday,101.94314711799962,image_stim_n.png,0.7406233999936376,102.94380825800181,3.6017940902369654,22,1,male,0.6933760770043591,105.6764068640041,3.45,22,y,105.71130813899799,101.24977104099526,104.97068473900435,3,180,11,12,336,neg,grievance,14
faceWord_exp,0.6909209639998153,42,31,Monday,111.97618646699993,image_stim_p.png,0.9603142999985721,112.97685244800232,-1.0930411682114536,21,1,male,0.6946129080024548,115.69283295499918,6.62,22,b,115.96222629099793,111.28157355899748,115.00191199099936,3,180,12,11,336,pos,goldfish,14
faceWord_exp,0.690688347996911,42,31,Monday,121.99257416500768,image_stim_p.png,0.7095553069957532,122.9932376969955,-1.0841943171680315,21,1,male,0.6952871170069557,128.30908012700093,6.75,22,b,128.32794708599977,121.29728704800073,127.61839177900401,3,336,13,11,180,pos,bird,14
faceWord_exp,0.6911088409979129,42,32,Monday,132.0089532569982,image_stim_n.png,0.8261877309996635,133.00942652700178,3.4172209593162717,22,1,male,0.6945799579989398,135.7255999439949,3.4,22,y,135.86067883399664,131.31437329899927,135.03449110299698,3,180,14,12,336,neg,delirium,14
faceWord_exp,0.691054067996447,42,32,Monday,142.02537799700804,image_stim_n.png,1.1096134419931332,143.0260359410022,1.7592404876513306,22,1,male,0.6952798710117349,148.34183598699747,4.32,22,y,148.76039536099415,141.3300981259963,147.65078191900102,3,336,15,12,180,neg,cold,14
faceWord_exp,0.6911669399996754,42,32,Monday,152.04156398400664,image_stim_n.png,0.8098001369944541,153.04220484099642,3.4211910580769755,22,1,male,0.694670456010499,158.35822652300703,3.0,22,y,158.4768597200018,151.34689352799614,157.66705958300736,3,336,16,12,180,neg,tax,14
