correct_resp,session,response,word_score_pc,word_score_warriner,pause_trigger,word_label,word,ID,gender,offset_img,no,duration_measured_img,img_trigger,scan day,word_trigger,onset_word,rt,duration_measured_word,duration_frames,key_t,onset_img,offset_word,img,condition,delay_frames_after,age,pause_trigger_t,delay_frames_before
1,1,y,4.010420717126172,2.67,32,neg,lonely,coronatimes,female,8.094288331994903,1,0.7041360049915966,22,Monday,12,1.0034091760026058,-5.378823567996733,0.7044897500018124,42,2.011328759006574,7.390152327003307,1.7078989260044182,image_stim_n.png,faceWord_exp,180,22,2.7091602309956215,336
1,1,b,0.26215401176465297,5.41,41,neu,school,coronatimes,female,15.531242206998286,2,0.7014654660015367,21,Monday,13,11.10214793299383,-2.780336743002408,0.6938830050057732,42,12.049439997994341,14.82977674099675,11.796030937999603,image_stim_p.png,faceWord_exp,336,22,12.797246670001186,180
1,1,b,-1.1443669013398097,6.85,31,pos,moral,coronatimes,female,25.60267166700214,3,0.7034134080022341,21,Monday,11,21.13989979699545,-2.211633825005265,0.6942249910061946,42,22.687624433994642,24.899258258999907,21.834124788001645,image_stim_p.png,faceWord_exp,336,22,22.83526468099444,180
1,1,b,-2.3673221107876317,7.25,31,pos,garden,coronatimes,female,38.24196910999308,4,0.702113017992815,21,Monday,11,31.212164288997883,-5.097045542002888,0.6934078890044475,42,32.442810549997375,37.539856092000264,31.90557217800233,image_stim_p.png,faceWord_exp,180,22,32.90642868299619,336
1,1,y,3.457530661450998,2.05,32,neg,victim,coronatimes,female,48.28007522299595,5,0.7037245160026941,22,Monday,12,41.25031887200021,-5.362923036998836,0.6932914780045394,42,42.21342766999442,47.57635070699325,41.94361035000475,image_stim_n.png,faceWord_exp,180,22,42.944837867995375,336
1,1,b,-2.40140153221556,8.0,31,pos,love,coronatimes,female,58.318369450003956,6,0.7037004080048064,21,Monday,11,51.28644788400561,-5.447439156996552,0.6953561449918197,42,52.1672298850026,57.61466904199915,51.98180402899743,image_stim_p.png,faceWord_exp,180,22,52.98283859300136,336
0,1,b,-0.8050043475134195,5.89,42,neu,famous,coronatimes,female,65.75512180700025,7,0.7036353449948365,22,Monday,13,61.32401142999879,-2.6126360930065857,0.6958453889965313,42,62.43885036899883,65.05148646200541,62.01985681899532,image_stim_n.png,faceWord_exp,336,22,63.02110145200277,180
0,1,b,-1.3575770021145472,5.8,42,neu,tomato,coronatimes,female,78.39437061699573,8,0.7037695119943237,22,Monday,13,71.36258583799645,-5.27907946400228,0.6944162800064078,42,72.41152164099913,77.6906011050014,72.05700211800286,image_stim_n.png,faceWord_exp,180,22,73.0580326729978,336
1,1,y,0.98843671158419,4.73,32,neg,commander,coronatimes,female,88.59924562899687,9,0.7023880539927632,22,Monday,12,81.40431454600184,-5.215541288009263,0.6916955500055337,42,82.68131628699484,87.8968575750041,82.09601009600738,image_stim_n.png,faceWord_exp,180,22,83.26405951399647,336
1,1,y,1.3014161644429498,4.5,32,neg,gasp,coronatimes,female,96.05260174900468,10,0.7035073739971267,22,Monday,12,91.60602670100343,-2.374947279007756,0.6948418649990344,42,92.9741470959998,95.34909437500755,92.30086856600246,image_stim_n.png,faceWord_exp,336,22,93.3019526959979,180
1,1,b,-1.1856791528275217,5.88,41,neu,hamster,coronatimes,female,106.09018602200376,11,0.7034435600071447,21,Monday,13,101.66052018900518,-2.4414104399911594,0.6950685219926527,42,102.94533202200546,105.38674246199662,102.35558871099784,image_stim_p.png,faceWord_exp,336,22,103.35670810799638,180
1,1,b,-1.0543324261381863,6.47,31,pos,oak,coronatimes,female,118.73017269099364,12,0.7038880759937456,21,Monday,11,111.69878147699637,-5.095822236005915,0.694895742009976,42,112.93046237899398,118.0262846149999,112.39367721900635,image_stim_p.png,faceWord_exp,180,22,113.39466802599782,336
1,1,y,3.3697994362845387,3.05,32,neg,envy,coronatimes,female,128.76821491699957,13,0.7040410519985016,22,Monday,12,121.73605303399381,-4.811626926995814,0.6957100960134994,42,123.25254693800525,128.06417386500107,122.43176313000731,image_stim_n.png,faceWord_exp,180,22,123.4328844959964,336
0,1,y,-1.9273821271493088,6.35,31,pos,sled,coronatimes,female,138.8229518540029,14,0.703143317005015,21,Monday,11,131.77427441200416,-5.179768268004409,0.6955736319941934,42,132.94004026899347,138.11980853699788,132.46984804399835,image_stim_p.png,faceWord_exp,180,22,133.48758000700036,336
1,1,b,-2.2727319315779937,6.45,31,pos,pie,coronatimes,female,146.2599025840027,15,0.703870455006836,21,Monday,11,141.8287966969947,-2.8093014119949657,0.6958621220110217,42,142.7467307170009,145.55603212899587,142.5246588190057,image_stim_p.png,faceWord_exp,336,22,143.5257265209948,180
0,1,b,0.7573178762670367,4.55,32,neg,meeting,coronatimes,female,156.29795219999505,16,0.7013983520009788,22,Monday,12,151.86928464099765,-2.7139976959879277,0.6934351100062486,42,152.88255615200615,155.59655384799407,152.5627197510039,image_stim_n.png,faceWord_exp,336,22,153.56388217399945,180
0,1,y,-0.18281188470513854,5.14,41,neu,spatula,coronatimes,female,166.35272817499936,17,0.7033733349962858,21,Monday,13,161.90561558199988,-2.3448881540098228,0.6951334710029187,42,163.30446668599325,165.64935484000307,162.6007490530028,image_stim_p.png,faceWord_exp,336,22,163.60050379800668,180
1,1,b,-1.2313279950095668,7.68,31,pos,new,coronatimes,female,176.3910949340061,18,0.7062368820043048,21,Monday,11,171.96048610800062,-2.506876193001517,0.6947391209978377,42,173.17798185900028,175.6848580520018,172.65522522899846,image_stim_p.png,faceWord_exp,336,22,173.6555016189959,180
1,1,b,-3.1501939707833047,8.47,31,pos,happy,coronatimes,female,189.030056899006,19,0.7033465900021838,21,Monday,11,181.99840694500017,-5.56297609100875,0.6952993059967412,42,182.76373421799508,188.32671030900383,182.6937062509969,image_stim_p.png,faceWord_exp,180,22,183.69495450799877,336
1,1,y,4.314775126713813,2.89,32,neg,deceit,coronatimes,female,199.08476001399686,20,0.7033452939940616,22,Monday,12,192.0358011979988,-5.214417705996311,0.6959911000012653,42,193.16699701400648,198.3814147200028,192.73179229800007,image_stim_n.png,faceWord_exp,180,22,193.74970819300506,336
1,1,b,-3.2613064969771037,8.37,31,pos,fun,coronatimes,female,206.52165799100476,21,0.7033374029997503,21,Monday,11,202.09073296100541,-2.55877907401009,0.6957011699996656,42,203.25954151399492,205.818320588005,202.78643413100508,image_stim_p.png,faceWord_exp,336,22,203.78766514699964,180
1,1,y,-1.0601571884744718,5.05,42,neu,fiddle,coronatimes,female,216.57626041000185,22,0.7036312989948783,22,Monday,13,212.1294500590011,-2.5284255780134117,0.6950304140045773,42,213.34420353299356,215.87262911100697,212.82448047300568,image_stim_n.png,faceWord_exp,336,22,213.84212228600518,180
1,1,y,1.7036686386059527,4.23,32,neg,jury,coronatimes,female,229.23256416800723,23,0.7015043179999338,22,Monday,12,222.18733112000336,-5.381003785005305,0.6920647189981537,42,223.150056065002,228.5310598500073,222.87939583900152,image_stim_n.png,faceWord_exp,180,22,223.89737340000283,336
1,1,y,-0.3369766028281135,5.26,42,neu,corkscrew,coronatimes,female,239.28731214400614,24,0.7039069200109225,22,Monday,13,232.23904291700455,-4.776248841997585,0.6951512489904417,42,233.80715638199763,238.58340522399521,232.934194165995,image_stim_n.png,faceWord_exp,180,22,233.9353550280066,336
1,1,b,-1.6708771386143015,6.9,31,pos,pineapple,coronatimes,female,249.32538341000327,25,0.7036366700049257,21,Monday,11,242.2943585949979,-4.410018497001147,0.6944534969952656,42,244.2117282429972,248.62174673999834,242.98881209199317,image_stim_p.png,faceWord_exp,180,22,243.9900378089951,336
0,1,b,0.3759356543037889,5.05,42,neu,fence,coronatimes,female,256.76228874200024,26,0.703826406999724,22,Monday,13,252.33157319499878,-2.044606498006033,0.6955167550040642,42,254.01385583699448,256.0584623350005,253.02708995000285,image_stim_n.png,faceWord_exp,336,22,254.02808288499364,180
1,1,b,-0.7213913907893977,5.42,41,neu,treaty,coronatimes,female,266.80031833899557,27,0.7045432279992383,21,Monday,13,262.36983157299983,-2.544719803991029,0.6953697949938942,42,263.5510553070053,266.0957751109963,263.0652013679937,image_stim_p.png,faceWord_exp,336,22,264.0663175619993,180
1,1,b,-2.8031613090757777,7.21,31,pos,beach,coronatimes,female,279.43947682,28,0.703443132006214,21,Monday,11,272.4083701040072,-5.345982796992757,0.6948959619912785,42,273.390050891001,278.73603368799377,273.10326606599847,image_stim_p.png,faceWord_exp,180,22,274.1042626090057,336
0,1,y,-1.1648995537800455,6.15,31,pos,plum,coronatimes,female,286.87659043200256,29,0.7040376990044024,21,Monday,11,282.447192216001,-2.6282349639950553,0.6941206500050612,42,283.5443177690031,286.17255273299816,283.14131286600605,image_stim_p.png,faceWord_exp,336,22,284.14234172800207,180
0,1,b,0.1935892361901769,5.44,42,neu,bridge,coronatimes,female,296.91470092399686,30,0.7013143590011168,22,Monday,13,292.48658781699487,-2.697902724990854,0.6928536160121439,42,293.5154838400049,296.21338656499574,293.179441433007,image_stim_n.png,faceWord_exp,336,22,294.1804636720044,180
0,1,b,0.13451130194660302,4.65,32,neg,diplomat,coronatimes,female,306.9527169570065,31,0.703550811012974,22,Monday,12,302.5225781619956,-2.644978391996119,0.6948919010028476,42,303.6041877539974,306.2491661459935,303.2174700629985,image_stim_n.png,faceWord_exp,336,22,304.218504702003,180
1,1,y,1.9014187675556817,4.23,32,neg,alligator,coronatimes,female,319.59221699899354,32,0.7052401849941816,22,Monday,12,312.5607423839974,-5.3444860960007645,0.6949742860015249,42,313.5424907179986,318.88697681399935,313.25571666999895,image_stim_n.png,faceWord_exp,180,22,314.2565548709972,336
1,1,y,2.3815246085651838,3.32,32,neg,bribe,coronatimes,female,329.64672700500523,33,0.7039491160103353,22,Monday,12,322.59829384500335,-4.878683818998979,0.6953836140019121,42,324.0640940699959,328.9427778889949,323.29367745900527,image_stim_n.png,faceWord_exp,180,22,324.29462443299417,336
1,1,b,-2.1296901000704778,7.0,31,pos,zoo,coronatimes,female,339.6848975390021,34,0.7039223150059115,21,Monday,11,332.6538215960027,-5.209832847991493,0.6945961790042929,42,333.7711423760047,338.9809752239962,333.34841777500696,image_stim_p.png,faceWord_exp,180,22,334.34950459400716,336
1,1,b,-0.9222259722889368,5.67,41,neu,beer,coronatimes,female,347.1216134199931,35,0.7038099989877082,21,Monday,13,342.6908302200027,-2.7115178070089314,0.6957212859997526,42,343.70628561399644,346.4178034210054,343.38655150600243,image_stim_p.png,faceWord_exp,336,22,344.3876510209957,180
1,1,b,-0.31568469709749714,5.71,41,neu,tourist,coronatimes,female,357.15987176400085,36,0.7041452800040133,21,Monday,13,352.72942329899524,-2.894155846996,0.6952814160031267,42,353.56157063700084,356.45572648399684,353.42470471499837,image_stim_p.png,faceWord_exp,336,22,354.42568630700407,180
1,1,b,-1.8465637543339983,6.37,31,pos,wealthy,coronatimes,female,369.79884278800455,37,0.7002669659996172,21,Monday,11,362.77011655300157,-5.549357814001269,0.6925793849950423,42,363.54921800800366,369.09857582200493,363.4626959379966,image_stim_p.png,faceWord_exp,180,22,364.463858461997,336
1,1,b,-1.0613549170130714,6.36,31,pos,boat,coronatimes,female,377.2358986580075,38,0.7037773140036734,21,Monday,11,372.8053269480006,-2.4444475269992836,0.695661111996742,42,374.08767381700454,376.5321213440038,373.5009880599973,image_stim_p.png,faceWord_exp,336,22,374.5020396710024,180
1,1,b,-0.5907285556577869,5.16,41,neu,truck,coronatimes,female,387.2740866910026,39,0.7038544880051631,21,Monday,13,382.84360880100576,-2.778529959003208,0.6953068229922792,42,383.7917022439942,386.57023220299743,383.53891562399804,image_stim_p.png,faceWord_exp,336,22,384.5402329089993,180
1,1,y,2.166851165767892,3.08,32,neg,aggressive,coronatimes,female,399.91355390800163,40,0.7041940180060919,22,Monday,12,392.88269328599563,-5.480266988990479,0.6943084689992247,42,393.72909290100506,399.20935988999554,393.57700175499485,image_stim_n.png,faceWord_exp,180,22,394.57821126699855,336
0,1,b,0.2016963621838916,4.9,32,neg,plot,coronatimes,female,407.3503534920019,41,0.7043686020042514,22,Monday,12,402.91934143399703,0.4571517180011142,0.6957679530023597,42,407.10313660799875,406.64598488999764,403.6151093869994,image_stim_n.png,faceWord_exp,336,22,404.61592362499505,180
1,1,y,-0.05916451699915906,5.3,42,neu,embassy,coronatimes,female,417.4051474729931,42,0.7040333810000448,22,Monday,13,412.95800912499544,-2.394437887996901,0.6951965059997747,42,414.3066762039962,416.7011140919931,413.6532056309952,image_stim_n.png,faceWord_exp,336,22,414.67104308100534,180
1,1,b,-1.4783411251765788,6.14,31,pos,limousine,coronatimes,female,430.04426818199863,43,0.7034186029923148,21,Monday,11,423.0129100269987,-5.328694681011257,0.6951313850004226,42,424.01215489799506,429.3408495790063,423.70804141199915,image_stim_p.png,faceWord_exp,180,22,424.70920125499833,336
0,1,y,-1.7483058493195842,7.09,31,pos,woman,coronatimes,female,437.4811511050066,44,0.7012891410122393,21,Monday,11,433.05282290400646,0.4709935620048782,0.6932063159911195,42,437.2508555259992,436.77986196399434,433.7460292199976,image_stim_p.png,faceWord_exp,336,22,434.74722943699453,180
0,1,b,0.5814463879932942,4.95,32,neg,sandpaper,coronatimes,female,447.5190614000021,45,0.7034754589985823,22,Monday,12,443.08858535499894,0.28953932999866083,0.6955624029942555,42,447.1051252710022,446.8155859410035,443.7841477579932,image_stim_n.png,faceWord_exp,336,22,444.785417897001,180
0,1,b,2.561630339716405,3.52,32,neg,hospital,coronatimes,female,457.59079576900695,46,0.7039721070032101,22,Monday,12,453.1273744000064,0.25637947299401276,0.6948572349938331,42,457.14320313499775,456.88682366200374,453.8222316350002,image_stim_n.png,faceWord_exp,336,22,454.85676306400273,180
0,1,b,-0.08455950357770388,5.17,42,neu,keyboard,coronatimes,female,470.23002606999944,47,0.7042467279970879,22,Monday,13,463.1986422159971,-5.378764818000491,0.6949791210063267,42,464.14701452400186,469.52577934200235,463.8936213370034,image_stim_n.png,faceWord_exp,180,22,464.8946913690015,336
1,1,y,3.2148840110758776,4.0,32,neg,avalanche,coronatimes,female,480.26826384000015,48,0.7039122020069044,22,Monday,12,473.23698679500376,-4.929148379989783,0.6947305999929085,42,474.63520325800346,479.56435163799324,473.93171739499667,image_stim_n.png,faceWord_exp,180,22,474.93280915399373,336
1,1,b,-0.17528733847197087,5.8,41,neu,rocket,coronatimes,female,490.30540919500345,49,0.7025392790092155,21,Monday,13,483.2746801510075,0.4064363750076154,0.6951936679979553,42,490.00930629100185,489.60286991599423,483.96987381900544,image_stim_p.png,faceWord_exp,180,22,484.9709298939997,336
,1,,-0.8455595735963974,5.81,41,neu,whale,coronatimes,female,500.3441497360036,50,0.7036326000088593,21,Monday,13,493.31268194700533,,0.6939104709890671,42,,499.64051713599474,494.0065924179944,image_stim_p.png,faceWord_exp,180,22,495.0076891500066,336
1,1,b,-1.5151286486205269,7.13,31,pos,lake,coronatimes,female,510.3824427810032,51,0.7018841170065571,21,Monday,11,503.3526291760063,0.45535036599903833,0.6935207349888515,42,510.1359090299957,509.68055866399664,504.04614991099515,image_stim_p.png,faceWord_exp,180,22,505.0473000799975,336
1,1,b,-2.8785481086132907,7.78,31,pos,kiss,coronatimes,female,517.8193516710016,52,0.7040218140027719,21,Monday,11,513.3886032620067,0.3236177850048989,0.6955177060008282,42,517.4389476420038,517.1153298569989,514.0841209680075,image_stim_p.png,faceWord_exp,336,22,515.0851350779994,180
0,1,b,0.397042668763988,4.21,32,neg,policeman,coronatimes,female,527.8573803890031,53,0.7038571349985432,22,Monday,12,523.427212937997,0.6235141880024457,0.6950143060093978,42,527.777037442007,527.1535232540045,524.1222272440064,image_stim_n.png,faceWord_exp,336,22,525.1235395389958,180
0,1,b,-0.9990759838186469,5.73,42,neu,field,coronatimes,female,537.8955059790023,54,0.7041142810048768,22,Monday,13,533.4649121590046,0.6397953929990763,0.6954015230003279,42,537.8311870909965,537.1913916979975,534.1603136820049,image_stim_n.png,faceWord_exp,336,22,535.1614975169941,180
0,1,b,3.6605330306018913,3.63,32,neg,tornado,coronatimes,female,550.5346015599935,55,0.7034918239951367,22,Monday,12,543.5033525769977,-5.764052615995752,0.6952476520091295,42,544.0670571200026,549.8311097359983,544.1986002290068,image_stim_n.png,faceWord_exp,180,22,545.1996053490002,336
0,1,y,-0.277657621999038,5.42,41,neu,man,coronatimes,female,560.5716447830055,56,0.7024226260109572,21,Monday,13,553.5407893770025,-2.761426125987782,0.6959500119992299,42,557.1077960310067,559.8692221569945,554.2367393890017,image_stim_p.png,faceWord_exp,180,22,555.2377536400018,336
0,1,b,0.11872473318936595,5.22,42,neu,noun,coronatimes,female,568.0099359919986,57,0.703988417997607,22,Monday,13,563.5771186460042,0.2558104929921683,0.6974367809889372,42,567.5617580669932,567.305947574001,564.2745554269932,image_stim_n.png,faceWord_exp,336,22,565.2754057389975,180
1,1,y,3.648586845460279,3.16,32,neg,hurricane,coronatimes,female,580.6490023660008,58,0.7015514460072154,22,Monday,12,573.6201305040013,0.9883895520033548,0.6925922259979416,42,580.9358404719969,579.9474509199936,574.3127227299992,image_stim_n.png,faceWord_exp,180,22,575.313814958994,336
0,1,b,1.5906822936049958,4.8,32,neg,mouse,coronatimes,female,590.6871329879941,59,0.7042316500010202,22,Monday,12,583.6553442790027,0.49081407200719696,0.6954501199943479,42,590.4737154100003,589.9829013379931,584.3507943989971,image_stim_n.png,faceWord_exp,180,22,585.3519276769948,336
1,1,b,-2.146343780688921,7.05,31,pos,lemonade,coronatimes,female,598.1239718750003,60,0.7040846470044926,21,Monday,11,593.6938397460035,-2.161603254993679,0.6950059609953314,42,595.2582839730021,597.4198872279958,594.3888457069988,image_stim_p.png,faceWord_exp,336,22,595.3900266290002,180
