offset_word,ID,gender,condition,no,offset_img,word,correct_resp,onset_word,key_t,img_trigger,word_score_warriner,rt,duration_measured_img,word_trigger,response,pause_trigger,word_label,delay_frames_before,word_score_pc,session,pause_trigger_t,age,duration_frames,scan day,delay_frames_after,duration_measured_word,onset_img,img
1.7301301039988175,km,male,faceWord_exp,1,5.565688200993463,kitchen,1,1.0353074300219305,5.300941223045811,21,6.17,0.4409893730189651,0.7057363509666175,11,b,31,pos,180,-1.5082836116280287,4,2.731176041997969,21,42,Monday,336,0.694822673976887,4.859951850026846,image_stim_p.png
11.868730781017803,km,male,faceWord_exp,2,18.221804158994928,lust,1,11.175598263042048,18.026339399046265,21,6.26,0.5110712700407021,0.7065360299893655,11,b,31,pos,336,-1.426145970237633,4,12.869816188002005,21,42,Monday,180,0.693132517975755,17.515268129005563,image_stim_p.png
21.923000386042986,km,male,faceWord_exp,3,25.658393768011592,explosion,1,21.230048096040264,25.527135826006997,22,3.17,0.5675179649842903,0.6987759069888853,12,y,32,neg,180,3.1835494020570807,4,22.924129991035443,21,42,Monday,336,0.6929522900027223,24.959617861022707,image_stim_n.png
31.96163317299215,km,male,faceWord_exp,4,38.29805799102178,mouth,1,31.267228518030606,38.10225999704562,22,5.59,0.5050451460410841,0.7008431400172412,13,y,42,neu,336,-0.05436507667908295,4,32.96281615301268,21,42,Monday,180,0.694404654961545,37.59721485100454,image_stim_n.png
41.99974949500756,km,male,faceWord_exp,5,45.73472844599746,worker,1,41.30683073401451,45.586808588996064,21,5.95,0.542141018959228,0.6900608759606257,13,b,41,neu,180,0.0196438746392397,4,43.00080296699889,21,42,Monday,336,0.6929187609930523,45.044667570036836,image_stim_p.png
52.03773389098933,km,male,faceWord_exp,6,55.77279473200906,honey,1,51.34347933199024,55.56042019603774,21,7.27,0.48881902801804245,0.7011935639893636,11,b,31,pos,180,-2.066768843681998,4,53.03882183000678,21,42,Monday,336,0.6942545589990914,55.0716011680197,image_stim_p.png
62.07585704699159,km,male,faceWord_exp,7,65.81102930300403,stampede,1,61.38173219800228,65.64615167799639,22,4.48,0.5362231679609977,0.7011007929686457,12,y,32,neg,180,2.7437052692255306,4,63.07695009699091,21,42,Monday,336,0.6941248489893042,65.10992851003539,image_stim_n.png
72.11397774802754,km,male,faceWord_exp,8,75.86578743200516,put,1,71.41848642803961,75.60082678199979,21,5.09,0.4372485819621943,0.7022092319675721,13,b,41,neu,180,0.3545861367636661,4,73.11516355501954,21,42,Monday,336,0.6954913199879229,75.16357820003759,image_stim_p.png
82.16875209001591,km,male,faceWord_exp,9,88.50499792699702,choir,1,81.47357018600451,88.376415050996,21,6.15,0.5719889960018918,0.7005718720029108,11,b,31,pos,336,-1.883093263099396,4,83.16995087399846,21,42,Monday,180,0.695181904011406,87.80442605499411,image_stim_p.png
92.2069514010218,km,male,faceWord_exp,10,98.5429582479992,saw,1,91.5110315750353,98.26286791602615,22,4.16,0.4207771560177207,0.700867487990763,12,y,32,neg,336,-0.10198134801944247,4,93.20790676301112,21,42,Monday,180,0.6959198259864934,97.84209076000843,image_stim_n.png
