delay_frames_after,age,onset_img,img_trigger,delay_frames_before,word,word_score_pc,key_t,correct_resp,duration_frames,response,session,condition,gender,ID,onset_word,word_trigger,rt,scan day,duration_measured_img,img,word_score_warriner,pause_trigger_t,duration_measured_word,no,offset_word,offset_img,word_label,pause_trigger
180,20,7.487251000013202,22,336,diplomat,0.13451130194660302,2.7438114000105998,1,42,y,1,faceWord_exp,female,rru24,1.0257612999994308,12,-4.743439600002603,Monday,0.6891801999881864,image_stim_n.png,4.65,2.7270941000024322,0.6830435000010766,1,1.7088048000005074,8.176431200001389,neg,32
336,20,15.023893700010376,21,180,wealthy,-1.8465637543339983,11.96128360000148,1,42,b,1,faceWord_exp,female,rru24,11.205945900001097,11,-3.0626101000088966,Monday,0.6858872000011615,image_stim_p.png,6.37,12.89474760000303,0.6870978000079049,2,11.893043700009002,15.709780900011538,pos,31
336,20,25.12711910001235,22,180,deceit,4.314775126713813,22.748528900003294,0,42,b,1,faceWord_exp,female,rru24,21.331038300006185,12,-2.3785902000090573,Monday,0.6824502999952529,image_stim_n.png,2.89,23.027378700004192,0.6952116000029491,3,22.026249900009134,25.809569400007604,neg,32
336,20,35.230523100006394,21,180,pineapple,-1.6708771386143015,32.062568500012276,0,42,y,1,faceWord_exp,female,rru24,31.431362200004514,11,-3.1679545999941183,Monday,0.6789869000058388,image_stim_p.png,6.9,33.12786900000356,0.6952005000057397,4,32.126562700010254,35.90951000001223,pos,31
180,20,47.89551620000566,22,336,spatula,-0.18281188470513854,42.013087400002405,0,42,b,1,faceWord_exp,female,rru24,41.533906800003024,13,-5.882428800003254,Monday,0.6816308999987086,image_stim_n.png,5.14,43.227864400003455,0.692593300002045,5,42.22650010000507,48.57714710000437,neu,42
336,20,55.346103000003495,21,180,oak,-1.0543324261381863,52.945237800013274,0,42,y,1,faceWord_exp,female,rru24,51.594954900007,11,-2.4008651999902213,Monday,0.6802431999967666,image_stim_p.png,6.47,53.27779260001262,0.6809871000004932,6,52.27594200000749,56.02634620000026,pos,31
336,20,65.39290570000594,22,180,tourist,-0.31568469709749714,62.528069000007235,0,42,b,1,faceWord_exp,female,rru24,61.644006800008356,13,-2.8648366999987047,Monday,0.683229799993569,image_stim_n.png,5.71,63.32756660001178,0.6820645999978296,7,62.326071400006185,66.07613549999951,neu,42
180,20,78.05830940000305,22,336,hurricane,3.648586845460279,72.42834550001135,1,42,y,1,faceWord_exp,female,rru24,71.69343500000832,12,-5.629963899991708,Monday,0.6840545000013663,image_stim_n.png,3.16,73.37752120000368,0.6826274000050034,8,72.37606240001332,78.74236390000442,neg,32
336,20,85.53204530000221,22,180,meeting,0.7573178762670367,82.89471840001352,0,42,b,1,faceWord_exp,female,rru24,81.76414270000532,12,-2.637326899988693,Monday,0.6933973999985028,image_stim_n.png,4.55,83.46221409999998,0.6945788000011817,9,82.4587215000065,86.22544270000071,neg,32
180,20,98.21341850000317,21,336,embassy,-0.05916451699915906,92.42783160001272,1,42,b,1,faceWord_exp,female,rru24,91.84300970000913,13,-5.785586899990449,Monday,0.6791745000082301,image_stim_p.png,5.3,93.52677820000099,0.6827502999949502,10,92.52576000000408,98.8925930000114,neu,41
