delay_frames_after,age,onset_img,img_trigger,delay_frames_before,word,word_score_pc,key_t,correct_resp,duration_frames,response,session,condition,gender,ID,onset_word,word_trigger,rt,scan day,duration_measured_img,img,word_score_warriner,pause_trigger_t,duration_measured_word,no,offset_word,offset_img,word_label,pause_trigger
336,20,105.65819070000725,21,180,lemonade,-2.146343780688921,102.46354770001199,1,42,b,1,faceWord_exp,female,rru24,101.90960500000801,11,-3.194642999995267,Monday,0.6849277000001166,image_stim_p.png,7.05,103.59455170000729,0.6829334999929415,11,102.59253850000096,106.34311840000737,pos,31
336,20,115.74472360000073,22,180,victim,3.457530661450998,112.77844970001024,1,42,y,1,faceWord_exp,female,rru24,111.98069600001327,12,-2.966273899990483,Monday,0.6809781000047224,image_stim_n.png,2.05,113.67750730000262,0.6951224999938859,12,112.67581850000715,116.42570170000545,neg,32
180,20,128.46980190000613,22,336,alligator,1.9014187675556817,122.99409270001343,0,42,b,1,faceWord_exp,female,rru24,122.04228220001096,12,-5.475709199992707,Monday,0.6886766999959946,image_stim_n.png,4.23,123.72645960000227,0.6831301999918651,13,122.72541240000282,129.15847860000213,neg,32
336,20,135.92772150000383,22,180,bribe,2.3815246085651838,133.01126340001065,1,42,y,1,faceWord_exp,female,rru24,132.17459450000024,12,-2.9164580999931786,Monday,0.681195299999672,image_stim_n.png,3.32,133.86045190000732,0.6838503000035416,14,132.85844480000378,136.6089168000035,neg,32
180,20,148.5365276000084,22,336,hospital,2.561630339716405,142.69480560001102,0,42,b,1,faceWord_exp,female,rru24,142.22644050000235,12,-5.8417219999973895,Monday,0.687978000001749,image_stim_n.png,3.52,143.91015360000893,0.6823875999980373,15,142.9088281000004,149.22450560001016,neg,32
336,20,155.99488910000946,22,180,sandpaper,0.5814463879932942,152.86067320000438,1,42,y,1,faceWord_exp,female,rru24,152.2384691000043,12,-3.134215900005074,Monday,0.680270400000154,image_stim_n.png,4.95,153.9265449000086,0.6869885000050999,16,152.9254576000094,156.6751595000096,neg,32
180,20,168.6598507000017,21,336,boat,-1.0613549170130714,162.7613921000011,1,42,b,1,faceWord_exp,female,rru24,162.29044609999983,11,-5.898458600000595,Monday,0.6819161000021268,image_stim_p.png,6.36,163.97685560000536,0.6844295000046259,17,162.97487560000445,169.34176680000382,pos,31
180,20,178.7110473000066,22,336,keyboard,-0.08455950357770388,172.86204990000988,1,42,y,1,faceWord_exp,female,rru24,172.35995640000328,13,-5.848997399996733,Monday,0.681383300005109,image_stim_n.png,5.17,174.04306730000826,0.6817647999996552,18,173.04172120000294,179.39243060001172,neu,42
180,20,188.76716770000348,21,336,hamster,-1.1856791528275217,183.07786040000792,1,42,b,1,faceWord_exp,female,rru24,182.4078586000105,13,-5.689307299995562,Monday,0.6910098000080325,image_stim_p.png,5.88,184.0928358000092,0.6832295999920461,19,183.09108820000256,189.45817750001152,neu,41
336,20,196.24342590000015,22,180,field,-0.9990759838186469,193.2601840000134,1,42,y,1,faceWord_exp,female,rru24,192.48063950000505,13,-2.9832418999867514,Monday,0.6815700000006473,image_stim_n.png,5.73,194.17640380001103,0.6941644000035012,20,193.17480390000856,196.9249959000008,neu,42
180,20,208.91287150001153,21,336,zoo,-2.1296901000704778,203.0439039000048,1,42,b,1,faceWord_exp,female,rru24,202.55170850000286,11,-5.868967600006727,Monday,0.6784168000012869,image_stim_p.png,7.0,204.24280920000456,0.6897439000022132,21,203.24145240000507,209.59128830001282,pos,31
336,20,216.36040309999953,22,180,plot,0.2016963621838916,213.16053180000745,1,42,y,1,faceWord_exp,female,rru24,212.60533590000705,12,-3.1998712999920826,Monday,0.6810472000070149,image_stim_n.png,4.9,214.2928191000101,0.6865854000061518,22,213.2919213000132,217.04145030000655,neg,32
180,20,229.01869799999986,21,336,happy,-3.1501939707833047,223.64334050001344,1,42,b,1,faceWord_exp,female,rru24,222.65706880000653,11,-5.375357499986421,Monday,0.689684800003306,image_stim_p.png,8.47,224.34320370000205,0.6842230000038398,23,223.34129180001037,229.70838280000316,pos,31
180,20,239.08208330000343,22,336,aggressive,2.166851165767892,233.64387390000047,1,42,y,1,faceWord_exp,female,rru24,232.72508500001277,12,-5.438209400002961,Monday,0.692242899996927,image_stim_n.png,3.08,234.40987710001355,0.6826919999875827,24,233.40777700000035,239.77432620000036,neg,32
336,20,246.54212680000637,21,180,tomato,-1.3575770021145472,243.39319860000978,1,42,b,1,faceWord_exp,female,rru24,242.7913467000035,13,-3.1489281999965897,Monday,0.6818007999972906,image_stim_p.png,5.8,244.4756752000103,0.6826732000045013,25,243.474019900008,247.22392760000366,neu,41
336,20,256.59361520000675,21,180,love,-2.40140153221556,253.64345840000897,1,42,b,1,faceWord_exp,female,rru24,252.83939850000024,11,-2.950156799997785,Monday,0.6806743000051938,image_stim_p.png,8.0,254.52566260000458,0.6848048000101699,26,253.5242033000104,257.27428950001195,pos,31
336,20,266.64204260001134,21,180,corkscrew,-0.3369766028281135,263.5929383000039,0,42,y,1,faceWord_exp,female,rru24,262.8924021999992,13,-3.049104300007457,Monday,0.6820439000002807,image_stim_p.png,5.26,264.5761010999995,0.6818759000016144,27,263.5742781000008,267.3240865000116,neu,41
336,20,276.69124090000696,21,180,lake,-1.5151286486205269,273.52374620000774,1,42,b,1,faceWord_exp,female,rru24,272.9281391000113,11,-3.1674946999992244,Monday,0.6827902999939397,image_stim_p.png,7.13,274.62449860000925,0.6945224999944912,28,273.6226616000058,277.3740312000009,pos,31
336,20,286.7578990000038,22,180,fiddle,-1.0601571884744718,283.4608496000001,0,42,b,1,faceWord_exp,female,rru24,282.9940542000113,13,-3.2970494000037434,Monday,0.6822785999975167,image_stim_n.png,5.05,284.69206920001307,0.6965155999932904,29,283.6905698000046,287.44017760000133,neu,42
180,20,299.412207500005,21,336,fence,0.3759356543037889,293.97711260001233,0,42,y,1,faceWord_exp,female,rru24,293.0567174000025,13,-5.435094899992691,Monday,0.6777316999941831,image_stim_p.png,5.05,294.7422666000057,0.6842711000062991,30,293.7409885000088,300.0899391999992,neu,41
180,20,309.45373120000295,22,336,lonely,4.010420717126172,303.79231080001045,0,42,b,1,faceWord_exp,female,rru24,303.10733020000043,12,-5.661420399992494,Monday,0.6859590000094613,image_stim_n.png,2.67,304.79122830000415,0.682769900013227,31,303.79010010001366,310.1396902000124,neg,32
336,20,316.9100008000096,22,180,bridge,0.1935892361901769,,,42,,1,faceWord_exp,female,rru24,313.15461830000277,13,,Monday,0.6803542999987258,image_stim_n.png,5.44,314.8423460000049,0.6858169000042835,32,313.84043520000705,317.5903551000083,neu,42
180,20,329.5590113000071,22,336,tornado,3.6605330306018913,324.2929429000069,1,42,y,1,faceWord_exp,female,rru24,323.2078690000053,12,-5.266068400000222,Monday,0.681035100002191,image_stim_n.png,3.63,324.8919584000105,0.6822360000078334,33,323.89010500001314,330.2400464000093,neg,32
180,20,339.6132981000119,21,336,woman,-1.7483058493195842,333.71039420001034,0,42,y,1,faceWord_exp,female,rru24,333.2559748000058,11,-5.902903900001547,Monday,0.6929788999987068,image_stim_p.png,7.09,334.9415702000115,0.6846074000059161,34,333.9405822000117,340.3062770000106,pos,31
180,20,349.6804023000004,22,336,beer,-0.9222259722889368,344.0089246999996,0,42,b,1,faceWord_exp,female,rru24,343.31863920000615,13,-5.671477600000799,Monday,0.6928303000022424,image_stim_n.png,5.67,345.00806620001094,0.6881432999944082,35,344.00678250000055,350.37323260000267,neu,42
336,20,357.1407177000074,22,180,noun,0.11872473318936595,354.0754585000104,0,42,b,1,faceWord_exp,female,rru24,353.38573920000636,13,-3.0652591999969445,Monday,0.6825804999971297,image_stim_n.png,5.22,355.0748778000125,0.6875203999952646,36,354.0732596000016,357.8232982000045,neu,42
180,20,369.86943260001135,21,336,plum,-1.1648995537800455,363.962196700013,1,42,b,1,faceWord_exp,female,rru24,363.4377853000042,11,-5.907235899998341,Monday,0.6864654999953927,image_stim_p.png,6.15,365.1246644000057,0.6854058000026271,37,364.1231911000068,370.55589810000674,pos,31
180,20,379.93006009999954,22,336,avalanche,3.2148840110758776,374.1284563000081,0,42,b,1,faceWord_exp,female,rru24,373.5747774000047,12,-5.801603799991426,Monday,0.6924799000116764,image_stim_n.png,4.0,375.25776010000845,0.6831686000077752,38,374.25794600001245,380.6225400000112,neg,32
336,20,387.3921684000088,22,180,whale,-0.8455595735963974,384.20882970000093,1,42,y,1,faceWord_exp,female,rru24,383.6385897,13,-3.18333870000788,Monday,0.6810556999989785,image_stim_n.png,5.81,385.32431880000513,0.6842384000046877,39,384.3228281000047,388.0732241000078,neu,42
336,20,397.4442051000078,22,180,envy,3.3697994362845387,394.1754726000072,0,42,b,1,faceWord_exp,female,rru24,393.6851595000044,12,-3.268732500000624,Monday,0.6782640000019455,image_stim_n.png,3.05,395.37416450001183,0.6881204000092112,40,394.3732799000136,398.12246910000977,neg,32
180,20,410.0932915000012,21,336,garden,-2.3673221107876317,404.343005200004,0,42,y,1,faceWord_exp,female,rru24,403.73458080001,11,-5.750286299997242,Monday,0.6788844000111567,image_stim_p.png,7.25,405.4241183000122,0.688118799997028,41,404.42269960000704,410.77217590001237,pos,31
180,20,420.1441854000004,21,336,moral,-1.1443669013398097,414.77480900000955,0,42,y,1,faceWord_exp,female,rru24,413.78969730000244,11,-5.36937639999087,Monday,0.6784760000009555,image_stim_p.png,6.85,415.47394429999986,0.6830002000060631,42,414.4726975000085,420.8226614000014,pos,31
336,20,427.5927520000114,21,180,sled,-1.9273821271493088,424.52425990000484,1,42,b,1,faceWord_exp,female,rru24,423.8353669000062,11,-3.0684921000065515,Monday,0.6797982999996748,image_stim_p.png,6.35,425.5239503000048,0.6866320999979507,43,424.52199900000414,428.27255030001106,pos,31
180,20,440.2424265000009,21,336,kiss,-2.8785481086132907,434.5250406000123,0,42,y,1,faceWord_exp,female,rru24,433.885234500005,11,-5.717385899988585,Monday,0.6798070000077132,image_stim_p.png,7.78,435.57373450000887,0.6869024000043282,44,434.57213690000935,440.9222335000086,pos,31
336,20,447.66632960000425,21,180,pie,-2.2727319315779937,444.5074045000074,1,42,b,1,faceWord_exp,female,rru24,443.9339442000055,11,-3.15892509999685,Monday,0.6880767999973614,image_stim_p.png,6.45,445.6237292000005,0.6884251000010408,45,444.62236930000654,448.3544064000016,pos,31
180,20,460.33498870000767,22,336,policeman,0.397042668763988,454.6081460000132,1,42,y,1,faceWord_exp,female,rru24,453.97933600000397,12,-5.7268426999944495,Monday,0.6868156999989878,image_stim_n.png,4.21,455.6739513000066,0.692811700006132,46,454.6721477000101,461.02180440000666,neg,32
180,20,470.3893836000061,21,336,man,-0.277657621999038,465.2410044000135,1,42,b,1,faceWord_exp,female,rru24,464.03383460000623,13,-5.1483791999926325,Monday,0.6823248000000603,image_stim_p.png,5.42,465.7235206000041,0.6883452000038233,47,464.72217980001005,471.0717084000062,neu,41
336,20,477.83600530000695,22,180,gasp,1.3014161644429498,,,42,,1,faceWord_exp,female,rru24,474.0843472000124,12,,Monday,0.6855350999976508,image_stim_n.png,4.5,475.77350280000246,0.6880600000004051,48,474.7724072000128,478.5215404000046,neg,32
180,20,490.4882832000003,21,336,new,-1.2313279950095668,490.940256700007,1,42,b,1,faceWord_exp,female,rru24,484.1340194000077,11,0.45197350000671577,Monday,0.6830684000015026,image_stim_p.png,7.68,485.8231678000011,0.6875484000047436,49,484.8215678000124,491.1713516000018,pos,31
180,20,500.53609520000464,21,336,limousine,-1.4783411251765788,,,42,,1,faceWord_exp,female,rru24,494.19026320001285,11,,Monday,0.6856234000006225,image_stim_p.png,6.14,495.87339520000387,0.6818190999911167,50,494.87208230000397,501.22171860000526,pos,31
180,20,510.60634690000734,22,336,jury,1.7036686386059527,504.94056860001,1,42,y,1,faceWord_exp,female,rru24,504.2465465000132,12,-5.665778299997328,Monday,0.6819051999918884,image_stim_n.png,4.23,505.9396718000062,0.6917010999895865,51,504.9382476000028,511.2882520999992,neg,32
336,20,518.0549172000028,22,180,famous,-0.8050043475134195,514.7736934999994,0,42,b,1,faceWord_exp,female,rru24,514.3057329000003,13,-3.2812237000034656,Monday,0.6832266999990679,image_stim_n.png,5.89,515.9896275000065,0.6819466000015382,52,514.9876795000018,518.7381439000019,neu,42
336,20,528.120396000013,22,180,commander,0.98843671158419,524.9408059000125,1,42,y,1,faceWord_exp,female,rru24,524.358758900009,12,-3.179590100000496,Monday,0.684382799998275,image_stim_n.png,4.73,526.0562006000109,0.6960139000002528,53,525.0547728000092,528.8047788000113,neg,32
336,20,538.170726100012,21,180,beach,-2.8031613090757777,,,42,,1,faceWord_exp,female,rru24,534.4210128000122,11,,Monday,0.6835474999970756,image_stim_p.png,7.21,536.1061046000104,0.6838047999917762,54,535.104817600004,538.854273600009,pos,31
180,20,550.8278615000017,22,336,mouse,1.5906822936049958,544.973787400013,1,42,y,1,faceWord_exp,female,rru24,544.47016360001,12,-5.854074099988793,Monday,0.6932626000052551,image_stim_n.png,4.8,546.155571100011,0.684194599991315,55,545.1543582000013,551.521124100007,neg,32
336,20,558.2898286000127,22,180,truck,-0.5907285556577869,554.65738840001,0,42,b,1,faceWord_exp,female,rru24,554.5385867000005,13,-3.6324402000027476,Monday,0.6821114999911515,image_stim_n.png,5.16,556.222660600004,0.6832233000022825,56,555.2218100000027,558.9719401000038,neu,42
336,20,568.3387808000116,21,180,rocket,-0.17528733847197087,,,42,,1,faceWord_exp,female,rru24,564.5871322000021,13,,Monday,0.6819957999978215,image_stim_p.png,5.8,566.2719987000019,0.6836181000107899,57,565.2707503000129,569.0207766000094,neu,41
336,20,578.3939051000052,21,180,fun,-3.2613064969771037,575.7730872000102,0,42,y,1,faceWord_exp,female,rru24,574.6327865000057,11,-2.620817899995018,Monday,0.6935547000030056,image_stim_p.png,8.37,576.3233029000112,0.6881573999999091,58,575.3209439000057,579.0874598000082,pos,31
336,20,588.4632602000056,22,180,school,0.26215401176465297,585.2395169000083,0,42,b,1,faceWord_exp,female,rru24,584.704438300003,13,-3.2237432999972953,Monday,0.6905072999943513,image_stim_n.png,5.41,586.3889263000019,0.6830534000037005,59,585.3874917000066,589.1537675,neu,42
180,20,601.1250932000112,22,336,treaty,-0.7213913907893977,595.8062311000103,1,42,y,1,faceWord_exp,female,rru24,594.7705298000074,13,-5.3188621000008425,Monday,0.6785555999958888,image_stim_n.png,5.42,596.4573405000119,0.683521999992081,60,595.4540517999994,601.8036488000071,neu,42
