delay_frames_before,delay_frames_after,correct_resp,word_trigger,word,scan day,no,offset_word,age,onset_word,word_score_pc,key_t,duration_measured_img,word_score_warriner,duration_measured_word,ID,offset_img,response,condition,word_label,pause_trigger_t,rt,session,duration_frames,img,onset_img,gender,img_trigger,pause_trigger
336,180,1,13,school,Wednesday,1,1.7095147829968482,22,1.0071379869477823,0.26215401176465297,7.985511341947131,0.7009369949810207,5.41,0.7023767960490659,orm,8.066030384972692,b,faceWord_exp,neu,2.7106207410106435,0.62041795195546,1,42,image_stim_p.png,7.365093389991671,male,21,41
336,180,1,11,boat,Wednesday,2,11.76617494598031,22,11.072733181994408,-1.0613549170130714,17.919179368996993,0.7058907570317388,6.36,0.6934417639859021,orm,18.09922060801182,b,faceWord_exp,pos,12.766431138967164,0.525849518016912,1,42,image_stim_p.png,17.39332985098008,male,21,31
180,336,1,13,spatula,Wednesday,3,21.799175390973687,22,21.104642682010308,-0.18281188470513854,25.368382186978124,0.6901357029564679,5.14,0.6945327089633793,orm,25.51592883595731,y,faceWord_exp,neu,22.799644630984403,0.5425890539772809,1,42,image_stim_n.png,24.825793133000843,male,22,42
180,336,1,13,tourist,Wednesday,4,31.815913585945964,22,31.122298751957715,-0.31568469709749714,35.33510343893431,0.6891728719929233,5.71,0.6936148339882493,orm,35.532129456987604,b,faceWord_exp,neu,32.81616556295194,0.4921468539396301,1,42,image_stim_p.png,34.84295658499468,male,21,41
336,180,1,11,plum,Wednesday,5,41.83245332993101,22,41.137981571955606,-1.1648995537800455,47.92204968701117,0.6908919240813702,6.15,0.694471757975407,orm,48.148854144033976,b,faceWord_exp,pos,42.832724581006914,0.46408746705856174,1,42,image_stim_p.png,47.457962219952606,male,21,31
180,336,1,12,aggressive,Wednesday,6,51.848775452934206,22,51.15603039995767,2.166851165767892,55.38434288895223,0.6902500740252435,3.08,0.6927450529765338,orm,55.56461040303111,y,faceWord_exp,neg,52.84923758893274,0.5099825599463657,1,42,image_stim_n.png,54.87436032900587,male,22,32
180,336,1,11,garden,Wednesday,7,61.865497682010755,22,61.17129502596799,-2.3673221107876317,65.3186001710128,0.6911388150183484,7.25,0.6942026560427621,orm,65.58192057302222,b,faceWord_exp,pos,62.865778774023056,0.42781841300893575,1,42,image_stim_p.png,64.89078175800387,male,21,31
336,180,1,13,noun,Wednesday,8,71.88108831597492,22,71.18583838199265,0.11872473318936595,77.85072148800828,0.6914962020236999,5.22,0.695249933982268,orm,78.1984190089861,y,faceWord_exp,neu,72.88230555900373,0.3437986810458824,1,42,image_stim_n.png,77.5069228069624,male,22,42
336,180,1,13,treaty,Wednesday,9,81.89847479795571,22,81.20428859000094,-0.7213913907893977,88.11753041297197,0.6915299630491063,5.42,0.6941862079547718,orm,88.21525698597543,b,faceWord_exp,neu,82.89882916596252,0.5938033900456503,1,42,image_stim_p.png,87.52372702292632,male,21,41
180,336,1,11,lemonade,Wednesday,10,91.91511838696897,22,91.22129304194823,-2.146343780688921,95.41763199097477,0.6897519530029967,7.05,0.6938253450207412,orm,95.63164958695415,b,faceWord_exp,pos,92.9153700839961,0.47573435702361166,1,42,image_stim_p.png,94.94189763395116,male,21,31
