delay_frames_before,delay_frames_after,correct_resp,word_trigger,word,scan day,no,offset_word,age,onset_word,word_score_pc,key_t,duration_measured_img,word_score_warriner,duration_measured_word,ID,offset_img,response,condition,word_label,pause_trigger_t,rt,session,duration_frames,img,onset_img,gender,img_trigger,pause_trigger
336,180,1,12,mouse,Wednesday,11,101.93164551293012,22,101.2356481780298,1.5906822936049958,108.08332717395388,0.6915397529955953,4.8,0.6959973349003121,orm,108.24803199700546,y,faceWord_exp,neg,102.93191022099927,0.526834929944016,1,42,image_stim_n.png,107.55649224400986,male,22,32
336,180,1,11,pineapple,Wednesday,12,111.94807941094041,22,111.2527441889979,-1.6708771386143015,117.88354388694279,0.6907144369324669,6.9,0.6953352219425142,orm,118.26454534893855,b,faceWord_exp,pos,112.9484489680035,0.30971297493670136,1,42,image_stim_p.png,117.57383091200609,male,21,31
336,180,1,13,bridge,Wednesday,13,122.48139391303994,22,121.78544127801433,0.1935892361901769,128.6503357050242,0.691029106033966,5.44,0.6959526350256056,orm,128.79773233900778,b,faceWord_exp,neu,123.48162954102736,0.5436324720503762,1,42,image_stim_p.png,128.1067032329738,male,21,41
336,180,1,12,hurricane,Wednesday,14,132.49788653594442,22,131.80241493496578,3.648586845460279,138.51572597993072,0.6911691370187327,3.16,0.6954716009786353,orm,138.81426152097993,y,faceWord_exp,neg,133.49813809397165,0.39263359596952796,1,42,image_stim_n.png,138.1230923839612,male,22,32
336,180,1,12,gasp,Wednesday,15,142.51420403993689,22,141.81820801401045,1.3014161644429498,148.73279336001724,0.6915585499955341,4.5,0.6959960259264335,orm,148.83099640801083,y,faceWord_exp,neg,143.51470474596135,0.5933555020019412,1,42,image_stim_n.png,148.1394378580153,male,22,32
336,180,0,13,field,Wednesday,16,152.5309610730037,22,151.83909107593354,-0.9990759838186469,158.53268678800669,0.690162091050297,5.73,0.6918699970701709,orm,158.84753876097966,b,faceWord_exp,neu,153.53122464299668,0.37531011807732284,1,42,image_stim_n.png,158.15737666992936,male,22,42
336,180,1,11,woman,Wednesday,17,162.54740848497022,22,161.85315841401462,-1.7483058493195842,168.49950357200578,0.6914552149828523,7.09,0.6942500709556043,orm,168.86385831795633,b,faceWord_exp,pos,163.5477793989703,0.3271004690323025,1,42,image_stim_p.png,168.17240310297348,male,21,31
336,180,1,11,lake,Wednesday,18,172.5638219800312,22,171.86932457401417,-1.5151286486205269,178.69964703998994,0.6909362280275673,7.13,0.6944974060170352,orm,178.8804243330378,b,faceWord_exp,pos,173.56427414598875,0.5101589349796996,1,42,image_stim_p.png,178.18948810501024,male,21,31
336,180,1,13,tomato,Wednesday,19,182.58035845402628,22,181.88469793496188,-1.3575770021145472,188.66540861397516,0.6894060230115429,5.8,0.6956605190644041,orm,188.89597617695108,b,faceWord_exp,neu,183.58080832194537,0.4588384600356221,1,42,image_stim_p.png,188.20657015393954,male,21,41
180,336,1,11,love,Wednesday,20,192.5968777219532,22,191.9007923019817,-2.40140153221556,195.96609366498888,0.6912070420803502,8.0,0.6960854199714959,orm,196.31352002802305,b,faceWord_exp,pos,193.59734896896407,0.3437806790461764,1,42,image_stim_p.png,195.6223129859427,male,21,31
336,180,1,11,fun,Wednesday,21,202.6134144689422,22,201.91750319092534,-3.2613064969771037,208.56573898997158,0.691516286926344,8.37,0.6959112780168653,orm,208.92996452294756,b,faceWord_exp,pos,203.61387485498562,0.3272907539503649,1,42,image_stim_p.png,208.2384482360212,male,21,31
336,180,1,11,sled,Wednesday,22,212.6301198520232,22,211.93305856792722,-1.9273821271493088,218.61569968995173,0.6915525349322706,6.35,0.6970612840959802,orm,218.94653357192874,b,faceWord_exp,pos,213.63010376296006,0.3607186529552564,1,42,image_stim_p.png,218.25498103699647,male,21,31
336,180,1,12,deceit,Wednesday,23,222.64647366397548,22,221.9529015510343,4.314775126713813,228.84917494398542,0.7057263669557869,2.89,0.6935721129411831,orm,228.97972472698893,y,faceWord_exp,neg,223.64719527994748,0.5751765839522704,1,42,image_stim_n.png,228.27399836003315,male,22,32
336,180,1,11,kiss,Wednesday,24,232.67989044298884,22,231.9838201740058,-2.8785481086132907,238.5989412519848,0.691073132911697,7.78,0.6960702689830214,orm,238.99646384094376,b,faceWord_exp,pos,233.680150375003,0.2935505439527333,1,42,image_stim_p.png,238.30539070803206,male,21,31
180,336,1,12,victim,Wednesday,25,242.6963980869623,22,242.00055453600362,3.457530661450998,246.01511585898697,0.691235383041203,2.05,0.6958435509586707,orm,246.41283902700525,y,faceWord_exp,neg,243.6966443649726,0.293512215022929,1,42,image_stim_n.png,245.72160364396404,male,22,32
336,180,1,12,policeman,Wednesday,26,252.71267493802588,22,252.01745439192746,0.397042668763988,258.6975565459579,0.6917093900265172,4.21,0.695220546098426,orm,259.0293189770309,y,faceWord_exp,neg,253.7131954469951,0.3599469589535147,1,42,image_stim_n.png,258.3376095870044,male,22,32
336,180,1,11,zoo,Wednesday,27,262.72929320600815,22,262.035115001956,-2.1296901000704778,268.66581254801713,0.6914680439513177,7.0,0.6941782040521502,orm,269.0462003729772,b,faceWord_exp,pos,263.7297452170169,0.3110802189912647,1,42,image_stim_p.png,268.35473232902586,male,21,31
336,180,1,12,bribe,Wednesday,28,272.7460131129483,22,272.05027821694966,2.3815246085651838,278.64769008301664,0.6906809610081837,3.32,0.695734895998612,orm,279.0623675970128,y,faceWord_exp,neg,273.74629448296037,0.2760034470120445,1,42,image_stim_n.png,278.3716866360046,male,22,32
336,180,1,12,jury,Wednesday,29,282.7623134870082,22,282.0684101480292,1.7036686386059527,288.74826240201946,0.6910456219920889,4.23,0.6939033389789984,orm,289.07891995692626,y,faceWord_exp,neg,283.76305411895737,0.3603880670852959,1,42,image_stim_n.png,288.38787433493417,male,22,32
180,336,1,13,embassy,Wednesday,30,292.7790685839718,22,292.08527616097126,-0.05916451699915906,296.363883125945,0.6891443110071123,5.3,0.6937924230005592,orm,296.4954803939909,b,faceWord_exp,neu,293.7793358860072,0.5575470429612324,1,42,image_stim_p.png,295.80633608298376,male,21,41
336,180,1,11,pie,Wednesday,31,302.79539901495446,22,302.0992413669592,-2.2727319315779937,308.7142344720196,0.6916644610464573,6.45,0.6961576479952782,orm,309.11197822203394,b,faceWord_exp,pos,303.7958771859994,0.2939207110321149,1,42,image_stim_p.png,308.4203137609875,male,21,31
180,336,1,13,corkscrew,Wednesday,32,312.81136022903956,22,312.11686411802657,-0.3369766028281135,316.3809318289859,0.6919039719505236,5.26,0.6944961110129952,orm,316.52876315894537,b,faceWord_exp,neu,313.81228196795564,0.5440726419910789,1,42,image_stim_p.png,315.83685918699484,male,21,41
180,336,0,13,beer,Wednesday,33,323.2119880859973,22,322.3333220119821,-0.9222259722889368,326.58111338794697,0.6908760910155252,5.67,0.8786660740152001,orm,326.92850991501473,b,faceWord_exp,neu,324.2121904499363,0.343479563947767,1,42,image_stim_n.png,326.2376338239992,male,22,42
180,336,1,13,truck,Wednesday,34,333.2285326010315,22,332.5324950689683,-0.5907285556577869,336.69733634602744,0.6916307549690828,5.16,0.6960375320632011,orm,336.94491472898517,y,faceWord_exp,neu,334.22882767999545,0.44405237201135606,1,42,image_stim_n.png,336.2532839740161,male,22,42
336,180,1,12,envy,Wednesday,35,343.24485170899425,22,342.5488986209966,3.3697994362845387,349.2308110150043,0.6906835339032114,3.05,0.6959530879976228,orm,349.5609947339399,y,faceWord_exp,neg,344.24554951896425,0.36049981496762484,1,42,image_stim_n.png,348.87031120003667,male,22,32
336,180,1,13,rocket,Wednesday,36,353.2615106840385,22,352.56578609801363,-0.17528733847197087,359.48006530699786,0.6911566680064425,5.8,0.6957245860248804,orm,359.5778285099659,y,faceWord_exp,neu,354.2617957369657,0.593393465038389,1,42,image_stim_n.png,358.88667184195947,male,22,42
336,180,1,11,oak,Wednesday,37,363.27804836502764,22,362.5816543729743,-1.0543324261381863,369.3464228910161,0.69079318002332,6.47,0.6963939920533448,orm,369.59456336696167,b,faceWord_exp,pos,364.27831589302514,0.4426527040777728,1,42,image_stim_p.png,368.90377018693835,male,21,31
180,336,1,12,commander,Wednesday,38,373.29448119702283,22,372.60126942396164,0.98843671158419,376.8128561830381,0.6887840309645981,4.73,0.6932117730611935,orm,377.0110555909341,y,faceWord_exp,neg,374.2949220739538,0.4905846230685711,1,42,image_stim_n.png,376.3222715599695,male,22,32
336,180,1,12,diplomat,Wednesday,39,383.31116698798724,22,382.6156137880171,0.13451130194660302,389.44603795802686,0.6909339409321547,4.65,0.6955531999701634,orm,389.62755790294614,y,faceWord_exp,neg,384.3116622939706,0.5094139960128814,1,42,image_stim_n.png,388.936623962014,male,22,32
180,336,1,12,tornado,Wednesday,40,393.32755775598343,22,392.63224914099555,3.6605330306018913,396.93031006492674,0.6911512960214168,3.63,0.69530861498788,orm,397.044239904033,y,faceWord_exp,neg,394.32785440795124,0.5772214569151402,1,42,image_stim_n.png,396.3530886080116,male,22,32
336,180,1,13,keyboard,Wednesday,41,403.34404805197846,22,402.6486339319963,-0.08455950357770388,409.3788506099954,0.6909792840015143,5.17,0.6954141199821606,orm,409.6606862769695,b,faceWord_exp,neu,404.34459776000585,0.4091436170274392,1,42,image_stim_p.png,408.969706992968,male,21,41
336,180,1,13,whale,Wednesday,42,413.3605774480384,22,412.66475951101165,-0.8455595735963974,419.36222784302663,0.6908038760302588,5.81,0.6958179370267317,orm,419.67691807600204,y,faceWord_exp,neu,414.36103434697725,0.3761136430548504,1,42,image_stim_n.png,418.9861141999718,male,22,42
336,180,1,12,lonely,Wednesday,43,423.3770947220037,22,422.6814857330173,4.010420717126172,429.47955149097834,0.6914479889674112,2.67,0.6956089889863506,orm,429.69382227095775,y,faceWord_exp,neg,424.3773426699918,0.477177208987996,1,42,image_stim_n.png,429.00237428199034,male,22,32
336,180,1,13,man,Wednesday,44,433.3935833889991,22,432.69758347200695,-0.277657621999038,439.44520273897797,0.6913748809602112,5.42,0.6959999169921502,orm,439.7105235889321,y,faceWord_exp,neu,434.39309985295404,0.42605403100606054,1,42,image_stim_n.png,439.0191487079719,male,22,42
180,336,1,11,moral,Wednesday,45,443.4101500669494,22,442.71657789696474,-1.1443669013398097,446.8619747119956,0.6890425849705935,6.85,0.6935721699846908,orm,447.1434766269522,b,faceWord_exp,pos,444.4106503400253,0.40754067001398653,1,42,image_stim_p.png,446.4544340419816,male,21,31
336,180,1,11,happy,Wednesday,46,453.44344375503715,22,452.7476693619974,-3.1501939707833047,459.3960651899688,0.691223465022631,8.47,0.6957743930397555,orm,459.759906220017,b,faceWord_exp,pos,454.4440363399917,0.32738243497442454,1,42,image_stim_p.png,459.06868275499437,male,21,31
180,336,1,11,beach,Wednesday,47,463.459912510938,22,462.76206483494025,-2.8031613090757777,466.99593407299835,0.6901380730560049,7.21,0.6978476759977639,orm,467.17628430202603,b,faceWord_exp,pos,464.46059243101627,0.5097878440283239,1,42,image_stim_p.png,466.48614622897003,male,21,31
336,180,1,12,hospital,Wednesday,48,473.47616266994737,22,472.7805614180397,2.561630339716405,479.6289852699265,0.6911434220382944,3.52,0.6956012519076467,orm,479.79300905100536,y,faceWord_exp,neg,474.476723206928,0.5271196409594268,1,42,image_stim_n.png,479.10186562896706,male,22,32
180,336,1,13,fence,Wednesday,49,483.4931263360195,22,482.7974213339621,0.3759356543037889,487.0287934480002,0.6906405059853569,5.05,0.6957050020573661,orm,487.20958929893095,b,faceWord_exp,neu,484.49343210994266,0.5098446550546214,1,42,image_stim_p.png,486.5189487929456,male,21,41
180,336,1,12,avalanche,Wednesday,50,493.50958268297836,22,492.8133936279919,3.2148840110758776,497.01255109894555,0.690829495084472,4.0,0.696189054986462,orm,497.22606773104053,y,faceWord_exp,neg,494.51006915501785,0.4773128629894927,1,42,image_stim_n.png,496.53523823595606,male,22,32
180,336,1,11,limousine,Wednesday,51,503.5260218300391,22,502.8307140900288,-1.4783411251765788,506.99503764195833,0.6913943679537624,6.14,0.6953077400103211,orm,507.24240501294844,b,faceWord_exp,pos,504.5264225319261,0.44402699696365744,1,42,image_stim_p.png,506.5510106449947,male,21,31
336,180,1,13,fiddle,Wednesday,52,513.542560347938,22,512.8490296510281,-1.0601571884744718,519.6285944980336,0.704473796999082,5.05,0.6935306969098747,orm,519.875216322951,b,faceWord_exp,neu,514.5430738900322,0.4578519720816985,1,42,image_stim_p.png,519.1707425259519,male,21,41
336,180,1,12,meeting,Wednesday,53,523.5756935799727,22,522.8802141959313,0.7573178762670367,529.7450825539418,0.691216840990819,4.55,0.6954793840413913,orm,529.8923841669457,y,faceWord_exp,neg,524.5758457570337,0.5439152279868722,1,42,image_stim_n.png,529.2011673259549,male,22,32
336,180,1,13,famous,Wednesday,54,533.5923403180204,22,532.8967463480076,-0.8050043475134195,539.6616215759423,0.6905811229953542,5.89,0.6955939700128511,orm,539.9088579439558,b,faceWord_exp,neu,534.5927659230074,0.44334475498180836,1,42,image_stim_p.png,539.2182768209605,male,21,41
180,336,1,13,hamster,Wednesday,55,543.6087283670204,22,542.9131920679938,-1.1856791528275217,547.1612108709523,0.6907531319884583,5.88,0.6955362990265712,orm,547.325423990027,b,faceWord_exp,neu,544.6092593090143,0.5265400129137561,1,42,image_stim_p.png,546.6346708580386,male,21,41
336,180,1,12,plot,Wednesday,56,553.6253856560215,22,552.9293054080335,0.2016963621838916,559.8278601559578,0.6912005279446021,4.9,0.6960802479879931,orm,559.9420794759644,y,faceWord_exp,neg,554.625719161937,0.5769812079379335,1,42,image_stim_n.png,559.2508789480198,male,22,32
180,336,1,11,new,Wednesday,57,563.6420668149367,22,562.9457467389293,-1.2313279950095668,567.0445276909741,0.6909140879288316,7.68,0.696320076007396,orm,567.3584857379319,b,faceWord_exp,pos,564.6423480520025,0.3769560409709811,1,42,image_stim_p.png,566.6675716500031,male,21,31
336,180,1,12,sandpaper,Wednesday,58,573.6607357789762,22,572.9631444809493,0.5814463879932942,579.6611121109454,0.6917227460071445,4.95,0.6975912980269641,orm,579.9753703629831,y,faceWord_exp,neg,574.6589224520139,0.37746449396945536,1,42,image_stim_n.png,579.2836476169759,male,22,32
336,180,1,12,alligator,Wednesday,59,583.6749246299732,22,582.9815983689623,1.9014187675556817,589.876816996024,0.7055892290081829,4.23,0.6933262610109523,orm,590.0081938579679,y,faceWord_exp,neg,584.6756120939972,0.5742123670643196,1,42,image_stim_n.png,589.3026046289597,male,22,32
180,336,1,11,wealthy,Wednesday,60,593.7081231269985,22,593.0116849689512,-1.8465637543339983,597.3436811110005,0.6909780479036272,6.37,0.6964381580473855,orm,597.4249889139319,b,faceWord_exp,pos,594.7085838529747,0.6096702449722216,1,42,image_stim_p.png,596.7340108660283,male,21,31
