onset_img,scan day,pause_trigger_t,key_t,rt,session,delay_frames_before,offset_img,gender,correct_resp,age,delay_frames_after,duration_measured_word,offset_word,img,condition,word_score_warriner,word_trigger,word,no,ID,duration_frames,response,word_score_pc,pause_trigger,img_trigger,duration_measured_img,word_label,onset_word
4.812007230000745,Wednesday,2.7205211899999995,5.357558868003252,0.5455516380025074,2,180,5.52135515500413,female,0,20,336,0.7022457330022007,1.7188361380030983,image_stim_p.png,faceWord_exp,6.4,11,mercy,1,jules,42,k,-1.0752281295040744,31,21,0.7093479250033852,pos,1.0165904050008976
17.458188352000434,Wednesday,12.825367527002527,17.928897901998425,0.4707095499979914,2,336,18.160646043004817,female,0,20,180,0.6954705929965712,11.824369223999383,image_stim_p.png,faceWord_exp,5.97,13,power,2,jules,42,k,-0.02119054453060663,41,21,0.7024576910043834,neu,11.128898631002812
27.49429517400131,Wednesday,22.863484599001822,27.984575537004275,0.4902803630029666,2,336,28.198741498003074,female,0,20,180,0.6958151509970776,21.86249867099832,image_stim_n.png,faceWord_exp,5.94,13,store,3,jules,42,l,-0.8400509032218062,42,22,0.7044463240017649,neu,21.166683520001243
34.930840212000476,Wednesday,32.90162755000347,35.50504252700193,0.5742023150014575,2,180,35.63568105400191,female,0,20,336,0.6951134400005685,31.900585850002244,image_stim_n.png,faceWord_exp,4.1,12,clang,4,jules,42,l,1.472290472628449,32,22,0.7048408420014312,neg,31.205472410001676
44.96876290599903,Wednesday,42.93969082900003,45.5434341240034,0.5746712180043687,2,180,45.67368132900447,female,1,20,336,0.6960718140035169,41.93854705100239,image_stim_p.png,faceWord_exp,7.0,11,embrace,5,jules,42,l,-2.461915733068042,31,21,0.7049184230054379,pos,41.24247523699887
57.60904814400419,Wednesday,52.97767854799895,58.114742504003516,0.5056943599993247,2,336,58.3129551450038,female,0,20,180,0.6937237679958344,51.97666352200031,image_stim_n.png,faceWord_exp,4.75,12,ricochet,6,jules,42,l,1.0482300490198866,32,22,0.7039070009996067,neg,51.282939754004474
67.64608386300097,Wednesday,63.01578527100355,68.1698383230032,0.5237544600022375,2,336,68.35105414099962,female,0,20,180,0.6968908439957886,62.01472719699814,image_stim_n.png,faceWord_exp,4.57,12,lab,7,jules,42,l,0.2032181950076048,32,22,0.7049702779986546,neg,61.31783635300235
77.68363329899876,Wednesday,73.05386706400168,78.10736644500139,0.42373314600263257,2,336,78.38920851000148,female,0,20,180,0.6971102289971896,72.05297845599853,image_stim_n.png,faceWord_exp,4.54,12,office,8,jules,42,l,0.6502198887451732,32,22,0.7055752110027242,neg,71.35586822700134
87.7220257670051,Wednesday,83.09197597300226,88.29536071800248,0.5733349509973777,2,336,88.42730359200505,female,0,20,180,0.6968657289980911,82.09043180500157,image_stim_p.png,faceWord_exp,5.48,13,business,9,jules,42,k,-0.06058349899147484,41,21,0.7052778249999392,neu,81.39356607600348
95.16009204400325,Wednesday,93.13003646200377,95.64835413700348,0.4882620930002304,2,180,95.8641129960015,female,0,20,336,0.6962276240010397,92.1283041170027,image_stim_n.png,faceWord_exp,3.57,12,cough,10,jules,42,l,2.483224745184551,32,22,0.7040209519982454,neg,91.43207649300166
