correct_resp,session,age,word_score_warriner,onset_word,word_score_pc,delay_frames_before,offset_img,duration_measured_img,pause_trigger,key_t,rt,word_trigger,onset_img,duration_measured_word,img,word_label,ID,pause_trigger_t,img_trigger,duration_frames,word,offset_word,scan day,condition,no,response,delay_frames_after,gender
1,4,22,5.67,1.0016581999952905,0.4395766978022416,180,5.475213079000241,0.699801919006859,41,2.24279285898956,-2.532618301003822,13,4.775411159993382,0.7064355689944932,image_stim_p.png,neu,C,2.709166603992344,21,42,red,1.7080937689897837,Monday,faceWord_exp,1,b,336,female
1,4,22,5.09,11.080488919993513,0.3545861367636661,336,18.09157363999111,0.6896291509910952,41,12.4939843989996,-4.907960090000415,13,17.401944489000016,0.6944294179993449,image_stim_p.png,neu,C,12.775411766997422,21,42,put,11.774918337992858,Monday,faceWord_exp,2,b,180,female
0,4,22,6.26,21.096491813994362,-1.426145970237633,180,25.50835661299061,0.6899238259939011,31,22.510714428994106,-2.307718358002603,11,24.81843278699671,0.6950213859963696,image_stim_p.png,pos,C,22.79206838099344,21,42,lust,21.79151319999073,Monday,faceWord_exp,3,y,336,female
1,4,22,6.32,31.116863566989196,-1.3206920491180312,336,38.12479543300287,0.6892765820084605,31,32.24521019800159,-5.190308652992826,11,37.43551885099441,0.6912245540006552,image_stim_p.png,pos,C,32.80871099799697,21,42,harmonica,31.80808812098985,Monday,faceWord_exp,4,b,180,female
0,4,22,5.1,41.12931838798977,0.12602488928311428,180,45.54138881000108,0.6913593170029344,42,42.12761733800289,-2.7224121549952542,13,44.85002949299815,0.695286752001266,image_stim_n.png,neu,C,42.825300283002434,22,42,shoulder,41.824605139991036,Monday,faceWord_exp,5,b,336,female
1,4,22,7.24,51.145442768000066,-2.1205664047688315,336,58.15788771599182,0.6911017609963892,31,52.09420305700041,-5.3725828979950165,11,57.46678595499543,0.6959159309917595,image_stim_p.png,pos,C,52.84154220898927,21,42,trust,51.841358698991826,Monday,faceWord_exp,6,b,180,female
1,4,22,6.15,61.16186289000325,-1.883093263099396,336,68.17431579300319,0.6906851510138949,31,62.27774761499313,-5.205883026996162,11,67.4836306419893,0.6958189279976068,image_stim_p.png,pos,C,62.85840445299982,21,42,choir,61.857681818000856,Monday,faceWord_exp,7,b,180,female
0,4,22,5.43,71.17811769800028,0.37753019343780747,180,75.59091934999742,0.6905904919985915,42,72.07732945399766,-2.822999404001166,13,74.90032885799883,0.6962740379967727,image_stim_n.png,neu,C,72.8748935689946,22,42,door,71.87439173599705,Monday,faceWord_exp,8,b,336,female
1,4,22,7.05,81.1951367349975,-2.30162279277581,336,88.2074092309922,0.6908136249985546,31,82.01044023799477,-5.506155367998872,11,87.51659560599364,0.6955526380043011,image_stim_p.png,pos,C,82.89142532099504,21,42,heroism,81.8906893730018,Monday,faceWord_exp,9,b,180,female
1,4,22,2.53,91.21451706100197,4.5355840269859025,336,98.24049735598965,0.7051605029992061,32,92.17650523399061,-5.3588316189998295,12,97.53533685299044,0.6927606870012823,image_stim_n.png,neg,C,92.9079915679904,22,42,torment,91.90727774800325,Monday,faceWord_exp,10,y,180,female
1,4,22,5.89,101.24546527198981,0.29188517290671034,336,108.27381522399082,0.6904517459915951,41,102.60968817099638,-4.97367530700285,13,107.58336347799923,0.6949241480033379,image_stim_p.png,neu,C,102.94113362599455,21,42,guard,101.94038941999315,Monday,faceWord_exp,11,b,180,female
1,4,22,5.83,111.27740896999603,-0.5273916336755435,180,115.69049256900325,0.6911635370051954,41,112.16032223799266,-2.8390067940053996,13,114.99932903199806,0.6964088850072585,image_stim_p.png,neu,C,112.97375964299135,21,42,scientist,111.97381785500329,Monday,faceWord_exp,12,b,336,female
