img_trigger,correct_resp,onset_img,condition,duration_frames,rt,no,word_label,pause_trigger_t,pause_trigger,delay_frames_after,gender,word_trigger,duration_measured_word,ID,age,response,word_score_pc,word_score_warriner,img,key_t,session,offset_word,delay_frames_before,onset_word,word,scan day,duration_measured_img,offset_img
21,0,6.601829923001787,faceWord_exp,21,1.560681819999445,1,neu,1.8923841860014363,41,180,female,13,0.3663356819997716,alba,20,y,-0.5485436049411244,5.72,image_stim_p.png,8.162511743001232,2,0.8916623469995102,336,0.5253266649997386,apartment,Monday,0.35662070399848744,6.958450627000275
21,0,13.345749899999646,faceWord_exp,21,1.450917689002381,2,pos,11.31164652499865,31,336,female,11,0.3390699299998232,alba,20,y,-1.5621536719325724,6.81,image_stim_p.png,14.796667589002027,2,10.308345766999992,180,9.969275837000168,sailboat,Monday,0.34866025100200204,13.694410151001648
21,,22.67919602600159,faceWord_exp,21,,3,neu,20.64615435399901,41,336,female,13,0.34116287199867656,alba,20,,-0.02119054453060663,5.97,image_stim_p.png,,2,19.645387217999087,180,19.30422434600041,power,Monday,0.3495682169996144,23.028764243001206
21,1,34.63051299899962,faceWord_exp,21,0.5237832050006546,4,pos,29.996091518001776,31,180,female,11,0.354353398000967,alba,20,b,-1.8879163634684628,7.88,image_stim_p.png,35.154296204000275,2,28.99535146600101,336,28.640998068000044,joke,Monday,0.3480858110015106,34.97859881000113
21,,41.36130584399871,faceWord_exp,21,,5,pos,39.32931648500016,31,336,female,11,0.34048934200109215,alba,20,,-1.926056195769395,6.8,image_stim_p.png,,2,38.32854356000098,180,37.98805421799989,fireworks,Monday,0.35055832299985923,41.711864166998566
21,0,50.694373297999846,faceWord_exp,21,0.954136306001601,6,neu,48.66250586699971,41,336,female,13,0.3435512399992149,alba,20,y,0.3296196251321362,5.15,image_stim_p.png,51.64850960400145,2,47.661610479000956,180,47.31805923900174,pan,Monday,0.3507152860001952,51.04508858400004
22,1,62.627278122999996,faceWord_exp,21,0.504505764998612,7,neu,57.99570792599843,42,180,female,13,0.3429649370009429,alba,20,y,-0.5451009915059291,5.8,image_stim_n.png,63.13178388799861,2,56.99502634400051,336,56.652061406999564,toaster,Monday,0.3509898029988108,62.97826792599881
22,1,69.3613034580012,faceWord_exp,21,1.0772937340007047,8,neg,67.32889124899884,32,336,female,12,0.33899112600192893,alba,20,y,3.222893544100452,2.95,image_stim_n.png,70.43859719200191,2,66.32816553900193,180,65.989174413,perjury,Monday,0.3501688149990514,69.71147227300025
21,1,78.69622381999943,faceWord_exp,21,1.201519787999132,9,pos,76.66208138100046,31,336,female,11,0.34106427100050496,alba,20,b,-1.7947555393350414,6.4,image_stim_p.png,79.89774360799856,2,75.66140801599977,180,75.32034374499926,piano,Monday,0.3484675250001601,79.04469134499959
22,1,90.62713158399856,faceWord_exp,21,1.1704898120005964,10,neg,85.995359474,32,180,female,12,0.34164147399860667,alba,20,y,3.4738609063027237,2.29,image_stim_n.png,91.79762139599916,2,84.9945976199997,336,84.65295614600109,sick,Monday,0.3507297730029677,90.97786135700153
22,1,99.96050155000194,faceWord_exp,21,1.4047008199995616,11,neg,95.32864792400142,32,180,female,12,0.34271197500129347,alba,20,y,3.561717315569441,4.76,image_stim_n.png,101.3652023700015,2,94.327743697002,336,93.98503172200071,landslide,Monday,0.35057361599683645,100.31107516599877
22,1,106.69377396100026,faceWord_exp,21,1.054571771001065,12,neg,104.66171720900093,32,336,female,12,0.3431841120000172,alba,20,y,4.02985566434138,3.52,image_stim_n.png,107.74834573200133,2,103.6609864359998,180,103.31780232399979,problem,Monday,0.35052359199835337,107.04429755299861
22,1,116.02702533699994,faceWord_exp,21,1.2038128880012664,13,neg,113.99493173000155,32,336,female,12,0.34035935499923653,alba,20,y,-0.14866519221167074,4.43,image_stim_n.png,117.23083822500121,2,112.99424523500056,180,112.65388588000133,van,Monday,0.3504385550004372,116.37746389200038
21,0,127.96017145600126,faceWord_exp,21,1.1712631469999906,14,pos,123.32811814700108,31,180,female,11,0.34291467100047157,alba,20,y,-3.1565376907491283,8.53,image_stim_p.png,129.13143460300125,2,122.32742767699892,336,121.98451300599845,vacation,Monday,0.35051597399797174,128.31068742999923
21,1,134.6931699880006,faceWord_exp,21,1.1038913080010389,15,neu,132.6613593059992,41,336,female,13,0.34338509799999883,alba,20,b,0.3228926581020319,5.07,image_stim_p.png,135.79706129600163,2,131.66063842400035,180,131.31725332600035,street,Monday,0.3507548540001153,135.0439248420007
21,0,144.09577020199868,faceWord_exp,21,1.2856046150009206,16,pos,142.0443718230017,31,336,female,11,0.3558485230023507,alba,20,y,-1.3695211950901562,7.59,image_stim_p.png,145.3813748169996,2,141.0436429270012,180,140.68779440399885,tree,Monday,0.3480032100014796,144.44377341200016
21,0,156.02663813300023,faceWord_exp,21,-2.478075200000603,17,pos,151.3944359470006,31,180,female,11,0.34332607299802476,alba,20,y,-1.2978987804410356,6.76,image_stim_p.png,153.54856293299963,2,150.39371042499988,336,150.05038435200186,artist,Monday,0.35033911600112333,156.37697724900136
22,0,165.41027509800188,faceWord_exp,21,1.9042810289975023,18,neu,160.76093363499967,42,180,female,13,0.3417485760001,alba,20,b,0.1106807997481866,5.65,image_stim_n.png,167.31455612699938,2,159.72769195300134,336,159.38594337700124,theory,Monday,0.34983670899964636,165.76011180700152
22,0,174.7426783109986,faceWord_exp,21,1.0367829120004899,19,neu,170.11089927400099,42,180,female,13,0.3431832429996575,alba,20,b,0.10630403813009667,5.86,image_stim_n.png,175.7794612229991,2,169.11012222999852,336,168.76693898699887,whole,Monday,0.3507281950005563,175.09340650599916
22,0,184.07597106400135,faceWord_exp,21,0.7699191229985445,20,neg,179.4439749939993,32,180,female,12,0.34161383700120496,alba,20,b,0.7321109855355353,3.48,image_stim_n.png,184.8458901869999,2,178.44322050100163,336,178.10160666400043,axe,Monday,0.35063404599713976,184.4266051099985
22,0,193.40911615300138,faceWord_exp,21,0.7218396520001988,21,neg,188.77724511500128,32,180,female,12,0.3438343210000312,alba,20,b,2.166481281776448,4.35,image_stim_n.png,194.13095580500158,2,187.77650703399922,336,187.4326727129992,plea,Monday,0.3507028879976133,193.759819040999
21,1,202.74303992299974,faceWord_exp,21,1.3048731929993664,22,pos,198.11047310700087,31,180,female,11,0.34300358300242806,alba,20,b,-1.3205598447631597,6.17,image_stim_p.png,204.0479131159991,2,197.1096981990013,336,196.76669461599886,chicken,Monday,0.34998596100194845,203.0930258840017
22,1,212.07789452200086,faceWord_exp,21,0.7678236120009387,23,neu,207.44366842900126,42,180,female,13,0.33775445299761486,alba,20,y,-0.34443889393116306,5.43,image_stim_n.png,212.8457181340018,2,206.4429417399988,336,206.10518728700117,asparagus,Monday,0.34829033599817194,212.42618485799903
21,0,218.80927443200198,faceWord_exp,21,2.143378043998382,24,pos,216.77686709000045,31,336,female,11,0.34335673099849373,alba,20,y,-1.7608811602119443,7.5,image_stim_p.png,220.95265247600037,2,215.77617661299882,180,215.43281988200033,summer,Monday,0.3501214309981151,219.1593958630001
22,0,230.74186559200098,faceWord_exp,21,1.1043232310003077,25,neu,226.11014100800094,42,180,female,13,0.34383511600026395,alba,20,b,-0.049892793833906636,5.5,image_stim_n.png,231.84618882300128,2,225.10939100199903,336,224.76555588599877,nose,Monday,0.35078936200079625,231.09265495400177
22,0,237.47542953200173,faceWord_exp,21,1.0046076869984972,26,neg,235.44334009399972,32,336,female,12,0.3435713520011632,alba,20,b,2.483224745184551,3.57,image_stim_n.png,238.48003721900022,2,234.44258962000094,180,234.09901826799978,cough,Monday,0.3504270359990187,237.82585656800075
21,0,246.80828594700142,faceWord_exp,21,1.027411373997893,27,neu,244.7765570470001,41,336,female,13,0.34364209799969103,alba,20,y,0.17918122123944408,5.27,image_stim_p.png,247.83569732099932,2,243.77578990500115,180,243.43214780700146,verb,Monday,0.35081982200063067,247.15910576900205
21,1,258.83031827000013,faceWord_exp,21,1.2662024870005553,28,neu,254.18283125800008,41,180,female,13,0.3439422699993884,alba,20,b,-0.06058349899147484,5.48,image_stim_p.png,260.0965207570007,2,253.11123700100143,336,252.76729473100204,business,Monday,0.3529533020009694,259.1832715720011
21,1,265.6419616769999,faceWord_exp,21,0.8588016870016872,29,pos,263.60950901199976,31,336,female,11,0.342729894000513,alba,20,b,-2.5746228757417584,7.1,image_stim_p.png,266.5007633640016,2,262.6087996790011,180,262.2660697850006,barbecue,Monday,0.3500923989995499,265.9920540759995
22,0,277.59378957500303,faceWord_exp,21,-4.928071536003699,30,neg,272.9595276889995,32,180,female,12,0.3570751859988377,alba,20,b,0.6502198887451732,4.54,image_stim_n.png,272.66571803899933,2,271.9588211980008,336,271.60174601200197,office,Monday,0.34824273199774325,277.9420323070008
22,0,284.32432306499686,faceWord_exp,21,-2.8460990489984397,31,neg,282.29269174599904,32,336,female,12,0.3432656969962409,alba,20,b,1.3393636650983416,4.78,image_stim_n.png,281.4782240159984,2,281.29192134299956,180,280.9486556460033,heavy,Monday,0.3509684670061688,284.67529153200303
21,1,296.25772754000354,faceWord_exp,21,0.8715561789940693,32,pos,291.6258736239979,31,180,female,11,0.34236036599759245,alba,20,b,-2.0702836690965865,6.95,image_stim_p.png,297.1292837189976,2,290.62515635699674,336,290.28279599099915,restaurant,Monday,0.35066406999976607,296.6083916100033
22,1,302.99093327399896,faceWord_exp,21,1.1372320410009706,33,neg,300.9590437459992,32,336,female,12,0.34405896499811206,alba,20,y,0.16339675594021513,4.41,image_stim_n.png,304.12816531499993,2,299.9583544429988,180,299.6142954780007,jaw,Monday,0.3507339240022702,303.34166719800123
21,0,314.92442444399785,faceWord_exp,21,0.9542728230007924,34,pos,310.2923165359971,31,180,female,11,0.3404971479976666,alba,20,y,-1.6425048482978826,7.28,image_stim_p.png,315.87869726699864,2,309.2915361609994,336,308.9510390130017,knowledge,Monday,0.3504069660048117,315.27483141000266
21,0,324.25800435300334,faceWord_exp,21,0.46842469399416586,35,pos,319.62553269899945,31,180,female,11,0.3429807130014524,alba,20,y,-2.7563434535584275,7.21,image_stim_p.png,324.7264290469975,2,318.6247761429986,336,318.28179542999715,optimism,Monday,0.3499754679942271,324.60797982099757
22,1,333.59114028300246,faceWord_exp,21,1.0878709690005053,36,neu,328.9587231309997,42,180,female,13,0.34242418999929214,alba,20,y,-0.32263149533554664,5.67,image_stim_n.png,334.67901125200297,2,327.95783079099783,336,327.61540660099854,attribute,Monday,0.35008327000105055,333.9412235530035
22,0,340.32661490199825,faceWord_exp,21,1.367607683998358,37,neu,338.291941741998,42,336,female,13,0.3399256999982754,alba,20,b,0.650019808676411,5.19,image_stim_n.png,341.6942225859966,2,337.29117417700036,180,336.9512484770021,highway,Monday,0.3478740659993491,340.6744889679976
21,1,349.65688432000024,faceWord_exp,21,1.0752795040025376,38,neu,347.62511952299974,41,336,female,13,0.34335640300560044,alba,20,b,-0.6680004122251881,5.82,image_stim_p.png,350.7321638240028,2,346.62443971400353,180,346.28108331099793,monkey,Monday,0.3508207359991502,350.0077050559994
22,0,358.9901672729975,faceWord_exp,21,1.0560566730055143,39,neg,356.9583515389968,32,336,female,12,0.344063421995088,alba,20,b,0.2032181950076048,4.57,image_stim_n.png,360.046223946003,2,355.95762161199673,180,355.61355819000164,lab,Monday,0.350731796999753,359.34089906999725
22,1,368.3235949910013,faceWord_exp,21,0.5050369529999443,40,neu,366.2915574869985,42,336,female,13,0.3433064540004125,alba,20,y,-0.18776275500974607,5.62,image_stim_n.png,368.82863194400124,2,365.2908550389984,180,364.947548584998,speech,Monday,0.3505194739991566,368.67411446500046
22,0,377.6566657220028,faceWord_exp,21,0.41121232099976623,41,neg,375.6247838889976,32,336,female,12,0.34405340800003614,alba,20,b,0.2623575316864496,4.8,image_stim_n.png,378.06787804300257,2,374.6240062200013,180,374.2799528120013,hoe,Monday,0.350657240000146,378.00732296200295
22,0,386.99004784099816,faceWord_exp,21,0.4548951800024952,42,neg,384.957965071997,32,336,female,12,0.3434093679970829,alba,20,b,0.5494484707734639,4.81,image_stim_n.png,387.44494302100065,2,383.957260848998,180,383.6138514810009,stone,Monday,0.3505069110033219,387.3405547520015
21,1,396.3230441389969,faceWord_exp,21,0.6879732470042654,43,pos,394.2911556789986,31,336,female,11,0.3434413630020572,alba,20,b,-1.0752281295040744,6.4,image_stim_p.png,397.0110173860012,2,393.2903766849995,180,392.94693532199744,mercy,Monday,0.35068702100397786,396.6737311600009
21,0,405.7073065660006,faceWord_exp,21,1.4207638169973507,44,pos,403.62440478699864,31,336,female,11,0.3428705260012066,alba,20,y,-1.7539828459428422,6.91,image_stim_p.png,407.128070382998,2,402.6236379070033,180,402.2807673810021,spaghetti,Monday,0.3496068960012053,406.05691346200183
22,1,417.65856998699746,faceWord_exp,21,0.3524017790041398,45,neu,413.02426127000217,42,180,female,13,0.3567781300007482,alba,20,y,-0.8400509032218062,5.94,image_stim_n.png,418.0109717660016,2,412.0235254060026,336,411.66674727600184,store,Monday,0.3482156070022029,418.00678559399967
22,1,424.3892740770025,faceWord_exp,21,0.47047057999589015,46,neg,422.35744924400205,32,336,female,12,0.3432016480001039,alba,20,y,2.373388118792564,4.52,image_stim_n.png,424.8597446569984,2,421.3567308720012,180,421.0135292240011,excuse,Monday,0.35078148399770726,424.7400555610002
22,0,433.72261227200215,faceWord_exp,21,0.48847152500093216,47,neg,431.69066471899714,32,336,female,12,0.3434796159999678,alba,20,b,2.351878020671037,4.29,image_stim_n.png,434.2110837970031,2,430.6899485899994,180,430.34646897399944,tired,Monday,0.3506240099959541,434.0732362819981
22,1,443.0556772350028,faceWord_exp,21,0.4383435559939244,48,neg,441.02385493300244,32,336,female,12,0.3429881839983864,alba,20,y,1.0482300490198866,4.75,image_stim_n.png,443.49402079099673,2,440.0231368859968,180,439.6801487019984,ricochet,Monday,0.3507520889979787,443.4064293240008
21,1,452.3890210250029,faceWord_exp,21,2.036886059999233,49,pos,450.3570778830035,31,336,female,11,0.34291395299806027,alba,20,b,-2.4114282062334524,6.48,image_stim_p.png,454.4259070850021,2,449.3563460459991,180,449.01343209300103,carnival,Monday,0.35062598799413536,452.739647012997
22,0,464.32178390699846,faceWord_exp,21,1.471859058001428,50,neg,459.69027017999906,32,180,female,12,0.3433297439987655,alba,20,b,3.4296451702105397,2.53,image_stim_n.png,465.7936429649999,2,458.68955249099963,336,458.34622274700087,angry,Monday,0.3510047400050098,464.6727886470035
21,0,471.05528369900276,faceWord_exp,21,0.952902319993882,51,pos,469.02344072100095,31,336,female,11,0.34364662499865517,alba,20,y,-2.2291915044129413,6.73,image_stim_p.png,472.00818601899664,2,468.0227079519973,180,467.67906132699864,luck,Monday,0.3507278170000063,471.40601151600276
21,1,480.4078220520023,faceWord_exp,21,1.3180460309959017,52,pos,478.37336307700025,31,336,female,11,0.3564711310027633,alba,20,b,-2.461915733068042,7.0,image_stim_p.png,481.7258680829982,2,477.3726097280014,180,477.01613859699864,embrace,Monday,0.3480642729991814,480.7558863250015
21,0,489.7388169370024,faceWord_exp,21,0.5377401320001809,53,neu,487.7065991950003,41,336,female,13,0.34282060799887404,alba,20,y,-0.09980687036967174,5.55,image_stim_p.png,490.2765570690026,2,486.7058115050022,180,486.36299089700333,eggplant,Monday,0.3502926319997641,490.0891095690022
22,0,501.6713465990033,faceWord_exp,21,0.5052755750002689,54,neg,497.0397453080004,32,180,female,12,0.3427861430027406,alba,20,b,4.537930167489568,2.35,image_stim_n.png,502.17662217400357,2,496.0390347720022,336,495.69624862899946,terrorist,Monday,0.3509260059945518,502.02227260499785
22,0,508.4049690920001,faceWord_exp,21,1.1201193950037123,55,neg,506.37299357199663,32,336,female,12,0.3434194090004894,alba,20,b,1.472290472628449,4.1,image_stim_n.png,509.5250884870038,2,505.372257367002,180,505.02883795800153,clang,Monday,0.3506109430018114,508.7555800350019
22,0,520.3379229310012,faceWord_exp,21,0.3550668859970756,56,neu,515.7062327489984,42,180,female,13,0.3431558550000773,alba,20,b,0.3495373155897487,5.5,image_stim_n.png,520.6929898169983,2,514.7054809399997,336,514.3623250849996,winter,Monday,0.3508473830006551,520.6887703140019
21,1,529.6878576579984,faceWord_exp,21,0.9884096230016439,57,neu,525.0559874750033,41,180,female,13,0.34286332599731395,alba,20,b,0.4272037094573085,5.03,image_stim_p.png,530.676267281,2,524.0552287719984,336,523.7123654460011,scissors,Monday,0.3506913790042745,530.0385490370027
21,1,539.0210856859994,faceWord_exp,21,1.3216263750000508,58,neu,534.3892625200024,41,180,female,13,0.3433245399937732,alba,20,b,0.0657349158769076,5.29,image_stim_p.png,540.3427120609995,2,533.3885536399976,336,533.0452291000038,camel,Monday,0.350725174001127,539.3718108600006
