no,rt,onset_word,ID,age,word,delay_frames_after,scan day,pause_trigger,word_score_pc,img_trigger,key_t,correct_resp,condition,offset_img,onset_img,word_score_warriner,delay_frames_before,duration_measured_word,duration_frames,word_trigger,offset_word,gender,img,word_label,duration_measured_img,pause_trigger_t,response,session
1,0.4896461999960593,1.0384111000021221,12345,22,plane,60,Monday,41,0.20373950943912453,21,4.400886600000376,1,faceWord_exp,4.598346999999194,3.911240400004317,5.72,120,0.6972243999989587,42,13,1.7356355000010808,female,image_stim_p.png,neu,0.6871065999948769,2.735665500003961,b,3
2,0.625802599999588,5.622671900004207,12345,22,advantage,120,Monday,31,-1.2474567486001964,21,8.080580200003169,1,faceWord_exp,8.146140299999388,7.454777600003581,6.71,60,0.6928696999966633,42,11,6.31554160000087,female,image_stim_p.png,pos,0.6913626999958069,2.735665500003961,b,3
3,0.6361343000025954,10.15725250000105,12345,22,foot,60,Monday,32,0.41231466195915456,22,13.577822600003856,1,faceWord_exp,13.624977300001774,12.94168830000126,4.68,120,0.6861262000020361,42,12,10.843378700003086,female,image_stim_n.png,neg,0.6832890000005136,11.844607700004417,y,3
4,0.5554419999971287,14.641300300005241,12345,22,patent,120,Monday,42,-0.1793860699809707,22,16.940665699999954,1,faceWord_exp,17.07140680000157,16.385223700002825,5.34,60,0.6835979999959818,42,13,15.324898300001223,female,image_stim_n.png,neu,0.6861830999987433,11.844607700004417,y,3
5,0.3180939000012586,19.089333600000828,12345,22,coffee,60,Monday,31,-1.8894778219780863,21,22.152109000002383,1,faceWord_exp,22.517451899999287,21.834015100001125,7.0,120,0.6810327999992296,42,11,19.770366400000057,female,image_stim_p.png,pos,0.6834367999981623,20.769378299999516,b,3
6,0.2800511999957962,23.56998270000622,12345,22,family,60,Monday,31,-1.6019047514101912,21,26.598640399999567,1,faceWord_exp,26.997596000001067,26.31858920000377,7.25,120,0.6802136999976938,42,11,24.250196400003915,female,image_stim_p.png,pos,0.6790067999972962,25.250827600000775,b,3
7,0.5274252999952296,28.01428930000111,12345,22,cold,120,Monday,32,1.7592404876513306,22,30.281971399999748,1,faceWord_exp,30.444285900004616,29.754546100004518,4.32,60,0.681489300004614,42,12,28.695778600005724,female,image_stim_n.png,neg,0.6897398000000976,25.250827600000775,y,3
8,0.49176040000020294,32.46263800000452,12345,22,fountain,60,Monday,31,-2.0727743906520253,21,35.69375500000024,1,faceWord_exp,35.88938980000239,35.201994600000035,6.26,120,0.6787218999961624,42,11,33.14135990000068,female,image_stim_p.png,pos,0.6873952000023564,34.1419870000027,b,3
9,0.5581471999976202,36.91135750000103,12345,22,saxophone,120,Monday,31,-1.100912149643323,21,39.2249582000004,1,faceWord_exp,39.35292879999906,38.66681100000278,6.32,60,0.6935850000008941,42,11,37.604942500001926,female,image_stim_p.png,pos,0.686117799996282,34.1419870000027,b,3
10,0.4312170000048354,41.36347860000387,12345,22,egg,60,Monday,41,-0.6884171372613734,21,44.55149000000529,1,faceWord_exp,44.798760700003186,44.12027300000045,5.95,120,0.6878226999979233,42,13,42.051301300001796,female,image_stim_p.png,neu,0.6784877000027336,43.052388500000234,b,3
