scan day,pause_trigger_t,condition,word_score_pc,word_score_warriner,word_trigger,delay_frames_after,pause_trigger,offset_img,onset_word,delay_frames_before,response,onset_img,no,word,ID,word_label,duration_measured_img,correct_resp,session,rt,duration_measured_word,key_t,age,gender,img_trigger,offset_word,duration_frames,img
Monday,2.7329530000024533,faceWord_exp,-1.4048581699918157,7.11,11,180,31,8.064347999999882,1.027004499999748,336,b,7.365529700000479,1,blueberry,T1572,pos,0.6988182999994024,1,6,0.40007989999867277,0.7053106000021216,7.765609599999152,20,female,21,1.7323151000018697,42,image_stim_p.png
Monday,12.76414719999957,faceWord_exp,1.4290259416609457,3.94,12,336,32,15.496315600001253,11.072466800000257,180,y,14.795035999999527,2,lawyer,T1572,neg,0.7012796000017261,1,6,0.5688335000013467,0.6912178000020504,15.363869500000874,20,female,22,11.763684600002307,42,image_stim_n.png
Monday,22.795509999999922,faceWord_exp,-1.0219663684796234,6.61,11,336,31,25.52735010000106,21.1037596999995,180,b,24.82502469999963,3,camera,T1572,pos,0.7023254000014276,1,6,0.436923500001285,0.6910557000010158,25.261948200000916,20,female,21,21.794815400000516,42,image_stim_p.png
Monday,32.826707799998985,faceWord_exp,-1.1380831950062478,7.0,11,336,31,35.55870240000149,31.136759600001824,180,b,34.85620539999945,4,pumpkin,T1572,pos,0.7024970000020403,1,6,0.420289400000911,0.6893897999980254,35.276494800000364,20,female,21,31.82614939999985,42,image_stim_p.png
Monday,42.85810610000044,faceWord_exp,-0.4928774877246448,5.89,13,180,42,48.18942249999964,41.16535650000151,336,y,47.48662610000247,5,chair,T1572,neu,0.7027963999971689,1,6,0.587311099996441,0.6920288000001165,48.07393719999891,20,female,22,41.857385300001624,42,image_stim_n.png
Monday,52.88935060000222,faceWord_exp,3.2726955917764444,2.79,12,180,32,58.220695899999555,51.19860510000217,336,y,57.52325720000226,6,gunshot,T1572,neg,0.6974386999972921,1,6,0.4152100999999675,0.6900868999982777,57.93846730000223,20,female,22,51.88869200000045,42,image_stim_n.png
Monday,62.92055370000162,faceWord_exp,0.5993691927879942,4.75,12,180,32,68.25204289999965,61.2256739000004,336,y,67.54937740000241,7,rake,T1572,neg,0.7026654999972379,1,6,0.6537152999990212,0.6942334000013943,68.20309270000143,20,female,22,61.919907300001796,42,image_stim_n.png
Monday,72.95188699999926,faceWord_exp,2.52891321026023,4.11,12,180,32,78.28340910000043,71.25872560000062,336,y,77.58077920000142,8,folly,T1572,neg,0.7026298999990104,1,6,0.4368767999985721,0.6924620999998297,78.01765599999999,20,female,22,71.95118770000045,42,image_stim_n.png
Monday,82.98316150000028,faceWord_exp,1.5036737146000605,3.68,12,180,32,88.31466600000203,81.2879262000024,336,y,87.61194310000064,9,bee,T1572,neg,0.7027229000013904,1,6,0.5703915999984019,0.6945851999989827,88.18233469999905,20,female,22,81.98251140000139,42,image_stim_n.png
Monday,93.01452609999978,faceWord_exp,-0.8574934623041074,5.26,13,336,41,95.74630969999998,91.32048190000205,180,b,95.04406740000195,10,accordion,T1572,neu,0.7022422999980336,1,6,0.5871709999992163,0.6932945999978983,95.63123840000117,20,female,21,92.01377649999995,42,image_stim_p.png
