img_trigger,condition,ID,pause_trigger,offset_word,word_label,response,img,onset_img,duration_measured_word,duration_frames,rt,session,key_t,age,gender,onset_word,offset_img,delay_frames_before,correct_resp,duration_measured_img,no,pause_trigger_t,word_score_warriner,delay_frames_after,scan day,word_trigger,word,word_score_pc
22,faceWord_exp,12345,32,46.45977660000062,neg,b,image_stim_n.png,48.528114699998696,0.6806847999978345,42,0.512532500004454,1,49.04064720000315,22,female,45.77909180000279,49.206709999998566,120,0,0.6785952999998699,11,47.45901160000358,4.23,60,Monday,12,jury,1.7036686386059527
21,faceWord_exp,12345,31,50.90426400000433,pos,b,image_stim_p.png,51.97388099999807,0.6883296000014525,42,0.24739380000391975,1,52.22127480000199,22,female,50.21593440000288,52.65455640000437,60,1,0.6806754000062938,12,47.45901160000358,7.21,120,Monday,11,beach,-2.8031613090757777
21,faceWord_exp,12345,41,55.3527802000026,neu,b,image_stim_p.png,56.41959040000074,0.684988400003931,42,0.4490488000010373,1,56.86863920000178,22,female,54.66779179999867,57.10169750000205,60,1,0.6821071000013035,13,47.45901160000358,5.05,120,Monday,13,fiddle,-1.0601571884744718
21,faceWord_exp,12345,31,59.79930990000139,pos,b,image_stim_p.png,61.86108139999851,0.6871724000011454,42,0.2522702000060235,1,62.113351600004535,22,female,59.112137500000244,62.54510339999979,120,1,0.6840220000012778,14,60.79726720000326,8.47,60,Monday,11,happy,-3.1501939707833047
21,faceWord_exp,12345,41,64.24343709999812,neu,b,image_stim_p.png,66.31240410000464,0.6865431999976863,42,0.513688999999431,1,66.82609310000407,22,female,63.55689390000043,66.9911407000036,120,1,0.6787365999989561,15,65.2435570000016,5.05,60,Monday,13,fence,0.3759356543037889
21,faceWord_exp,12345,31,68.68964080000296,pos,b,image_stim_p.png,70.75730640000256,0.6815694000033545,42,0.41517600000224775,1,71.17248240000481,22,female,68.00807139999961,71.43991069999902,120,1,0.6826042999964557,16,69.69020160000218,6.47,60,Monday,11,oak,-1.0543324261381863
22,faceWord_exp,12345,32,73.13675530000182,neg,b,image_stim_n.png,74.20443080000405,0.6855524999991758,42,0.3652661999949487,1,74.569696999999,22,female,72.45120280000265,74.88450230000308,60,0,0.6800714999990305,17,69.69020160000218,4.95,120,Monday,12,sandpaper,0.5814463879932942
21,faceWord_exp,12345,31,77.58252580000408,pos,b,image_stim_p.png,79.66138959999807,0.6892655000046943,42,0.2555835000021034,1,79.91697310000018,22,female,76.89326029999938,80.34727420000127,120,1,0.6858846000031917,18,78.58409329999995,7.78,60,Monday,11,kiss,-2.8785481086132907
21,faceWord_exp,12345,31,82.04631840000366,pos,b,image_stim_p.png,84.11101970000163,0.690561000003072,42,0.30080679999809945,1,84.41182649999973,22,female,81.35575740000058,84.79434480000054,120,1,0.6833250999989104,19,83.04656490000343,6.36,60,Monday,11,boat,-1.0613549170130714
22,faceWord_exp,12345,32,86.49156149999908,neg,y,image_stim_n.png,88.55893459999788,0.6860114999944926,42,0.36746970000240253,1,88.92640430000029,22,female,85.80555000000459,89.2395153000034,120,1,0.6805807000055211,20,87.49211849999847,3.32,60,Monday,12,bribe,2.3815246085651838
22,faceWord_exp,12345,32,90.93836310000188,neg,b,image_stim_n.png,93.0057256,0.6833608000015374,42,0.4002680000048713,1,93.40599360000488,22,female,90.25500230000034,93.68687209999916,120,0,0.6811464999991586,21,91.93947350000235,3.16,60,Monday,12,hurricane,3.648586845460279
21,faceWord_exp,12345,31,95.38434979999874,pos,b,image_stim_p.png,96.45351310000115,0.687274999996589,42,0.4820384999984526,1,96.9355515999996,22,female,94.69707480000216,97.13470329999836,60,1,0.6811901999972179,22,91.93947350000235,6.45,120,Monday,11,pie,-2.2727319315779937
22,faceWord_exp,12345,42,99.83220000000438,neu,b,image_stim_n.png,101.89706529999967,0.6884661000003689,42,0.34966410000197357,1,102.24672940000164,22,female,99.14373390000401,102.57926120000047,120,0,0.6821959000008064,23,100.83196770000359,5.8,60,Monday,13,tomato,-1.3575770021145472
22,faceWord_exp,12345,32,104.27753649999795,neg,y,image_stim_n.png,106.34461179999926,0.6830468999978621,42,0.24990120000438765,1,106.59451300000364,22,female,103.59448960000009,107.02474829999846,120,1,0.6801364999992074,24,105.27940330000274,3.08,60,Monday,12,aggressive,2.166851165767892
21,faceWord_exp,12345,31,108.72331259999919,pos,b,image_stim_p.png,109.78889150000032,0.6829520999963279,42,0.268958599997859,1,110.05785009999818,22,female,108.04036050000286,110.47185850000096,60,1,0.6829670000006445,25,105.27940330000274,7.25,120,Monday,11,garden,-2.3673221107876317
21,faceWord_exp,12345,31,113.18802600000345,pos,b,image_stim_p.png,115.25318640000478,0.689026100000774,42,0.44909379999444354,1,115.70228019999922,22,female,112.49899990000267,115.93419610000274,120,1,0.6810096999979578,26,114.18746130000363,7.05,60,Monday,11,lemonade,-2.146343780688921
21,faceWord_exp,12345,31,117.63260660000378,pos,b,image_stim_p.png,119.70274190000055,0.6867398000031244,42,0.5138339999975869,1,120.21657589999813,22,female,116.94586680000066,120.3819560999982,120,1,0.6792141999976593,27,118.63312230000156,8.0,60,Monday,11,love,-2.40140153221556
21,faceWord_exp,12345,41,122.09734089999984,neu,b,image_stim_p.png,123.14345650000178,0.6950652999948943,42,0.6025843000024906,1,123.74604080000427,22,female,121.40227560000494,123.82789369999955,60,1,0.6844371999977739,28,118.63312230000156,5.14,120,Monday,13,spatula,-0.18281188470513854
22,faceWord_exp,12345,32,126.527814699999,neg,y,image_stim_n.png,128.58796060000168,0.6925463999941712,42,0.288323799999489,1,128.87628440000117,22,female,125.83526830000483,129.27421540000068,120,1,0.6862547999990056,29,127.52627860000212,3.63,60,Monday,12,tornado,3.6605330306018913
21,faceWord_exp,12345,41,130.97171660000458,neu,b,image_stim_p.png,133.03853700000036,0.6879473000008147,42,0.3358636999982991,1,133.37440069999866,22,female,130.28376930000377,133.71960170000239,120,1,0.6810647000020253,30,131.97198260000005,5.88,60,Monday,13,hamster,-1.1856791528275217
22,faceWord_exp,12345,32,135.41718070000206,neg,y,image_stim_n.png,136.48321060000308,0.6894651999973576,42,0.603641299996525,1,137.0868518999996,22,female,134.7277155000047,137.1693563000008,60,1,0.6861456999977236,31,131.97198260000005,4.5,120,Monday,12,gasp,1.3014161644429498
21,faceWord_exp,12345,31,139.86435780000465,pos,b,image_stim_p.png,140.9329011000009,0.6831577000048128,42,0.5002374000032432,1,141.43313850000413,22,female,139.18120009999984,141.61342929999955,60,1,0.6805281999986619,32,131.97198260000005,6.15,120,Monday,11,plum,-1.1648995537800455
21,faceWord_exp,12345,31,144.31097830000363,pos,b,image_stim_p.png,146.37556829999812,0.6887066000053892,42,0.453238500005682,1,146.8288068000038,22,female,143.62227169999824,147.05833210000128,120,1,0.6827638000031584,33,145.3130644999983,7.13,60,Monday,11,lake,-1.5151286486205269
22,faceWord_exp,12345,32,148.75696949999838,neg,y,image_stim_n.png,149.82185730000492,0.6780442999952356,42,0.33688229999825126,1,150.15873960000317,22,female,148.07892520000314,150.50704060000135,60,1,0.6851832999964245,34,145.3130644999983,4.73,120,Monday,12,commander,0.98843671158419
22,faceWord_exp,12345,32,153.20471630000247,neg,y,image_stim_n.png,154.27179440000327,0.6877150000000256,42,0.5672721000009915,1,154.83906650000426,22,female,152.51700130000245,154.95293010000023,60,1,0.6811356999969576,35,145.3130644999983,4.23,120,Monday,12,alligator,1.9014187675556817
21,faceWord_exp,12345,41,157.65164400000504,neu,b,image_stim_p.png,158.71631020000495,0.690631300007226,42,0.45131709999986924,1,159.16762730000482,22,female,156.9610126999978,159.40037909999955,60,1,0.6840688999945996,36,145.3130644999983,5.67,120,Monday,13,beer,-0.9222259722889368
21,faceWord_exp,12345,41,162.09921150000446,neu,b,image_stim_p.png,164.16066890000366,0.686516900001152,42,0.2870693000004394,1,164.4477382000041,22,female,161.4126946000033,164.84433900000295,120,1,0.68367009999929,37,163.09805359999882,5.81,60,Monday,13,whale,-0.8455595735963974
21,faceWord_exp,12345,31,166.54281199999969,pos,b,image_stim_p.png,168.61036560000503,0.6871747999975923,42,0.3166561999969417,1,168.92702180000197,22,female,165.8556372000021,169.29098350000277,120,1,0.6806178999977419,38,167.54310760000226,6.85,60,Monday,11,moral,-1.1443669013398097
