pause_trigger_t,word_trigger,no,word_label,duration_measured_word,duration_measured_img,pause_trigger,session,img,word_score_pc,delay_frames_before,ID,word,response,img_trigger,gender,age,scan day,rt,onset_word,key_t,condition,word_score_warriner,correct_resp,offset_word,offset_img,delay_frames_after,onset_img,duration_frames
2.724972100000741,11,1,pos,0.7058673999999883,0.6984078000023146,31,5,image_stim_p.png,-2.547338598571031,180,T1572,tulip,b,21,female,20,Monday,0.53293720000147,1.018522700000176,5.291408100001718,faceWord_exp,7.25,1,1.7243901000001642,5.456878700002562,336,4.758470900000248,42
12.756155099999887,12,2,neg,0.6886553000003914,0.7009969999999157,32,5,image_stim_n.png,3.17672342877373,180,T1572,dangerous,y,22,female,20,Monday,0.6020657999979449,11.067066200001136,15.389210900000762,faceWord_exp,2.33,1,11.755721500001528,15.488142100002733,336,14.787145100002817,42
22.787502900002437,12,3,neg,0.6904716000026383,0.702212200001668,32,5,image_stim_n.png,2.1399531488678094,336,T1572,vice,y,22,female,20,Monday,0.5700977000014973,21.09636479999972,27.98674310000206,faceWord_exp,3.81,1,21.786836400002358,28.11885760000223,180,27.41664540000056,42
32.81885280000279,11,4,pos,0.6929920000002312,0.7024896000002627,31,5,image_stim_p.png,-1.6872526925643307,336,T1572,cash,b,21,female,20,Monday,0.6202986999996938,31.1251977000029,38.06789890000073,faceWord_exp,7.51,1,31.81818970000313,38.1500898000013,180,37.447600200001034,42
42.850329100001545,12,5,neg,0.6937480999986292,0.7026899999982561,32,5,image_stim_n.png,3.659937177091274,336,T1572,curse,y,22,female,20,Monday,0.7208726999997452,41.15562780000255,48.19962750000195,faceWord_exp,2.9,1,41.84937590000118,48.18144480000046,180,47.47875480000221,42
52.88131330000033,12,6,neg,0.6935768000003009,0.7027119999984279,32,5,image_stim_n.png,0.5712560851538326,180,T1572,election,y,22,female,20,Monday,0.6039348999984213,51.18708830000105,55.514468400000624,faceWord_exp,4.5,1,51.88066510000135,55.61324550000063,336,54.9105335000022,42
62.91256110000177,11,7,pos,0.6909768000004988,0.7022367999998096,31,5,image_stim_p.png,-2.9544920916265727,336,T1572,friendly,b,21,female,20,Monday,0.6033392999997886,61.22108700000172,68.14511160000256,faceWord_exp,7.84,1,61.912063800002215,68.24400910000259,180,67.54177230000278,42
72.94384760000321,12,8,neg,0.692185599997174,0.7028356999981042,32,5,image_stim_n.png,3.0668244091236065,180,T1572,whine,y,22,female,20,Monday,0.637152999999671,71.25103910000325,75.61023480000222,faceWord_exp,2.82,1,71.94322470000043,75.67591750000065,336,74.97308180000255,42
82.97512340000321,12,9,neg,0.6908785999985412,0.7026389999991807,32,5,image_stim_n.png,3.693241029119933,336,T1572,jealousy,y,22,female,20,Monday,0.5204322999998112,81.28369560000283,88.12441930000205,faceWord_exp,2.58,1,81.97457420000137,88.30662600000142,180,87.60398700000223,42
93.00682460000098,11,10,pos,0.6919637999999395,0.7026271000031556,31,5,image_stim_p.png,-1.211925852261804,180,T1572,morning,b,21,female,20,Monday,0.5703149000000849,91.3138452000021,95.60620689999996,faceWord_exp,6.41,1,92.00580900000205,95.73851910000303,336,95.03589199999988,42
