duration_frames,condition,response,age,gender,no,img_trigger,pause_trigger_t,word_score_pc,delay_frames_after,offset_img,word_score_warriner,img,scan day,rt,duration_measured_img,pause_trigger,session,duration_measured_word,ID,word_label,correct_resp,word_trigger,delay_frames_before,key_t,offset_word,onset_word,word,onset_img
42,faceWord_exp,y,,female,1,22,2.7162501529965084,2.8496222967354625,180,8.084117051999783,3.78,image_stim_n.png,Monday,1.6305292200049735,0.6948568240040913,32,4,0.7003525949985487,001,neg,1,12,336,9.019789448000665,1.7157054529961897,1.015352857997641,empty,7.389260227995692
42,faceWord_exp,b,,female,2,21,12.78446973500104,-1.5215329943370883,180,18.102346271996794,6.52,image_stim_p.png,Monday,0.7956606039952021,0.6926962739962619,31,4,0.6938585230018361,001,pos,1,11,336,18.205310601995734,11.784179613998276,11.09032109099644,bread,17.409649998000532
42,faceWord_exp,b,,female,3,21,22.819745137996506,-1.3206920491180312,336,25.536779246998776,6.32,image_stim_p.png,Monday,0.5477701049967436,0.6948711099976208,31,4,0.7085244550034986,001,pos,1,11,180,25.3896782419979,21.818844651999825,21.110320196996327,harmonica,24.841908137001155
42,faceWord_exp,y,,female,4,22,32.83819275099813,2.0765857872261098,180,38.155495811995934,3.52,image_stim_n.png,Monday,0.597012325997639,0.6937748299969826,32,4,0.6927281579992268,001,neg,1,12,336,38.05873330799659,31.83725926999614,31.144531111996912,court,37.46172098199895
42,faceWord_exp,b,,female,5,21,42.85638598100195,-2.066768843681998,180,48.17368745499698,7.27,image_stim_p.png,Monday,0.37831364999874495,0.6914132539968705,31,4,0.6952000879973639,001,pos,1,11,336,47.860587850998854,41.855532338995545,41.16033225099818,honey,47.48227420100011
42,faceWord_exp,y,,female,6,22,52.87456268599635,3.9974740190684885,336,55.59140789999947,2.55,image_stim_n.png,Monday,0.5796427329987637,0.693256343001849,32,4,0.6948456289974274,001,neg,1,12,180,55.47779428999638,51.87364521499694,51.17879958599951,accident,54.89815155699762
42,faceWord_exp,y,,female,7,22,62.89289463499881,-0.4880378396985329,180,68.21017064699845,5.68,image_stim_n.png,Monday,0.46129292800469557,0.6918928910017712,42,4,0.6939055460024974,001,neu,1,13,336,67.97957068400137,61.89199877899955,61.19809323299705,chestnut,67.51827775599668
42,faceWord_exp,y,,female,8,21,72.9111162909976,0.0196438746392397,180,78.22840561699559,5.95,image_stim_p.png,Monday,0.3453429729997879,0.6920462439957191,41,4,0.6936943180044182,001,neu,0,13,336,77.88170234599966,71.91020786800073,71.21651354999631,worker,77.53635937299987
42,faceWord_exp,b,,female,9,21,82.92912423700182,-2.1205664047688315,336,85.66285469699505,7.24,image_stim_p.png,Monday,0.9416566969957785,0.7057008419942576,31,4,0.6951907510010642,001,pos,1,11,180,85.89881055199658,81.92810186099814,81.23291110999708,trust,84.9571538550008
42,faceWord_exp,b,,female,10,21,92.96425840300071,-1.6859102219357711,180,98.28151663099561,6.42,image_stim_p.png,Monday,0.2945697429968277,0.6916863539954647,31,4,0.694975060003344,001,pos,1,11,336,97.88440001999697,91.96330906799994,91.2683340079966,truce,97.58983027700015
42,faceWord_exp,y,,female,11,22,102.982141622997,0.37753019343780747,180,108.31638435299828,5.43,image_stim_n.png,Monday,0.5437373349996051,0.7067827889986802,42,4,0.6937449089964502,001,neu,1,13,336,108.15333889899921,101.981333730997,101.28758882200054,door,107.6096015639996
42,faceWord_exp,b,,female,12,22,113.01710739699774,0.19555716741692625,180,118.33460948999709,4.95,image_stim_n.png,Monday,-5.64042099800281,0.691581506995135,32,4,0.692856206005672,001,neg,0,12,336,112.00260698499915,112.0163899600011,111.32353375399543,majority,117.64302798300196
42,faceWord_exp,b,,female,13,21,123.03563131400006,-3.0311112754680245,180,128.35288282099646,7.75,image_stim_p.png,Monday,0.39524283700302476,0.6918483810004545,31,4,0.6954441170018981,001,pos,1,11,336,128.05627727699903,122.03469045199745,121.33924633499555,peace,127.661034439996
42,faceWord_exp,y,,female,14,22,133.05388252899866,2.6978270877422883,336,135.7706641679979,3.02,image_stim_n.png,Monday,0.34514229300111765,0.6916099910013145,32,4,0.6948766869973042,001,neg,1,12,180,135.4241964699977,132.0529457329976,131.3580690460003,scream,135.07905417699658
42,faceWord_exp,y,,female,15,22,143.07183321599587,2.7437052692255306,336,145.78879276500084,4.48,image_stim_n.png,Monday,0.49740767299954314,0.6943264330038801,32,4,0.6961857580026845,001,neg,1,12,180,145.5918740049965,142.07115288500063,141.37496712699794,stampede,145.09446633199695
42,faceWord_exp,b,,female,16,21,153.0902997719968,-1.7974288604529352,336,155.82374085600168,6.53,image_stim_p.png,Monday,0.47480016099871136,0.7045670270017581,31,4,0.6943439090027823,001,pos,1,11,180,155.59397398999863,152.08926144900033,151.39491753999755,bonfire,155.11917382899992
42,faceWord_exp,b,,female,17,21,163.12513585399574,-1.883093263099396,336,165.85848643299687,6.15,image_stim_p.png,Monday,0.5268802430000505,0.706570907997957,31,4,0.6943379879958229,001,pos,1,11,180,165.67879576799896,162.12425334799627,161.42991536000045,choir,165.1519155249989
42,faceWord_exp,y,,female,18,22,173.15988917699724,0.42679466080263373,180,178.47704074899957,4.75,image_stim_n.png,Monday,0.5452877320058178,0.6914845920036896,32,4,0.6932549100019969,001,neg,1,12,336,178.3308438890017,172.15881017799984,171.46555526799784,zone,177.78555615699588
