age,word_trigger,correct_resp,onset_word,response,session,ID,word_label,word,pause_trigger_t,gender,offset_word,word_score_warriner,no,img,offset_img,onset_img,condition,key_t,img_trigger,word_score_pc,duration_frames,rt,delay_frames_after,scan day,duration_measured_img,delay_frames_before,pause_trigger,duration_measured_word
22,11,1,171.50083709997125,b,2,AHJ,pos,optimism,173.19440649996977,male,172.19396999996388,7.21,18,image_stim_p.png,175.92534549999982,175.22258890001103,faceWord_exp,175.5934165000217,21,-2.7563434535584275,42,0.3708276000106707,336,Monday,0.7027565999887884,180,31,0.6931328999926336
22,11,1,181.5274126000004,b,2,AHJ,pos,day,183.22230959997978,male,182.22208929999033,6.36,19,image_stim_p.png,185.9528160999762,185.2502674999996,faceWord_exp,185.57089510001242,21,-1.2502658664257256,42,0.32062760001281276,336,Monday,0.7025485999765806,180,31,0.694676699989941
22,11,1,191.55583969998406,b,2,AHJ,pos,chicken,193.24972620001063,male,192.24960869998904,6.17,20,image_stim_p.png,195.98064809996868,195.27837999997428,faceWord_exp,195.79849680000916,21,-1.3205598447631597,42,0.5201168000348844,336,Monday,0.7022680999943987,180,31,0.693769000004977
22,12,1,201.58563230000436,y,2,AHJ,neg,axe,203.27753189997748,male,202.27718189998996,3.48,21,image_stim_n.png,208.607154599973,207.90418090001913,faceWord_exp,208.30822499998612,22,0.7321109855355353,42,0.4040440999669954,180,Monday,0.7029736999538727,336,32,0.6915495999855921
22,11,1,211.6128514999873,b,2,AHJ,pos,restaurant,213.3050072999904,male,212.30484080000315,6.95,22,image_stim_p.png,218.63464419997763,217.93174129998079,faceWord_exp,218.20302760001505,21,-2.0702836690965865,42,0.27128630003426224,180,Monday,0.7029028999968432,336,31,0.6919893000158481
22,12,1,221.63778839999577,y,2,AHJ,neg,hoe,223.33310839999467,male,222.33270889997948,4.8,23,image_stim_n.png,226.06384040002013,225.3604059999925,faceWord_exp,225.76559089997318,22,0.2623575316864496,42,0.405184899980668,336,Monday,0.7034344000276178,180,32,0.6949204999837093
22,13,1,231.66709679999622,b,2,AHJ,neu,monkey,233.36072050000075,male,232.36033679998945,5.82,24,image_stim_p.png,238.6901353999856,237.98697849997552,faceWord_exp,238.424724099983,21,-0.6680004122251881,42,0.4377456000074744,180,Monday,0.7031569000100717,336,41,0.6932399999932386
22,11,1,241.69514359999448,b,2,AHJ,pos,vacation,243.38838819996454,male,242.3883460999932,8.53,25,image_stim_p.png,248.71789289999288,248.01647709996905,faceWord_exp,248.3191609000205,21,-3.1565376907491283,42,0.30268380005145445,180,Monday,0.701415800023824,336,31,0.6932024999987334
22,11,1,251.72275449999142,b,2,AHJ,pos,knowledge,253.41605579998577,male,252.41586910001934,7.28,26,image_stim_p.png,256.14712899998995,255.44584559998475,faceWord_exp,255.79839780001203,21,-1.6425048482978826,42,0.35255220002727583,336,Monday,0.7012834000051953,180,31,0.6931146000279114
22,13,1,261.75067829998443,b,2,AHJ,neu,attribute,263.4438959999825,male,262.44361249997746,5.67,27,image_stim_p.png,266.1750651000184,265.4734687000164,faceWord_exp,265.9930069000111,21,-0.32263149533554664,42,0.5195381999947131,336,Monday,0.7015964000020176,180,41,0.692934199993033
