no,scan day,word,word_score_pc,word_label,pause_trigger_t,img_trigger,rt,onset_img,age,offset_img,key_t,duration_measured_word,response,delay_frames_before,offset_word,ID,pause_trigger,word_score_warriner,gender,img,session,word_trigger,duration_measured_img,onset_word,correct_resp,delay_frames_after,condition,duration_frames
1,Monday,island,-1.7760144816699572,pos,2.709615578991361,21,0.5436347990180366,4.801292317977641,22,5.508348400995601,5.344927116995677,0.6963040889822878,b,180,1.708234507997986,ELAS,31,7.18,female,image_stim_p.png,3,11,0.7070560830179602,1.0119304190156981,1,336,faceWord_exp,42
2,Monday,volcano,2.1987551193617842,neg,12.810250658018049,22,0.5727681440184824,17.440502989978995,22,18.142753652005922,18.013271133997478,0.6936234370223247,b,336,11.809294437000062,ELAS,32,4.59,female,image_stim_n.png,3,12,0.7022506620269269,11.115670999977738,0,180,faceWord_exp,42
3,Monday,jungle,0.07332602516344529,neu,22.84402446600143,21,0.8053889599977992,27.47654234903166,22,28.177715443016496,28.28193130902946,0.6926008189911954,b,336,21.842995175975375,ELAS,41,5.7,female,image_stim_p.png,3,13,0.7011730939848348,21.15039435698418,1,180,faceWord_exp,42
4,Monday,tuba,-0.945340141786388,neu,32.878673881001305,21,0.5694730409886688,34.91244491102407,22,35.61133566702483,35.481917952012736,0.6901196670369245,b,180,31.877722754026763,ELAS,41,5.58,female,image_stim_p.png,3,13,0.6988907560007647,31.18760308698984,1,336,faceWord_exp,42
5,Monday,spiritual,-1.5026706526379858,neu,42.912539048993494,22,0.47220900701358914,47.54416584700812,22,48.245743950014,48.016374854021706,0.6938321280176751,y,336,41.91175280301832,ELAS,42,5.82,female,image_stim_n.png,3,13,0.7015781030058861,41.21792067500064,1,180,faceWord_exp,42
6,Monday,egg,-0.6884171372613734,neu,52.946860678028315,22,0.6047684020013548,54.978855227003805,22,55.67936001898488,55.58362362900516,0.6933655280154198,y,180,51.94577794300858,ELAS,42,5.95,female,image_stim_n.png,3,13,0.700504791981075,51.25241241499316,1,336,faceWord_exp,42
7,Monday,voter,-0.3331872788781821,neg,62.98053429002175,22,0.6042951859999448,67.61272977100452,22,68.31375976500567,68.21702495700447,0.6928054490126669,y,336,61.97978210198926,ELAS,32,4.85,female,image_stim_n.png,3,12,0.7010299940011464,61.28697665297659,1,180,faceWord_exp,42
8,Monday,jam,-1.343270424679961,neu,73.01452969398815,22,0.5541370459832251,75.04673505801475,22,75.74741098098457,75.60087210399797,0.6927015089895576,y,180,72.01382052898407,ELAS,42,5.81,female,image_stim_n.png,3,13,0.7006759229698218,71.32111901999451,1,336,faceWord_exp,42
9,Monday,tax,3.4211910580769755,neg,83.04861788800918,22,0.5203561770031229,85.08151317801094,22,85.78172492102021,85.60186935501406,0.6926859559607692,y,180,82.0479280059808,ELAS,32,3.0,female,image_stim_n.png,3,12,0.7002117430092767,81.35524205002002,1,336,faceWord_exp,42
10,Monday,cabinet,0.05858023181365075,neu,93.0994763810304,22,0.569971804972738,97.73339218000183,22,98.43228828901192,98.30336398497457,0.7044893589918502,y,336,92.09781375998864,ELAS,42,5.1,female,image_stim_n.png,3,13,0.6988961090100929,91.39332440099679,1,180,faceWord_exp,42
