onset_img,scan day,key_t,duration_frames,pause_trigger_t,img_trigger,pause_trigger,word,rt,response,word_score_pc,word_score_warriner,duration_measured_word,correct_resp,ID,offset_word,delay_frames_before,no,condition,gender,word_trigger,duration_measured_img,age,offset_img,onset_word,session,delay_frames_after,img,word_label
4.819357611006126,Monday,5.41950589499902,42,2.7331228730035946,21,31,pie,0.600148283992894,b,-2.2727319315779937,6.45,0.7052568369836081,1,PK,1.7322815980005544,180,1,faceWord_exp,female,11,0.6965008180122823,22,5.515858429018408,1.0270247610169463,1,336,image_stim_p.png,pos
14.870331430021906,Monday,15.370660945016425,42,12.834048268996412,22,32,sandpaper,0.5003295149945188,y,0.5814463879932942,4.95,0.7051674610120244,1,PK,11.833080934011377,180,2,faceWord_exp,female,12,0.6962841009953991,22,15.566615531017305,11.127913472999353,1,336,image_stim_n.png,neg
27.51192977000028,Monday,28.004509298014455,42,22.868003714014776,21,31,zoo,0.4925795280141756,b,-2.1296901000704778,7.0,0.6916132350161206,1,PK,21.86701252902276,336,3,faceWord_exp,female,11,0.6888393300177995,22,28.20076910001808,21.17539929400664,1,180,image_stim_p.png,pos
37.53841685701627,Monday,38.17147466901224,42,32.90164949200698,21,41,fence,0.6330578119959682,b,0.3759356543037889,5.05,0.6904201440047473,1,PK,31.90099295100663,336,4,faceWord_exp,female,13,0.6964010079973377,22,38.23481786501361,31.21057280700188,1,180,image_stim_p.png,neu
47.569284874014556,Monday,48.158060337009374,42,42.935900012002094,21,41,school,0.5887754629948176,b,0.26215401176465297,5.41,0.6912771810020786,1,PK,41.93507529201452,336,5,faceWord_exp,female,13,0.6998073110007681,22,48.269092185015325,41.24379811101244,1,180,image_stim_p.png,neu
55.00233537601889,Monday,55.64037231900147,42,52.97014900200884,22,32,plot,0.6380369429825805,y,0.2016963621838916,4.9,0.6891946630203165,1,PK,51.969392268016236,180,6,faceWord_exp,female,12,0.7001641019887757,22,55.70249947800767,51.28019760499592,1,336,image_stim_n.png,neg
67.64707572801854,Monday,68.22424346901244,42,63.0035606349993,21,41,man,0.5771677409939002,b,-0.277657621999038,5.42,0.6922431679849979,1,PK,62.00310525999521,336,7,faceWord_exp,female,13,0.6897817979915999,22,68.33685752601014,61.31086209201021,1,180,image_stim_p.png,neu
75.07242585800122,Monday,75.7247502450191,42,73.03786679301993,21,41,whale,0.6523243870178703,b,-0.8455595735963974,5.81,0.6918944889912382,1,PK,72.03709108399926,180,8,faceWord_exp,female,13,0.6982699499931186,22,75.77069580799434,71.34519659500802,1,336,image_stim_p.png,neu
87.70583257000544,Monday,88.45897802701802,42,83.07195594001678,22,42,beer,0.7531454570125788,y,-0.9222259722889368,5.67,0.6927597850153688,1,PK,82.07125310701667,336,9,faceWord_exp,female,13,0.6992473010031972,22,88.40507987100864,81.3784933220013,1,180,image_stim_n.png,neu
95.1349963050161,Monday,96.10780694399728,42,93.105959936016,21,31,beach,0.9728106389811728,b,-2.8031613090757777,7.21,0.6928628539899364,1,PK,92.10524809701019,180,10,faceWord_exp,female,11,0.7032995019981172,22,95.83829580701422,91.41238524302025,1,336,image_stim_p.png,pos
