delay_frames_after,word_trigger,response,duration_measured_img,word_score_pc,gender,offset_word,ID,scan day,img,onset_word,word_label,offset_img,no,rt,onset_img,correct_resp,pause_trigger,duration_measured_word,age,word_score_warriner,delay_frames_before,word,key_t,session,duration_frames,condition,img_trigger,pause_trigger_t
336,13,b,0.6910764799977187,-0.6680004122251881,male,142.03569736800273,14,Monday,image_stim_p.png,141.34038429999782,neu,145.75218263499846,15,2.043190530006541,145.06110615500074,1,41,0.6953130680049071,22,5.82,180,monkey,147.10429668500728,2,42,faceWord_exp,21,143.0363115860091
180,12,b,0.6912641230010195,-0.14866519221167074,male,152.05208406300517,14,Monday,image_stim_n.png,151.35788964900712,neg,158.36854290500924,16,2.059751534994575,157.67727878200822,0,32,0.6941944139980478,22,4.43,336,van,159.7370303170028,2,42,faceWord_exp,22,153.0527043589973
180,11,b,0.7059396380063845,-1.2502658664257256,male,162.08504283300135,14,Monday,image_stim_p.png,161.39077213000564,pos,168.41807042600703,17,1.7416013140027644,167.71213078800065,1,31,0.6942707029957091,22,6.36,336,day,169.4537321020034,2,42,faceWord_exp,21,163.08573500999773
180,12,y,0.6912752609932795,0.6502198887451732,male,172.1181682220049,14,Monday,image_stim_n.png,171.42325057499693,neg,178.43460558699735,18,0.9267166740028188,177.74333032600407,1,32,0.6949176470079692,22,4.54,336,office,178.6700470000069,2,42,faceWord_exp,22,173.1187275209959
180,11,b,0.6919137810036773,-1.3205598447631597,male,182.13460239800042,14,Monday,image_stim_p.png,181.4397794460092,pos,188.45103554399975,19,1.8101943750079954,187.75912176299607,1,31,0.6948229519912275,22,6.17,336,chicken,189.56931613800407,2,42,faceWord_exp,21,183.13515629000904
180,11,b,0.6911759799986612,-2.5746228757417584,male,192.15053595000063,14,Monday,image_stim_p.png,191.4562898620061,pos,198.46740878099808,20,1.1099135560070863,197.77623280099942,1,31,0.6942460879945429,22,7.1,336,barbecue,198.8861463570065,2,42,faceWord_exp,21,193.15160020299663
180,13,b,0.6910868379927706,-0.32263149533554664,male,202.1672519630083,14,Monday,image_stim_p.png,201.47264213000017,neu,208.48375753199798,21,1.1096795889898203,207.7926706940052,1,41,0.694609833008144,22,5.67,336,attribute,208.90235028299503,2,42,faceWord_exp,21,203.16808453599515
336,12,y,0.6906239289965015,2.483224745184551,male,212.18370489600056,14,Monday,image_stim_n.png,211.4886863569991,neg,215.89999857600196,22,1.0433233539952198,215.20937464700546,1,32,0.6950185390014667,22,3.57,180,cough,216.25269800100068,2,42,faceWord_exp,22,213.18341655100812
180,11,b,0.6910230200010119,-1.7539828459428422,male,222.20011472099577,14,Monday,image_stim_p.png,221.50547468999866,pos,228.51652367500355,23,1.0933727929950692,227.82550065500254,1,31,0.6946400309971068,22,6.91,336,spaghetti,228.9188734479976,2,42,faceWord_exp,21,223.20081136800582
180,12,y,0.7059037019935204,0.2623575316864496,male,232.21649859800527,14,Monday,image_stim_n.png,231.52245596899593,neg,238.54958110599546,24,0.9245351660065353,237.84367740400194,1,32,0.6940426290093455,22,4.8,336,hoe,238.76821257000847,2,42,faceWord_exp,22,233.21717740000167
336,11,b,0.6913429470005212,-1.7947555393350414,male,242.24955296999542,14,Monday,image_stim_p.png,241.55452463999973,pos,245.9660610090068,25,0.9767764739954146,245.2747180620063,1,31,0.6950283299956936,22,6.4,180,piano,246.2514945360017,2,42,faceWord_exp,21,243.25019846399664
336,12,y,0.6914314060122706,2.166481281776448,male,252.2659042870073,14,Monday,image_stim_n.png,251.57063113500772,neg,255.9824509050086,26,0.8774529320071451,255.29101949899632,1,32,0.6952731519995723,22,4.35,180,plea,256.16847243100347,2,42,faceWord_exp,22,253.266586896003
336,13,b,0.6911938670091331,0.3495373155897487,male,262.28228326099634,14,Monday,image_stim_p.png,261.58731348499714,neu,265.99883712100564,27,1.1269743310112972,265.3076432539965,1,41,0.6949697759991977,22,5.5,180,winter,266.4346175850078,2,42,faceWord_exp,21,263.2829626599996
180,11,b,0.690939331005211,-1.5621536719325724,male,272.2986706359952,14,Monday,image_stim_p.png,271.60405791499943,pos,278.614784771009,28,0.6773990130022867,277.9238454400038,1,31,0.6946127209957922,22,6.81,336,sailboat,278.6012444530061,2,42,faceWord_exp,21,273.2993468150089
180,12,y,0.6912941759946989,3.4296451702105397,male,282.3150566609984,14,Monday,image_stim_n.png,281.61963852700137,neg,288.63150800199946,29,0.9260825060046045,287.94021382600476,1,32,0.6954181339970091,22,2.53,336,angry,288.86629633200937,2,42,faceWord_exp,22,283.31572829200013
180,12,y,0.6913052579911891,3.561717315569441,male,292.33144362400344,14,Monday,image_stim_n.png,291.63704616999894,neg,298.6478686689952,30,1.3109769580041757,297.956563411004,1,32,0.6943974540045019,22,4.76,336,landslide,299.2675403690082,2,42,faceWord_exp,22,293.33210643200437
336,13,b,0.7058645899960538,-0.06058349899147484,male,302.34783108500415,14,Monday,image_stim_p.png,301.65449675200216,neu,306.0810537189973,31,0.9420177330030128,305.3751891290012,1,41,0.6933343330019852,22,5.48,180,business,306.31720686200424,2,42,faceWord_exp,21,303.3485279930028
336,13,y,0.6912957369931974,-0.09980687036967174,male,312.38085241700173,14,Monday,image_stim_n.png,311.6862335479964,neu,316.0973319199984,32,1.3270701610017568,315.4060361830052,1,42,0.6946188690053532,22,5.55,180,eggplant,316.73310634400696,2,42,faceWord_exp,22,313.38152472500224
180,11,b,0.6911372300091898,-1.8879163634684628,male,322.3972438080091,14,Monday,image_stim_p.png,321.7019119589968,pos,328.71348317300726,33,0.6433272029971704,328.0223459429981,1,31,0.6953318490122911,22,7.88,336,joke,328.66567314599524,2,42,faceWord_exp,21,323.3979173240077
180,12,y,0.6913189620099729,4.537930167489568,male,332.4136117040034,14,Monday,image_stim_n.png,331.7191019029997,neg,338.73015332700743,34,1.0933503470005235,338.03883436499746,1,32,0.6945098010037327,22,2.35,336,terrorist,339.132184711998,2,42,faceWord_exp,22,333.4143245919986
180,13,y,0.6911615989956772,-0.8400509032218062,male,342.43003736500395,14,Monday,image_stim_n.png,341.735004578004,neu,348.7464473220025,35,1.0262541989941383,348.0552857230068,1,42,0.6950327869999455,22,5.94,336,store,349.08153992200096,2,42,faceWord_exp,22,343.4307154970011
336,13,y,0.6913020860083634,0.0657349158769076,male,352.4463891630003,14,Monday,image_stim_n.png,351.7512858490081,neu,356.1629108220077,36,0.6597346049966291,355.4716087359993,1,42,0.6951033139921492,22,5.29,180,camel,356.13134334099595,2,42,faceWord_exp,22,353.4468513479951
180,12,y,0.6911592069955077,0.7321109855355353,male,362.462773517007,14,Monday,image_stim_n.png,361.76730973600934,neg,368.7792181660043,37,0.793611166998744,368.0880589590088,1,32,0.6954637809976703,22,3.48,336,axe,368.8816701260075,2,42,faceWord_exp,22,363.463433885001
180,12,y,0.7056849179934943,0.16339675594021513,male,372.4791563839972,14,Monday,image_stim_n.png,371.7851003389951,neg,378.8121527369949,38,1.2078799099981552,378.1064678190014,1,32,0.6940560450020712,22,4.41,336,jaw,379.31434772899956,2,42,faceWord_exp,22,373.47984864600585
336,11,b,0.6913267019990599,-1.3503642789447028,male,382.51220676999947,14,Monday,image_stim_p.png,381.8174452270032,pos,386.2288017450046,39,0.7107502040016698,385.53747504300554,1,31,0.6947615429962752,22,7.68,180,musical,386.2482252470072,2,42,faceWord_exp,21,383.51273792200664
336,11,b,0.6910516229982022,-1.6425048482978826,male,392.5285952730046,14,Monday,image_stim_p.png,391.8339714670001,pos,396.2449151100009,40,0.5603689559939085,395.5538634870027,1,31,0.6946238060045289,22,7.28,180,knowledge,396.1142324429966,2,42,faceWord_exp,21,393.52921629800403
180,11,b,0.6911574380064849,-2.4114282062334524,male,402.5446163779998,14,Monday,image_stim_p.png,401.8503371620027,pos,408.8613932230073,41,0.8258029270073166,408.17023578500084,1,31,0.694279215997085,22,6.48,336,carnival,408.99603871200816,2,42,faceWord_exp,21,403.5456520250009
180,11,b,0.6912531330017373,-1.0752281295040744,male,412.5613392410014,14,Monday,image_stim_p.png,411.86630400200374,pos,418.87793949800835,42,0.8764164570020512,418.1866863650066,1,31,0.6950352389976615,22,6.4,336,mercy,419.06310282200866,2,42,faceWord_exp,21,413.56201468099607
336,13,b,0.6913269070064416,-0.5451009915059291,male,422.577726663003,14,Monday,image_stim_p.png,421.88297603400133,neu,426.29420964300516,43,0.5432955120049883,425.6028827359987,1,41,0.6947506290016463,22,5.8,180,toaster,426.1461782480037,2,42,faceWord_exp,21,423.5783934649953
180,13,y,0.6920245000073919,0.17918122123944408,male,432.5941273320059,14,Monday,image_stim_n.png,431.89868410299823,neu,438.9106632260082,44,0.8608240729954559,438.2186387260008,1,42,0.6954432290076511,22,5.27,336,verb,439.07946279899625,2,42,faceWord_exp,22,433.5947912470001
336,13,b,0.7064934239897411,0.3296196251321362,male,442.61049141599506,14,Monday,image_stim_p.png,441.9163917630067,neu,446.3437072289962,45,0.5754654819902498,445.63721380500647,1,41,0.6940996529883705,22,5.15,180,pan,446.2126792869967,2,42,faceWord_exp,21,443.61115213800804
336,12,y,0.6917559720022837,3.4738609063027237,male,452.6602070049994,14,Monday,image_stim_n.png,451.9648869490047,neg,456.3767407980049,46,0.7944852369982982,455.6849848260026,1,32,0.6953200559946708,22,2.29,180,sick,456.4794700630009,2,42,faceWord_exp,22,453.660878263996
336,12,y,0.6909937849995913,0.5494484707734639,male,462.67661757199676,14,Monday,image_stim_n.png,461.9815418040089,neg,466.3928289339965,47,0.6774723710113904,465.7018351489969,1,32,0.6950757679878734,22,4.81,180,stone,466.3793075200083,2,42,faceWord_exp,22,463.67730261100223
336,12,y,0.6913633280055365,0.2032181950076048,male,472.69297253500554,14,Monday,image_stim_n.png,471.99754132500675,neg,476.4095140790014,48,0.7099908700038213,475.71815075099585,1,32,0.6954312099987874,22,4.57,180,lab,476.42814162099967,2,42,faceWord_exp,22,473.6936578760069
180,13,y,0.6911293080047471,0.1106807997481866,male,482.70934325500275,14,Monday,image_stim_n.png,482.0144692199974,neu,489.0256142470025,49,0.69360505300574,488.3344849389978,1,42,0.6948740350053413,22,5.65,336,theory,489.0280899920035,2,42,faceWord_exp,22,483.710019872
180,12,y,0.6914017389935907,1.3393636650983416,male,492.7256339739979,14,Monday,image_stim_n.png,492.030658432006,neg,499.0422292419971,50,2.3607677899999544,498.35082750300353,1,32,0.6949755419918802,22,4.78,336,heavy,500.7115952930035,2,42,faceWord_exp,22,493.726301171002
336,11,b,0.69170560099883,-2.461915733068042,male,502.74211596499663,14,Monday,image_stim_p.png,502.04736146100913,pos,506.4585745079967,51,0.5602924720005831,505.76686890699784,1,31,0.6947545039874967,22,7.0,180,embrace,506.3271613789984,2,42,faceWord_exp,21,503.74279349700373
336,13,b,0.7057125950086629,-0.049892793833906636,male,512.7585083000013,14,Monday,image_stim_p.png,512.0645328359969,neu,516.4914789190079,52,0.6581230279989541,515.7857663239993,1,41,0.6939754640043247,22,5.5,180,nose,516.4438893519982,2,42,faceWord_exp,21,513.7592009420041
180,13,y,0.6912749200128019,0.3228926581020319,male,522.7914959850023,14,Monday,image_stim_n.png,522.0966367700021,neu,529.1078931750089,53,1.5600462230067933,528.4166182549961,1,42,0.6948592150001787,22,5.07,336,street,529.9766644780029,2,42,faceWord_exp,22,523.7921952449979
180,11,b,0.6913685009931214,-3.1565376907491283,male,532.8077594280039,14,Monday,image_stim_p.png,532.1132319440076,pos,539.1244177939952,54,0.7435040800046409,538.4330492930021,1,31,0.6945274839963531,22,8.53,336,vacation,539.1765533730068,2,42,faceWord_exp,21,533.8085908229987
336,12,y,0.691400038995198,1.0482300490198866,male,542.8241874399973,14,Monday,image_stim_n.png,542.1296087600058,neg,546.5408398830041,55,0.7601137609890429,545.8494398440089,1,32,0.6945786799915368,22,4.75,180,ricochet,546.6095536049979,2,42,faceWord_exp,22,543.8249362450006
180,11,b,0.6912959719920764,-1.7608811602119443,male,552.8406674569997,14,Monday,image_stim_p.png,552.1457887660072,pos,559.1572163429955,56,0.7438190340035362,558.4659203710034,1,31,0.694878690992482,22,7.5,336,summer,559.209739405007,2,42,faceWord_exp,21,553.8413511300023
180,13,b,0.6911652279959526,-0.5485436049411244,male,562.8570612650074,14,Monday,image_stim_p.png,562.1625671619986,neu,569.1734243690007,57,0.8099765480001224,568.4822591410048,1,41,0.6944941030087648,22,5.72,336,apartment,569.2922356890049,2,42,faceWord_exp,21,563.8577687170036
336,13,y,0.6913092550094007,-0.02119054453060663,male,572.8901511809963,14,Monday,image_stim_n.png,572.1950314650021,neu,576.6066525860078,58,0.39407944500271697,575.9153433309984,1,42,0.695119715994224,22,5.97,180,power,576.3094227760012,2,42,faceWord_exp,22,573.890745969009
180,11,b,0.7053953740105499,-1.2978987804410356,male,582.9064208130003,14,Monday,image_stim_p.png,582.2124605889985,pos,589.2395375650085,59,0.7085492360056378,588.534142190998,1,31,0.6939602240017848,22,6.76,336,artist,589.2426914270036,2,42,faceWord_exp,21,583.9070951729955
336,11,b,0.6912257469957694,-1.3695211950901562,male,592.9395279790042,14,Monday,image_stim_p.png,592.244370209999,pos,596.656062850001,60,0.9932516489934642,595.9648371030053,1,31,0.6951577690051636,22,7.59,180,tree,596.9580887519987,2,42,faceWord_exp,21,593.9401923999976
