delay_frames_after,word_trigger,response,duration_measured_img,word_score_pc,gender,offset_word,ID,scan day,img,onset_word,word_label,offset_img,no,rt,onset_img,correct_resp,pause_trigger,duration_measured_word,age,word_score_warriner,delay_frames_before,word,key_t,session,duration_frames,condition,img_trigger,pause_trigger_t
336,11,b,0.6947465380071662,-2.7563434535584275,male,1.7228721489955205,14,Monday,image_stim_p.png,1.0219451900047716,pos,5.489424797007814,1,1.7472380770050222,4.794678259000648,1,31,0.700926958990749,22,7.21,180,optimism,6.54191633600567,2,42,faceWord_exp,21,2.7234600789961405
180,12,y,0.6911216510052327,4.02985566434138,male,11.789378629007842,14,Monday,image_stim_n.png,11.095436001007329,neg,18.10582851000072,2,2.5428395090129925,17.414706858995487,1,32,0.6939426280005137,22,3.52,336,problem,19.95754636800848,2,42,faceWord_exp,22,12.7899902890058
336,12,y,0.6912449000083143,3.222893544100452,male,21.805775914996048,14,Monday,image_stim_n.png,21.112866183000733,neg,25.52231260400731,3,1.1769639760022983,24.831067703998997,1,32,0.6929097319953144,22,2.95,180,perjury,26.008031680001295,2,42,faceWord_exp,22,22.806377485001576
180,11,b,0.6909975110029336,-2.0702836690965865,male,31.82218107499648,14,Monday,image_stim_p.png,31.12874685000861,pos,38.13860924400797,4,0.8432056500023464,37.44761173300503,1,31,0.6934342249878682,22,6.95,336,restaurant,38.29081738300738,2,42,faceWord_exp,21,32.822801243004506
336,12,y,0.6903130010032328,2.373388118792564,male,41.83855486300308,14,Monday,image_stim_n.png,41.14527388999704,neg,45.55504585300514,5,0.975683451993973,44.86473285200191,1,32,0.6932809730060399,22,4.52,180,excuse,45.84041630399588,2,42,faceWord_exp,22,42.83914962000563
180,11,y,0.6909461460018065,-2.2291915044129413,male,51.854934675007826,14,Monday,image_stim_p.png,51.158684023001115,pos,58.17113801500818,6,3.143528091997723,57.480191869006376,0,31,0.6962506520067109,22,6.73,336,luck,60.6237199610041,2,42,faceWord_exp,21,52.85539868600608
336,13,b,0.6927106490038568,0.10630403813009667,male,61.87131699999736,14,Monday,image_stim_n.png,61.17724783800077,neu,65.60454308400222,7,3.611454206009512,64.91183243499836,0,42,0.6940691619965946,22,5.86,180,whole,68.52328664100787,2,42,faceWord_exp,22,62.871923315004096
180,12,y,0.6910910529986722,1.472290472628449,male,71.90437765400566,14,Monday,image_stim_n.png,71.21000081600505,neg,78.22079290299735,8,0.777027887001168,77.52970184999867,1,32,0.6943768380006077,22,4.1,336,clang,78.30672973699984,2,42,faceWord_exp,22,72.90503267099848
336,13,b,0.691176042004372,-0.34443889393116306,male,81.92079006900894,14,Monday,image_stim_n.png,81.22641249799926,neu,85.63728497500415,9,1.6098053750029067,84.94610893299978,0,42,0.6943775710096816,22,5.43,180,asparagus,86.55591430800268,2,42,faceWord_exp,22,82.92135633999715
336,11,b,0.691064450002159,-1.926056195769395,male,91.93717334499524,14,Monday,image_stim_p.png,91.2431612740038,pos,95.65360725299979,10,1.6103417980048107,94.96254280299763,1,31,0.6940120709914481,22,6.8,180,fireworks,96.57288460100244,2,42,faceWord_exp,21,92.93772585000261
336,13,y,0.7060495049954625,0.4272037094573085,male,101.95350315100222,14,Monday,image_stim_n.png,101.25942394000595,neu,105.68670947400096,11,2.0575060279952595,104.9806599690055,1,42,0.6940792109962786,22,5.03,180,scissors,107.03816599700076,2,42,faceWord_exp,22,102.95409857599589
336,13,b,0.6913426489918493,0.650019808676411,male,111.98654773499584,14,Monday,image_stim_p.png,111.29143514300813,neu,115.70309298799839,12,1.6609649409947451,115.01175033900654,1,41,0.6951125919877086,22,5.19,180,highway,116.67271528000128,2,42,faceWord_exp,21,112.98719822100247
180,12,y,0.691663815989159,2.351878020671037,male,122.00293154199608,14,Monday,image_stim_n.png,121.3071433360019,neg,128.3194164489978,13,1.794596598992939,127.62775263300864,1,32,0.6957882059941767,22,4.29,336,tired,129.42234923200158,2,42,faceWord_exp,22,123.00343988499662
180,13,b,0.6913462709926534,-0.18776275500974607,male,132.01930602200446,14,Monday,image_stim_p.png,131.3253768900031,neu,138.33581515599508,14,2.510878140994464,137.64446888500242,1,41,0.6939291320013581,22,5.62,336,speech,140.1553470259969,2,42,faceWord_exp,21,133.01991966800415
