word_score_warriner,duration_measured_word,delay_frames_after,gender,age,delay_frames_before,word_label,correct_resp,word,duration_measured_img,key_t,no,response,pause_trigger_t,offset_img,ID,img,word_trigger,scan day,img_trigger,pause_trigger,onset_word,condition,duration_frames,rt,session,onset_img,offset_word,word_score_pc
4.0,0.6802389998920262,180,female,21,336,neg,1,avalanche,0.690045999828726,118.19946750020608,12,y,113.23143169982359,118.59742280002683,sha,image_stim_n.png,12,Monday,22,32,111.55031249998137,faceWord_exp,42,0.2920907000079751,1,117.90737680019811,112.2305514998734,3.2148840110758776
5.8,0.6867108000442386,336,female,21,180,neu,0,rocket,0.6756160999648273,125.68175160000101,13,y,123.29770579980686,126.02892840001732,sha,image_stim_p.png,13,Monday,21,41,121.61022889986634,faceWord_exp,42,0.3284392999485135,1,125.3533123000525,122.29693969991058,-0.17528733847197087
5.88,0.6874092002399266,180,female,21,336,neu,,hamster,0.6909730001352727,,14,,133.329082199838,138.67872110009193,sha,image_stim_p.png,13,Monday,21,41,131.6406495999545,faceWord_exp,42,,1,137.98774809995666,132.3280588001944,-1.1856791528275217
5.05,0.6898870002478361,336,female,21,180,neu,1,fence,0.6909962999634445,145.84433620003983,15,y,143.3775654998608,146.12604010012,sha,image_stim_n.png,13,Monday,22,42,141.68724399991333,faceWord_exp,42,0.40929239988327026,1,145.43504380015656,142.37713100016117,0.3759356543037889
5.71,0.6892291000112891,336,female,21,180,neu,0,tourist,0.692472499795258,155.87844590004534,16,y,153.42621820000932,156.1758186998777,sha,image_stim_p.png,13,Monday,21,41,151.73643200006336,faceWord_exp,42,0.3950996999628842,1,155.48334620008245,152.42566110007465,-0.31568469709749714
5.3,0.6878196001052856,180,female,21,336,neu,1,embassy,0.6924926997162402,168.54539189999923,17,y,163.4748733001761,168.84011719981208,sha,image_stim_n.png,13,Monday,22,42,161.78625730006024,faceWord_exp,42,0.39776739990338683,1,168.14762450009584,162.47407690016553,-0.05916451699915906
3.52,0.6888699000701308,336,female,21,180,neg,1,hospital,0.6795041002333164,175.9421941000037,18,y,173.54028110019863,176.27440220024437,sha,image_stim_n.png,12,Monday,22,32,171.8507936000824,faceWord_exp,42,0.3472959999926388,1,175.59489810001105,172.53966350015253,2.561630339716405
7.13,0.6895512002520263,180,female,21,336,pos,,lake,0.6767150000669062,,19,,183.5740264998749,188.92080560000613,sha,image_stim_p.png,11,Monday,21,31,181.88289149990305,faceWord_exp,42,,1,188.24409059993923,182.57244270015508,-1.5151286486205269
5.17,0.6863460000604391,336,female,21,180,neu,,keyboard,0.6783822998404503,,20,,193.62123299995437,196.3541235998273,sha,image_stim_p.png,13,Monday,21,41,191.93215399980545,faceWord_exp,42,,1,195.67574129998684,192.6184999998659,-0.08455950357770388
4.9,0.6913009998388588,336,female,21,180,neg,1,plot,0.6787384999915957,206.23765459982678,21,y,203.65289459982887,206.3882865998894,sha,image_stim_n.png,12,Monday,22,32,201.96165130008012,faceWord_exp,42,0.5281064999289811,1,205.7095480998978,202.65295229991898,0.2016963621838916
