scan day,condition,word_score_pc,ID,pause_trigger,duration_measured_word,img_trigger,offset_word,correct_resp,delay_frames_before,word_label,onset_img,gender,key_t,img,word_score_warriner,age,onset_word,delay_frames_after,pause_trigger_t,word,duration_frames,no,word_trigger,session,offset_img,response,duration_measured_img,rt
Monday,faceWord_exp,-1.295378487470534,ELAS,31,0.6944179550046101,21,1.711469421046786,1,336,pos,7.398498751048464,female,7.9814790520467795,image_stim_p.png,7.18,22,1.017051466042176,180,2.7123850890202448,television,42,1,11,5,8.094806331035215,b,0.6963075799867511,0.5829803009983152
Monday,faceWord_exp,-0.8220066925000616,ELAS,42,0.6950319579918869,22,11.795462999027222,1,180,neu,14.827220794046298,female,15.26667390705552,image_stim_n.png,5.58,22,11.100431041035336,336,12.795628588006366,dime,42,2,13,5,15.529198931006249,y,0.7019781369599514,0.43945311300922185
Monday,faceWord_exp,-0.32385553549685003,ELAS,41,0.6905186249641702,21,21.82930306700291,1,180,neu,24.865244395041373,female,25.400592374033295,image_stim_p.png,5.79,22,21.13878444203874,336,22.829527777037583,carrot,42,3,13,5,25.56234746403061,b,0.6971030689892359,0.535347978991922
Monday,faceWord_exp,-1.178487968131687,ELAS,31,0.6947388619882986,21,31.863613996014465,1,180,pos,34.89722873602295,female,35.30085347505519,image_stim_p.png,6.81,22,31.168875134026166,336,32.8644929730217,tangerine,42,4,11,5,35.597540018032305,b,0.700311282009352,0.4036247390322387
Monday,faceWord_exp,0.7498341013103271,ELAS,32,0.692212168010883,22,41.89770214504097,1,336,neg,47.5308411460137,female,48.0179719060543,image_stim_n.png,4.26,22,41.20548997703008,180,42.898443295038305,dictation,42,5,12,5,48.23144437803421,y,0.7006032320205122,0.48713076004059985
Monday,faceWord_exp,0.5156614996478043,ELAS,42,0.690925547038205,22,51.9316540970467,1,180,neu,54.964179942035116,female,55.65261848800583,image_stim_n.png,5.12,22,51.2407285500085,336,52.93240572401555,bus,42,6,13,5,55.66550762503175,y,0.7013276829966344,0.6884385459707119
Monday,faceWord_exp,3.659937177091274,ELAS,32,0.6924228519783355,22,61.96521523001138,1,180,neg,64.99842523800908,female,65.78682950302027,image_stim_n.png,2.9,22,61.272792378033046,336,62.96671073901234,curse,42,7,12,5,65.69928327901289,y,0.7008580410038121,0.7884042650111951
Monday,faceWord_exp,0.14106522732466809,ELAS,41,0.6928053949959576,21,71.99969993403647,1,180,neu,75.03214381803991,female,75.55398721405072,image_stim_p.png,5.43,22,71.30689453904051,336,73.0007373750559,editor,42,8,13,5,75.73350636201212,b,0.7013625439722091,0.5218433960108086
Monday,faceWord_exp,2.424733943851676,ELAS,32,0.6909627129789442,22,82.03377545200055,1,180,neg,85.06600461900234,female,85.58946453302633,image_stim_n.png,3.5,22,81.34281273902161,336,83.03451227105688,screech,42,9,12,5,85.76729700004216,y,0.7012923810398206,0.523459914023988
Monday,faceWord_exp,-1.211925852261804,ELAS,31,0.6889605830074288,21,92.06786917103454,1,180,pos,95.10225634503877,female,95.68807034601923,image_stim_p.png,6.41,22,91.37890858802712,336,93.06881532003172,morning,42,10,11,5,95.80138425604673,b,0.6991279110079631,0.5858140009804629
Monday,faceWord_exp,-1.962809513975644,ELAS,31,0.6937417379813269,21,102.10183809202863,1,180,pos,105.13447351905052,female,105.85619669401785,image_stim_p.png,7.16,22,101.4080963540473,336,103.10257287003333,bed,42,11,11,5,105.83579124201788,b,0.7013177229673602,0.7217231749673374
Monday,faceWord_exp,-1.4373817092238501,ELAS,31,0.693178238987457,21,112.13580246904166,1,180,pos,115.16779031103943,female,115.84007559804013,image_stim_p.png,6.05,22,111.44262423005421,336,113.13664242904633,drum,42,12,11,5,115.86949710105546,b,0.7017067900160328,0.6722852870007046
Monday,faceWord_exp,0.5712560851538326,ELAS,32,0.6922471820143983,22,122.1698615840287,1,180,neg,125.20220361003885,female,125.70719821105013,image_stim_n.png,4.5,22,121.4776144020143,336,123.1706454140367,election,42,13,12,5,125.90345572103979,y,0.7012521110009402,0.5049946010112762
Monday,faceWord_exp,-1.2320142343270626,ELAS,31,0.69187120400602,21,132.20393334905384,1,180,pos,135.23694461100968,female,135.791575528041,image_stim_p.png,7.0,22,131.51206214504782,336,133.20469531504204,water,42,14,11,5,135.93756075302372,b,0.7006161420140415,0.554630917031318
Monday,faceWord_exp,0.19443075193465506,ELAS,42,0.6917087910114788,22,142.23793949303217,1,180,neu,145.27092317905044,female,145.80907590105198,image_stim_n.png,5.25,22,141.5462307020207,336,143.23866070900112,stapler,42,15,13,5,145.97153835202334,y,0.7006151729729027,0.5381527220015414
Monday,faceWord_exp,1.5300907112092572,ELAS,32,0.6937807209906168,22,152.27200862002792,1,336,neg,157.90466991905123,female,158.52635873103281,image_stim_n.png,3.9,22,151.5782278990373,180,153.2729668590473,ant,42,16,12,5,158.60576902405592,y,0.7010991050046869,0.6216888119815849
