onset_word,duration_frames,duration_measured_img,offset_img,rt,pause_trigger,pause_trigger_t,word_label,word_score_pc,word_trigger,delay_frames_after,response,age,delay_frames_before,word_score_warriner,duration_measured_word,img_trigger,no,correct_resp,gender,img,ID,key_t,scan day,session,onset_img,condition,word,offset_word
1.4390808999887668,42,1.0318140000163112,8.126700099994196,2.1186529000115115,32,3.861290899978485,neg,3.561717315569441,12,336,b,22,180,4.76,0.988598700001603,22,1,0,male,image_stim_n.png,B12,9.213538999989396,Monday,2,7.094886099977884,faceWord_exp,landslide,2.4276795999903698
16.580532899999525,42,0.9926713999884669,26.92697859997861,1.0448546999832615,32,19.07802559999982,neg,1.0482300490198866,12,180,y,22,336,4.75,1.0106604999746196,22,2,1,male,image_stim_n.png,B12,26.979161899973406,Monday,2,25.934307199990144,faceWord_exp,ricochet,17.591193399974145
31.387704900000244,42,0.9657271000032779,37.91035839999677,1.683050199993886,32,33.92690029999358,neg,0.5494484707734639,12,336,y,22,180,4.81,1.0706883999810088,22,3,1,male,image_stim_n.png,B12,38.627681499987375,Monday,2,36.94463129999349,faceWord_exp,stone,32.45839329998125
46.245153799973195,42,0.7057350999966729,55.272549899993464,2.3083195999788586,32,48.79364899999928,neg,2.373388118792564,12,180,y,22,336,4.52,1.0308141000277828,22,4,1,male,image_stim_n.png,B12,56.87513439997565,Monday,2,54.56681479999679,faceWord_exp,excuse,47.27596790000098
58.68582929999684,42,1.0596072000043932,65.1923412999895,0.826818400004413,41,61.17949569999473,neu,-0.049892793833906636,13,336,y,22,180,5.5,0.9403757999825757,21,5,0,male,image_stim_p.png,B12,64.95955249998951,Monday,2,64.1327340999851,faceWord_exp,nose,59.626205099979416
73.49289759999374,42,1.026535499986494,80.00915219998569,0.9975913999951445,32,75.84493329998804,neg,3.4296451702105397,12,336,b,22,180,2.53,0.9322009999887086,22,6,0,male,image_stim_n.png,B12,79.98020809999434,Monday,2,78.9826166999992,faceWord_exp,angry,74.42509859998245
86.01195019998704,42,0.9789693999919109,91.92329469998367,3.066455099993618,42,87.9918733999948,neu,0.3228926581020319,13,336,y,22,180,5.07,0.7957628000003751,22,7,1,male,image_stim_n.png,B12,94.01078039998538,Monday,2,90.94432529999176,faceWord_exp,street,86.80771299998742
100.16125029997784,42,1.053331300005084,106.82133259999682,0.4426202999893576,32,102.64076299997396,neg,1.3393636650983416,12,336,y,22,180,4.78,1.0289726000046358,22,8,1,male,image_stim_n.png,B12,106.2106215999811,Monday,2,105.76800129999174,faceWord_exp,heavy,101.19022289998247
115.09701959998347,42,1.0310793000098784,125.72246049999376,2.7505033999914303,42,117.60809699998936,neu,-0.18776275500974607,13,180,y,22,336,5.62,1.0918904000136536,22,9,1,male,image_stim_n.png,B12,127.44188459997531,Monday,2,124.69138119998388,faceWord_exp,speech,116.18890999999712
130.22173449999536,42,0.9930763999873307,136.68736659997376,1.9629679000063334,31,132.62461639998946,pos,-2.0702836690965865,11,336,b,22,180,6.95,1.015395599999465,21,10,1,male,image_stim_p.png,B12,137.65725809999276,Monday,2,135.69429019998643,faceWord_exp,restaurant,131.23713009999483
144.39755659998627,42,0.9174330000241753,152.3027607999975,1.6398294000246096,41,146.40691349998815,neu,-0.02119054453060663,13,180,b,22,336,5.97,0.8602031999907922,21,11,1,male,image_stim_p.png,B12,153.02515719999792,Monday,2,151.3853277999733,faceWord_exp,power,145.25775979997707
156.66729389998363,42,1.0919953999982681,167.17130019998876,0.4290762000018731,32,159.1235585999966,neg,2.483224745184551,12,180,y,22,336,3.57,1.0045479999971576,22,12,1,male,image_stim_n.png,B12,166.50838099999237,Monday,2,166.0793047999905,faceWord_exp,cough,157.6718418999808
171.35456690000137,42,0.8224939999927301,176.05385199998273,1.9208361000055447,41,173.10626039997442,neu,0.4272037094573085,13,336,b,22,180,5.03,0.7306209999951534,21,13,1,male,image_stim_p.png,B12,177.15219409999554,Monday,2,175.23135799999,faceWord_exp,scissors,172.08518789999653
182.25704879997647,42,0.7366392999829259,190.18703019997338,1.9044933999830391,31,184.45366929998272,pos,-2.2291915044129413,11,180,b,22,336,6.73,0.8650455000170041,21,14,1,male,image_stim_p.png,B12,191.3548842999735,Monday,2,189.45039089999045,faceWord_exp,luck,183.12209429999348
193.56717789999675,42,0.9363509999820963,203.0040565999807,1.85398859999259,32,195.7881077999773,neg,2.351878020671037,12,180,y,22,336,4.29,0.9016496999829542,22,15,1,male,image_stim_n.png,B12,203.92169419999118,Monday,2,202.0677055999986,faceWord_exp,tired,194.4688275999797
207.6028468000004,42,1.0204738000174984,214.30134619999444,0.9557020000065677,31,210.23779709998053,pos,-3.1565376907491283,11,336,b,22,180,8.53,1.0693385999766178,21,16,1,male,image_stim_p.png,B12,214.2365743999835,Monday,2,213.28087239997694,faceWord_exp,vacation,208.67218539997702
222.56855279998854,42,1.0176189999911003,232.98532329997397,1.120474600000307,32,225.13914399998612,neg,4.537930167489568,12,180,y,22,336,2.35,1.0511231999844313,22,17,1,male,image_stim_n.png,B12,233.08817889998318,Monday,2,231.96770429998287,faceWord_exp,terrorist,223.61967599997297
237.55037779998383,42,1.0387601999973413,244.18516389999422,1.088520499994047,32,240.15574799999013,neg,0.16339675594021513,12,336,y,22,180,4.41,1.06681540000136,22,18,1,male,image_stim_n.png,B12,244.23492419999093,Monday,2,243.14640369999688,faceWord_exp,jaw,238.6171931999852
