word_score_warriner,key_t,delay_frames_before,pause_trigger_t,onset_img,rt,word_score_pc,word_label,ID,random_timepoint,correct_resp,session,scan day,duration_frames,no,offset_word,offset_img,condition,duration_measured_word,onset_word,duration_measured_img,word,delay_frames_after,img,gender,age,response
1.94,5.19775903999107,178,2.820121429977007,4.903416016983101,0.29434302300796844,3.587794463102913,neg,1,19.29538126499392,1,6,Monday,48,1,1.8194387589755934,5.708626868989086,faceWord_exp,0.7925475289812312,1.0268912299943622,0.8052108520059846,prison,36,image_stim_n.png,male,22,left
3.94,8.810359847993823,73,8.108989217987983,8.385636455990607,0.42472339200321585,1.4290259416609457,neg,1,22.77760141598992,1,6,Monday,48,2,7.107333278981969,9.174992479995126,faceWord_exp,0.7941688999999315,6.313164378982037,0.789356024004519,lawyer,81,image_stim_n.png,male,22,left
5.33,13.577166645001853,104,12.325462309003342,13.12183948798338,0.45532715701847337,-0.1985745460766808,neu,1,27.513804496993544,1,6,Monday,48,3,11.324937823985238,13.92507706300239,faceWord_exp,0.7937084629957099,10.531229360989528,0.8032375750190113,quantity,138,image_stim_p.png,male,22,right
4.75,19.76014964899514,127,18.025502763979603,19.196624379983405,0.563525269011734,0.5993691927879942,neg,1,33.588589968014276,1,6,Monday,48,4,17.02503920698655,19.991306322976016,faceWord_exp,0.7956663350050803,16.229372871981468,0.7946819429926109,rake,114,image_stim_n.png,male,22,left
5.84,24.44273299499764,75,23.691205562994583,23.995185845997185,0.44754714900045656,-0.6912617476649511,neu,1,38.38715114101069,1,6,Monday,48,5,22.69147123300354,24.791063206997933,faceWord_exp,0.7915593220095616,21.89991191099398,0.7958773610007484,soccer,184,image_stim_p.png,male,22,right
4.55,31.326656188990455,131,29.658533730980707,30.892780337977456,0.4338758510129992,0.7240429444440241,neg,1,45.284745559009025,1,6,Monday,48,6,28.658070883975597,31.69144004798727,faceWord_exp,0.7959832939959597,27.862087589979637,0.7986597100098152,law,102,image_stim_n.png,male,22,left
6.81,37.275775892980164,157,35.19176990399137,36.86833370898967,0.40744218399049714,-1.5755240884938977,pos,1,51.260297514993,0,6,Monday,48,7,34.19125239297864,37.65769153297879,faceWord_exp,0.7949024889967404,33.3963499039819,0.7893578239891212,cheese,164,image_stim_p.png,male,22,left
7.53,43.10984239898971,85,42.19150402199011,42.66207071498502,0.44777168400469236,-3.0889019952949432,pos,1,57.05403587399633,1,6,Monday,48,8,41.19125341399922,43.457863350980915,faceWord_exp,0.7949790430138819,40.39627437098534,0.7957926359958947,honeymoon,99,image_stim_p.png,male,22,right
3.25,49.06003690700163,153,46.90790065500187,48.51579033100279,0.5442465759988409,1.7380634654586231,neg,1,62.90775605401723,1,6,Monday,48,9,45.90748305397574,49.307702184974914,faceWord_exp,0.7950367609737441,45.112446293001994,0.7919118539721239,politician,88,image_stim_n.png,male,22,left
5.29,54.29335496999556,132,52.575045340985525,53.826298658997985,0.4670563109975774,0.38949539348709145,neu,1,68.21826378101832,1,6,Monday,48,10,51.574387465982,54.62441243499052,faceWord_exp,0.7919038349937182,50.78248363098828,0.7981137759925332,era,163,image_stim_p.png,male,22,right
6.32,61.10972133598989,148,59.14141743798973,60.66010585098411,0.4496154850057792,-1.1812540207039297,pos,1,75.05207094899379,1,6,Monday,48,11,58.140942872996675,61.457292209001025,faceWord_exp,0.7966696789953858,57.34427319400129,0.7971863580169156,elm,171,image_stim_p.png,male,22,right
5.05,68.25931515099364,152,66.10816684699967,67.69338241498917,0.5659327360044699,-0.441124933220443,neu,1,82.0853478939971,1,6,Monday,48,12,65.10781694800244,68.49113193899393,faceWord_exp,0.7950926730118226,64.31272427499061,0.7977495240047574,bugle,158,image_stim_p.png,male,22,right
5.33,74.65885452699149,123,72.9243909450015,74.02599816498696,0.6328563620045315,-1.1818642926883074,neu,1,88.41796322501614,1,6,Monday,48,13,71.92408707799041,74.82407653899281,faceWord_exp,0.7950508290086873,71.12903624898172,0.7980783740058541,prairie,11,image_stim_n.png,male,22,left
2.07,78.55841239300207,127,76.80777952200151,77.97544821997872,0.5829641730233561,4.494524106175375,neg,1,92.36741377401631,1,6,Monday,48,14,75.80740832298761,78.77380413899664,faceWord_exp,0.7947637570032384,75.01264456598437,0.7983559190179221,funeral,22,image_stim_n.png,male,22,left
4.42,82.00929751899093,88,80.94075284598512,81.46463004598627,0.5446674730046652,1.346131993343653,neg,1,95.85659552301513,1,6,Monday,48,15,79.94072896699072,82.25730954599567,faceWord_exp,0.7956764980044682,79.14505246898625,0.7926795000093989,protest,100,image_stim_n.png,male,22,left
5.65,87.95951076797792,160,85.72438765599509,87.44131950699375,0.5181912609841675,-0.15774590184623308,neu,1,101.83328460500343,1,6,Monday,48,16,84.72416072897613,88.24059946398484,faceWord_exp,0.7901644299854524,83.93399629899068,0.7992799569910858,comb,58,image_stim_n.png,male,22,left
7.18,93.20844520698301,153,91.00762335400213,92.60863342697849,0.5998117800045293,-2.3202480308548075,pos,1,107.00059883500217,1,6,Monday,48,17,90.00723678598297,93.40710606198991,faceWord_exp,0.7959433750074822,89.21129341097549,0.7984726350114215,party,115,image_stim_p.png,male,22,right
5.8,98.14224368298892,80,97.12339072598843,97.5041418899782,0.6381017930107191,-0.3659926056186196,neu,1,111.89610729701235,1,6,Monday,48,18,96.12341874599224,98.30703111097682,faceWord_exp,0.7952293239941355,95.3281894219981,0.8028892209986225,finger,148,image_stim_n.png,male,22,left
4.11,103.25935521698557,56,97.12339072598843,102.55940742598614,0.6999477909994312,2.52891321026023,neg,1,116.95137271299609,0,6,Monday,48,19,101.5737695459975,103.3572126509971,faceWord_exp,0.7956520150182769,100.77811753097922,0.7978052250109613,folly,104,image_stim_n.png,male,22,right
3.19,107.59134626499144,61,106.89087179797934,106.95995193297858,0.6313943320128601,1.5556418242275696,neg,1,121.35191729001235,1,6,Monday,48,20,105.89015542998095,107.75643200799823,faceWord_exp,0.7977001259860117,105.09245530399494,0.7964800750196446,old,163,image_stim_n.png,male,22,left
5.49,115.3757495280006,210,112.27418530199793,114.82640292600263,0.5493466019979678,0.1576901893660491,neu,1,129.21836836301372,1,6,Monday,48,21,111.27326216298388,115.62319695498445,faceWord_exp,0.7952706560026854,110.4779915069812,0.7967940289818216,table,151,image_stim_n.png,male,22,left
5.89,122.97576070099603,201,119.94077605198254,122.3450847939821,0.6306759070139378,-0.7656585604551551,neu,1,136.737050094991,1,6,Monday,48,22,118.940116844984,123.1396072509815,faceWord_exp,0.7952249230002053,118.1448919219838,0.7945224569994025,audience,156,image_stim_n.png,male,22,left
6.61,130.3913786689809,186,127.54053175999434,129.6918610429857,0.6995176259952132,-1.0219663684796234,pos,1,144.08382647001417,1,6,Monday,48,23,126.53956231797929,130.48945205597556,faceWord_exp,0.7958399239869323,125.74372239399236,0.7975910129898693,camera,75,image_stim_p.png,male,22,right
