correct_resp,img,no,condition,word_label,session,pause_trigger,response,gender,duration_measured_img,word_score_warriner,duration_measured_word,onset_img,key_t,pause_trigger_t,rt,duration_frames,onset_word,scan day,ID,word,age,delay_frames_after,img_trigger,offset_word,delay_frames_before,offset_img,word_score_pc,word_trigger
1,image_stim_p.png,1,faceWord_exp,neu,3,41,b,female,0.6996733009582385,5.68,0.6941227749921381,4.807009361044038,5.375252164027188,2.7136269520269707,0.5682428029831499,42,1.0211759130470455,Monday,1,cafeteria,23,336,21,1.7152986880391836,180,5.506682662002277,-0.4971407339658378,13
1,image_stim_p.png,2,faceWord_exp,neu,3,41,b,female,0.6999133779900149,5.58,0.6890298299840651,14.816292492032517,15.40384676802205,12.789840053999797,0.5875542759895325,42,11.102561917039566,Monday,1,tuba,23,336,21,11.79159174702363,180,15.516205870022532,-0.945340141786388,13
1,image_stim_p.png,3,faceWord_exp,neu,3,41,b,female,0.6866888430085965,5.75,0.6942991059622727,24.822644004016183,25.395370033045765,22.799560326035134,0.5727260290295817,42,21.107056788052432,Monday,1,year,23,336,21,21.801355894014705,180,25.50933284702478,0.5062695562835388,13
1,image_stim_p.png,4,faceWord_exp,pos,3,31,b,female,0.7030388720449992,7.18,0.6927768070017919,34.816326464002486,35.4407883620006,32.792700849007815,0.6244618979981169,42,31.10167609003838,Monday,1,island,23,336,21,31.794452897040173,180,35.519365336047485,-1.7760144816699572,11
1,image_stim_p.png,5,faceWord_exp,neu,3,41,b,female,0.6873248770134524,5.82,0.6939207810210064,44.82484442403074,45.39825487503549,42.80256062204717,0.5734104510047473,42,41.11018359201262,Monday,1,spiritual,23,336,21,41.804104373033624,180,45.512169301044196,-1.5026706526379858,13
1,image_stim_p.png,6,faceWord_exp,pos,3,31,b,female,0.699399164004717,8.21,0.6913787149824202,57.416332648019306,57.95442090299912,52.79556372604566,0.5380882549798116,42,51.10594019503333,Monday,1,joy,23,180,21,51.79731891001575,336,58.11573181202402,-3.230607919269787,11
1,image_stim_n.png,7,faceWord_exp,neg,3,32,y,female,0.6974422609782778,3.23,0.6951515239779837,67.42793921002885,67.96186579001369,62.80528264201712,0.5339265799848363,42,61.111738137027714,Monday,1,snub,23,180,22,61.8068896610057,336,68.12538147100713,3.9847946241932393,12
1,image_stim_n.png,8,faceWord_exp,neg,3,32,y,female,0.6878001909935847,4.6,0.6937683959840797,77.43083153001498,77.99022272403818,72.81497386505362,0.5593911940231919,42,71.12302959803492,Monday,1,cabbage,23,180,22,71.816797994019,336,78.11863172100857,0.041184453360586966,12
1,image_stim_n.png,9,faceWord_exp,neg,3,32,y,female,0.7024423999828286,4.57,0.6950159060070291,87.42586026102072,87.98122558800969,82.80812332400819,0.5553653269889764,42,81.1150458100019,Monday,1,reporter,23,180,22,81.81006171600893,336,88.12830266100354,0.7962654471128737,12
0,image_stim_p.png,10,faceWord_exp,pos,3,31,y,female,0.7031286850105971,7.11,0.6949702149722725,97.43494818301406,98.04370083101094,92.81785317102913,0.6087526479968801,42,91.12457630503923,Monday,1,couple,23,180,21,91.8195465200115,336,98.13807686802465,-1.9002611819546853,11
